Gene	5637	SV-HUC-1	T24	UM-Uc-3
LINC00256B	149.350609	8	223.661945	99.05517752
AASS	894.7819673	48	1044.356985	1330.38723
ALDOC	9.251807638	0.5	1183.243838	28.95459035
CFD	92.51807638	5	120.8495993	25.90673874
DNAJC12	9.251807638	0.5	52.30803552	115.8183614
HMGA2	1110.216917	60	1850.622222	1388.296411
LUM	9.251807638	0.5	0.5	0.5
MFAP5	37.00723055	2	0.5	25.90673874
MKRN3	9.251807638	0.5	1.803725363	47.24170005
RHOU	237.903625	13	32.46705653	39.62207101
HOXA11-AS	161.2457903	9	0.5	0.5
BMF	1328.295239	75	328.278016	89.91162267
COL9A2	1284.679575	73	68.54156379	1.523925808
B4GALNT2	140.0988014	8	0.5	0.5
B3GNT7	886.8518464	51	75.75646524	9.143554848
SLC1A3	14621.82113	841	117.2421486	2653.154832
MIDN	5578.840006	322	1509.718129	766.5346814
IRAK2	13442.8765	776	2718.214122	838.1591944
RGS17	137.4554278	8	117.2421486	306.3090874
SCPEP1	5751.980977	339	1616.137925	1088.083027
C1R	1453.855486	86	1991.312801	21.33496131
FOXQ1	2435.868782	146	288.5960581	4.571777424
CKMT1A	963.5096811	58	0.5	0.5
RAET1L	149.350609	9	5.411176089	1.523925808
DOCK10	511.4927937	31	519.4729045	899.1162267
FAM43A	229.9735041	14	1286.056184	348.97901
BCL11A	97.8048236	6	3.607450726	178.2993195
CABLES1	1642.856699	101	169.5501841	246.8759809
COL17A1	9291.458242	579	1071.412866	286.4980519
MME	1148.545834	72	952.3669916	2826.882374
ESM1	15.86024166	1	1195.869916	219.4453164
GBP5	47.58072499	3	36.07450726	3.047851616
MYO7A	15.86024166	1	128.0645008	86.86377106
NOSTRIN	7.930120832	0.5	0.5	0.5
TBXA2R	31.72048333	2	111.8309725	42.66992263
DSCAM	220.7216965	14	0.5	580.6157329
SERPINB13	77.97952152	5	0.5	0.5
C6orf141	218.0783229	14	72.14901452	33.52636778
DDX26B	185.0361528	12	79.36391597	239.2563519
MDGA1	676.7036444	44	104.616071	60.95703232
DOCK2	614.5843645	40	104.616071	1.523925808
PTGS2	7282.494298	474	313.8482131	1.523925808
F2RL1	2556.142282	168	86.57881742	710.1494265
HECW2	30.39879652	2	50.50431016	0.5
MLLT11	1131.363905	75	598.8368205	94.4834001
SEMA4A	270.9457951	18	1.803725363	12.19140646
PCDH18	165.2108507	11	27.05588044	0.5
HSD17B2	387.254234	26	0.5	0.5
LYL1	59.47590624	4	160.5315573	0.5
SERPINB9	578.8988208	39	14.4298029	1.523925808
ETV1	249.7988062	17	753.9572017	338.3115294
PDGFRA	14.53855486	1	25.25215508	254.4956099
C11orf41	2971.151939	205	4098.064024	1552.880398
CKMT1B	911.9638957	63	3.607450726	0.5
GLIPR1	231.2951909	16	744.9385749	3300.8233
ELMOD1	113.6650653	8	23.44842972	187.4428744
PITX2	482.415684	34	0.5	0.5
ABCB6	492.9891784	35	333.6891921	38.0981452
FKBP11	319.8482069	23	680.0044618	193.5385776
MMP2	7304.962973	529	3.607450726	1194.757834
ANXA6	1938.914544	141	31251.34564	2179.213906
CRIP1	68.72771388	5	2260.06788	6.095703232
LSP1	247.1554326	18	10.82235218	70.10058717
RPS6KA2	5207.446013	381	854.965822	2269.125528
ZEB2	286.8060368	21	869.3956249	705.5776491
ARMCX1	95.16144999	7	3.607450726	2674.489793
KCND1	95.16144999	7	281.3811566	0.5
KRT6A	11778.87281	867	1.803725363	18.2871097
SERPINB3	149.350609	11	0.5	1.523925808
PTHLH	1219.916921	90	86.57881742	27.43066454
UST	309.2747125	23	167.7464587	612.6181748
CYP1A1	918.5723298	69	30.66333117	6.095703232
CARD14	6.608434027	0.5	18.03725363	0.5
FAM155B	118.9518125	9	1.803725363	1249.619163
PAGE1	6.608434027	0.5	0.5	0.5
TCF21	6.608434027	0.5	0.5	288.0219777
VAV3	237.903625	18	1.803725363	230.112797
TRIB1	3544.764012	269	867.5918995	2704.968309
ANTXR2	1990.460329	152	2575.719818	1587.930692
C3	61583.9967	4735	65352.57735	594.3310651
TRIM9	77.97952152	6	43.28940871	647.6684684
SLC7A8	531.3180958	41	7.214901452	6.095703232
GSTA4	89.87470277	7	30.66333117	245.3520551
ADAM22	573.6120735	45	158.7278319	982.9321462
RNF122	163.8891639	13	95.59744423	36.57421939
PAK6	1646.82176	131	57.71921161	18.2871097
PCDH10	25.1120493	2	0.5	370.3139714
CPE	1266.17596	102	57.71921161	19.8110355
GAD1	111.0216917	9	43.28940871	160.0122098
PAX6	503.5626729	41	642.1262292	260.5913132
MAMDC2	798.2988305	65	669.1821096	6.095703232
KIAA1614	146.7072354	12	185.7837124	4.571777424
COL8A1	585.5072548	48	752.1534763	0.5
MEX3A	9780.48236	804	1278.841282	1450.777369
NTRK2	133.4903673	11	0.5	3.047851616
CXCL2	1381.162712	114	1219.318345	412.983894
VASH2	459.9470083	38	9.018626814	3.047851616
SP5	84.58795555	7	340.9040936	0.5
CNKSR3	930.467511	77	110.0272471	315.4526423
RASL10B	746.7530451	62	19.84097899	0.5
WLS	3527.582084	293	1226.533247	4491.009356
NLGN4X	1323.008492	110	0.5	0.5
ABCA13	11.89518125	1	10.82235218	1.523925808
TMEM37	11.89518125	1	21.64470435	4.571777424
GFPT2	2016.894065	171	5310.167468	1691.557647
IL1A	3501.148348	298	627.6964263	1.523925808
LTBP1	1716.87116	148	483.3983973	1767.753937
HOXB2	34.36385694	3	396.8195798	429.7470779
LOC100507588	91.19638957	8	131.6719515	3.047851616
MMP16	364.7855583	32	151.5129305	1118.561543
CPA4	5886.793031	517	609.6591727	68.57666136
SNORA12	56.83253263	5	70.34528915	181.3471712
NLGN4Y	203.539768	18	0.5	0.5
EBF3	157.2807298	14	5.411176089	345.9311584
PRSS23	2558.785655	228	4677.059866	4995.428799
MYB	1760.486825	157	27.05588044	42.66992263
LPL	2696.241083	241	0.5	1.523925808
FILIP1L	1115.503664	100	990.2452242	1.523925808
MMP17	144.0638618	13	714.2752437	163.0600615
SCEL	1221.238608	111	0.5	44.19384843
FSCN1	10803.46795	988	19018.48023	1810.42386
PRDM1	1223.881982	112	16.23352827	105.1508808
PTPRG	2164.922987	199	1019.10483	1639.744169
TEAD2	3435.064007	317	1035.338358	955.5014816
5-Sep	280.1976027	26	191.1948885	19.8110355
GUCY1B3	161.2457903	15	0.5	160.0122098
NR4A1	330.4217014	31	183.979987	559.2807716
IL7R	667.4518367	63	891.0403293	6.095703232
CHRM3	42.29397777	4	28.85960581	161.5361357
FAM109B	10.57349444	1	180.3725363	6.095703232
KLRC2	5.286747222	0.5	7.214901452	0.5
RPRM	5.286747222	0.5	1.803725363	3.047851616
SNAP25	10.57349444	1	95.59744423	153.9165066
SPON2	5.286747222	0.5	55.91548625	0.5
TNFRSF6B	5.286747222	0.5	1138.150704	3.047851616
TRPV4	42.29397777	4	528.4915313	1.523925808
CYP2S1	438.8000194	42	124.45705	0.5
DCLK2	72.6927743	7	81.16764133	414.5078198
HEY1	134.8120542	13	162.3352827	77.72021621
LOC440300	51.54578541	5	32.46705653	187.4428744
SCARF2	1270.14102	124	497.8282002	44.19384843
SDK1	3867.255593	378	1987.70535	121.9140646
C3orf18	112.3433785	11	450.9313407	7.61962904
FAM113B	826.0542534	81	149.7092051	97.53125171
CTSC	7299.676226	719	4713.134373	1776.897492
APLN	50.22409861	5	694.4342647	103.6269549
SPINK5	50.22409861	5	0.5	938.7382978
USP32P2	149.350609	15	0.5	786.345717
CCDC144B	228.6518173	23	7.214901452	478.5127037
SERPINE2	3519.651963	355	910.8813083	237.7324261
DACT1	436.1566458	44	59.52293698	7.61962904
SCNN1A	2356.567574	239	95.59744423	4.571777424
CCDC19	177.1060319	18	104.616071	36.57421939
ABLIM1	4344.384529	445	45.09313407	1056.080585
PLEKHB1	253.7638666	26	205.6246914	114.2944356
C2orf89	77.97952152	8	108.2235218	204.2060583
B4GALNT1	477.1289368	49	948.7595409	199.6342809
STAT5A	919.8940166	95	591.621919	54.86132909
FAM70A	358.1771243	37	45.09313407	0.5
PRTFDC1	705.7807541	73	46.89685944	0.5
IL20RB	231.2951909	24	9.018626814	132.5815453
ARHGEF19	1626.996457	169	564.5660386	4.571777424
PID1	173.1409715	18	488.8095733	205.7299841
LGALS9	646.3048478	68	0.5	12.19140646
TGFB2	4805.653224	508	202.0172406	1.523925808
RNF150	141.4204882	15	45.09313407	83.81591944
AUTS2	1260.889212	134	5.411176089	966.1689623
PRSS12	1529.191634	163	3418.059563	50.28955167
ARTN	243.1903722	26	18.03725363	10.66748066
ZC3H12A	7688.252147	822	5492.34373	172.2036163
IRS1	3646.533896	392	2772.325883	2340.750041
LIMD2	864.3831707	93	1181.440113	36.57421939
ADAM23	286.8060368	31	625.8927009	307.8330132
NEFL	129.5253069	14	0.5	97.53125171
RUNX2	884.2084728	96	838.7322937	82.29199363
FOXA1	1136.650653	124	416.6605588	28.95459035
HSD17B11	648.9482215	71	270.5588044	903.6880042
ATOH8	511.4927937	56	9.018626814	36.57421939
PRKCH	1176.301257	130	202.0172406	854.9223783
LOC644961	134.8120542	15	9.018626814	79.24414202
SAMD14	44.93735138	5	160.5315573	12.19140646
PCDHGA10	35.68554375	4	1939.004765	88.38769687
ONECUT2	1666.647062	189	30.66333117	275.8305713
HCAR3	647.6265347	74	194.8023392	1.523925808
DLX1	529.996409	61	708.8640676	77.72021621
IL23A	329.1000145	38	28.85960581	3.047851616
DUSP6	4690.666472	543	1663.034785	8037.184712
ABCB4	146.7072354	17	759.3683778	1292.289085
MLLT3	352.890377	41	198.4097899	694.9101685
THBS2	17.18192847	2	3614.665627	9.143554848
SLC11A2	1899.263939	223	1212.103444	1715.94046
GSDMC	117.6301257	14	1.803725363	0.5
HCAR2	1066.601252	127	202.0172406	0.5
APOBEC3G	1402.309701	167	1648.604982	371.8378972
BMP4	233.9385646	28	28.85960581	137.1533227
BARX2	2116.020575	254	7.214901452	1.523925808
LFNG	1601.884408	193	52.30803552	47.24170005
GPRIN3	33.04217014	4	10.82235218	0.5
NCR3LG1	222.0433833	27	46.89685944	685.7666136
AQP3	4476.55321	545	14.4298029	4.571777424
TMEM132A	5085.850827	623	13241.14789	1126.181172
KCNJ2	56.83253263	7	829.7136669	19.8110355
LEPREL2	1184.231378	146	2658.691185	778.7260879
SLC45A3	796.9771437	99	449.1276154	73.14843879
FOS	9052.23293	1125	892.8440546	14882.65944
ATL1	360.8204979	45	261.5401776	38.0981452
QRICH2	272.2674819	34	75.75646524	141.7251001
KLF9	833.9843742	105	557.3511371	644.6206168
ANXA2R	39.65060416	5	70.34528915	32.00244197
CHST2	39.65060416	5	413.0531081	362.6943423
DTNA	3.965060416	0.5	43.28940871	1.523925808
EFEMP2	111.0216917	14	3694.029543	114.2944356
FAM133A	3.965060416	0.5	14.4298029	2788.784229
GPX2	3.965060416	0.5	0.5	0.5
HNF4A	3.965060416	0.5	0.5	0.5
LRFN5	3.965060416	0.5	0.5	259.0673874
MT1E	7.930120832	1	1841.603596	1.523925808
PCDHB13	31.72048333	4	64.93411306	3.047851616
PDE1A	3.965060416	0.5	0.5	42.66992263
POF1B	3.965060416	0.5	86.57881742	6.095703232
PTGS1	39.65060416	5	72.14901452	12.19140646
SIGLEC15	3.965060416	0.5	3602.03955	7.61962904
TNFSF9	39.65060416	5	234.4842972	60.95703232
ZNF608	3067.635075	387	73.95273988	571.472178
CELSR3	2225.72058	281	698.0417154	731.4843879
FGF11	141.4204882	18	101.0086203	3.047851616
JAM2	219.4000097	28	82.97136669	7.61962904
BCL2	186.3578396	24	124.45705	446.5102618
TAMM41	1365.30247	176	315.6519385	167.6318389
DNAJA4	1333.581987	173	528.4915313	0.5
CTSS	753.3614791	98	692.6305393	115.8183614
TET1	383.2891736	50	147.9054798	32.00244197
SERINC2	20651.35633	2695	378.7823262	144.7729518
CSF2	510.1711069	67	2296.142387	4.571777424
DLG4	281.5192896	37	2501.767078	1979.579625
HOXA11	356.8554375	47	0.5	1.523925808
NDRG4	922.5373902	122	723.2938705	89.91162267
HTRA3	52.86747222	7	7.214901452	1.523925808
SLC27A2	2379.03625	315	7.214901452	144.7729518
MEX3B	339.673509	45	133.4756769	153.9165066
SLC6A11	407.0795361	54	0.5	0.5
KIAA1211	1703.654292	227	524.8840806	508.9912199
ENTPD3	44.93735138	6	18.03725363	0.5
PRDM8	149.350609	20	514.0617284	79.24414202
PCOLCE2	104.4132576	14	28.85960581	914.3554848
HOXD9	245.8337458	33	562.7623132	327.6440487
HVCN1	133.4903673	18	79.36391597	1.523925808
COL6A1	5182.333964	705	48484.13775	969.2168139
VGLL4	7644.636482	1046	1325.738142	2829.930226
EREG	2761.003736	379	1338.364219	1324.291527
ZNF704	3267.209783	449	277.7737059	1435.538111
NRP1	3425.8122	473	7813.738272	297.1655326
NFKBIZ	3268.53147	456	3495.619753	1278.573753
GLRX	272.2674819	38	279.5774312	141.7251001
