ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
213929_at	2.90E-11	1.37E-13	-11.7735137	20.965204	2.63	EXPH5
210652_s_at	2.92E-11	1.39E-13	-11.7664366	20.948812	2.27	TTC39A
221081_s_at	2.93E-11	1.40E-13	-11.7621378	20.938853	1.61	DENND2D
218666_s_at	3.36E-11	1.63E-13	-11.699509	20.793478	9.53E-01	STX17
220753_s_at	3.36E-11	1.65E-13	-11.6942755	20.781307	1.77	CRYL1
216470_x_at	3.36E-11	1.66E-13	-11.691803	20.775556	1.74	PRSS2
213805_at	3.36E-11	1.67E-13	-11.688135	20.767022	1.61	ABHD5
203467_at	3.42E-11	1.72E-13	-11.6769707	20.741037	1.75	PMM1
217930_s_at	3.53E-11	1.80E-13	-11.6567837	20.694011	1.36	TOLLIP
218788_s_at	3.53E-11	1.81E-13	11.6554597	20.690925	-1.7	SMYD3
202661_at	3.64E-11	1.88E-13	-11.6386534	20.651731	1.23	ITPR2
210276_s_at	3.78E-11	1.97E-13	-11.6191863	20.606285	1.39	NOL12///TRIOBP
204728_s_at	3.78E-11	1.99E-13	11.6156134	20.597938	-1.26	WDHD1
212058_at	3.79E-11	2.01E-13	11.6111347	20.587474	-1.6	U2SURP
212969_x_at	4.02E-11	2.15E-13	-11.5821285	20.519636	1.19	EML3
216125_s_at	4.26E-11	2.29E-13	-11.5546297	20.455222	1.97	RANBP9
218186_at	4.39E-11	2.38E-13	-11.5386802	20.417817	2.27	RAB25
201851_at	4.57E-11	2.50E-13	-11.5181836	20.369697	1.14	SH3GL1
213050_at	4.84E-11	2.67E-13	-11.4907754	20.305266	2.02	COBL
206576_s_at	4.97E-11	2.77E-13	-11.4759867	20.270459	2.68	CEACAM1
202583_s_at	4.97E-11	2.79E-13	-11.4722439	20.261646	2.42	RANBP9
218576_s_at	5.01E-11	2.83E-13	11.4658877	20.246674	-8.63E-01	DUSP12
202730_s_at	5.45E-11	3.11E-13	-11.4276306	20.156448	1.69	MIR4680///PDCD4
210398_x_at	5.62E-11	3.23E-13	-11.4115003	20.118348	2.24	FUT6
206253_at	5.70E-11	3.30E-13	-11.4017875	20.09539	7.87E-01	DLG2
205185_at	5.74E-11	3.35E-13	-11.3958405	20.081327	5.02	SPINK5
207018_s_at	5.75E-11	3.38E-13	-11.3920523	20.072366	1.52	RAB27B
209302_at	5.85E-11	3.48E-13	11.3802873	20.044526	-1.11	POLR2H
222362_at	5.85E-11	3.50E-13	-11.3782224	20.039637	1.64	AGFG2
209772_s_at	5.88E-11	3.55E-13	-11.371759	20.024333	3.25	CD24
219109_at	5.88E-11	3.56E-13	-11.3701615	20.020549	1.95	SPAG16
218010_x_at	6.01E-11	3.67E-13	-11.3578654	19.991416	1.15	PPDPF
201761_at	6.12E-11	3.76E-13	11.3473781	19.966552	-1.94	MTHFD2
201455_s_at	6.35E-11	3.94E-13	-11.3284895	19.921734	1.23	NPEPPS
211026_s_at	6.35E-11	3.96E-13	-11.3262834	19.916496	3.24	MGLL
208978_at	6.61E-11	4.15E-13	-11.3063932	19.869244	2.09	CRIP2
211284_s_at	6.70E-11	4.24E-13	-11.2974648	19.848016	1.57	GRN
204716_at	6.83E-11	4.36E-13	-11.2860842	19.820943	1.52	CCDC6
214168_s_at	6.83E-11	4.39E-13	-11.2838146	19.815542	2.36	TJP1
217845_x_at	6.85E-11	4.43E-13	-11.2798831	19.806184	1.33	HIGD1A
220120_s_at	7.08E-11	4.61E-13	-11.2630233	19.766031	1.07	EPB41L4A
218432_at	7.30E-11	4.79E-13	-11.2474942	19.729014	1.78	FBXO3
209691_s_at	7.48E-11	4.93E-13	-11.234915	19.699005	1.22	DOK4
220119_at	7.58E-11	5.04E-13	-11.2262748	19.678381	1.01	EPB41L4A
210101_x_at	8.36E-11	5.59E-13	-11.1830113	19.574961	1.56	SH3GLB1
218792_s_at	8.55E-11	5.76E-13	-11.1710397	19.5463	1.82	BSPRY
209873_s_at	8.82E-11	5.98E-13	-11.1558051	19.509799	1.88	PKP3
212538_at	8.93E-11	6.09E-13	-11.1477118	19.490395	1.65	DOCK9
220610_s_at	8.95E-11	6.17E-13	-11.1428857	19.47882	1.32	LRRFIP2
219752_at	8.95E-11	6.19E-13	-11.1414517	19.47538	1.47	RASAL1
219431_at	9.01E-11	6.41E-13	-11.1270025	19.440705	1.02	ARHGAP10
218782_s_at	9.01E-11	6.43E-13	11.1257835	19.437778	-2.05	ATAD2
212324_s_at	9.01E-11	6.43E-13	-11.1255687	19.437262	1.08	VPS13D
221524_s_at	9.01E-11	6.43E-13	-11.1254732	19.437033	2.47	RRAGD
209600_s_at	9.01E-11	6.43E-13	-11.1254046	19.436868	1.56	ACOX1
220800_s_at	9.03E-11	6.48E-13	-11.1221786	19.429122	2.51	TMOD3
218271_s_at	9.04E-11	6.53E-13	11.1190517	19.421612	-9.74E-01	PARL
201091_s_at	9.38E-11	6.82E-13	11.1013189	19.379	-1.55	CBX3
206877_at	9.38E-11	6.86E-13	-11.0988468	19.373056	2.51	MXD1
216010_x_at	9.68E-11	7.13E-13	-11.0833769	19.335842	2.19	FUT3
202983_at	9.79E-11	7.25E-13	11.0763146	19.318843	-1.96	HLTF
206884_s_at	1.01E-10	7.49E-13	-11.0628673	19.286455	5.36	SCEL
212412_at	1.01E-10	7.55E-13	-11.0597534	19.278952	1.28	PDLIM5
91826_at	1.03E-10	7.73E-13	-11.0497783	19.254908	2.91	EPS8L1
206200_s_at	1.03E-10	7.83E-13	-11.0446855	19.242627	1.49	ANXA11
209365_s_at	1.05E-10	8.02E-13	-11.0350455	19.219371	3.79	ECM1
211882_x_at	1.07E-10	8.19E-13	-11.0262215	19.198073	2.27	FUT6
204033_at	1.08E-10	8.35E-13	11.0183197	19.178992	-1.97	TRIP13
218618_s_at	1.12E-10	8.73E-13	11.0003531	19.135576	-2.25	LOC101928615///FNDC3B
214274_s_at	1.16E-10	9.05E-13	-10.9855748	19.099832	1.62	ACAA1
206875_s_at	1.20E-10	9.40E-13	-10.9699276	19.061954	1.58	SLK
200965_s_at	1.23E-10	9.69E-13	-10.9574479	19.031721	2.62	ABLIM1
214328_s_at	1.23E-10	9.75E-13	10.9552158	19.026311	-9.37E-01	HSP90AA1
213501_at	1.24E-10	9.94E-13	-10.94736	19.007267	1.86	ACOX1
211885_x_at	1.35E-10	1.09E-12	-10.910751	18.918407	1.83	FUT6
216244_at	1.35E-10	1.09E-12	-10.9093541	18.915013	2.25	IL1RN
213457_at	1.38E-10	1.12E-12	10.8975964	18.886434	-2.28	MFHAS1
219597_s_at	1.39E-10	1.14E-12	-10.8921002	18.873068	2.38	DUOX1
210257_x_at	1.39E-10	1.15E-12	-10.8894392	18.866596	1.63	CUL4B
211597_s_at	1.41E-10	1.16E-12	-10.8831082	18.851192	3.8	HOPX
218328_at	1.41E-10	1.17E-12	-10.8791515	18.841563	8.31E-01	COQ4
200037_s_at	1.56E-10	1.30E-12	10.8366023	18.737879	-1.27	CBX3
213811_x_at	1.57E-10	1.32E-12	10.8312143	18.724732	-1.05	TCF3
201710_at	1.57E-10	1.34E-12	10.8245656	18.708504	-1.35	MYBL2
218109_s_at	1.57E-10	1.34E-12	-10.8244012	18.708102	1.04	MFSD1
203213_at	1.57E-10	1.35E-12	10.8236364	18.706235	-1.92	CDK1
202731_at	1.57E-10	1.35E-12	-10.8231881	18.705141	2.08	MIR4680///PDCD4
218171_at	1.59E-10	1.37E-12	-10.8178331	18.692065	1.4	VPS4B
210461_s_at	1.61E-10	1.40E-12	-10.808275	18.668716	1.81	ABLIM1
202734_at	1.61E-10	1.40E-12	-10.8073136	18.666367	2.09	TRIP10
221203_s_at	1.62E-10	1.41E-12	10.8040765	18.658456	-1.52	YEATS2
207828_s_at	1.62E-10	1.42E-12	10.8013776	18.651859	-1.54	CENPF
220090_at	1.67E-10	1.48E-12	-10.7853533	18.612672	6.4	CRNN
221404_at	1.67E-10	1.49E-12	-10.7828417	18.606527	1.48	IL36A
214039_s_at	1.67E-10	1.49E-12	10.7816828	18.603691	-1.74	LAPTM4B
207467_x_at	1.84E-10	1.66E-12	-10.7404232	18.502613	1.86	CAST
211883_x_at	1.84E-10	1.66E-12	-10.74005	18.501697	2.48	CEACAM1
212712_at	1.88E-10	1.71E-12	-10.7277496	18.471519	1.02	CAMSAP1
216074_x_at	1.92E-10	1.75E-12	-10.7173124	18.445895	9.72E-01	WWC1
212711_at	1.92E-10	1.75E-12	-10.7170421	18.445231	1.18	CAMSAP1
214734_at	1.98E-10	1.83E-12	-10.7008094	18.40535	2.25	EXPH5
205759_s_at	2.00E-10	1.85E-12	-10.6956918	18.39277	2.82	SULT2B1
218355_at	2.10E-10	1.95E-12	10.6744076	18.34041	-2.02	KIF4A
210868_s_at	2.13E-10	1.99E-12	-10.6666928	18.321416	2.05	ELOVL6
221896_s_at	2.14E-10	2.01E-12	-10.6626052	18.311349	1.51	HIGD1A
220073_s_at	2.15E-10	2.03E-12	-10.6590123	18.302498	1.26	PLEKHG6
218929_at	2.18E-10	2.06E-12	-10.6518321	18.284806	1.3	CDKN2AIP
212510_at	2.18E-10	2.09E-12	-10.6473431	18.273741	2.28	GPD1L
204580_at	2.18E-10	2.09E-12	10.6471901	18.273364	-3.67	MMP12
204518_s_at	2.26E-10	2.17E-12	-10.631693	18.235145	1.32	PPIC
201839_s_at	2.30E-10	2.22E-12	10.6222395	18.211814	-2.64	EPCAM
213174_at	2.39E-10	2.33E-12	-10.6025879	18.163278	2.59	TTC9
203853_s_at	2.39E-10	2.33E-12	-10.6021587	18.162217	9.71E-01	GAB2
203724_s_at	2.39E-10	2.34E-12	-10.6019366	18.161668	1.25	RUFY3
218191_s_at	2.41E-10	2.37E-12	-10.5955329	18.14584	1.28	LMBRD1
206482_at	2.42E-10	2.39E-12	-10.5932195	18.140121	3.21	PTK6
202666_s_at	2.51E-10	2.49E-12	10.5767742	18.099442	-1.48	ACTL6A
220750_s_at	2.66E-10	2.66E-12	10.5493924	18.031631	-8.71E-01	P3H1
200608_s_at	2.66E-10	2.67E-12	10.5488617	18.030315	-1.04	RAD21
221536_s_at	2.66E-10	2.68E-12	10.5476903	18.027412	-1.26	LSG1
201897_s_at	2.66E-10	2.68E-12	10.546349	18.024087	-1.86	CKS1B
201276_at	2.73E-10	2.77E-12	-10.5341645	17.993875	1.09	RAB5B
208898_at	2.82E-10	2.87E-12	-10.5195576	17.957629	1.43	ATP6V1D
204092_s_at	2.91E-10	2.98E-12	10.5049586	17.921374	-1.98	AURKA
218485_s_at	2.98E-10	3.06E-12	-10.4938763	17.893833	1.3	SLC35C1
218847_at	3.05E-10	3.14E-12	10.4832131	17.867318	-2.26	IGF2BP2
204023_at	3.21E-10	3.32E-12	10.4611797	17.81248	-2.17	RFC4
218726_at	3.26E-10	3.39E-12	10.4532654	17.792767	-1.54	HJURP
206364_at	3.26E-10	3.41E-12	10.4506588	17.786273	-2.12	KIF14
218736_s_at	3.31E-10	3.47E-12	-10.4435557	17.76857	2.47	PALMD
203956_at	3.39E-10	3.58E-12	10.4321518	17.740135	-1.09	MORC2
205145_s_at	3.43E-10	3.63E-12	-10.4257673	17.724208	9.95E-01	MYL5
221656_s_at	3.48E-10	3.70E-12	-10.4185249	17.706134	1.58	ARHGEF10L
218885_s_at	3.53E-10	3.77E-12	-10.4111309	17.687674	2.91	GALNT12
208740_at	3.54E-10	3.80E-12	-10.407859	17.679503	1.08	SAP18
214101_s_at	3.60E-10	3.88E-12	-10.3993878	17.658341	1.53	NPEPPS
202129_s_at	3.63E-10	3.93E-12	-10.3946447	17.646488	2.3	RIOK3
220318_at	3.67E-10	3.98E-12	-10.3892879	17.633098	1.1	EPN3
206004_at	3.69E-10	4.02E-12	-10.385346	17.623242	5.57	TGM3
210559_s_at	3.69E-10	4.04E-12	10.383522	17.618681	-1.89	CDK1
214047_s_at	3.86E-10	4.25E-12	10.3640991	17.570082	-9.80E-01	MBD4
203442_x_at	3.91E-10	4.32E-12	-10.3570609	17.552459	1.25	EML3
219930_at	4.12E-10	4.57E-12	-10.3348613	17.496829	9.92E-01	KLF8
211362_s_at	4.32E-10	4.81E-12	-10.3145118	17.445776	2.39	SERPINB13
217234_s_at	4.49E-10	5.02E-12	-10.2981926	17.404794	1.46	EZR
213085_s_at	4.54E-10	5.09E-12	-10.292327	17.390055	1.33	WWC1
213463_s_at	4.57E-10	5.15E-12	-10.2880121	17.37921	8.34E-01	FAM149B1
201412_at	4.62E-10	5.23E-12	-10.2819326	17.363925	1.81	LRP10
216228_s_at	5.40E-10	6.13E-12	10.2193627	17.206322	-1.33	WDHD1
214106_s_at	5.43E-10	6.19E-12	-10.2156895	17.197053	1.53	GMDS
211935_at	5.46E-10	6.25E-12	10.2113993	17.186225	-7.15E-01	ARL6IP1
209357_at	5.61E-10	6.44E-12	-10.1996416	17.156538	2.42	CITED2
212621_at	5.71E-10	6.59E-12	10.1910429	17.134815	-1.41	NEMP1
211889_x_at	5.73E-10	6.64E-12	-10.1881509	17.127506	2.09	CEACAM1
201377_at	5.76E-10	6.71E-12	10.1836968	17.116248	-9.77E-01	UBAP2L
201181_at	5.76E-10	6.72E-12	-10.1833171	17.115288	1.41	GNAI3
211559_s_at	5.79E-10	6.78E-12	-10.1795563	17.10578	2.64	CCNG2
202705_at	6.04E-10	7.10E-12	10.1617566	17.060753	-1.6	CCNB2
218204_s_at	6.54E-10	7.76E-12	-10.1268947	16.972439	1.49	FYCO1
210776_x_at	6.54E-10	7.77E-12	10.1262371	16.970772	-1.09	TCF3
200864_s_at	6.54E-10	7.79E-12	-10.1256428	16.969264	1.49	RAB11A
210817_s_at	6.56E-10	7.83E-12	-10.123549	16.963955	1.13	CALCOCO2
215684_s_at	6.61E-10	7.92E-12	-10.1190209	16.95247	1.53	ASCC2
208029_s_at	6.71E-10	8.08E-12	10.111323	16.932939	-2.31	LAPTM4B
217746_s_at	6.88E-10	8.31E-12	-10.1002827	16.904913	1.44	PDCD6IP
201325_s_at	6.93E-10	8.40E-12	-10.0958242	16.893591	3.91	EMP1
200928_s_at	7.02E-10	8.54E-12	-10.0893937	16.877255	1.08	RAB14
222127_s_at	7.25E-10	8.86E-12	-10.0753466	16.841553	1.11	EXOC1
218028_at	7.31E-10	8.96E-12	-10.070691	16.829714	1.3	MIR6734///ELOVL1
206335_at	7.37E-10	9.07E-12	10.0661783	16.818236	-8.37E-01	GALNS
211725_s_at	7.46E-10	9.23E-12	10.0591758	16.800419	-2.04	BID
204777_s_at	7.46E-10	9.24E-12	-10.0587861	16.799427	5.85	MAL
202954_at	7.53E-10	9.36E-12	10.0536652	16.786393	-1.71	UBE2C
221926_s_at	7.90E-10	9.86E-12	-10.0336161	16.73533	9.64E-01	IL17RC
218035_s_at	8.03E-10	1.01E-11	-10.0256686	16.715074	1.99	RBM47
218910_at	8.41E-10	1.06E-11	-10.0066591	16.666587	1.26	ANO10
211612_s_at	8.43E-10	1.06E-11	-10.0039791	16.659748	2.23	IL13RA1
202770_s_at	8.53E-10	1.08E-11	-9.9983092	16.645274	2.73	CCNG2
211548_s_at	8.77E-10	1.11E-11	-9.9861563	16.614237	4.31	HPGD
213911_s_at	8.95E-10	1.14E-11	9.9766209	16.589871	-8.87E-01	H2AFZ
208836_at	9.07E-10	1.16E-11	9.9702427	16.573566	-1.26	ATP1B3
219374_s_at	9.27E-10	1.19E-11	-9.9604228	16.548451	1.08	ALG9
215103_at	9.45E-10	1.22E-11	-9.9517458	16.526249	2.82	CYP2C18
220289_s_at	9.50E-10	1.23E-11	-9.9480978	16.516911	2.44	AIM1L
220620_at	9.54E-10	1.25E-11	-9.9430092	16.503883	5.63	CRCT1
201786_s_at	9.54E-10	1.25E-11	9.9429634	16.503766	-9.07E-01	ADAR
203311_s_at	9.54E-10	1.25E-11	-9.9427684	16.503267	1.33	ARF6
205977_s_at	9.61E-10	1.26E-11	-9.9386895	16.492821	1.52	EPHA1
213114_at	9.92E-10	1.31E-11	-9.9247354	16.45707	7.74E-01	
206102_at	9.94E-10	1.31E-11	9.9227735	16.452041	-1.61	GINS1
204048_s_at	9.96E-10	1.32E-11	-9.9207778	16.446925	1.84	PHACTR2
220364_at	1.00E-09	1.33E-11	-9.9162085	16.43521	8.53E-01	EPB41L4A-AS2
203585_at	1.01E-09	1.35E-11	-9.9125619	16.425859	3.05	ZNF185
208691_at	1.01E-09	1.35E-11	9.9121383	16.424772	-1.88	TFRC
204146_at	1.01E-09	1.36E-11	9.9095636	16.418168	-2.08	RAD51AP1
210479_s_at	1.01E-09	1.37E-11	-9.9061439	16.409396	1.98	RORA
220013_at	1.01E-09	1.37E-11	-9.9056515	16.408132	2.89	EPHX3
213172_at	1.03E-09	1.40E-11	-9.8984352	16.389615	2.92	TTC9
207057_at	1.04E-09	1.41E-11	-9.8935642	16.377111	3.32	SLC16A7
200593_s_at	1.04E-09	1.42E-11	9.8931715	16.376103	-7.95E-01	HNRNPU
203987_at	1.05E-09	1.43E-11	9.8883841	16.363811	-1.41	FZD6
214624_at	1.17E-09	1.61E-11	-9.8429695	16.247048	2.98	UPK1A
207714_s_at	1.23E-09	1.69E-11	9.8239443	16.198051	-1.98	SERPINH1
221261_x_at	1.25E-09	1.72E-11	9.8177509	16.18209	-1.94	SNORA11E///SNORA11D///MAGED4///MAGED4B
218739_at	1.25E-09	1.73E-11	-9.815735	16.176894	2.07	ABHD5
205622_at	1.25E-09	1.73E-11	-9.8151969	16.175507	1.03	SMPD2
202660_at	1.25E-09	1.75E-11	-9.8115511	16.166107	2.36	ITPR2
205248_at	1.29E-09	1.80E-11	-9.800088	16.136542	1.85	DOPEY2
221811_at	1.29E-09	1.81E-11	-9.7976171	16.130167	7.84E-01	PGAP3
202633_at	1.32E-09	1.86E-11	9.7872581	16.103431	-1.24	TOPBP1
209512_at	1.37E-09	1.93E-11	-9.7735158	16.067941	1.73	HSDL2
215704_at	1.42E-09	2.01E-11	-9.7583818	16.028827	4.25	FLG
203913_s_at	1.45E-09	2.06E-11	-9.7487419	16.003896	4.39	HPGD
213005_s_at	1.46E-09	2.09E-11	-9.7428405	15.988627	2.14	KANK1
209668_x_at	1.46E-09	2.10E-11	-9.742399	15.987485	2.11	CES2
203914_x_at	1.48E-09	2.12E-11	-9.7380684	15.976277	4.31	HPGD
205783_at	1.52E-09	2.18E-11	-9.7266905	15.946819	4.34	KLK13
218487_at	1.56E-09	2.25E-11	-9.7144651	15.915147	1.33	ALAD
209484_s_at	1.60E-09	2.32E-11	9.7036843	15.887201	-9.32E-01	NSL1
219491_at	1.63E-09	2.37E-11	9.6950656	15.864848	-8.62E-01	LRFN4
217870_s_at	1.63E-09	2.38E-11	-9.693225	15.860073	9.58E-01	CMPK1
208751_at	1.64E-09	2.40E-11	-9.6903064	15.852501	1.42	NAPA
206491_s_at	1.69E-09	2.49E-11	-9.6765421	15.816773	1.26	NAPA
219476_at	1.69E-09	2.49E-11	-9.6761035	15.815634	3.17	C1orf116
214490_at	1.73E-09	2.56E-11	-9.6658707	15.789056	6.92E-01	ARSF
