Run,Age,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,samplenumber,sex,SRA Study,tissue
SRR10222744,not applicable,AMPLICON,252,104102460,not applicable,PRJNA574555,SAMN12904092,Human,42045437,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX6942664,Illumina HiSeq 2500,not applicable,normal.ct.429,PAIRED,PCR,OTHER,104,40,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470816,normal.ct.429,normal.ct.429,missing,SRP223644,blood
SRR10222746,not applicable,AMPLICON,252,144027324,not applicable,PRJNA574555,SAMN12904090,Human,58191986,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX6942662,Illumina HiSeq 2500,not applicable,normal.ct.427,PAIRED,PCR,OTHER,144,55,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470814,normal.ct.427,normal.ct.427,missing,SRP223644,blood
SRR10222747,not applicable,AMPLICON,104,49560784,not applicable,PRJNA574555,SAMN12904089,Human,28584525,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX6942661,Illumina HiSeq 2500,not applicable,normal.ct.426,PAIRED,PCR,OTHER,49,27,Homo sapiens,ILLUMINA,2019-10-04T00:00:00Z,SRS5470813,normal.ct.426,normal.ct.426,missing,SRP223644,blood
SRR10222748,not applicable,AMPLICON,252,104953464,not applicable,PRJNA574555,SAMN12904088,Human,44235305,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX6942660,Illumina HiSeq 2500,not applicable,normal.ct.425,PAIRED,PCR,OTHER,104,42,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470812,normal.ct.425,normal.ct.425,missing,SRP223644,blood
SRR10222749,not applicable,AMPLICON,252,132154092,not applicable,PRJNA574555,SAMN12904087,Human,58344080,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX6942659,Illumina HiSeq 2500,not applicable,normal.ct.424,PAIRED,PCR,OTHER,132,55,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470811,normal.ct.424,normal.ct.424,missing,SRP223644,blood
SRR10222750,not applicable,AMPLICON,252,115698492,not applicable,PRJNA574555,SAMN12904086,Human,46771672,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX6942658,Illumina HiSeq 2500,not applicable,normal.ct.423,PAIRED,PCR,OTHER,115,44,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470810,normal.ct.423,normal.ct.423,missing,SRP223644,blood
SRR10222751,not applicable,AMPLICON,252,95222232,not applicable,PRJNA574555,SAMN12904085,Human,42078115,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX6942657,Illumina HiSeq 2500,not applicable,normal.ct.422,PAIRED,PCR,OTHER,95,40,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470809,normal.ct.422,normal.ct.422,missing,SRP223644,blood
SRR10222752,not applicable,AMPLICON,252,122080644,not applicable,PRJNA574555,SAMN12904084,Human,49624008,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX6942656,Illumina HiSeq 2500,not applicable,normal.ct.421,PAIRED,PCR,OTHER,122,47,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470808,normal.ct.421,normal.ct.421,missing,SRP223644,blood
SRR10222753,not applicable,AMPLICON,104,56900584,not applicable,PRJNA574555,SAMN12903742,Human,32695881,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6942655,Illumina HiSeq 2500,not applicable,normal.ct.113,PAIRED,PCR,OTHER,56,31,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470807,normal.ct.113,normal.ct.113,missing,SRP223644,blood
SRR10222754,not applicable,AMPLICON,104,49808200,not applicable,PRJNA574555,SAMN12904083,Human,28536630,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6942654,Illumina HiSeq 2500,not applicable,normal.ct.420,PAIRED,PCR,OTHER,49,27,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470806,normal.ct.420,normal.ct.420,missing,SRP223644,blood
SRR10222755,not applicable,AMPLICON,252,128423736,not applicable,PRJNA574555,SAMN12904082,Human,56944774,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX6942653,Illumina HiSeq 2500,not applicable,normal.ct.42,PAIRED,PCR,OTHER,128,54,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470805,normal.ct.42,normal.ct.42,missing,SRP223644,blood
SRR10222756,not applicable,AMPLICON,252,162183168,not applicable,PRJNA574555,SAMN12904081,Human,65991815,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX6942652,Illumina HiSeq 2500,not applicable,normal.ct.419,PAIRED,PCR,OTHER,162,62,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470804,normal.ct.419,normal.ct.419,missing,SRP223644,blood
SRR10222757,not applicable,AMPLICON,110,59914910,not applicable,PRJNA574555,SAMN12904080,Human,34288078,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX6942651,Illumina HiSeq 2500,not applicable,normal.ct.418,PAIRED,PCR,OTHER,59,32,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470803,normal.ct.418,normal.ct.418,missing,SRP223644,blood
SRR10222758,not applicable,AMPLICON,252,184752540,not applicable,PRJNA574555,SAMN12904079,Human,78663417,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX6942650,Illumina HiSeq 2500,not applicable,normal.ct.417,PAIRED,PCR,OTHER,184,75,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470802,normal.ct.417,normal.ct.417,missing,SRP223644,blood
SRR10222759,not applicable,AMPLICON,110,56328030,not applicable,PRJNA574555,SAMN12904078,Human,32464689,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX6942649,Illumina HiSeq 2500,not applicable,normal.ct.416,PAIRED,PCR,OTHER,56,30,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470801,normal.ct.416,normal.ct.416,missing,SRP223644,blood
SRR10222760,not applicable,AMPLICON,252,127347444,not applicable,PRJNA574555,SAMN12904077,Human,48742347,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX6942648,Illumina HiSeq 2500,not applicable,normal.ct.415,PAIRED,PCR,OTHER,127,46,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470800,normal.ct.415,normal.ct.415,missing,SRP223644,blood
SRR10222761,not applicable,AMPLICON,104,59427888,not applicable,PRJNA574555,SAMN12904076,Human,33692380,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX6942647,Illumina HiSeq 2500,not applicable,normal.ct.414,PAIRED,PCR,OTHER,59,32,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470799,normal.ct.414,normal.ct.414,missing,SRP223644,blood
SRR10222762,not applicable,AMPLICON,110,57404270,not applicable,PRJNA574555,SAMN12904075,Human,32738223,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX6942646,Illumina HiSeq 2500,not applicable,normal.ct.413,PAIRED,PCR,OTHER,57,31,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470798,normal.ct.413,normal.ct.413,missing,SRP223644,blood
SRR10222763,not applicable,AMPLICON,104,56137224,not applicable,PRJNA574555,SAMN12904074,Human,31992598,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6942645,Illumina HiSeq 2500,not applicable,normal.ct.412,PAIRED,PCR,OTHER,56,30,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470797,normal.ct.412,normal.ct.412,missing,SRP223644,blood
SRR10222764,not applicable,AMPLICON,104,50404224,not applicable,PRJNA574555,SAMN12903741,Human,28788530,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX6942644,Illumina HiSeq 2500,not applicable,normal.ct.112,PAIRED,PCR,OTHER,50,27,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470796,normal.ct.112,normal.ct.112,missing,SRP223644,blood
SRR10222765,not applicable,AMPLICON,104,53963000,not applicable,PRJNA574555,SAMN12904073,Human,30861980,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6942643,Illumina HiSeq 2500,not applicable,normal.ct.411,PAIRED,PCR,OTHER,53,29,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470795,normal.ct.411,normal.ct.411,missing,SRP223644,blood
SRR10222766,not applicable,AMPLICON,252,187389216,not applicable,PRJNA574555,SAMN12904072,Human,75582107,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX6942642,Illumina HiSeq 2500,not applicable,normal.ct.410,PAIRED,PCR,OTHER,187,72,Homo sapiens,ILLUMINA,2019-10-04T00:00:00Z,SRS5470794,normal.ct.410,normal.ct.410,missing,SRP223644,blood
SRR10222767,not applicable,AMPLICON,252,138050388,not applicable,PRJNA574555,SAMN12904071,Human,62550238,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX6942641,Illumina HiSeq 2500,not applicable,normal.ct.41,PAIRED,PCR,OTHER,138,59,Homo sapiens,ILLUMINA,2019-10-04T00:00:00Z,SRS5470793,normal.ct.41,normal.ct.41,missing,SRP223644,blood
SRR10222768,not applicable,AMPLICON,252,196574616,not applicable,PRJNA574555,SAMN12904070,Human,81403445,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6942640,Illumina HiSeq 2500,not applicable,normal.ct.409,PAIRED,PCR,OTHER,196,77,Homo sapiens,ILLUMINA,2019-10-04T00:00:00Z,SRS5470792,normal.ct.409,normal.ct.409,missing,SRP223644,blood
SRR10222769,not applicable,AMPLICON,104,45775392,not applicable,PRJNA574555,SAMN12904069,Human,26207171,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX6942639,Illumina HiSeq 2500,not applicable,normal.ct.408,PAIRED,PCR,OTHER,45,24,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470791,normal.ct.408,normal.ct.408,missing,SRP223644,blood
SRR10222770,not applicable,AMPLICON,252,134659224,not applicable,PRJNA574555,SAMN12904068,Human,59105941,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6942638,Illumina HiSeq 2500,not applicable,normal.ct.407,PAIRED,PCR,OTHER,134,56,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470790,normal.ct.407,normal.ct.407,missing,SRP223644,blood
SRR10222771,not applicable,AMPLICON,104,61349808,not applicable,PRJNA574555,SAMN12904067,Human,34648005,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6942637,Illumina HiSeq 2500,not applicable,normal.ct.406,PAIRED,PCR,OTHER,61,33,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470789,normal.ct.406,normal.ct.406,missing,SRP223644,blood
SRR10222772,not applicable,AMPLICON,252,128087316,not applicable,PRJNA574555,SAMN12904066,Human,53049504,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX6942636,Illumina HiSeq 2500,not applicable,normal.ct.405,PAIRED,PCR,OTHER,128,50,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470788,normal.ct.405,normal.ct.405,missing,SRP223644,blood
SRR10222773,not applicable,AMPLICON,104,46158424,not applicable,PRJNA574555,SAMN12904065,Human,26504475,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX6942635,Illumina HiSeq 2500,not applicable,normal.ct.404,PAIRED,PCR,OTHER,46,25,Homo sapiens,ILLUMINA,2019-10-04T00:00:00Z,SRS5470787,normal.ct.404,normal.ct.404,missing,SRP223644,blood
SRR10222774,not applicable,AMPLICON,252,112129416,not applicable,PRJNA574555,SAMN12904064,Human,50300213,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6942634,Illumina HiSeq 2500,not applicable,normal.ct.403,PAIRED,PCR,OTHER,112,47,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470786,normal.ct.403,normal.ct.403,missing,SRP223644,blood
SRR10222775,not applicable,AMPLICON,252,113725584,not applicable,PRJNA574555,SAMN12903740,Human,49982088,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX6942633,Illumina HiSeq 2500,not applicable,normal.ct.111,PAIRED,PCR,OTHER,113,47,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470785,normal.ct.111,normal.ct.111,missing,SRP223644,blood
SRR10222776,not applicable,AMPLICON,252,147068964,not applicable,PRJNA574555,SAMN12904063,Human,65971701,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX6942632,Illumina HiSeq 2500,not applicable,normal.ct.402,PAIRED,PCR,OTHER,147,62,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470784,normal.ct.402,normal.ct.402,missing,SRP223644,blood
SRR10222777,not applicable,AMPLICON,252,104555556,not applicable,PRJNA574555,SAMN12904062,Human,46152509,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX6942631,Illumina HiSeq 2500,not applicable,normal.ct.401,PAIRED,PCR,OTHER,104,44,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470783,normal.ct.401,normal.ct.401,missing,SRP223644,blood
SRR10222778,not applicable,AMPLICON,252,98801640,not applicable,PRJNA574555,SAMN12904061,Human,40545180,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX6942630,Illumina HiSeq 2500,not applicable,normal.ct.400,PAIRED,PCR,OTHER,98,38,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470782,normal.ct.400,normal.ct.400,missing,SRP223644,blood
SRR10222779,not applicable,AMPLICON,252,115218432,not applicable,PRJNA574555,SAMN12904060,Human,45409860,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX6942629,Illumina HiSeq 2500,not applicable,normal.ct.40,PAIRED,PCR,OTHER,115,43,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470781,normal.ct.40,normal.ct.40,missing,SRP223644,blood
SRR10222780,not applicable,AMPLICON,252,127421280,not applicable,PRJNA574555,SAMN12904059,Human,57068791,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX6942628,Illumina HiSeq 2500,not applicable,normal.ct.4,PAIRED,PCR,OTHER,127,54,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470780,normal.ct.4,normal.ct.4,missing,SRP223644,blood
SRR10222781,not applicable,AMPLICON,110,49456220,not applicable,PRJNA574555,SAMN12904058,Human,28045317,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX6942627,Illumina HiSeq 2500,not applicable,normal.ct.399,PAIRED,PCR,OTHER,49,26,Homo sapiens,ILLUMINA,2019-10-04T00:00:00Z,SRS5470779,normal.ct.399,normal.ct.399,missing,SRP223644,blood
SRR10222782,not applicable,AMPLICON,104,64067120,not applicable,PRJNA574555,SAMN12904057,Human,35964680,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6942626,Illumina HiSeq 2500,not applicable,normal.ct.398,PAIRED,PCR,OTHER,64,34,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470778,normal.ct.398,normal.ct.398,missing,SRP223644,blood
SRR10222783,not applicable,AMPLICON,104,60371480,not applicable,PRJNA574555,SAMN12904056,Human,34568895,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX6942625,Illumina HiSeq 2500,not applicable,normal.ct.397,PAIRED,PCR,OTHER,60,32,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470777,normal.ct.397,normal.ct.397,missing,SRP223644,blood
SRR10222784,not applicable,AMPLICON,252,100138752,not applicable,PRJNA574555,SAMN12904055,Human,41773517,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6942624,Illumina HiSeq 2500,not applicable,normal.ct.396,PAIRED,PCR,OTHER,100,39,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470776,normal.ct.396,normal.ct.396,missing,SRP223644,blood
SRR10222785,not applicable,AMPLICON,252,165362400,not applicable,PRJNA574555,SAMN12904054,Human,67107288,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX6942623,Illumina HiSeq 2500,not applicable,normal.ct.395,PAIRED,PCR,OTHER,165,63,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470775,normal.ct.395,normal.ct.395,missing,SRP223644,blood
SRR10222786,not applicable,AMPLICON,252,111255480,not applicable,PRJNA574555,SAMN12903739,Human,48685312,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6942622,Illumina HiSeq 2500,not applicable,normal.ct.110,PAIRED,PCR,OTHER,111,46,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470774,normal.ct.110,normal.ct.110,missing,SRP223644,blood
SRR10222787,not applicable,AMPLICON,252,114556680,not applicable,PRJNA574555,SAMN12904053,Human,50672270,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX6942621,Illumina HiSeq 2500,not applicable,normal.ct.394,PAIRED,PCR,OTHER,114,48,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470773,normal.ct.394,normal.ct.394,missing,SRP223644,blood
SRR10222788,not applicable,AMPLICON,252,156454200,not applicable,PRJNA574555,SAMN12904052,Human,62428233,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX6942620,Illumina HiSeq 2500,not applicable,normal.ct.393,PAIRED,PCR,OTHER,156,59,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470772,normal.ct.393,normal.ct.393,missing,SRP223644,blood
SRR10222789,not applicable,AMPLICON,252,170510004,not applicable,PRJNA574555,SAMN12904051,Human,70142753,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX6942619,Illumina HiSeq 2500,not applicable,normal.ct.392,PAIRED,PCR,OTHER,170,66,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470771,normal.ct.392,normal.ct.392,missing,SRP223644,blood
SRR10222790,not applicable,AMPLICON,252,151008984,not applicable,PRJNA574555,SAMN12904050,Human,66215412,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX6942618,Illumina HiSeq 2500,not applicable,normal.ct.391,PAIRED,PCR,OTHER,151,63,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470770,normal.ct.391,normal.ct.391,missing,SRP223644,blood
SRR10222791,not applicable,AMPLICON,252,126501984,not applicable,PRJNA574555,SAMN12904049,Human,55557761,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX6942617,Illumina HiSeq 2500,not applicable,normal.ct.390,PAIRED,PCR,OTHER,126,52,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470769,normal.ct.390,normal.ct.390,missing,SRP223644,blood
SRR10222792,not applicable,AMPLICON,104,58287320,not applicable,PRJNA574555,SAMN12904048,Human,33192224,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX6942616,Illumina HiSeq 2500,not applicable,normal.ct.39,PAIRED,PCR,OTHER,58,31,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470768,normal.ct.39,normal.ct.39,missing,SRP223644,blood
