Target	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	TLX2_	me5	mRNA
N32	0.165919283	0.152466368	0.251121076	0.224215247	0.076233184	0.139013453	0.058295964	0.044843049	0.040358744	0.074561404	0.094420601	0.060606061	0.100436681	0.058295964	0.112107623	0.121076233	0.103139013	0.080717489	0.062780269	0.098654709	0.170403587	0.174887892	0.125560538	0.112613671	0.00234367
N52	0.175953079	0.159824047	0.249266862	0.171554252	0.12170088	0.181818182	0.079178886	0.039589443	0.070381232	0.049204052	0.071225071	0.107296137	0.074927954	0.052785924	0.104105572	0.127565982	0.099706745	0.099706745	0.068914956	0.12170088	0.140762463	0.156891496	0.133431085	0.115543127	0.002882077
T61	0.217391304	0.13003096	0.253869969	0.120743034	0.092879257	0.111455108	0.06501548	0.043343653	0.083591331	0.015243902	0.080597015	0.053892216	0.084592145	0.034055728	0.120743034	0.173374613	0.120743034	0.111455108	0.114551084	0.157894737	0.148606811	0.26625387	0.160990712	0.120057135	0.000813368
N59	0.146464646	0.171717172	0.232323232	0.204545455	0.151515152	0.138888889	0.138888889	0.027777778	0.083333333	0.065162907	0.083333333	0.101234568	0.119700748	0.073232323	0.113636364	0.133838384	0.108585859	0.090909091	0.113636364	0.118686869	0.171717172	0.189393939	0.113636364	0.125746036	0.000668193
T64	0.345454545	0.254545455	0.381818182	0.145454545	0.063636364	0.218181818	0.163636364	0.036363636	0.090909091	0.017699115	0.043103448	0.060344828	0.069565217	0.036363636	0.1	0.1	0.109090909	0.127272727	0.063636364	0.181818182	0.118181818	0.118181818	0.109090909	0.128449955	0.012463151
N48	0.139240506	0.158227848	0.17721519	0.17721519	0.113924051	0.170886076	0.196202532	0.056962025	0.126582278	0.15060241	0.113772455	0.107784431	0.12804878	0.063291139	0.113924051	0.202531646	0.107594937	0.107594937	0.069620253	0.170886076	0.139240506	0.113924051	0.120253165	0.131544545	0.001598241
N2	0.193925234	0.172897196	0.306074766	0.259345794	0.095794393	0.205607477	0.081775701	0.060747664	0.091121495	0.041284404	0.116173121	0.095671982	0.068807339	0.067915691	0.117096019	0.154566745	0.110070258	0.12412178	0.093676815	0.196721311	0.156908665	0.213114754	0.112412178	0.136340469	0.008047422
N31	0.241106719	0.218708827	0.282894737	0.147368421	0.146052632	0.173684211	0.114473684	0.034210526	0.086842105	0.077922078	0.110691824	0.118836915	0.12244898	0.089473684	0.132894737	0.173684211	0.152631579	0.123684211	0.092105263	0.135526316	0.123847167	0.173913043	0.158102767	0.14048281	0.007518444
N74	0.20661157	0.148760331	0.254098361	0.139344262	0.114754098	0.163934426	0.131147541	0.032786885	0.098360656	0.078125	0.142857143	0.113636364	0.139534884	0.12295082	0.12295082	0.172131148	0.106557377	0.131147541	0.172131148	0.147540984	0.196721311	0.172131148	0.163934426	0.142267315	0.127814729
N64	0.264935065	0.223376623	0.358441558	0.246753247	0.111688312	0.254545455	0.114285714	0.036363636	0.090909091	0.06377551	0.089775561	0.120300752	0.118686869	0.083116883	0.116883117	0.2	0.132467532	0.163636364	0.106493506	0.163636364	0.21038961	0.168831169	0.109090909	0.154277515	0.003054927
T53	0.189473684	0.223684211	0.260526316	0.226315789	0.152631579	0.2	0.139473684	0.068421053	0.118421053	0.098958333	0.151515152	0.136708861	0.135897436	0.124010554	0.166226913	0.158311346	0.139841689	0.160949868	0.118733509	0.166226913	0.18469657	0.208443272	0.179419525	0.16125597	0.003418438
N51	0.153846154	0.115384615	0.615384615	0.461538462	0.115384615	0.461538462	0.115384615	0.038461538	0.307692308	0.037037037	0.034482759	0.103448276	0.068965517	0.115384615	0.115384615	0.115384615	0.115384615	0.153846154	0.115384615	0.115384615	0.115384615	0.153846154	0.115384615	0.167796444	0.00728783
N58	0.218934911	0.189349112	0.245614035	0.280701754	0.210526316	0.198830409	0.175438596	0.076023392	0.116959064	0.111111111	0.114285714	0.142857143	0.114942529	0.140350877	0.192982456	0.210526316	0.140350877	0.18128655	0.175438596	0.140350877	0.216374269	0.239766082	0.204678363	0.175551276	0.001516739
N50	0.398340249	0.289256198	0.305785124	0.285123967	0.136363636	0.23553719	0.140495868	0.070247934	0.103305785	0.086419753	0.101214575	0.117408907	0.117886179	0.128099174	0.198347107	0.194214876	0.157024793	0.144628099	0.161157025	0.148760331	0.157024793	0.227272727	0.173553719	0.177281218	0.000697409
T57	0.233333333	0.222222222	0.318125771	0.265104809	0.15782984	0.23674476	0.155363748	0.071516646	0.119605425	0.098676294	0.174850299	0.119760479	0.148192771	0.114673243	0.175092478	0.1972873	0.176325524	0.178791615	0.139334155	0.171393342	0.224414303	0.215782984	0.170160296	0.177590506	0.004678483
T32	0.198992443	0.168765743	0.350125945	0.297229219	0.22418136	0.274559194	0.16372796	0.040302267	0.090680101	0.101234568	0.115384615	0.127710843	0.118932039	0.161209068	0.198992443	0.19395466	0.168765743	0.216624685	0.123425693	0.191435768	0.244332494	0.201511335	0.176322418	0.180365244	0.003095159
N41	0.213523132	0.238434164	0.238434164	0.263345196	0.174377224	0.259786477	0.217081851	0.106761566	0.099644128	0.135231317	0.153310105	0.139372822	0.116197183	0.12455516	0.174377224	0.206405694	0.177935943	0.224199288	0.135231317	0.195729537	0.213523132	0.291814947	0.217081851	0.18766754	0.003303915
N62	0.215753425	0.23630137	0.283276451	0.23890785	0.215017065	0.228668942	0.211604096	0.071672355	0.122866894	0.123333333	0.180602007	0.175084175	0.165540541	0.204778157	0.201365188	0.208191126	0.197952218	0.23890785	0.201365188	0.228668942	0.218430034	0.320819113	0.201365188	0.203933544	0.001425682
T50	0.369193154	0.307317073	0.431707317	0.273170732	0.270731707	0.295121951	0.168292683	0.053658537	0.124390244	0.103117506	0.151869159	0.156908665	0.11820331	0.13902439	0.202439024	0.187804878	0.209756098	0.192682927	0.190243902	0.209756098	0.207317073	0.202439024	0.212195122	0.20771046	0.000350327
N36	0.342105263	0.263157895	0.131578947	0.315789474	0.328947368	0.328947368	0.078947368	0.118421053	0.131578947	0.1625	0.168831169	0.181818182	0.051948052	0.210526316	0.223684211	0.315789474	0.263157895	0.25	0.263157895	0.236842105	0.25	0.289473684	0.263157895	0.224798285	0.610950613
T74	0.283662478	0.290843806	0.299820467	0.265709156	0.228007181	0.290843806	0.244165171	0.098743268	0.152603232	0.133451957	0.202108963	0.195422535	0.196460177	0.193895871	0.249551167	0.229802513	0.256732496	0.219030521	0.21005386	0.226211849	0.231597846	0.303411131	0.251346499	0.228411998	0.005115231
T46	0.316239316	0.299145299	0.444444444	0.239316239	0.333333333	0.341880342	0.247863248	0.05982906	0.102564103	0.082644628	0.161016949	0.194915254	0.239316239	0.145299145	0.222222222	0.273504274	0.290598291	0.264957265	0.196581197	0.196581197	0.179487179	0.196581197	0.264957265	0.230142508	0.003151514
T47	0.326259947	0.336870027	0.376657825	0.307692308	0.278514589	0.360742706	0.262599469	0.116710875	0.148541114	0.157480315	0.22622108	0.192802057	0.227390181	0.212201592	0.25729443	0.273209549	0.289124668	0.23872679	0.222811671	0.233421751	0.236074271	0.25464191	0.25464191	0.251766567	0.001087903
T63	0.41322314	0.330578512	0.47107438	0.363636364	0.314049587	0.404958678	0.26446281	0.123966942	0.169421488	0.169354839	0.316	0.240963855	0.218623482	0.227272727	0.297520661	0.318181818	0.347107438	0.29338843	0.276859504	0.334710744	0.347107438	0.347107438	0.289256198	0.299079412	0.007504439
T52	0.438016529	0.409090909	0.506198347	0.394628099	0.340909091	0.433884298	0.289256198	0.152892562	0.198347107	0.214141414	0.309859155	0.274747475	0.286585366	0.126033058	0.340909091	0.309917355	0.311983471	0.280991736	0.291322314	0.342975207	0.363636364	0.382231405	0.361570248	0.320005513	0.001385388
N55	0.36637931	0.369098712	0.403433476	0.373390558	0.326180258	0.377682403	0.35193133	0.188841202	0.223175966	0.195744681	0.300411523	0.219008264	0.255230126	0.362068966	0.297413793	0.336206897	0.331896552	0.400862069	0.336206897	0.392241379	0.435344828	0.409482759	0.38362069	0.331993593	0.001837714
N11	0.419161677	0.44011976	0.449101796	0.449101796	0.395209581	0.437125749	0.326347305	0.164670659	0.221556886	0.202941176	0.319648094	0.260997067	0.292035398	0.341317365	0.338323353	0.392215569	0.323353293	0.350299401	0.320359281	0.404191617	0.380239521	0.377245509	0.368263473	0.346688058	0.002199921
T2	0.444921316	0.424892704	0.509298999	0.429184549	0.400572246	0.416309013	0.324749642	0.145922747	0.220314735	0.198611111	0.310055866	0.300984529	0.266949153	0.261802575	0.35193133	0.377682403	0.371959943	0.380543634	0.339055794	0.374821173	0.424892704	0.43490701	0.426323319	0.353768978	0.005717308
T49	0.560150376	0.421052632	0.496240602	0.5	0.439849624	0.462406015	0.357142857	0.187969925	0.251879699	0.213483146	0.321167883	0.323529412	0.273062731	0.304511278	0.383458647	0.37593985	0.360902256	0.364661654	0.345864662	0.345864662	0.372180451	0.372180451	0.362264151	0.365033172	0.000422634
N63	0.463855422	0.43373494	0.475903614	0.415662651	0.36746988	0.385542169	0.307228916	0.186746988	0.265060241	0.273255814	0.360946746	0.305389222	0.301204819	0.379518072	0.385542169	0.397590361	0.355421687	0.36746988	0.325301205	0.36746988	0.409638554	0.475903614	0.391566265	0.365105352	0.001736512
T34	0.409774436	0.462406015	0.460674157	0.494382022	0.367041199	0.445692884	0.415730337	0.176029963	0.243445693	0.274725275	0.352059925	0.322097378	0.337078652	0.262172285	0.453183521	0.423220974	0.359550562	0.419475655	0.400749064	0.382022472	0.348314607	0.359550562	0.381132075	0.371761292	0.187722676
N34	0.464396285	0.473684211	0.470588235	0.510835913	0.455108359	0.476780186	0.421052632	0.13003096	0.253869969	0.223214286	0.339339339	0.319277108	0.341463415	0.417956656	0.445820433	0.427244582	0.427244582	0.482972136	0.362229102	0.510835913	0.473684211	0.464396285	0.427244582	0.405185625	0.561395213
T65	0.517156863	0.475490196	0.509803922	0.473039216	0.448529412	0.50245098	0.419117647	0.18627451	0.303921569	0.284009547	0.38424821	0.350835322	0.350241546	0.382352941	0.455882353	0.43872549	0.450980392	0.446078431	0.433823529	0.433823529	0.43872549	0.473039216	0.475490196	0.418871326	0.000280095
T35	0.564102564	0.543589744	0.560102302	0.496163683	0.491048593	0.537084399	0.454081633	0.196428571	0.262755102	0.2775	0.363861386	0.334987593	0.349246231	0.426020408	0.484693878	0.477040816	0.464285714	0.482142857	0.464285714	0.484693878	0.545918367	0.553571429	0.487244898	0.447863033	0.018772268
N68	0.555555556	0.555555556	0.603174603	0.507936508	0.571428571	0.603174603	0.507936508	0.238095238	0.301587302	0.363636364	0.4375	0.453125	0.421875	0.492063492	0.523809524	0.507936508	0.523809524	0.53968254	0.507936508	0.507936508	0.507936508	0.571428571	0.571428571	0.494545611	0.188155843
T11	0.555555556	0.567901235	0.635802469	0.549382716	0.524691358	0.648148148	0.512345679	0.296296296	0.37654321	0.374233129	0.442424242	0.381818182	0.418181818	0.49382716	0.50617284	0.49382716	0.574074074	0.561728395	0.49382716	0.487654321	0.530864198	0.530864198	0.512345679	0.498630836	0.000806968
T18	0.542857143	0.571428571	0.542857143	0.571428571	0.571428571	0.571428571	0.542857143	0.171428571	0.371428571	0.388888889	0.472222222	0.361111111	0.4	0.542857143	0.542857143	0.628571429	0.571428571	0.542857143	0.542857143	0.571428571	0.6	0.571428571	0.542857143	0.510282954	0.00024646
T41	0.591616766	0.611976048	0.608383234	0.574850299	0.590419162	0.604790419	0.553293413	0.243113772	0.331736527	0.323943662	0.468160377	0.40070922	0.428571429	0.508982036	0.54011976	0.54011976	0.559281437	0.549700599	0.528143713	0.559281437	0.565269461	0.598802395	0.567664671	0.515170852	0.00011896
T68	0.630979499	0.643507973	0.65261959	0.615034169	0.60022779	0.629840547	0.563781321	0.235763098	0.356492027	0.35451505	0.530474041	0.444570136	0.447219069	0.556947608	0.599088838	0.589977221	0.580865604	0.61047836	0.578587699	0.589977221	0.624145786	0.632118451	0.628701595	0.551996204	0.144920474
T58	0.669172932	0.627819549	0.6825	0.6275	0.61125	0.6525	0.5825	0.2825	0.37375	0.364981504	0.533251232	0.453874539	0.434243176	0.57625	0.62125	0.6075	0.6075	0.62125	0.60125	0.6175	0.63125	0.64	0.63375	0.567536649	0.000406742
T31	0.715832206	0.650879567	0.732432432	0.645945946	0.67972973	0.663513514	0.605405405	0.247297297	0.358108108	0.328912467	0.506613757	0.474103586	0.477911647	0.567567568	0.651351351	0.643243243	0.645945946	0.605405405	0.594594595	0.656756757	0.655405405	0.67027027	0.640540541	0.583381163	0.003418438
N22	0.713286713	0.566433566	0.846153846	0.678321678	0.664335664	0.629370629	0.643356643	0.321678322	0.377622378	0.371621622	0.579310345	0.510344828	0.451388889	0.615384615	0.671328671	0.608391608	0.587412587	0.58041958	0.587412587	0.594405594	0.629370629	0.657342657	0.706293706	0.590912494	0.002625208
T48	0.688275862	0.664827586	0.695172414	0.671724138	0.664827586	0.671724138	0.630344828	0.251034483	0.371034483	0.367346939	0.542465753	0.488980716	0.493793103	0.583448276	0.634482759	0.667586207	0.651034483	0.631724138	0.644137931	0.649655172	0.67862069	0.677241379	0.656551724	0.594610208	0.000916553
N17	0.684863524	0.70471464	0.706319703	0.666666667	0.640644362	0.664188352	0.648079306	0.281288724	0.394052045	0.381530984	0.568627451	0.504294479	0.483394834	0.603469641	0.665427509	0.644361834	0.623296159	0.625774473	0.60842627	0.676579926	0.675340768	0.674101611	0.650557621	0.59895656	0.00105672
T77	0.702194357	0.680250784	0.719626168	0.683800623	0.660436137	0.661993769	0.646417445	0.269470405	0.367601246	0.375572519	0.553846154	0.48	0.50931677	0.608424337	0.670826833	0.653666147	0.645865835	0.639625585	0.633385335	0.678627145	0.684867395	0.67550702	0.663026521	0.602797762	0.005635337
T4	0.737562189	0.70931677	0.771995043	0.665427509	0.685254027	0.676579926	0.624535316	0.291201983	0.390334572	0.394417476	0.549140049	0.482120838	0.503082614	0.540272615	0.629491945	0.666666667	0.640644362	0.640644362	0.646840149	0.669144981	0.672862454	0.697645601	0.672862454	0.606871474	0.002541995
T76	0.652173913	0.710144928	0.778985507	0.724637681	0.706521739	0.721014493	0.637681159	0.275362319	0.427536232	0.368794326	0.551971326	0.485611511	0.514388489	0.586956522	0.644927536	0.688405797	0.655797101	0.68115942	0.641304348	0.692028986	0.72826087	0.706521739	0.692028986	0.620531084	0.004254054
T51	0.718894009	0.701612903	0.745977011	0.727586207	0.701149425	0.712643678	0.685057471	0.263218391	0.373563218	0.378651685	0.589772727	0.538724374	0.510832383	0.644418872	0.674712644	0.68045977	0.682758621	0.694252874	0.667816092	0.7	0.706896552	0.745977011	0.707710012	0.632725475	0.001444668
N47	0.723655914	0.733333333	0.763948498	0.707081545	0.682403433	0.722103004	0.672746781	0.298283262	0.410944206	0.381951731	0.600638978	0.532481363	0.525586354	0.629828326	0.68776824	0.710300429	0.679184549	0.69527897	0.680257511	0.715665236	0.737124464	0.741416309	0.72639485	0.641668578	0.00184261
T55	0.77	0.77	0.73	0.71	0.71	0.72	0.68	0.28	0.43	0.44	0.62	0.57	0.56	0.65	0.72	0.71	0.75	0.7	0.69	0.73	0.74	0.69	0.69	0.654782609	0.009756256
T75	0.747222222	0.758333333	0.755555556	0.761111111	0.741666667	0.730555556	0.680555556	0.327777778	0.433333333	0.464480874	0.597222222	0.537604457	0.586592179	0.688888889	0.697222222	0.727777778	0.688888889	0.716666667	0.705555556	0.697222222	0.772222222	0.738888889	0.719444444	0.664121244	0.018662057
T56	0.766319773	0.740775781	0.791863765	0.769157994	0.754020814	0.75307474	0.707663198	0.304635762	0.440870388	0.391866913	0.633552015	0.54076851	0.548022599	0.688741722	0.69820246	0.7256386	0.73320719	0.723746452	0.710501419	0.745506149	0.746452223	0.754020814	0.761589404	0.670878204	0.000135908
T67	0.779036827	0.747875354	0.768361582	0.731638418	0.745762712	0.742937853	0.76056338	0.349295775	0.504225352	0.493036212	0.665730337	0.588732394	0.61299435	0.676056338	0.723943662	0.664788732	0.687323944	0.757746479	0.746478873	0.746478873	0.777464789	0.769014085	0.788732394	0.688183422	0.006524124
T22	0.794749403	0.806682578	0.818615752	0.711217184	0.646778043	0.718377088	0.649164678	0.281622912	0.46778043	0.433255269	0.69928401	0.599045346	0.575178998	0.670644391	0.744630072	0.758949881	0.778042959	0.754176611	0.76372315	0.782816229	0.775656325	0.806682578	0.794749403	0.688340143	0.00120311
T59	0.758418741	0.777452416	0.754026354	0.740849195	0.752562225	0.786237189	0.754026354	0.358711567	0.467057101	0.473304473	0.659356725	0.62079063	0.580029369	0.726207906	0.755490483	0.749633968	0.773060029	0.748169839	0.742313324	0.737920937	0.786237189	0.780380673	0.7715959	0.697992721	0.001390697
T60	0.795	0.78	0.84079602	0.671641791	0.810945274	0.791044776	0.701492537	0.333333333	0.547263682	0.50990099	0.655172414	0.60591133	0.567164179	0.57	0.765	0.765	0.785	0.75	0.755	0.83	0.845	0.85	0.835	0.71128984	0.001036011
T36	0.783825816	0.732919255	0.788819876	0.787267081	0.802795031	0.813664596	0.714285714	0.335403727	0.461180124	0.464447806	0.656346749	0.633126935	0.596573209	0.703416149	0.785714286	0.790372671	0.781055901	0.777950311	0.745341615	0.798136646	0.813664596	0.807453416	0.804043546	0.712078481	0.090739698
T17	0.819861432	0.807159353	0.815242494	0.807159353	0.800230947	0.809468822	0.775981524	0.333718245	0.493071594	0.4543379	0.695150115	0.620092379	0.59837963	0.76416185	0.794219653	0.815028902	0.812716763	0.816184971	0.783815029	0.81734104	0.83583815	0.83699422	0.823121387	0.736055468	0.002413554
T54	0.863128492	0.849162011	0.864714086	0.841004184	0.834030683	0.842398884	0.821478382	0.358437936	0.49790795	0.484268126	0.717451524	0.647222222	0.633704735	0.788005579	0.831241283	0.831241283	0.825662483	0.825662483	0.818688982	0.825662483	0.846582985	0.856345886	0.846582985	0.763068941	0.003095159
T62	0.8538163	0.862871928	0.879844961	0.864341085	0.830749354	0.861757106	0.861757106	0.363049096	0.474160207	0.459183673	0.737451737	0.661518662	0.63963964	0.759689922	0.824289406	0.834625323	0.830749354	0.843669251	0.841085271	0.84496124	0.857881137	0.852713178	0.838501292	0.76862201	0.000202732
