bcr_sample_barcode	bcr_portion_barcode	bcr_portion_uuid	LCE	date_of_creation	is_ffpe	portion_number	weight
TCGA-67-6217-01A	TCGA-67-6217-01A-11	f200becd-6d80-419c-b063-35652f3d14e1	[Not Available]	2011-03-10	NO	11	25.00
TCGA-67-6217-10A	TCGA-67-6217-10A-01	04e07f69-b422-4761-b24f-6e95315a59a5	[Not Available]	2011-03-24	NO	01	[Not Available]
TCGA-73-4658-01A	TCGA-73-4658-01A-01	564cf3fe-7be6-4097-9ab7-5d5d10c6ede2	[Not Available]	2010-07-21	NO	01	139.00
TCGA-73-4658-11A	TCGA-73-4658-11A-01	4da18413-de79-4ac8-be22-38f78a610fe4	[Not Available]	2010-07-21	NO	01	102.00
TCGA-73-4676-01A	TCGA-73-4676-01A-01	e152b519-e9d4-4fd8-af37-48d1d6da4e8c	[Not Available]	2010-07-21	NO	01	120.00
TCGA-73-4676-11A	TCGA-73-4676-11A-01	b0dfa22c-106e-4942-a464-12c37506a421	[Not Available]	2010-07-21	NO	01	97.00
TCGA-75-5122-01A	TCGA-75-5122-01A-01	f9d33c2f-58a8-4c55-a951-929a3a43d31e	[Not Available]	2010-09-08	NO	01	126.00
TCGA-75-5122-10A	TCGA-75-5122-10A-01	5fdf1069-9b59-472a-8ef9-26c201f52baa	[Not Available]	2010-12-01	NO	01	[Not Available]
TCGA-75-5125-01A	TCGA-75-5125-01A-01	6bb96ba0-620d-4c34-add9-a8f661525506	[Not Available]	2010-09-08	NO	01	124.00
TCGA-75-5125-10A	TCGA-75-5125-10A-01	a05d6725-ae5d-4e96-9fbf-833871a376fb	[Not Available]	2010-09-15	NO	01	[Not Available]
TCGA-75-5126-01A	TCGA-75-5126-01A-01	0dfa673d-5102-4820-b94e-dd94efb114e3	[Not Available]	2010-09-08	NO	01	126.00
TCGA-75-5126-10A	TCGA-75-5126-10A-01	2045ff51-59f1-4888-9f9a-34e7ce9c1a94	[Not Available]	2010-12-01	NO	01	[Not Available]
TCGA-75-6203-01A	TCGA-75-6203-01A-11	54d2d0ea-00d1-4483-9cdd-739f4504f852	[Not Available]	2011-03-10	NO	11	35.00
TCGA-75-6203-10A	TCGA-75-6203-10A-01	996e2403-a92b-47a7-ab14-813af6a3f231	[Not Available]	2011-03-18	NO	01	[Not Available]
TCGA-75-6205-01A	TCGA-75-6205-01A-11	fc1587ec-ee54-4718-8929-5d610340d3eb	[Not Available]	2011-03-10	NO	11	36.00
TCGA-75-6205-10A	TCGA-75-6205-10A-01	8176970b-8f00-4542-b145-8b865752885f	[Not Available]	2011-03-18	NO	01	[Not Available]
TCGA-75-6206-01A	TCGA-75-6206-01A-11	dddce804-129b-4997-a942-70a7a9a556ad	[Not Available]	2011-03-10	NO	11	31.00
TCGA-75-6206-10A	TCGA-75-6206-10A-01	3485b5f9-2e7c-47d5-adfb-550eae6002d8	[Not Available]	2011-03-18	NO	01	[Not Available]
TCGA-75-6207-01A	TCGA-75-6207-01A-11	33527b66-0236-43b4-a694-6ba304d41aa7	[Not Available]	2011-03-10	NO	11	31.00
TCGA-75-6207-10A	TCGA-75-6207-10A-01	5e5f4c7c-345c-430b-bbeb-e16d738d967b	[Not Available]	2011-03-18	NO	01	[Not Available]
TCGA-75-6211-01A	TCGA-75-6211-01A-11	88b413e4-d1c3-4300-aabf-f8d8fb5f3884	[Not Available]	2011-03-10	NO	11	30.00
TCGA-75-6211-10A	TCGA-75-6211-10A-01	b69c816b-8ed7-4fda-afa1-114eb8fc02a1	[Not Available]	2011-03-18	NO	01	[Not Available]
TCGA-75-6212-01A	TCGA-75-6212-01A-11	dbe81b27-febb-49c6-b643-23574f7c3354	[Not Available]	2011-03-10	NO	11	27.00
TCGA-75-6212-10A	TCGA-75-6212-10A-01	e1a40673-f56c-4cf3-99df-831d3bfb2aeb	[Not Available]	2011-03-18	NO	01	[Not Available]
TCGA-86-6562-01A	TCGA-86-6562-01A-11	4c8847d9-3c5d-4dc2-914e-663b9be39d38	[Not Available]	2011-04-06	NO	11	34.00
TCGA-86-6562-10A	TCGA-86-6562-10A-01	15a4e72c-bece-49aa-98f9-ffa0aba99def	[Not Available]	2011-04-15	NO	01	[Not Available]
TCGA-05-4396-01A	TCGA-05-4396-01A-21	819d531f-85e4-45c0-9cbb-798b23ce1dd4	[Not Available]	2011-04-12	NO	21	37.00
TCGA-05-4396-10A	TCGA-05-4396-10A-01	c587cd6d-e43b-414f-b244-89d726f0544c	[Not Available]	2010-07-19	NO	01	[Not Available]
TCGA-05-4405-01A	TCGA-05-4405-01A-21	bf520617-9372-4c4d-9dd8-aaae2a6026de	[Not Available]	2011-04-12	NO	21	36.00
TCGA-05-4405-10A	TCGA-05-4405-10A-01	a25bd2d2-f24f-4781-9db9-5669825e6340	[Not Available]	2010-07-28	NO	01	[Not Available]
TCGA-05-4410-01A	TCGA-05-4410-01A-21	b18c2719-c053-419f-aa33-ce6c3a880551	[Not Available]	2011-04-12	NO	21	27.00
TCGA-05-4410-10A	TCGA-05-4410-10A-01	bb915f72-aaf2-41fa-8c9c-42b3bb429536	[Not Available]	2010-10-06	NO	01	[Not Available]
TCGA-05-4415-01A	TCGA-05-4415-01A-22	fa322482-2162-4a8a-a730-dbc15297d851	[Not Available]	2011-05-19	NO	22	33.00
TCGA-05-4415-10A	TCGA-05-4415-10A-01	0f0cbb4f-f84e-4fdf-914b-3709ac8e9391	[Not Available]	2010-07-28	NO	01	[Not Available]
TCGA-05-4417-01A	TCGA-05-4417-01A-22	8fcb4231-4cb3-4778-a8fb-a7f54d4087af	[Not Available]	2011-05-25	NO	22	35.00
TCGA-05-4417-10A	TCGA-05-4417-10A-01	72f1cdb1-2db5-4b50-9e9b-b1266deb16ab	[Not Available]	2010-07-28	NO	01	[Not Available]
TCGA-05-4424-01A	TCGA-05-4424-01A-22	cb2227e2-9d22-4486-b357-78cc5be9476c	[Not Available]	2011-05-25	NO	22	29.00
TCGA-05-4424-10A	TCGA-05-4424-10A-01	3b4ac0e9-4424-4f66-95b9-afc247a49623	[Not Available]	2010-07-29	NO	01	[Not Available]
TCGA-05-4427-01A	TCGA-05-4427-01A-21	0ff41054-2a77-4baf-b70d-09148f4b1c7a	[Not Available]	2011-04-12	NO	21	34.00
TCGA-05-4427-10A	TCGA-05-4427-10A-01	7630bb11-90bf-40c1-a14b-ce0b59555857	[Not Available]	2010-07-29	NO	01	[Not Available]
TCGA-05-4433-01A	TCGA-05-4433-01A-22	528f3610-6fe7-413b-898d-2be317b3d2dc	[Not Available]	2011-05-25	NO	22	40.00
TCGA-05-4433-10A	TCGA-05-4433-10A-01	225ab120-0134-41ca-bc1c-11ed6bfe85e0	[Not Available]	2010-08-04	NO	01	[Not Available]
TCGA-44-6774-01A	TCGA-44-6774-01A-21	3c00dee6-ca72-4e18-9fb1-ce90e63c9d22	[Not Available]	2011-05-23	NO	21	37.00
TCGA-44-6774-10A	TCGA-44-6774-10A-01	832bfc2f-ae0a-408e-b51c-8183f9e6fad6	[Not Available]	2011-05-26	NO	01	[Not Available]
TCGA-44-6774-11A	TCGA-44-6774-11A-01	ed09cc5b-4827-4633-bf05-532a483d89dd	[Not Available]	2011-05-23	NO	01	54.00
TCGA-44-6775-01A	TCGA-44-6775-01A-11	adeb7364-ca34-42c7-86b6-8950d7aff19d	[Not Available]	2011-05-23	NO	11	38.00
TCGA-44-6775-01A	TCGA-44-6775-01A-21	a115905e-255d-4f45-bf77-9da36f9dff7e	[Not Available]	2012-11-30	NO	21	33.00
TCGA-44-6775-01A	TCGA-44-6775-01A-31	1A8A1144-DB03-4B2C-ADBD-BF813A2912E6	[Not Available]	2013-03-07	NO	31	30.00
TCGA-44-6775-01C	TCGA-44-6775-01C-02	A301DBD6-F68E-405C-9565-4D966176A8B5	[Not Available]	2013-02-15	YES	02	1.00
TCGA-44-6775-10A	TCGA-44-6775-10A-01	79bbcf90-26ec-47b2-83b6-4c869a237756	[Not Available]	2011-05-26	NO	01	[Not Available]
TCGA-44-6775-11A	TCGA-44-6775-11A-01	00681e0f-3fda-4ef0-8f73-d12a8ad8de9b	[Not Available]	2011-05-23	NO	01	55.00
TCGA-44-6775-11A	TCGA-44-6775-11A-21	D096B48B-70FA-40B4-B06A-CA3203CAA559	[Not Available]	2013-02-14	NO	21	30.00
TCGA-44-6775-11A	TCGA-44-6775-11A-31	3E937AB8-14BC-4A62-96F5-2297D8E9D17E	[Not Available]	2013-02-25	NO	31	30.00
TCGA-44-6776-01A	TCGA-44-6776-01A-11	9cee300a-f576-4925-ae0f-cced746055a8	[Not Available]	2011-05-23	NO	11	40.00
TCGA-44-6776-10A	TCGA-44-6776-10A-01	91450e76-66d9-46aa-ae0b-59a2a3b0cc1b	[Not Available]	2011-05-26	NO	01	[Not Available]
TCGA-44-6776-11A	TCGA-44-6776-11A-01	a46b1c2a-9e43-4378-9240-e9257014c350	[Not Available]	2011-05-23	NO	01	71.00
TCGA-44-6777-01A	TCGA-44-6777-01A-11	9a5cb716-b608-4069-a016-b8384046551a	[Not Available]	2011-05-23	NO	11	28.00
TCGA-44-6777-10A	TCGA-44-6777-10A-01	bbdf32bb-33ae-4505-af65-3c01e8becaae	[Not Available]	2011-05-27	NO	01	[Not Available]
TCGA-44-6777-11A	TCGA-44-6777-11A-01	70797bb6-1aaf-4230-afc3-5808f2107df1	[Not Available]	2011-05-23	NO	01	69.00
TCGA-44-6778-01A	TCGA-44-6778-01A-11	8218f0b4-1cae-4847-a3fe-8e35686bf6b2	[Not Available]	2011-05-23	NO	11	29.00
TCGA-44-6778-10A	TCGA-44-6778-10A-01	d1fcf762-f7b3-4b1d-99a1-db7f8c654099	[Not Available]	2011-05-26	NO	01	[Not Available]
TCGA-44-6778-11A	TCGA-44-6778-11A-01	817e1d16-62f8-4a86-933f-e1eff5460395	[Not Available]	2011-05-23	NO	01	70.00
TCGA-44-6779-01A	TCGA-44-6779-01A-11	b1147fee-b744-490e-a8e9-b0409f06ff46	[Not Available]	2011-05-23	NO	11	27.00
TCGA-44-6779-10A	TCGA-44-6779-10A-01	06e3c68d-bf28-4d73-9d09-d334355305a4	[Not Available]	2011-05-27	NO	01	[Not Available]
TCGA-44-6779-11A	TCGA-44-6779-11A-01	816f0317-b954-4dce-933d-434d64afa2e5	[Not Available]	2011-05-23	NO	01	55.00
TCGA-49-4487-01A	TCGA-49-4487-01A-21	93e68f21-0268-4c51-aa75-9e06b64d98e4	[Not Available]	2011-04-12	NO	21	40.00
TCGA-49-4487-11A	TCGA-49-4487-11A-01	619f3a78-0605-4039-bb51-a78368b8a4f3	[Not Available]	2010-06-29	NO	01	151.00
TCGA-49-4490-01A	TCGA-49-4490-01A-21	ad18341a-8aa2-4d9c-8657-489f2139fb68	[Not Available]	2011-04-12	NO	21	33.00
TCGA-49-4490-11A	TCGA-49-4490-11A-01	a8380984-82de-4ad0-b51c-9d9593cfef9d	[Not Available]	2010-06-29	NO	01	104.00
TCGA-49-4512-01A	TCGA-49-4512-01A-21	d479ced1-5eaa-4906-88db-8d74ccaef3f8	[Not Available]	2011-04-12	NO	21	31.00
TCGA-49-4512-11A	TCGA-49-4512-11A-01	286cd71d-fb62-4728-aea7-98ba2cd872ac	[Not Available]	2010-06-29	NO	01	105.00
TCGA-49-4514-01A	TCGA-49-4514-01A-21	7b9c115c-1be7-441e-ae0a-8633212a2297	[Not Available]	2011-04-12	NO	21	33.00
TCGA-49-4514-11A	TCGA-49-4514-11A-01	0cd35f18-7769-4714-b031-b687f8892cab	[Not Available]	2010-06-29	NO	01	105.00
TCGA-49-6742-01A	TCGA-49-6742-01A-11	3152a694-1436-4c84-b73c-d435cbab13b6	[Not Available]	2011-05-09	NO	11	29.00
TCGA-49-6742-11A	TCGA-49-6742-11A-01	01b94ffd-1fa4-40bf-8e77-ca105b83aeb0	[Not Available]	2011-05-09	NO	01	60.00
TCGA-49-6743-01A	TCGA-49-6743-01A-11	c96d6b01-18d5-4634-aa1a-d1e2c1f513c0	[Not Available]	2011-05-09	NO	11	38.00
TCGA-49-6743-11A	TCGA-49-6743-11A-01	5292247c-9f49-4b8b-99ea-babf33c7ab61	[Not Available]	2011-05-09	NO	01	70.00
TCGA-49-6744-01A	TCGA-49-6744-01A-11	56e4c386-ca72-47c6-b8e7-8c7d5685c6e9	[Not Available]	2011-05-09	NO	11	38.00
TCGA-49-6744-11A	TCGA-49-6744-11A-01	6c184756-c336-4fb2-a3d8-3b335d31276f	[Not Available]	2011-05-09	NO	01	55.00
TCGA-49-6745-01A	TCGA-49-6745-01A-11	765d39b2-7092-4ee5-b6ab-639249ae15bb	[Not Available]	2011-05-09	NO	11	26.00
TCGA-49-6745-11A	TCGA-49-6745-11A-01	2d34e559-e246-4e11-bce7-27442a54f90c	[Not Available]	2011-05-09	NO	01	70.00
TCGA-49-6767-01A	TCGA-49-6767-01A-11	7b5ad20d-4d7c-4761-816e-8a8515edb6f9	[Not Available]	2011-05-17	NO	11	40.00
TCGA-49-6767-11A	TCGA-49-6767-11A-01	d781abdf-660e-4b25-9c64-cd086727f5cd	[Not Available]	2011-05-17	NO	01	64.00
TCGA-50-5044-01A	TCGA-50-5044-01A-21	67204a6e-cdcf-4019-b3e8-abccce463214	[Not Available]	2011-04-12	NO	21	32.00
TCGA-50-5044-10A	TCGA-50-5044-10A-01	db2edcd0-5c50-4e2c-8e02-78e98f4e5af3	[Not Available]	2010-09-17	NO	01	[Not Available]
TCGA-50-5051-01A	TCGA-50-5051-01A-21	c636f357-80f0-4f76-b4b3-327c89c7adc8	[Not Available]	2011-04-12	NO	21	29.00
TCGA-50-5051-10A	TCGA-50-5051-10A-01	b2fd716f-215d-4eae-9171-a3a6ab59ef72	[Not Available]	2010-09-17	NO	01	[Not Available]
TCGA-50-5072-01A	TCGA-50-5072-01A-21	61f726ff-4150-4586-9c53-022b20d3dbd9	[Not Available]	2011-04-12	NO	21	33.00
TCGA-50-5072-10A	TCGA-50-5072-10A-01	e8bbc37d-5ddd-401c-b706-b7558cbb6aa6	[Not Available]	2010-09-17	NO	01	[Not Available]
TCGA-50-6590-01A	TCGA-50-6590-01A-12	9da520c7-0a10-4e5c-8c3b-b2a908d19b2a	[Not Available]	2011-04-13	NO	12	26.00
TCGA-50-6590-11A	TCGA-50-6590-11A-01	cb4ae565-acce-4ecc-9bff-e57a516be624	[Not Available]	2011-04-13	NO	01	33.00
TCGA-50-6595-01A	TCGA-50-6595-01A-12	af141b2d-2ff4-4014-9af4-3236054b7c54	[Not Available]	2011-04-13	NO	12	30.00
TCGA-50-6595-11A	TCGA-50-6595-11A-01	a5f40ffc-310f-434e-bd5f-27b4eee83a92	[Not Available]	2011-04-13	NO	01	35.00
TCGA-50-6597-01A	TCGA-50-6597-01A-11	766fe73e-5031-4cfa-a2bf-ce9f60e2879c	[Not Available]	2011-04-13	NO	11	35.00
TCGA-50-6597-10A	TCGA-50-6597-10A-01	50f8ef93-86c1-49ad-b6eb-95e6c1b07b83	[Not Available]	2011-04-27	NO	01	[Not Available]
TCGA-55-6642-01A	TCGA-55-6642-01A-11	5ed8c252-8ce1-4550-b064-cf436ce1fd22	[Not Available]	2011-04-21	NO	11	25.00
TCGA-55-6642-11A	TCGA-55-6642-11A-01	28348453-25ea-40a5-9fd1-057527f1c61b	[Not Available]	2011-04-21	NO	01	33.00
TCGA-55-6712-01A	TCGA-55-6712-01A-11	e1bd436b-a988-4739-804a-59e0a777ed3e	[Not Available]	2011-05-02	NO	11	33.00
