bcr_sample_barcode	bcr_analyte_barcode	experimental_protocol_type	protocol_file_name	protocol_name
TCGA-50-5933-11A	TCGA-50-5933-11A-01H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-5933-11A	TCGA-50-5933-11A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-5933-11A	TCGA-50-5933-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5935-01A	TCGA-50-5935-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-5935-01A	TCGA-50-5935-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-5935-01A	TCGA-50-5935-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-50-5935-01A	TCGA-50-5935-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5935-11A	TCGA-50-5935-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-5935-11A	TCGA-50-5935-11A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-5935-11A	TCGA-50-5935-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5941-01A	TCGA-50-5941-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-5941-01A	TCGA-50-5941-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-5941-01A	TCGA-50-5941-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-50-5941-01A	TCGA-50-5941-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5941-10A	TCGA-50-5941-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-50-5941-10A	TCGA-50-5941-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5942-01A	TCGA-50-5942-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-5942-01A	TCGA-50-5942-01A-21H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-5942-01A	TCGA-50-5942-01A-21R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-50-5942-01A	TCGA-50-5942-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5942-10A	TCGA-50-5942-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-50-5942-10A	TCGA-50-5942-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5944-01A	TCGA-50-5944-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-5944-01A	TCGA-50-5944-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-5944-01A	TCGA-50-5944-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-50-5944-01A	TCGA-50-5944-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5944-10A	TCGA-50-5944-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-50-5944-10A	TCGA-50-5944-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5946-01A	TCGA-50-5946-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-5946-01A	TCGA-50-5946-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-5946-01A	TCGA-50-5946-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-50-5946-01A	TCGA-50-5946-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5946-02A	TCGA-50-5946-02A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-5946-02A	TCGA-50-5946-02A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-5946-02A	TCGA-50-5946-02A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-50-5946-02A	TCGA-50-5946-02A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-50-5946-10A	TCGA-50-5946-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-50-5946-10A	TCGA-50-5946-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-50-6591-01A	TCGA-50-6591-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-6591-01A	TCGA-50-6591-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-6591-01A	TCGA-50-6591-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-50-6591-01A	TCGA-50-6591-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-50-6591-11A	TCGA-50-6591-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-6591-11A	TCGA-50-6591-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-50-6592-01A	TCGA-50-6592-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-6592-01A	TCGA-50-6592-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-6592-01A	TCGA-50-6592-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-50-6592-01A	TCGA-50-6592-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-50-6592-11A	TCGA-50-6592-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-6592-11A	TCGA-50-6592-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-50-6593-01A	TCGA-50-6593-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-6593-01A	TCGA-50-6593-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-6593-01A	TCGA-50-6593-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-50-6593-01A	TCGA-50-6593-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-50-6593-11A	TCGA-50-6593-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-6593-11A	TCGA-50-6593-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-50-6594-01A	TCGA-50-6594-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-6594-01A	TCGA-50-6594-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-50-6594-01A	TCGA-50-6594-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-50-6594-01A	TCGA-50-6594-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-50-6594-11A	TCGA-50-6594-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-50-6594-11A	TCGA-50-6594-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-55-6543-01A	TCGA-55-6543-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-55-6543-01A	TCGA-55-6543-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-55-6543-01A	TCGA-55-6543-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-55-6543-01A	TCGA-55-6543-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-55-6543-10A	TCGA-55-6543-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-55-6543-10A	TCGA-55-6543-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-67-4679-01B	TCGA-67-4679-01B-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-67-4679-01B	TCGA-67-4679-01B-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-67-4679-01B	TCGA-67-4679-01B-01T	Total RNA	[Not Available]	[Not Available]
TCGA-67-4679-01B	TCGA-67-4679-01B-01W	Repli-G	[Not Available]	[Not Available]
TCGA-67-4679-10A	TCGA-67-4679-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-67-4679-10A	TCGA-67-4679-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-67-6215-01A	TCGA-67-6215-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-67-6215-01A	TCGA-67-6215-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-67-6215-01A	TCGA-67-6215-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-67-6215-01A	TCGA-67-6215-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-67-6215-10A	TCGA-67-6215-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-67-6215-10A	TCGA-67-6215-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-67-6216-01A	TCGA-67-6216-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-67-6216-01A	TCGA-67-6216-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-67-6216-01A	TCGA-67-6216-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-67-6216-01A	TCGA-67-6216-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-67-6216-10A	TCGA-67-6216-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-67-6216-10A	TCGA-67-6216-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-67-6217-01A	TCGA-67-6217-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-67-6217-01A	TCGA-67-6217-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-67-6217-01A	TCGA-67-6217-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-67-6217-01A	TCGA-67-6217-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-67-6217-10A	TCGA-67-6217-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-67-6217-10A	TCGA-67-6217-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-73-4658-01A	TCGA-73-4658-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-73-4658-01A	TCGA-73-4658-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-73-4658-01A	TCGA-73-4658-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-73-4658-01A	TCGA-73-4658-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-73-4658-11A	TCGA-73-4658-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-73-4658-11A	TCGA-73-4658-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-73-4676-01A	TCGA-73-4676-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-73-4676-01A	TCGA-73-4676-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-73-4676-01A	TCGA-73-4676-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-73-4676-01A	TCGA-73-4676-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-73-4676-11A	TCGA-73-4676-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-73-4676-11A	TCGA-73-4676-11A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-73-4676-11A	TCGA-73-4676-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-75-5122-01A	TCGA-75-5122-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-75-5122-01A	TCGA-75-5122-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-75-5122-01A	TCGA-75-5122-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-75-5122-01A	TCGA-75-5122-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-75-5122-10A	TCGA-75-5122-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-75-5122-10A	TCGA-75-5122-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-75-5125-01A	TCGA-75-5125-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-75-5125-01A	TCGA-75-5125-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-75-5125-01A	TCGA-75-5125-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-75-5125-01A	TCGA-75-5125-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-75-5125-10A	TCGA-75-5125-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-75-5125-10A	TCGA-75-5125-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-75-5126-01A	TCGA-75-5126-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-75-5126-01A	TCGA-75-5126-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-75-5126-01A	TCGA-75-5126-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-75-5126-01A	TCGA-75-5126-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-75-5126-10A	TCGA-75-5126-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-75-5126-10A	TCGA-75-5126-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-75-6203-01A	TCGA-75-6203-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-75-6203-01A	TCGA-75-6203-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-75-6203-01A	TCGA-75-6203-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-75-6203-01A	TCGA-75-6203-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-75-6203-10A	TCGA-75-6203-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
