	Category
TCGA.51.4080.01	tumor
TCGA.66.2765.01	tumor
TCGA.49.4506.11	para
TCGA.18.3411.01	tumor
TCGA.49.4486.11	para
TCGA.46.3766.01	tumor
TCGA.17.Z024.01	tumor
TCGA.43.2578.01	tumor
TCGA.55.1595.01	tumor
TCGA.33.4532.01	tumor
TCGA.66.2787.01	tumor
TCGA.05.4397.01	tumor
TCGA.43.3394.01	tumor
TCGA.49.4494.11	para
TCGA.21.1071.01	tumor
TCGA.66.2753.01	tumor
TCGA.44.3919.01	tumor
TCGA.17.Z042.01	tumor
TCGA.66.2773.01	tumor
TCGA.49.4510.01	tumor
TCGA.38.4627.01	tumor
TCGA.21.1078.01	tumor
TCGA.22.0944.01	tumor
TCGA.49.4507.01	tumor
TCGA.44.3919.11	para
TCGA.21.1070.01	tumor
TCGA.18.3409.11	para
TCGA.66.2757.01	tumor
TCGA.67.3773.01	tumor
TCGA.67.3772.01	tumor
TCGA.60.2724.01	tumor
TCGA.17.Z061.01	tumor
TCGA.66.2780.01	tumor
TCGA.44.2656.01	tumor
TCGA.17.Z001.01	tumor
TCGA.66.2734.01	tumor
TCGA.05.4402.01	tumor
TCGA.18.3411.11	para
TCGA.66.2792.11	para
TCGA.17.Z054.01	tumor
TCGA.18.3415.01	tumor
TCGA.60.2726.01	tumor
TCGA.66.2755.01	tumor
TCGA.60.2708.01	tumor
TCGA.18.3414.01	tumor
TCGA.18.3416.01	tumor
TCGA.17.Z006.01	tumor
TCGA.73.4659.01	tumor
TCGA.34.2609.01	tumor
TCGA.17.Z039.01	tumor
TCGA.44.3398.01	tumor
TCGA.17.Z017.01	tumor
TCGA.66.2783.01	tumor
TCGA.22.1017.01	tumor
TCGA.51.4081.01	tumor
TCGA.66.2744.01	tumor
TCGA.33.4538.01	tumor
TCGA.60.2722.01	tumor
TCGA.33.4533.01	tumor
TCGA.44.2665.01	tumor
TCGA.60.2716.01	tumor
TCGA.21.1079.01	tumor
TCGA.60.2710.01	tumor
TCGA.17.Z046.01	tumor
TCGA.17.Z038.01	tumor
TCGA.46.3769.01	tumor
TCGA.18.4083.01	tumor
TCGA.18.3408.01	tumor
TCGA.17.Z052.01	tumor
TCGA.22.1002.01	tumor
TCGA.38.4630.11	para
TCGA.73.4677.11	para
TCGA.35.3621.01	tumor
TCGA.66.2768.01	tumor
TCGA.05.4398.01	tumor
TCGA.73.4668.01	tumor
TCGA.66.2769.01	tumor
TCGA.18.3421.01	tumor
TCGA.66.2788.01	tumor
TCGA.17.Z041.01	tumor
TCGA.66.2793.01	tumor
TCGA.18.3419.11	para
TCGA.55.1596.11	para
TCGA.66.2737.11	para
TCGA.66.2792.01	tumor
TCGA.18.3412.11	para
TCGA.05.4244.01	tumor
TCGA.34.2596.01	tumor
TCGA.38.4625.01	tumor
TCGA.17.Z059.01	tumor
TCGA.55.1592.01	tumor
TCGA.22.1016.01	tumor
TCGA.05.4418.01	tumor
TCGA.66.2786.01	tumor
TCGA.73.4662.01	tumor
TCGA.37.4133.01	tumor
TCGA.66.2789.11	para
TCGA.49.4506.01	tumor
TCGA.49.4501.01	tumor
TCGA.17.Z026.01	tumor
TCGA.21.1081.01	tumor
TCGA.21.1072.01	tumor
TCGA.37.4135.01	tumor
TCGA.18.3410.01	tumor
TCGA.35.4122.01	tumor
TCGA.64.1680.01	tumor
TCGA.17.Z060.01	tumor
TCGA.34.2600.01	tumor
TCGA.22.4594.01	tumor
TCGA.17.Z004.01	tumor
TCGA.66.2770.01	tumor
TCGA.64.1676.01	tumor
TCGA.35.4123.01	tumor
TCGA.60.2696.01	tumor
TCGA.38.4628.01	tumor
TCGA.44.2662.01	tumor
TCGA.66.2771.11	para
TCGA.17.Z056.01	tumor
TCGA.21.1075.01	tumor
TCGA.66.2781.01	tumor
TCGA.66.2754.01	tumor
TCGA.55.1595.11	para
TCGA.66.2791.11	para
TCGA.66.2756.01	tumor
TCGA.38.4629.01	tumor
TCGA.17.Z023.01	tumor
TCGA.49.4507.11	para
X13.LN	para
X15.LN	para
X21.LN	para
X23.LN	para
X24.LN	para
X44.LN	para
X46.LN	para
X56.LN	para
X68.LN	para
X71.LN	para
X77.LN	para
X100.LN	para
X113.LN	para
X115.LN	para
X116.LN	para
X119.LN	para
X127.LN	para
X140.LN	para
X141.LN	para
X142.LN	para
X146.LN	para
X202.LN	para
X204.LN	para
X205.LN	para
X211.LN	para
X224.LN	para
X226.LN	para
X233.LN	para
X234.LN	para
X244.LN	para
X245.LN	para
X268.LN	para
X286.LN	para
X307.LN	para
X528.LN	para
X554.LN	para
X587.LN	para
X615.LN	para
X621.LN	para
X622.LN	para
X723.LN	para
X759.LN	para
X778.LN	para
X889.LN	para
X900.LN	para
X901.LN	para
X924.LN	para
X986.LN	para
X10001.LN	normal
X10004.LN	normal
X10008.LN	normal
X10013.LN	normal
