CHR	arm	gene	dmr.no	dmr.start	dmr.end	dmr.size	dmr.core.start	dmr.core.end	dmr.core.size	X01_AVG	X11_AVG	deltaBeta	dmr.p	dmr.p.rank
17	q	ABCC3	43	48712171	48712267	97	48712194	48712219	26	0.0510648187828377	0.328455190784848	0.27739037200201	2.71658092204717e-28	1
17	q	GPRC5C	44	72428214	72428370	157	72428287	72428367	81	0.0667891249768197	0.27954605418205	0.21275692920523	1.24184093857023e-06	39
18	p	ENOSF1	45	712722	712746	25	712731	712737	7	0.0565485234570862	0.169028165455177	0.11247964199809	2.81998842052748e-10	19
18	p	TGIF1	46	3452269	3452365	97	3452302	3452359	58	0.0556000267698052	0.209312584820524	0.153712558050719	9.03215273426634e-14	12
18	q	GATA6	47	19749456	19749588	133	19749504	19749540	37	0.0536163219367615	0.207503093588235	0.153886771651473	2.55575678593133e-08	30
18	q	GATA6	48	19780446	19780728	283	19780587	19780728	142	0.853942554517208	0.502617605019572	-0.351324949497636	8.27669843644472e-10	20
18	q	FAM59A	49	30050284	30050380	97	30050326	30050338	13	0.0556577156629882	0.260888840437638	0.20523112477465	2.41725994927036e-12	15
19	q	CYP2S1	50	41698879	41698933	55	41698906	41698931	26	0.0902595717321958	0.321283135609136	0.23102356387694	2.76877431029064e-09	23
20	p	BMP2	51	6748701	6748728	28	6748710	6748719	10	0.101524276958406	0.298113571696675	0.19658929473827	6.55429239630248e-06	43
22	q	ARHGAP8	52	45148281	45148331	51	45148285	45148319	35	0.0991133911722032	0.273199319094185	0.174085927921982	1.85668190290455e-07	33
