	Category
X616..232.lungtumortissue.Signal	3
X617..234.lungtumortissue.Signal	3
X618..243.lungtumortissue.Signal	3
X619.390_mas.lungtumortissue.Signal	3
X620..440.lungtumortissue.Signal	3
X1146.Lung.398SCC.lungtumortissue.Signal	3
X1608.4644T.lungtumortissue.Signal	3
X1609.4645T.lungtumortissue.Signal	3
X1610.4648T.lungtumortissue.Signal	3
X1611.4652T.lungtumortissue.Signal	3
X1612.4653T.lungtumortissue.Signal	3
X1613.4654T.lungtumortissue.Signal	3
X1614.6008T.lungtumortissue.Signal	3
X1615.6220T.lungtumortissue.Signal	3
X1616.6338T.lungtumortissue.Signal	3
X1617.6499T.lungtumortissue.Signal	3
X1618.6501T.lungtumortissue.Signal	3
X1619.6512T.lungtumortissue.Signal	3
X622.H1395wt.lungcellline.Signal	3
X623.H441wt.lungcellline.Signal	3
X624.H1155wt.lungcellline.Signal	3
X625.CALU3wt.lungcellline.Signal	3
X626.H23KO.lungcellline.Signal	3
X627.A427KO.lungcellline.Signal	3
X628.H522KO.lungcellline.Signal	3
X629.A549KO.lungcellline.Signal	3
X631.H2126KO.lungcellline.Signal	3
X990.H1299.lungcellline.Signal	3
TCGA.60.2713.01	3
TCGA.17.Z049.01	3
TCGA.38.4626.01	3
TCGA.17.Z029.01	3
TCGA.66.2777.01	3
TCGA.17.Z040.01	3
TCGA.46.3768.01	3
TCGA.18.3412.01	3
TCGA.66.2794.01	3
TCGA.05.4420.01	3
TCGA.17.Z037.01	3
TCGA.17.Z033.01	3
TCGA.17.Z010.01	3
TCGA.22.4604.01	3
TCGA.17.Z019.01	3
TCGA.55.1596.01	3
TCGA.33.4547.01	3
TCGA.05.4395.01	3
TCGA.46.3765.01	3
TCGA.05.4430.01	3
TCGA.17.Z030.01	3
TCGA.21.1082.01	3
TCGA.49.4486.01	3
TCGA.60.2725.01	3
TCGA.17.Z062.01	3
TCGA.18.3407.01	3
TCGA.37.3783.01	3
TCGA.17.Z036.01	3
TCGA.17.Z048.01	3
TCGA.17.Z012.01	3
TCGA.46.3767.01	3
TCGA.18.3419.01	3
TCGA.66.2795.01	3
TCGA.22.4596.01	3
TCGA.05.4249.01	3
TCGA.37.4130.01	3
TCGA.60.2698.01	3
TCGA.34.2605.01	3
TCGA.22.1011.01	3
TCGA.67.3771.01	3
TCGA.64.1677.01	3
TCGA.21.1076.01	3
TCGA.17.Z011.01	3
TCGA.17.Z058.01	3
TCGA.17.Z050.01	3
TCGA.60.2715.01	3
TCGA.66.2727.01	3
TCGA.37.3789.01	3
TCGA.37.4129.01	3
TCGA.18.4086.01	3
TCGA.66.2790.01	3
TCGA.60.2721.01	3
TCGA.44.2655.01	3
TCGA.43.2581.01	3
TCGA.17.Z044.01	3
TCGA.44.2657.01	3
TCGA.17.Z031.01	3
TCGA.38.4630.01	3
TCGA.22.4607.01	3
TCGA.17.Z003.01	3
TCGA.60.2720.01	3
TCGA.67.3774.01	3
TCGA.17.Z005.01	3
TCGA.17.Z025.01	3
TCGA.05.4382.01	3
TCGA.66.2758.01	3
TCGA.17.Z008.01	3
TCGA.17.Z051.01	3
TCGA.05.4422.01	3
TCGA.49.4505.01	3
TCGA.17.Z009.01	3
TCGA.60.2723.01	3
TCGA.51.4079.01	3
TCGA.66.2785.01	3
TCGA.73.4666.01	3
TCGA.22.0940.01	3
TCGA.73.4677.01	3
TCGA.17.Z013.01	3
TCGA.37.4132.01	3
TCGA.22.4595.01	3
TCGA.73.4675.01	3
TCGA.44.3918.01	3
TCGA.49.4494.01	3
TCGA.22.4591.01	3
TCGA.34.2608.01	3
TCGA.05.4432.01	3
TCGA.17.Z053.01	3
TCGA.60.2707.01	3
TCGA.17.Z032.01	3
TCGA.66.2767.01	3
TCGA.44.4112.01	3
TCGA.17.Z000.01	3
TCGA.17.Z015.01	3
TCGA.60.2719.01	3
TCGA.17.Z045.01	3
TCGA.22.1012.01	3
TCGA.17.Z002.01	3
TCGA.18.3406.01	3
TCGA.60.2711.01	3
TCGA.60.2695.01	3
TCGA.66.2778.01	3
TCGA.17.Z034.01	3
TCGA.17.Z035.01	3
TCGA.17.Z007.01	3
TCGA.22.1000.01	3
TCGA.17.Z014.01	3
TCGA.34.2604.01	3
TCGA.66.2766.01	3
TCGA.55.1594.01	3
TCGA.44.2661.01	3
TCGA.44.2659.01	3
TCGA.21.1077.01	3
TCGA.66.2742.01	3
TCGA.17.Z020.01	3
TCGA.17.Z027.01	3
TCGA.60.2706.01	3
TCGA.05.4250.01	3
TCGA.43.3920.01	3
TCGA.37.3792.01	3
TCGA.66.2791.01	3
TCGA.22.1005.01	3
TCGA.44.2666.01	3
TCGA.44.3396.01	3
TCGA.66.2771.01	3
TCGA.66.2789.01	3
TCGA.66.2759.01	3
TCGA.21.1083.01	3
TCGA.05.4403.01	3
TCGA.66.2737.01	3
TCGA.35.3615.01	3
TCGA.17.Z047.01	3
TCGA.66.2782.01	3
TCGA.17.Z018.01	3
TCGA.66.2763.01	3
TCGA.56.1622.01	3
TCGA.66.2800.01	3
TCGA.44.2668.01	3
TCGA.64.1678.01	3
TCGA.60.2712.01	3
TCGA.17.Z021.01	3
TCGA.05.4434.01	3
TCGA.17.Z043.01	3
TCGA.17.Z016.01	3
TCGA.18.3409.01	3
TCGA.05.4426.01	3
TCGA.21.1080.01	3
TCGA.60.2714.01	3
TCGA.37.4141.01	3
TCGA.73.4670.01	3
TCGA.17.Z028.01	3
TCGA.17.Z022.01	3
TCGA.05.4389.01	3
TCGA.51.4080.01	3
TCGA.66.2765.01	3
TCGA.18.3411.01	3
TCGA.46.3766.01	3
TCGA.17.Z024.01	3
TCGA.43.2578.01	3
TCGA.55.1595.01	3
TCGA.33.4532.01	3
TCGA.66.2787.01	3
TCGA.05.4397.01	3
TCGA.43.3394.01	3
TCGA.21.1071.01	3
TCGA.66.2753.01	3
TCGA.44.3919.01	3
TCGA.17.Z042.01	3
TCGA.66.2773.01	3
TCGA.49.4510.01	3
TCGA.38.4627.01	3
TCGA.21.1078.01	3
TCGA.22.0944.01	3
TCGA.49.4507.01	3
TCGA.21.1070.01	3
TCGA.66.2757.01	3
TCGA.67.3773.01	3
TCGA.67.3772.01	3
TCGA.60.2724.01	3
TCGA.17.Z061.01	3
TCGA.66.2780.01	3
TCGA.44.2656.01	3
TCGA.17.Z001.01	3
TCGA.66.2734.01	3
TCGA.05.4402.01	3
TCGA.17.Z054.01	3
TCGA.18.3415.01	3
TCGA.60.2726.01	3
TCGA.66.2755.01	3
TCGA.60.2708.01	3
TCGA.18.3414.01	3
TCGA.18.3416.01	3
TCGA.17.Z006.01	3
TCGA.73.4659.01	3
TCGA.34.2609.01	3
TCGA.17.Z039.01	3
TCGA.44.3398.01	3
TCGA.17.Z017.01	3
TCGA.66.2783.01	3
TCGA.22.1017.01	3
TCGA.51.4081.01	3
TCGA.66.2744.01	3
TCGA.33.4538.01	3
TCGA.60.2722.01	3
TCGA.33.4533.01	3
TCGA.44.2665.01	3
TCGA.60.2716.01	3
TCGA.21.1079.01	3
TCGA.60.2710.01	3
TCGA.17.Z046.01	3
TCGA.17.Z038.01	3
TCGA.46.3769.01	3
TCGA.18.4083.01	3
TCGA.18.3408.01	3
TCGA.17.Z052.01	3
TCGA.22.1002.01	3
TCGA.35.3621.01	3
TCGA.66.2768.01	3
TCGA.05.4398.01	3
TCGA.73.4668.01	3
TCGA.66.2769.01	3
TCGA.18.3421.01	3
TCGA.66.2788.01	3
TCGA.17.Z041.01	3
TCGA.66.2793.01	3
TCGA.66.2792.01	3
TCGA.05.4244.01	3
TCGA.34.2596.01	3
TCGA.38.4625.01	3
TCGA.17.Z059.01	3
TCGA.55.1592.01	3
TCGA.22.1016.01	3
TCGA.05.4418.01	3
TCGA.66.2786.01	3
TCGA.73.4662.01	3
TCGA.37.4133.01	3
TCGA.49.4506.01	3
TCGA.49.4501.01	3
TCGA.17.Z026.01	3
TCGA.21.1081.01	3
TCGA.21.1072.01	3
TCGA.37.4135.01	3
TCGA.18.3410.01	3
TCGA.35.4122.01	3
TCGA.64.1680.01	3
TCGA.17.Z060.01	3
TCGA.34.2600.01	3
TCGA.22.4594.01	3
TCGA.17.Z004.01	3
TCGA.66.2770.01	3
TCGA.64.1676.01	3
TCGA.35.4123.01	3
TCGA.60.2696.01	3
TCGA.38.4628.01	3
TCGA.44.2662.01	3
TCGA.17.Z056.01	3
TCGA.21.1075.01	3
TCGA.66.2781.01	3
TCGA.66.2754.01	3
TCGA.66.2756.01	3
TCGA.38.4629.01	3
TCGA.17.Z023.01	3
