	chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
Block_21	2	63991864	83331519	0.00663435531646409	12.9502615777379	20	145692	147643	1952	10151	1.82962529274005e-06	0.002	0.000111607142857143	0.032
Block_22	11	9588017.5	21655847	0.00655877682779025	10.7957466585427	148	45223	46868	1646	3186	1.82962529274005e-06	0.002	0.000225043911007026	0.048
Block_23	1	227458499	238891857	0.00659603106152042	10.7647226924013	19	25383	27014	1632	5331	1.82962529274005e-06	0.002	0.000226873536299766	0.048
Block_24	20	68226	14035984	0.00698416450070818	9.80576695899428	212	163551	164954	1404	2607	1.82962529274005e-06	0.002	0.000323843676814988	0.066
Block_25	20	14307665	26208455	0.00681455388055918	8.17065010279046	212	164959	166157	1199	2607	1.82962529274005e-06	0.002	0.000609265222482436	0.09
Block_26	10	76429273	82687542	0.00690631871815909	7.16875882944914	146	36055	37092	1038	2864	1.82962529274005e-06	0.002	0.000850775761124122	0.102
Block_27	19	28237585.5	36681534	0.0069253282486309	6.50288322546441	211	134375	135313	939	3560	1.82962529274005e-06	0.002	0.00103739754098361	0.112
Block_28	9	37337906	38749225	0.00833846231646885	1.66769246329377	125	282087	282286	200	767	1.82962529274005e-06	0.002	0.018151712529274	0.48
Block_29	17	67310842	81028488.5	0.00629983926140641	16.5307782219304	201	122894	125517	2624	5556	3.65925058548009e-06	0.004	5.12295081967213e-05	0.02
Block_30	2	230899944	243017952	0.00632481022710108	15.5590331586686	37	161091	163550	2460	6271	3.65925058548009e-06	0.004	6.22072599531616e-05	0.024
Block_31	1	752595.5	12404945	0.00642833322441913	15.0744414112629	2	2	2346	2345	2446	3.65925058548009e-06	0.004	6.22072599531616e-05	0.024
Block_32	21	35125477	48076701	0.00622151222877759	13.4944600242186	218	172843	175011	2169	3066	3.65925058548009e-06	0.004	9.51405152224824e-05	0.028
Block_33	17	4316632	18291699	0.00637016549757646	12.829513312119	197	114630	116643	2014	2907	3.65925058548009e-06	0.004	0.000120755269320843	0.032
Block_34	19	37820849	52430471.5833333	0.00633734948187037	12.3578314896472	211	135366	137315	1950	3560	3.65925058548009e-06	0.004	0.000133562646370023	0.032
Block_35	2	214492601.5	230745820	0.00624480599874217	11.990027517585	37	159150	161069	1920	6271	5.48887587822014e-06	0.004	0.000151858899297424	0.038
Block_36	17	34824867	44292800.5	0.00629374704012621	10.9448261027795	200	118223	119961	1739	1739	5.48887587822014e-06	0.004	0.000219555035128806	0.046
Block_37	3	121571338	132182603	0.00647807680948837	10.8313444254646	50	191885	193556	1672	2947	3.65925058548009e-06	0.004	0.000225043911007026	0.048
Block_38	13	100927476	114325774.5	0.00647322983636145	9.99466686734208	170	81328	82871	1544	2686	3.65925058548009e-06	0.004	0.000307377049180328	0.064
Block_39	1	199813079	205919667	0.00668291246570166	8.8882735793832	17	21413	22742	1330	1707	3.65925058548009e-06	0.004	0.000473872950819672	0.074
Block_40	7	43776313	56102759	0.00661497066264076	8.77806606932429	89	254514	255840	1327	6160	3.65925058548009e-06	0.004	0.000497658079625293	0.076
Block_41	7	511498	8036626	0.00669628029446143	7.92839586864233	89	249703	250886	1184	6160	3.65925058548009e-06	0.004	0.000673302107728337	0.092
Block_42	1	206588542	213143957	0.00662280827039623	6.4903521049883	19	22775	23754	980	5331	3.65925058548009e-06	0.004	0.00104288641686183	0.112
Block_43	11	6913866	9309745	0.00746543433532929	3.083224380491	148	44781	45193	413	3186	3.65925058548009e-06	0.004	0.0054230093676815	0.27
Block_44	1	149878582	170501326	0.00603038288285476	17.6268091665845	15	15720	18642	2923	5036	5.48887587822014e-06	0.006	3.8422131147541e-05	0.016
Block_45	17	44785029	67260128	0.00588449158880196	17.2474448467786	201	119962	122892	2931	5556	7.31850117096019e-06	0.006	3.8422131147541e-05	0.016
Block_46	6	30449099.5	42540731	0.00617576470497952	14.0128101155985	74	236265	238533	2269	4853	5.48887587822014e-06	0.006	8.05035128805621e-05	0.024
Block_47	14	68756581	82334811	0.00615058215359465	12.9346742690096	175	87540	89642	2103	8200	7.31850117096019e-06	0.006	0.000111607142857143	0.032
Block_48	12	123085927	133459685.333333	0.00636416400321442	9.46987603678306	164	73393	74880	1488	7249	7.31850117096019e-06	0.006	0.00037507318501171	0.07
Block_49	16	18796329	29312066	0.00643613886980394	8.41203350283375	190	105980	107286	1307	1307	5.48887587822014e-06	0.006	0.000567183840749414	0.088
Block_50	10	69408542	76081947	0.00625782701273511	7.95369813318632	146	34752	36022	1271	2864	1.46370023419204e-05	0.006	0.000671472482435597	0.092
Block_51	15	85897871	94913754	0.00630478228716559	7.77379656007517	186	101387	102619	1233	2546	1.46370023419204e-05	0.006	0.000702576112412178	0.092
Block_52	2	24849219	32472001	0.00633264639921343	7.63717155745139	20	141102	142307	1206	10151	1.46370023419204e-05	0.006	0.000733679742388759	0.096
Block_53	7	94430497.3333333	102113633.5	0.0064498555668916	6.43050600019092	100	258172	259168	997	1478	1.09777517564403e-05	0.006	0.00106850117096019	0.116
Block_54	7	152009504	158994533	0.00643470041463715	6.31244110675905	105	264037	265017	981	1749	1.09777517564403e-05	0.006	0.00112156030444965	0.12
Block_55	15	72335267	76055886	0.00700290846284238	4.32079452157375	185	99438	100054	617	6498	7.31850117096019e-06	0.006	0.00259806791569087	0.196
Block_56	1	106175242	111496688	0.00696834251554744	3.9510502063154	7	13868	14434	567	1629	7.31850117096019e-06	0.006	0.00312865925058548	0.21
Block_57	4	186328673	190882213	0.00705312149806135	3.29380773959465	64	214179	214645	467	1155	9.14812646370023e-06	0.006	0.00470396662763466	0.26
Block_58	10	83174032	88865204	0.00710886663262935	3.0994658518264	146	37105	37540	436	2864	1.28073770491803e-05	0.006	0.00537360948477752	0.27
Block_59	15	25604463	28560101	0.00751449880152457	1.89365369798419	181	93474	93725	252	414	9.14812646370023e-06	0.006	0.014252781030445	0.438
Block_60	11	23811425	25116123	0.00958987163509414	0.412364480309048	149	46934	46976	43	108	5.48887587822014e-06	0.006	0.145828454332553	0.934
Block_61	6	159076043	170889206	0.00622127122698705	9.86693616600146	87	248076	249661	1586	6089	1.28073770491803e-05	0.008	0.000318354800936768	0.064
Block_62	17	3075	4299458.5	0.00641404151841901	5.72132503442976	197	113737	114628	892	2907	2.19555035128806e-05	0.008	0.00139966334894614	0.138
Block_63	11	31663468	36491738	0.00657154015374511	5.08637207899872	150	47417	48190	774	2406	1.82962529274005e-05	0.008	0.00179852166276347	0.166
Block_64	18	54684851	58360796	0.00653264465132503	3.64521571543937	206	129595	130152	558	3013	2.74443793911007e-05	0.008	0.00378366510538642	0.232
Block_65	3	63856759	68316096	0.00676739015087123	3.47843853754781	39	187863	188376	514	4197	2.01258782201405e-05	0.008	0.00415690866510539	0.246
Block_66	11	25755179	28112183	0.00725851223386167	1.53880459357867	150	46979	47190	212	2406	2.19555035128806e-05	0.008	0.0209858021077283	0.514
Block_67	5	34441281	35671212	0.00765854800519629	1.34790444891455	66	217556	217731	176	1122	1.28073770491803e-05	0.008	0.0265277371194379	0.546
Block_68	16	17027900	18166238	0.00742751432049287	1.20325731991984	189	105818	105979	162	172	1.64666276346604e-05	0.008	0.0323203307962529	0.584
Block_69	13	56227000	57329666	0.0150855952569071	0.150855952569071	166	78874	78883	10	20	9.14812646370023e-06	0.008	0.381094481850117	1
Block_70	12	46737123	61372252	0.00586823146241957	12.4289142374047	161	64395	66512	2118	2681	1.28073770491803e-05	0.01	0.000128073770491803	0.032
Block_71	16	85741	15141130.5	0.00594647441418484	11.8334840842278	187	103623	105612	1990	1990	1.09777517564403e-05	0.01	0.000164666276346604	0.038
Block_72	1	51410840	63932041	0.0061622867013812	10.2540450710983	3	8919	10582	1664	9593	1.28073770491803e-05	0.01	0.000281762295081967	0.064
Block_73	4	43882	8729533	0.0061479679612349	9.78756499428596	53	200596	202187	1592	1592	1.46370023419204e-05	0.01	0.000327502927400468	0.066
Block_74	3	10137413	16494032	0.00615738947825631	7.84451419529854	38	181384	182657	1274	3566	2.19555035128806e-05	0.01	0.000682450234192037	0.092
Block_75	15	94985190	102513445	0.00618456145927277	6.16600777489495	186	102626	103622	997	2546	3.11036299765808e-05	0.01	0.00116730093676815	0.124
Block_76	10	33171388	38715824	0.00649210904896041	3.82385222983768	137	32259	32847	589	2154	3.11036299765808e-05	0.01	0.00339212529274005	0.214
Block_77	2	120824940	123832232.5	0.00673657674992371	3.267239723713	32	150874	151358	485	1181	2.56147540983607e-05	0.01	0.00478264051522248	0.262
Block_78	2	172734891	176594963	0.00674149485891593	3.1752440785494	35	155360	155830	471	5305	3.11036299765808e-05	0.01	0.00506989168618267	0.27
Block_79	12	11306136	14124857	0.00675651362308532	2.90530085792669	158	61519	61948	430	4166	3.47628805620609e-05	0.01	0.00612741510538642	0.29
Block_80	17	25268976	27932877	0.0066420541688032	2.68338988419649	199	117029	117432	404	1194	4.93998829039813e-05	0.01	0.00719408665105386	0.318
Block_81	7	75123243	76235611	0.00724103018433071	1.14408276912425	97	256707	256864	158	158	2.92740046838407e-05	0.01	0.0349604800936768	0.612
Block_82	15	57199431	72206554	0.00581486101780685	15.6012721107758	185	96749	99431	2683	6498	1.28073770491803e-05	0.012	6.03776346604215e-05	0.024
Block_83	10	133620	17745975	0.00560518857298028	14.495017649727	136	28106	30691	2586	2588	1.28073770491803e-05	0.012	7.13553864168618e-05	0.024
Block_84	3	47783649	56711495	0.00608778996495712	7.61582524616135	39	185835	187085	1251	4197	2.92740046838407e-05	0.012	0.000740998243559719	0.096
Block_85	11	37643855	48388395.5	0.00611266271213769	6.98066081726124	150	48241	49382	1142	2406	3.29332552693208e-05	0.012	0.000907494145199063	0.104
Block_86	10	43079185	46094638	0.00680897090842094	2.47846541066522	138	32848	33211	364	371	4.20813817330211e-05	0.012	0.00848031323185012	0.342
Block_87	9	15100357	19202608	0.00695594406041255	1.96853216909675	123	280815	281097	283	750	3.65925058548009e-05	0.012	0.0132355093676815	0.428
Block_88	10	49396173	51053147	0.00685377677959725	1.90534994472803	142	33320	33597	278	278	5.85480093676815e-05	0.012	0.0140899443793911	0.434
Block_89	7	65196821.5	69355257	0.00687495791597773	1.78748905815421	95	255950	256209	260	462	5.85480093676815e-05	0.012	0.0159726288056206	0.456
Block_90	9	12554597	14883945	0.00719921456468266	1.33905390903097	123	280621	280806	186	750	3.11036299765808e-05	0.012	0.0268479215456674	0.546
Block_91	10	46976264	47138681	0.0121604655854118	0.389134898733176	139	33219	33250	32	32	1.09777517564403e-05	0.012	0.15600300058548	0.946
Block_92	10	94399893	114119952	0.00549787333583577	13.0794406659533	147	38225	40603	2379	6142	1.64666276346604e-05	0.014	0.000107947892271663	0.032
Block_93	7	18216902	33230762	0.00570019211583862	10.1406417740769	89	251551	253329	1779	6160	2.92740046838407e-05	0.014	0.000292740046838407	0.064
Block_94	19	277681	11918238	0.00603093446353446	8.48552479019298	208	131823	133229	1407	2503	2.92740046838407e-05	0.014	0.000552546838407494	0.086
Block_95	13	19478976	30646988	0.00603229861766094	7.37750120939933	165	74911	76133	1223	3958	3.47628805620609e-05	0.014	0.00080137587822014	0.102
Block_96	19	12572864	19887482	0.00602015159927976	5.99005084128336	208	133271	134265	995	2503	5.85480093676815e-05	0.014	0.00125695257611241	0.128
Block_97	18	44471411	54270189	0.00616015297814776	5.32237217311966	206	128688	129551	864	3013	4.93998829039813e-05	0.014	0.00164849238875878	0.156
Block_98	3	64070	10127560	0.00634218181555883	4.87713781616474	38	180614	181382	769	3566	3.8422131147541e-05	0.014	0.00199063231850117	0.176
Block_99	3	71409993	79378522	0.00635407729353266	3.97765238575145	40	188689	189314	626	960	4.75702576112412e-05	0.014	0.00307377049180328	0.21
Block_100	17	29684077	34479862	0.00625430045073052	3.80886897449489	199	117614	118222	609	1194	7.6844262295082e-05	0.014	0.00341408079625293	0.214
Block_101	18	2994807	9216721	0.00632807110162915	3.55004788801395	202	125726	126286	561	1409	5.85480093676815e-05	0.014	0.00399224238875878	0.24
Block_102	8	101138280	103274230	0.00655966964151408	2.62386785660563	116	274295	274694	400	2224	6.22072599531616e-05	0.014	0.00750695257611241	0.322
Block_103	9	222492	4980116	0.00654060587958453	2.47234902248295	118	279952	280329	378	641	6.76961358313817e-05	0.014	0.008502268735363	0.342
Block_104	4	140331396	143195360	0.00666316780099883	2.17885587092662	61	210562	210888	327	2259	6.95257611241218e-05	0.014	0.0108112558548009	0.38
Block_105	2	116098870	120529833	0.00678938048735095	1.98928848279383	32	150551	150843	293	1181	6.76961358313817e-05	0.014	0.0129921692037471	0.424
Block_106	13	57983725	60417145	0.00794425970696239	0.778537451282314	167	78890	78987	98	265	1.64666276346604e-05	0.014	0.0634953161592506	0.742
Block_107	11	189654	5735113	0.00602954830606369	5.71601179414838	148	43683	44630	948	3186	6.76961358313817e-05	0.016	0.00139966334894614	0.138
Block_108	4	180017315	186166182	0.00621753431654441	4.03517977143732	64	213491	214139	649	1155	7.50146370023419e-05	0.016	0.00297497072599532	0.21
Block_109	18	67848525	72394821	0.00672669636596408	1.89692837520187	207	130921	131202	282	1186	7.8673887587822e-05	0.016	0.0142180181498829	0.434
Block_110	2	98273086	110484609	0.00574905660597144	9.15249811670653	29	148483	150074	1592	1592	4.39110070257611e-05	0.018	0.000429961943793911	0.074
Block_111	3	35694283	47729063	0.00549063344492721	9.01012948312556	39	184192	185832	1641	4197	5.85480093676815e-05	0.018	0.000448258196721311	0.074
Block_112	1	213285062	225083887	0.00567182403871319	7.10679552050763	19	23769	25021	1253	5331	7.6844262295082e-05	0.018	0.000869072014051522	0.102
Block_113	12	208386.5	4719359	0.00589175612450569	5.53235900091085	158	59583	60521	939	4166	0.000104288641686183	0.018	0.00149114461358314	0.146
Block_114	15	77333203	82527367	0.00589187828246077	5.32036608906207	185	100174	101076	903	6498	0.000117096018735363	0.018	0.00165032201405152	0.156
Block_115	10	114526714	121216297	0.00591642299460656	5.3188642721513	147	40675	41573	899	6142	0.000109777517564403	0.018	0.00165032201405152	0.156
Block_116	4	15590578	26624784	0.0059545311277479	5.18044208114067	54	202654	203523	870	1466	0.000109777517564403	0.018	0.00173265515222482	0.162
Block_117	18	31253813	44392124	0.00594046399233956	5.04939439348862	206	127833	128682	850	3013	0.000109777517564403	0.018	0.00185158079625293	0.166
Block_118	6	133141956	139233859.5	0.00593201770851009	5.03628303452507	87	244889	245737	849	6089	0.000111607142857143	0.018	0.00186255854800937	0.168
Block_119	13	50011587	55827087	0.00627449261313925	3.39450050370833	165	78328	78868	541	3958	8.96516393442623e-05	0.018	0.00439110070257611	0.254
Block_120	2	149039973	154210954.5	0.0062703760447045	3.16026952653107	35	153185	153688	504	5305	9.87997658079625e-05	0.018	0.00511929156908665	0.27
Block_121	18	21683463	26775577	0.00652621219451537	1.9970209315217	204	127300	127605	306	676	9.87997658079625e-05	0.018	0.0128878805620609	0.42
Block_122	7	69387190	72385817	0.00692151196157861	1.38430239231572	95	256212	256411	200	462	6.58665105386417e-05	0.018	0.0253842213114754	0.538
Block_123	2	124202426.5	128017840	0.00707567938641116	1.37975748035018	33	151359	151553	195	518	4.75702576112412e-05	0.018	0.0254885099531616	0.54
Block_124	1	174841093	185177216	0.00555460114942851	7.49315695057906	15	19114	20462	1349	5036	9.33108899297424e-05	0.02	0.00077576112412178	0.098
Block_125	3	188223899	196570712	0.00557045233563941	7.13017898961845	52	199116	200395	1280	4139	9.51405152224824e-05	0.02	0.000863583138173302	0.102
Block_126	7	133598167	142046992	0.00561444676350741	6.50714379890509	103	261948	263106	1159	2121	0.000109777517564403	0.02	0.00103556791569087	0.112
Block_127	9	95156166	102684801	0.00569578232084151	5.71286966780404	132	284145	285147	1003	2462	0.000124414519906323	0.02	0.00140149297423888	0.138
Block_128	9	107503042	112790164	0.00607669269047726	3.08088319407197	135	285309	285815	507	4713	0.000166495901639344	0.02	0.00543398711943794	0.27
Block_129	3	170731763	174358461	0.00626378715930447	2.83123179600562	52	196988	197439	452	4139	0.000115266393442623	0.02	0.00641832552693208	0.292
Block_130	16	15534494.5	16289065	0.00679206445320481	1.32445256837494	188	105613	105807	195	195	0.000109777517564403	0.02	0.0273602166276347	0.55
Block_131	13	90661347.3333333	99976095	0.00584602869598664	5.15619730986022	170	80282	81163	882	2686	0.000129903395784543	0.022	0.00173997365339578	0.162
Block_132	12	4766720	9844326	0.00570452746655908	4.46664500631576	158	60526	61308	783	4166	0.000199429156908665	0.022	0.00240229800936768	0.19
Block_133	8	39541990	42713999	0.00603244169898367	2.85937736531826	109	269460	269933	474	4280	0.000199429156908665	0.022	0.00627195550351288	0.29
Block_134	18	9234276	12934735	0.00609307522173985	2.79062845155685	202	126288	126745	458	1409	0.000182962529274005	0.022	0.00665983606557377	0.298
Block_135	6	42734182	44800796	0.00631099452445083	2.54964178787814	74	238548	238951	404	4853	0.000118925644028103	0.022	0.0079680181498829	0.328
Block_136	8	80048524	80830968	0.0079795974218475	0.470796247889003	113	272646	272704	59	401	3.29332552693208e-05	0.022	0.124462090163934	0.904
Block_137	2	40987580	63155443	0.00497599257685759	11.6438226298468	20	143292	145631	2340	10151	4.75702576112412e-05	0.024	0.000181132903981265	0.044
Block_138	9	88142655	94942929	0.00586441496412901	4.00539542050012	132	283432	284114	683	2462	0.000188451405152225	0.024	0.00303717798594848	0.21
Block_139	11	90797970	95470242	0.00616972901168493	2.70851103612968	155	54180	54618	439	610	0.000151858899297424	0.024	0.00706235362997658	0.316
Block_140	22	17074109	20402637	0.00603234211623986	2.70248926807546	219	175012	175459	448	448	0.000214066159250585	0.024	0.00708247950819672	0.316
Block_141	8	95625068	99670844	0.00602765362809176	2.68833351812892	116	273730	274175	446	2224	0.000215895784543326	0.024	0.00716298302107728	0.318
Block_142	10	65264165	66793462	0.00777677874039691	0.552151290568181	145	34606	34676	71	752	3.8422131147541e-05	0.024	0.101613729508197	0.864
Block_143	15	38184354	49246758	0.00527296403701439	7.5877952492637	185	94591	96029	1439	6498	0.000128073770491803	0.026	0.000750146370023419	0.096
Block_144	5	102357262	119080642	0.00532099299597103	6.52353741306049	72	223241	224466	1226	8794	0.000155518149882904	0.026	0.00103007903981265	0.112
Block_145	5	55334016	58361600	0.00596923377792694	2.47723201783968	67	219195	219609	415	1316	0.000309206674473068	0.026	0.0084839724824356	0.342
Block_146	7	72753101.5	74124574	0.00634193252080506	1.87087009363749	96	256412	256706	295	295	0.000164666276346604	0.026	0.0146498097189696	0.44
Block_147	4	54173521	56284407	0.00659122922894077	1.46984411805379	59	205091	205313	223	587	0.000133562646370023	0.026	0.0228483606557377	0.522
Block_148	8	48945542	51576109	0.00652960376050167	1.46916084611288	111	270146	270370	225	354	0.000148199648711944	0.026	0.0228666569086651	0.522
Block_149	9	25614006	29349163	0.00685913971367279	0.967138699627863	124	281371	281511	141	149	0.000120755269320843	0.026	0.0457662470725995	0.656
Block_150	10	48317878	48660050	0.0080322624940585	0.409645387196984	141	33269	33319	51	51	4.75702576112412e-05	0.026	0.146986607142857	0.936
Block_151	11	98274667	106876839	0.00575673979836898	3.50585453720671	157	54782	55390	609	4801	0.000267125292740047	0.028	0.00408189402810304	0.244
Block_152	1	115519011.333333	120530024.5	0.00590942780073383	3.39792098542195	7	14922	15496	575	1629	0.000219555035128806	0.028	0.00437280444964871	0.252
Block_153	6	108349047	111627629	0.0061703885269438	2.40028113698114	86	242755	243143	389	1290	0.000181132903981265	0.028	0.00900358606557377	0.352
Block_154	2	112292903	115006731	0.00618207089241003	2.11426824520423	32	150178	150519	342	1181	0.000203088407494145	0.028	0.0114626024590164	0.386
Block_155	9	33932741	36329348	0.00642884492682531	1.66507083604776	125	281707	281965	259	767	0.000162836651053864	0.028	0.0181974531615925	0.48
Block_156	6	90994255.6666667	94164464	0.00683550643328378	0.943299887793162	81	241809	241946	138	989	0.000128073770491803	0.028	0.047564768735363	0.666
Block_157	8	190459	5028854	0.00587379460529557	3.06612078396429	106	265018	265539	522	522	0.000276273419203747	0.03	0.00547972775175644	0.274
Block_158	1	239414572.75	243671885	0.00601120277783459	2.19408901390962	19	27028	27392	365	5331	0.000296399297423888	0.03	0.0106575673302108	0.378
Block_159	11	28166711	31014010	0.00665466893828731	1.20449507783	150	47197	47377	181	2406	0.000159177400468384	0.03	0.0322599531615925	0.584
Block_160	15	24995914	25591536	0.00676545584601951	1.06217656782506	181	93315	93471	157	414	0.000139051522248244	0.03	0.0394503805620609	0.63
Block_161	15	29210512.75	30367722	0.00678720441761388	1.0248678670597	182	93726	93876	151	151	0.000142710772833724	0.03	0.0417246048009368	0.65
Block_162	3	179486280	188118309	0.00521038775292259	6.29414840553049	52	197891	199098	1208	4139	0.000203088407494145	0.032	0.00112521955503513	0.12
Block_163	4	81990874.5	86717940	0.00597547496682588	2.402140936664	60	206883	207284	402	4676	0.000318354800936768	0.032	0.00899809718969555	0.352
Block_164	3	132735976	135890809	0.00599853485819075	2.20746082781419	50	193595	193962	368	2947	0.000311036299765808	0.032	0.0105477898126464	0.376
Block_165	7	142326333.333333	143200862	0.00669651694987084	1.08483574587908	104	263107	263268	162	162	0.000161007025761124	0.032	0.0380818208430913	0.624
Block_166	4	132950266	137740488	0.0071733420298273	0.82493433343014	61	210226	210340	115	2259	7.13553864168618e-05	0.032	0.0585315427400468	0.72
Block_167	14	53454462	65899200	0.00494917404493267	8.25522230694769	175	85515	87182	1668	8200	0.000164666276346604	0.034	0.000592798594847775	0.09
Block_168	6	153017908.5	158564873	0.00544759408335387	4.14561909743229	87	247229	247989	761	6089	0.000345799180327869	0.034	0.00282860070257611	0.202
Block_169	2	177116896	183814805	0.00556700464430447	3.80226417205995	35	155852	156534	683	5305	0.000332991803278689	0.034	0.00342139929742389	0.216
Block_170	9	78193374.5	86373946	0.00570165140468611	2.98766533605552	132	282806	283329	524	2462	0.000371413934426229	0.034	0.00580174180327869	0.278
Block_171	4	106405834.5	115130096	0.00544671418425039	3.72010578784302	60	208635	209317	683	4676	0.00040251756440281	0.036	0.00359155444964871	0.226
Block_172	13	42780042	45062312	0.00606417122910163	1.92234227962522	165	77401	77717	317	3958	0.000296399297423888	0.036	0.0138356264637002	0.434
Block_173	4	43758625	43785049	-0.0196597353359691	0.0589792060079073	57	204685	204687	3	32	3.29332552693208e-05	0.036	0.635467286299766	1
Block_174	3	27546100	33433360	0.00549153601228182	3.43770154368842	38	183449	184074	626	3566	0.000411665690866511	0.038	0.00425204918032787	0.248
Block_175	4	69810056	75411607	0.0057820105992575	2.68863492865474	60	205822	206286	465	4676	0.00038422131147541	0.038	0.0071593237704918	0.318
Block_176	6	102170375	102516590	0.0125542505887483	0.138096756476232	84	242264	242274	11	304	3.8422131147541e-05	0.038	0.406050570843091	1
Block_177	4	123929654	132565902	0.00574099899440124	2.70401052636298	60	209755	210225	471	4676	0.00040068793911007	0.04	0.0070769906323185	0.316
Block_178	7	130478741	132468189.5	0.00600590510916547	1.75372429187632	103	261537	261828	292	2121	0.00038971018735363	0.04	0.016547131147541	0.462
Block_179	6	78953523	79523233	0.0110723861764267	0.1660857926464	81	240958	240972	15	989	4.0251756440281e-05	0.04	0.354802766393443	1
Block_180	3	88482884	89627094	0.00991789918246276	0.307454874656346	44	189583	189613	31	180	4.57406323185012e-05	0.042	0.202555986533958	0.978
Block_181	13	33450634	35963337	0.00613810432176603	1.47314503722385	165	76516	76755	240	3958	0.000334821428571429	0.044	0.0227513905152225	0.522
Block_182	5	37491131	38870649	0.00634466958331574	1.24355523832988	66	217932	218127	196	1122	0.000292740046838407	0.044	0.0304833870023419	0.572
Block_183	8	54801138	56591111	0.00669676928116667	0.917457391519833	112	270603	270739	137	2217	0.000188451405152225	0.044	0.0497932523419204	0.676
Block_184	15	23631875	24285115	0.00829188248174441	0.273632121897566	180	93279	93311	33	33	7.6844262295082e-05	0.044	0.228580576697892	0.99
Block_185	6	139430520	152723367.666667	0.00475702392449303	6.90244171443939	87	245756	247206	1451	6089	0.000354947306791569	0.046	0.000927620023419204	0.106
Block_186	3	57722951	63739210.5	0.00537954638882413	3.32993921468214	39	187232	187850	619	4197	0.000519613583138173	0.048	0.00460150761124122	0.258
Block_187	4	115484805	122822189	0.00585112934611946	1.96597946029614	60	209334	209669	336	4676	0.000470213700234192	0.048	0.0132647833723653	0.428
Block_188	10	30509045	31646208	0.00634092789107152	1.02088939046251	137	31940	32100	161	2154	0.000336651053864169	0.048	0.0419734338407494	0.65
Block_189	1	206196269	206330041	0.00960446888612096	0.307343004355871	18	22743	22774	32	32	5.67183840749415e-05	0.048	0.202634660421546	0.978
Block_190	1	83955790	87397554	0.00584636761242383	1.92930131209986	4	12041	12370	330	1796	0.000481191451990632	0.05	0.0137404859484778	0.432
Block_191	3	136278916	141199513	0.0055836576632223	2.65223739003059	50	193998	194472	475	2947	0.000539739461358314	0.052	0.00735875292740047	0.318
Block_192	16	29634191	31906326	0.00592697614923509	1.52915984650265	191	107287	107544	258	258	0.000530591334894614	0.052	0.0212016978922717	0.514
