	intercept	f	pval	qval	ID	CHR	MAPINFO	Infinium_Design_Type
cg17293845	0.224908677822269	38.71677780035	1.34335682232257e-07	0.00139076416330221	cg17293845	1	42186714	II
cg19429405	0.395403085271514	38.7042162238041	1.34805537527163e-07	0.00139076416330221	cg19429405	10	73497609	II
cg18991015	0.820572111939641	38.6824141541677	1.35625105319864e-07	0.00139076416330221	cg18991015	15	70532902	II
cg27250318	0.248175077548743	38.4017769945293	1.46651831910078e-07	0.00146336911296356	cg27250318	7	137775797	II
cg00274133	0.430919640155805	38.3556387759686	1.48552497017796e-07	0.00146336911296356	cg00274133	1	180579182	II
cg05932992	0.331710746811101	38.3058247192335	1.50633503459839e-07	0.00146336911296356	cg05932992	4	10065469	II
cg06483946	0.375665453924002	38.2428388868332	1.53308446118295e-07	0.00146367700872307	cg06483946	9	134511560	II
cg14657973	0.780803710593761	38.0683409282597	1.60981524093184e-07	0.00147508250176212	cg14657973	15	90605813	II
cg06649610	0.718230313009065	37.9808431148082	1.64978997789653e-07	0.00147508250176212	cg06649610	11	65405268	II
cg05988358	0.691034130067013	37.9531926289996	1.6626370636642e-07	0.00147508250176212	cg05988358	10	74082489	II
cg02330710	0.279640309464237	37.9189715175353	1.67868186976984e-07	0.00147508250176212	cg02330710	1	29072718	II
cg25476208	0.759681928536477	37.8980214891261	1.6885841787597e-07	0.00147508250176212	cg25476208	14	69434991	II
cg15159987	0.65944640065253	37.8332898115215	1.71956782210908e-07	0.00147508250176212	cg15159987	19	17003890	II
cg24371033	0.299643341592602	37.7786946189295	1.74616121403658e-07	0.00147508250176212	cg24371033	2	241807924	II
cg15298286	0.221993610662622	37.7529254701062	1.75886230792229e-07	0.00147508250176212	cg15298286	17	62075324	II
cg17268699	0.766235409796035	37.6806304639807	1.79501283704361e-07	0.00147508250176212	cg17268699	5	50219467	II
cg11624996	0.333556291706484	37.6483281419744	1.81141542284065e-07	0.00147508250176212	cg11624996	12	132274349	II
cg22146755	0.779416018747946	37.2494617823671	2.02736095758214e-07	0.00161803125649929	cg22146755	18	48677831	II
cg23244376	0.288824476502635	37.218178336073	2.04539779820078e-07	0.00161803125649929	cg23244376	14	20978810	II
cg14523734	0.730883604853534	36.9177754818597	2.22737744827225e-07	0.00173717124623781	cg14523734	7	128020864	II
cg17777792	0.330798217456736	36.8354846276895	2.28012378207248e-07	0.00174904900884922	cg17777792	1	226285808	II
cg08085793	0.234944243804439	36.7961753515806	2.30577898154318e-07	0.00174904900884922	cg08085793	10	3307759	II
cg26962791	0.194714680137581	36.5684726370312	2.46044244431741e-07	0.00183654105879602	cg26962791	21	34428765	II
cg10081074	0.721113213490382	36.4873879535938	2.51810235082099e-07	0.00183654105879602	cg10081074	4	1549954	II
cg24593458	0.848992476380234	36.4783998692653	2.52458019094027e-07	0.00183654105879602	cg24593458	16	89686942	II
cg18921653	0.283302390350514	36.4114434916723	2.57338786496081e-07	0.00183654105879602	cg18921653	11	63973423	II
cg00810583	0.371593147218216	36.3663680713067	2.60679986268035e-07	0.00183654105879602	cg00810583	2	169402543	II
cg15344180	0.373768163050612	36.348571102193	2.62011631028534e-07	0.00183654105879602	cg15344180	3	101942322	II
cg25332621	0.846662412279407	36.2507436635209	2.69459481720684e-07	0.00184710654178556	cg25332621	3	133429193	II
cg07371323	0.801407632417786	36.1364164973261	2.78444609170068e-07	0.00184710654178556	cg07371323	1	20249204	II
cg18798412	0.376664590017618	36.1305260666727	2.78915941332687e-07	0.00184710654178556	cg18798412	6	143117967	II
cg26603629	0.921637183413633	36.1291347212419	2.79027393687223e-07	0.00184710654178556	cg26603629	7	2752217	II
cg04555028	0.203231638693909	36.1145638255163	2.80197379755285e-07	0.00184710654178556	cg04555028	8	119200372	II
cg23005179	0.195504740496267	36.0647044719021	2.8423981533018e-07	0.00185171075661986	cg23005179	1	16121890	II
cg02632261	0.884862969981023	35.9532268921433	2.93500029219544e-07	0.00186996722594715	cg02632261	1	963599	II
cg19161559	0.484784049454009	35.9497231112508	2.937961394422e-07	0.00186996722594715	cg19161559	7	101465759	II
cg00774999	0.164832139723116	35.8077909714805	3.06057292684874e-07	0.00188984015101708	cg00774999	8	145115907	II
cg18335991	0.758323548462967	35.7738463746729	3.09068140224867e-07	0.00188984015101708	cg18335991	15	74724562	II
cg15460321	0.59476438056697	35.7370985042516	3.1236254278779e-07	0.00188984015101708	cg15460321	6	45447935	II
cg17310897	0.325795448708353	35.7205261653256	3.13860216036267e-07	0.00188984015101708	cg17310897	11	3147872	II
cg07346020	0.949431083622648	35.6395680033539	3.21285151361917e-07	0.00188984015101708	cg07346020	3	151617062	II
cg17825943	0.376669144315127	35.637122108426	3.21512307524964e-07	0.00188984015101708	cg17825943	19	49385429	II
cg08265548	0.859797898071491	35.6321506736199	3.21974533930656e-07	0.00188984015101708	cg08265548	11	71953422	II
cg04648494	0.805661408957302	35.6080917356521	3.24221278606261e-07	0.00188984015101708	cg04648494	2	74228640	II
cg12008118	0.793864034693642	35.4662809548415	3.37801347372293e-07	0.00189549538806871	cg12008118	10	88428429	II
cg16484021	0.258418879094782	35.382851730887	3.46067126519086e-07	0.00189549538806871	cg16484021	1	154978318	II
cg18068612	0.890465357421084	35.3497399903732	3.49406010294661e-07	0.00189549538806871	cg18068612	14	34935433	II
cg03903882	0.446953408102456	35.3123251287452	3.53219342874052e-07	0.00189549538806871	cg03903882	9	115915314	II
cg19179237	0.226546636965123	35.2998120293156	3.54504362854635e-07	0.00189549538806871	cg19179237	7	6333148	II
cg01191906	0.5962298242527	35.292580068545	3.55249267900567e-07	0.00189549538806871	cg01191906	11	93467127	II
cg03131587	0.327640267323475	35.2919838395567	3.55310753487092e-07	0.00189549538806871	cg03131587	3	171774986	II
cg17094718	0.876091138579832	35.2521327594189	3.59445671190218e-07	0.00189549538806871	cg17094718	13	24915099	II
cg04962892	0.21768734648574	35.1884580618398	3.66157164670976e-07	0.00189549538806871	cg04962892	2	58335178	II
cg01627405	0.249838108722221	35.1736052086376	3.67741447399111e-07	0.00189549538806871	cg01627405	19	2235127	II
cg17344770	0.324747758418935	35.1724618850029	3.67863696739357e-07	0.00189549538806871	cg17344770	19	3537694	II
cg09019636	0.602148055478492	35.1282233317708	3.72626637033968e-07	0.00189549538806871	cg09019636	2	62964766	II
cg13229648	0.42367538512278	35.0799067989973	3.77902317750093e-07	0.00189549538806871	cg13229648	16	27654375	II
cg10914744	0.353228629909875	35.0705743827766	3.78930284669116e-07	0.00189549538806871	cg10914744	18	22147011	II
cg01802136	0.517086602093339	35.0620362708747	3.79873317977969e-07	0.00189549538806871	cg01802136	15	41191151	II
cg15458313	0.311175420042748	34.9397808282426	3.93648624296407e-07	0.00189549538806871	cg15458313	6	24490221	II
cg26001125	0.737187418305557	34.8969794095033	3.98593832689353e-07	0.00189549538806871	cg26001125	22	24823050	II
cg16481332	0.327645955771114	34.8870055299836	3.99755496306134e-07	0.00189549538806871	cg16481332	7	2654053	II
cg27338400	0.73637963382904	34.8865551209416	3.99808039111738e-07	0.00189549538806871	cg27338400	22	23948572	II
cg08233120	0.197794803520734	34.8768800927976	4.00938430614207e-07	0.00189549538806871	cg08233120	15	75445585	II
cg01627252	0.361392710199284	34.8423393909807	4.05001342742009e-07	0.00189549538806871	cg01627252	2	31397283	II
cg13926182	0.315755562108808	34.8305061084116	4.06403126983475e-07	0.00189549538806871	cg13926182	16	55473360	II
cg27572072	0.36300016984954	34.8146706364033	4.08286950404323e-07	0.00189549538806871	cg27572072	7	958244	II
cg11554650	0.702826550958821	34.7872888839374	4.11565902645203e-07	0.00189549538806871	cg11554650	6	30653191	II
cg17214050	0.703631263714911	34.7675209254896	4.13950199625764e-07	0.00189549538806871	cg17214050	2	128398072	II
cg23564253	0.568822832012664	34.7655288718718	4.14191268731716e-07	0.00189549538806871	cg23564253	21	48023398	II
cg15320708	0.743660785734112	34.723962575266	4.19255032442599e-07	0.00190294228401812	cg15320708	11	118793835	II
cg19480933	0.772359943704366	34.6803714970354	4.24634998571794e-07	0.00191169162424232	cg19480933	17	55696708	II
cg04794883	0.181196588559264	34.5892759582124	4.36112099787665e-07	0.00194752756727057	cg04794883	12	57387400	II
cg02431562	0.69781387178716	34.5603153374216	4.39828367911956e-07	0.00194841016522785	cg02431562	2	96809970	II
cg03254865	0.447317415887469	34.5069633586681	4.46761448498584e-07	0.00196232333132985	cg03254865	5	70790128	II
cg18302534	0.911656889034628	34.4819088267014	4.50056590380171e-07	0.00196232333132985	cg18302534	20	50150320	II
cg03025465	0.342545200353179	34.3532444530279	4.67382996937353e-07	0.00197327065502495	cg03025465	3	141163704	II
cg08840298	0.242745003842017	34.3199388953003	4.71980628146696e-07	0.00197327065502495	cg08840298	9	124044927	II
cg02011919	0.483603131636563	34.2993412386308	4.74847636918899e-07	0.00197327065502495	cg02011919	14	69401069	II
cg05434837	0.305140473414997	34.2914697784297	4.75948073689642e-07	0.00197327065502495	cg05434837	11	12063890	II
cg23225345	0.230392217588158	34.227846510582	4.84941061359408e-07	0.00197327065502495	cg23225345	19	15321308	II
cg23133240	0.777010080518665	34.1879534764213	4.90670245469526e-07	0.00197327065502495	cg23133240	22	45593938	II
cg11661215	0.945807994165728	34.1830541919556	4.91378709721171e-07	0.00197327065502495	cg11661215	11	71247761	II
cg11034147	0.373419158920828	34.1710192721341	4.93123568295391e-07	0.00197327065502495	cg11034147	14	73929106	II
cg07214766	0.90805521209582	34.142054924968	4.9734949617829e-07	0.00197327065502495	cg07214766	15	101266757	II
cg01708765	0.216088052013283	34.1364525804872	4.9817124188639e-07	0.00197327065502495	cg01708765	2	38406306	II
cg26983737	0.405477652210456	34.1072363065783	5.02479701771251e-07	0.00197327065502495	cg26983737	11	66867771	II
cg06948588	0.861981911906023	34.0827258206371	5.06124236975112e-07	0.00197327065502495	cg06948588	6	109941310	II
cg16654458	0.908010254805734	34.0084219942139	5.17342423800197e-07	0.00197327065502495	cg16654458	10	104393942	II
cg17749033	0.281796691502488	33.9752695891925	5.22431210690011e-07	0.00197327065502495	cg17749033	17	80197412	II
cg19800505	0.306174143321307	33.9471737491051	5.26784769358178e-07	0.00197327065502495	cg19800505	10	99413214	II
cg07880727	0.270208375052102	33.9149175327052	5.31829773848856e-07	0.00197327065502495	cg07880727	7	47846424	II
cg18107759	0.298729107793885	33.9046052477486	5.33453286338179e-07	0.00197327065502495	cg18107759	11	73115433	II
cg01923724	0.406506807761222	33.9040915791858	5.3353429091338e-07	0.00197327065502495	cg01923724	1	58864209	II
cg13022415	0.393132272578774	33.899733529711	5.34222064482917e-07	0.00197327065502495	cg13022415	17	465530	II
cg16958707	0.471989609238895	33.8979736653786	5.34500063212167e-07	0.00197327065502495	cg16958707	3	171874269	II
cg13718870	0.878604317462665	33.8583179634759	5.40804557298179e-07	0.00197327065502495	cg13718870	9	136919144	II
cg16205534	0.246391283912833	33.8563266324445	5.4112318217966e-07	0.00197327065502495	cg16205534	10	62366669	II
cg27230882	0.292538861146699	33.8558970611511	5.41191941873255e-07	0.00197327065502495	cg27230882	1	110976749	II
cg23898555	0.759787035593109	33.8347270752328	5.44591869591547e-07	0.00197327065502495	cg23898555	4	103535522	II
cg20611272	0.699395227059876	33.7969640285589	5.50712190315385e-07	0.00197327065502495	cg20611272	8	103548145	II
cg05673767	0.345010176783333	33.7923887123013	5.51458585700891e-07	0.00197327065502495	cg05673767	2	217351940	II
cg00164123	0.757772087395013	33.7772103186334	5.53942295443632e-07	0.00197327065502495	cg00164123	19	13352274	II
cg14083146	0.393215433780594	33.758933286923	5.5694856850073e-07	0.00197327065502495	cg14083146	20	20694136	II
cg07048074	0.937729536523332	33.7476127585899	5.58819155333425e-07	0.00197327065502495	cg07048074	10	82172359	II
cg26633373	0.375089856303745	33.7436650052211	5.59473018815132e-07	0.00197327065502495	cg26633373	19	54377836	II
cg17440251	0.84316790748836	33.654806453042	5.74404050534167e-07	0.0020131102940042	cg17440251	22	44277244	II
cg27195146	0.25621103771311	33.6143724253732	5.81335513185049e-07	0.00201318335685255	cg27195146	2	145112798	II
cg18499684	0.311382328499759	33.605983478746	5.82784515828525e-07	0.00201318335685255	cg18499684	5	17186040	II
cg11131794	0.338080027385574	33.5912893459921	5.85331699530716e-07	0.00201318335685255	cg11131794	1	48224711	II
cg11223365	0.170186285525701	33.5389890128774	5.94492591655628e-07	0.00201836517039248	cg11223365	1	228074497	II
cg14817241	0.827232424722588	33.5372633129961	5.94797405037621e-07	0.00201836517039248	cg14817241	19	4851575	II
cg15986371	0.387021801446725	33.5201631377926	5.97826679974305e-07	0.00201836517039248	cg15986371	12	105135705	II
cg24606533	0.347036812445917	33.4832504956214	6.04420794868377e-07	0.00201836517039248	cg24606533	1	56973115	II
cg00456448	0.371587690873001	33.4796774991639	6.05063100496733e-07	0.00201836517039248	cg00456448	1	2109543	II
cg08910267	0.143263756321446	33.4131949489153	6.17145436774134e-07	0.00203458020023915	cg08910267	2	173044356	II
cg18981616	0.320286983708111	33.4125030097452	6.17272504982742e-07	0.00203458020023915	cg18981616	20	35317271	II
cg10417631	0.763046746116358	33.386027097731	6.22155152972896e-07	0.00203607802415387	cg10417631	4	1020012	II
cg20345286	0.768563647425184	33.3667364640269	6.25738105311872e-07	0.00203607802415387	cg20345286	11	11990019	II
cg15974066	0.776597292927437	33.3505679924191	6.28757768724728e-07	0.00203607802415387	cg15974066	20	61286778	II
cg02901923	0.67484595566107	33.3174064506908	6.34998837479145e-07	0.00204021901910813	cg02901923	8	30163341	II
cg18741222	0.859679838484683	33.3026875319432	6.37789676666495e-07	0.00204021901910813	cg18741222	16	31717524	II
cg25458983	0.283249547251956	33.2853691591841	6.41089814958566e-07	0.00204021901910813	cg25458983	2	30915872	II
cg16805334	0.876872692089981	33.2331489455058	6.51149193848149e-07	0.00206039089162489	cg16805334	10	103661276	II
cg06603775	0.305986084225383	33.1853325352712	6.60504935184187e-07	0.00206261660941171	cg06603775	9	126091888	II
cg23893332	0.375130679352672	33.1749608481615	6.62552729608466e-07	0.00206261660941171	cg23893332	14	94576048	II
cg02161655	0.873286414455578	33.1673051540954	6.64068531040397e-07	0.00206261660941171	cg02161655	2	219210053	II
cg08553606	0.35614844687983	33.1537963181935	6.66752079418682e-07	0.00206261660941171	cg08553606	5	118661639	II
cg19819715	0.335400020194862	33.1264305388403	6.72223114443113e-07	0.00206776833175621	cg19819715	2	74693344	II
cg26861460	0.315011174463728	33.0841527965285	6.80767783894045e-07	0.00206776833175621	cg26861460	22	44575455	II
cg18315858	0.263508565708431	33.0209330113971	6.93757348456095e-07	0.00206776833175621	cg18315858	7	128083732	II
cg03862381	0.244776864257357	33.0130285642726	6.95399570196181e-07	0.00206776833175621	cg03862381	19	18575773	II
cg19228043	0.35071205193958	33.0062112574579	6.96819190848951e-07	0.00206776833175621	cg19228043	7	134796026	II
cg01494712	0.650020875150228	32.9514568917187	7.08331534924612e-07	0.00206776833175621	cg01494712	1	203527545	II
cg00691026	0.18885024710038	32.9467184095911	7.09337121287833e-07	0.00206776833175621	cg00691026	15	85480551	II
cg05218035	0.71406899245649	32.9109148245355	7.16983634158159e-07	0.00206776833175621	cg05218035	15	25449617	II
cg25578124	0.424519802679967	32.9036031014592	7.18555749772281e-07	0.00206776833175621	cg25578124	9	124014937	II
cg13618516	0.365471834303909	32.8952459433459	7.20357059779853e-07	0.00206776833175621	cg13618516	17	79129078	II
cg23681017	0.514104791656464	32.8917333796509	7.21115568965681e-07	0.00206776833175621	cg23681017	4	681086	I
cg11473803	0.837738022096227	32.8505903726164	7.30062457553307e-07	0.00206776833175621	cg11473803	5	135990694	II
cg16368504	0.730745212174987	32.8247180053476	7.35747956075451e-07	0.00206776833175621	cg16368504	21	33415990	II
cg08819308	0.787262479802847	32.8176493562402	7.37309337514931e-07	0.00206776833175621	cg08819308	3	184352067	II
cg10161434	0.477080383572785	32.7986407703844	7.41525308971848e-07	0.00206776833175621	cg10161434	9	34325812	II
cg15725788	0.254668286313468	32.7817643953638	7.45289481698721e-07	0.00206776833175621	cg15725788	2	26232329	II
cg02619544	0.496396224807924	32.768001635518	7.48373960473824e-07	0.00206776833175621	cg02619544	1	223317256	II
cg01501366	0.551862178266697	32.7656646132306	7.48899052095803e-07	0.00206776833175621	cg01501366	9	36780124	II
cg20542145	0.814582925393084	32.7306914171834	7.56803124966967e-07	0.00206776833175621	cg20542145	1	36846897	II
cg06323155	0.945578249633754	32.7254694082673	7.57990777301785e-07	0.00206776833175621	cg06323155	3	50385077	II
cg02932364	0.802848284316542	32.716853486216	7.59954573694055e-07	0.00206776833175621	cg02932364	1	227981671	II
cg25343349	0.240784630571516	32.7154495828908	7.60275063745533e-07	0.00206776833175621	cg25343349	4	37603090	II
cg04281750	0.361505380580973	32.7093309588111	7.61673503724006e-07	0.00206776833175621	cg04281750	20	22392636	II
cg12605353	0.390018083906695	32.6974507997553	7.64396450737861e-07	0.00206776833175621	cg12605353	8	55083464	II
cg24699150	0.143016003715464	32.6874134162993	7.66704958498945e-07	0.00206776833175621	cg24699150	10	82251396	II
cg07495089	0.35416875202739	32.6766766064501	7.6918239394139e-07	0.00206776833175621	cg07495089	11	103933128	II
cg27437165	0.870353953085794	32.6764267824368	7.69240138374342e-07	0.00206776833175621	cg27437165	10	72462935	II
cg03902118	0.799595735291519	32.5870710709466	7.9018726896686e-07	0.00208656471313983	cg03902118	1	234868719	II
cg20109867	0.350635890570273	32.5851668016444	7.90640107928914e-07	0.00208656471313983	cg20109867	6	2818375	II
cg25139033	0.333818863751635	32.5480082066811	7.99530979053603e-07	0.00208656471313983	cg25139033	16	84844354	II
cg18157896	0.263718350207717	32.4892716915709	8.13798462600169e-07	0.00208656471313983	cg18157896	20	2795593	II
cg04087207	0.246747943355762	32.4850540388388	8.14833142803982e-07	0.00208656471313983	cg04087207	20	31669392	II
cg13131563	0.786730178460885	32.4847817275427	8.14899993799308e-07	0.00208656471313983	cg13131563	10	5423094	II
cg17901584	0.418573109309312	32.4844836085723	8.1497318701502e-07	0.00208656471313983	cg17901584	1	55353706	II
cg27493251	0.275667442667967	32.4659554631688	8.19535665935501e-07	0.00208656471313983	cg27493251	1	161211596	II
cg00700126	0.2674962796524	32.4381964483127	8.26421220231427e-07	0.00208656471313983	cg00700126	15	66131992	II
cg05769558	0.835611918829232	32.4160021130447	8.31969948192789e-07	0.00208656471313983	cg05769558	19	41728319	II
cg11197422	0.179571581327674	32.3877098351953	8.39099699731204e-07	0.00208656471313983	cg11197422	5	149319802	II
cg25025727	0.393965383257963	32.3639268731942	8.45142476433278e-07	0.00208656471313983	cg25025727	13	31338135	II
cg03335350	0.775781178764716	32.3489268027652	8.48977065186942e-07	0.00208656471313983	cg03335350	9	139298662	II
cg26500279	0.471059997250183	32.3251482207995	8.5509307286016e-07	0.00208656471313983	cg26500279	2	172102394	II
cg05667672	0.203343701446502	32.3008820841853	8.61381967098473e-07	0.00208656471313983	cg05667672	17	36482957	II
cg03653366	0.302050077612332	32.2880322674639	8.64731724376689e-07	0.00208656471313983	cg03653366	13	32687861	II
cg04688596	0.757206081527204	32.28315642785	8.66006343750596e-07	0.00208656471313983	cg04688596	19	8200860	II
cg00706469	0.898615311368914	32.2672359856917	8.70181880222101e-07	0.00208656471313983	cg00706469	2	70186726	II
cg08932277	0.837765732877576	32.2635703324888	8.71146266283547e-07	0.00208656471313983	cg08932277	15	74627589	II
cg04353769	0.309019934552117	32.2519413840782	8.74213091059302e-07	0.00208656471313983	cg04353769	11	59951557	II
cg08611431	0.295863036286742	32.2356786929637	8.7852087555679e-07	0.00208656471313983	cg08611431	7	23662143	II
cg09315181	0.845424553945024	32.2315399259927	8.79620720382601e-07	0.00208656471313983	cg09315181	1	201174240	II
cg01414487	0.803892831764388	32.194554431515	8.89513441246545e-07	0.00208656471313983	cg01414487	5	1910518	II
cg10673360	0.763317694900901	32.1830918264797	8.92602955001827e-07	0.00208656471313983	cg10673360	16	144410	II
cg12343619	0.418277476322192	32.1821298289156	8.92862751541522e-07	0.00208656471313983	cg12343619	1	234794046	II
cg12258752	0.221578068562508	32.1818132123752	8.92948274114095e-07	0.00208656471313983	cg12258752	9	134225386	II
cg05012126	0.257604077952149	32.1797492326231	8.93505993849418e-07	0.00208656471313983	cg05012126	7	158330155	II
cg07053114	0.312613231252247	32.1663406242734	8.97138085438655e-07	0.00208656471313983	cg07053114	10	129794994	I
