GLB1 (17 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
9409	PEX16	-1.52	0.134	1.52
55670	PEX26	-2.73	0.009	2.73
5190	PEX6	-2.09	0.041	2.09
5195	PEX14	-2.17	0.035	2.17
5191	PEX7	-1.79	0.08	1.79
GLB1 (17 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
2720	GLB1	4.4	6e-05	4.4
1743	DLST	-1.81	0.077	1.81
250	ALPP	0.86	0.396	0.86
55207	ARL8B	-1.3	0.199	1.3
3337	DNAJB1	-1.53	0.133	1.53
1583	CYP11A1	2.25	0.029	2.25
2990	GUSB	-2.46	0.017	2.46
9114	ATP6V0D1	-1.26	0.213	1.26
427	ASAH1	1.54	0.13	1.54
1588	CYP19A1	0.97	0.336	0.97
4758	NEU1	-1.96	0.056	1.96
79080	CCDC86	-1.79	0.079	1.79
251	ALPG	1.24	0.222	1.24
1728	NQO1	-1.38	0.175	1.38
1585	CYP11B2	0.44	0.659	0.44
2230	FDX1	-0.58	0.563	0.58
1584	CYP11B1	1.47	0.148	1.47
ENG (63 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
2022	ENG	3.99	2e-04	3.99
650	BMP2	-1.6	0.117	1.6
7040	TGFB1	-1.46	0.15	1.46
7042	TGFB2	-1.46	0.151	1.46
7049	TGFBR3	-1.42	0.162	1.42
7043	TGFB3	-1.52	0.136	1.52
2331	FMOD	0.9	0.371	0.9
4256	MGP	2.58	0.013	2.58
8425	LTBP4	2.29	0.027	2.29
5858	PZP	1.95	0.057	1.95
1361	CPB2	2.59	0.013	2.59
651	BMP3	-1.75	0.087	1.75
1490	CTGF	-1.47	0.147	1.47
64388	GREM2	-1.59	0.119	1.59
168667	BMPER	-1.65	0.105	1.65
1805	DPT	0.35	0.727	0.35
26585	GREM1	-2.17	0.035	2.17
3696	ITGB8	-1.3	0.199	1.3
11167	FSTL1	1.44	0.157	1.44
652	BMP4	1.67	0.102	1.67
9241	NOG	-0.95	0.346	0.95
656	BMP8B	-1.6	0.116	1.6
25928	SOSTDC1	0.75	0.46	0.75
25805	BAMBI	-1.58	0.12	1.58
654	BMP6	-1.22	0.229	1.22
8646	CHRD	2.02	0.049	2.02
57045	TWSG1	-1.71	0.093	1.71
7092	TLL1	-1.18	0.245	1.18
657	BMPR1A	-1.04	0.305	1.04
92	ACVR2A	-1.6	0.116	1.6
8200	GDF5	2.74	0.009	2.74
5654	HTRA1	-0.06	0.954	0.06
10468	FST	-0.97	0.338	0.97
655	BMP7	-1.67	0.1	1.67
83729	INHBE	1.91	0.062	1.91
26020	LRP10	-1.25	0.217	1.25
9350	CER1	-0.94	0.35	0.94
11063	SOX30	0.94	0.351	0.94
94	ACVRL1	-0.14	0.889	0.14
659	BMPR2	-2.88	0.006	2.88
2658	GDF2	1.14	0.261	1.14
392255	GDF6	-1.14	0.261	1.14
220388	CCDC89	1.99	0.053	1.99
729330	OC90	1.28	0.206	1.28
410	ARSA	-1.27	0.21	1.27
4342	MOS	-2.13	0.039	2.13
4009	LMX1A	-2.86	0.006	2.86
10461	MERTK	-2.25	0.029	2.25
2661	GDF9	0.98	0.331	0.98
83440	ADPGK	-2.21	0.032	2.21
4046	LSP1	-1.7	0.096	1.7
84967	LSM10	-1.6	0.117	1.6
134353	LSM11	-1.61	0.113	1.61
7884	SLBP	-0.79	0.432	0.79
26960	NBEA	-1.46	0.151	1.46
722	C4BPA	2.26	0.028	2.26
3626	INHBC	1.74	0.088	1.74
3625	INHBB	-0.92	0.365	0.92
130399	ACVR1C	-1.63	0.11	1.63
91	ACVR1B	-1.28	0.206	1.28
10220	GDF11	0.21	0.837	0.21
9392	TGFBRAP1	-0.98	0.333	0.98
5272	SERPINB9	-2.35	0.023	2.35
SERPINF2 (13 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
5345	SERPINF2	3.77	4e-04	3.77
2160	F11	2.89	0.006	2.89
2162	F13A1	0.26	0.797	0.26
5653	KLK6	1.66	0.102	1.66
1504	CTRB1	0.67	0.508	0.67
5644	PRSS1	1.34	0.185	1.34
26085	KLK13	-1.5	0.141	1.5
7980	TFPI2	-1.68	0.1	1.68
1670	DEFA5	1.28	0.206	1.28
27076	LYPD3	2.31	0.025	2.31
155465	AGR3	-1.04	0.302	1.04
11005	SPINK5	-0.09	0.926	0.09
462	SERPINC1	0.95	0.346	0.95
SYT4 (10 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
6860	SYT4	3.74	5e-04	3.74
6449	SGTA	-1.58	0.12	1.58
7021	TFAP2B	1.27	0.209	1.27
6809	STX3	-1.5	0.14	1.5
2054	STX2	-1.71	0.094	1.71
10814	CPLX2	-1.31	0.195	1.31
9066	SYT7	-1.7	0.095	1.7
8334	HIST1H2AC	-0.71	0.479	0.71
4832	NME3	-1.09	0.28	1.09
6813	STXBP2	-1.95	0.057	1.95
PEX10 (14 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
5192	PEX10	-3.21	0.002	3.21
5824	PEX19	-1.47	0.149	1.47
5828	PEX2	-1.73	0.09	1.73
5193	PEX12	-2.33	0.024	2.33
11264	PXMP4	-2.31	0.025	2.31
10478	SLC25A17	-2.3	0.026	2.3
5825	ABCD3	-1.33	0.189	1.33
225	ABCD2	0.28	0.778	0.28
9409	PEX16	-1.52	0.136	1.52
55670	PEX26	-2.7	0.009	2.7
5190	PEX6	-2.03	0.047	2.03
5830	PEX5	-1.28	0.207	1.28
5195	PEX14	-2.01	0.05	2.01
5191	PEX7	-1.68	0.1	1.68
GLB1 (17 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
2720	GLB1	4.73	2e-05	4.73
1743	DLST	-1.64	0.108	1.64
250	ALPP	0.86	0.394	0.86
55207	ARL8B	-1.3	0.198	1.3
3337	DNAJB1	-1.42	0.162	1.42
1583	CYP11A1	2.34	0.023	2.34
2990	GUSB	-2.12	0.039	2.12
9114	ATP6V0D1	-1.26	0.213	1.26
427	ASAH1	1.98	0.054	1.98
1588	CYP19A1	1.37	0.176	1.37
4758	NEU1	-1.82	0.074	1.82
79080	CCDC86	-1.57	0.122	1.57
251	ALPG	1.38	0.175	1.38
1585	CYP11B2	0.78	0.438	0.78
2230	FDX1	-0.29	0.772	0.29
1584	CYP11B1	1.78	0.082	1.78
1728	NQO1	-1.07	0.29	1.07
S100A8 (10 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
6279	S100A8	4.19	1e-04	4.19
6280	S100A9	0.91	0.366	0.91
2661	GDF9	0.98	0.333	0.98
23643	LY96	0.31	0.76	0.31
64284	RAB17	1.21	0.232	1.21
1114	CHGB	-1.41	0.166	1.41
84966	IGSF21	-1.42	0.163	1.42
5272	SERPINB9	-1.9	0.063	1.9
83440	ADPGK	-2.3	0.026	2.3
5047	PAEP	0.67	0.509	0.67
SYT4 (12 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
6860	SYT4	3.9	3e-04	3.9
6449	SGTA	-1.56	0.125	1.56
7021	TFAP2B	2.04	0.047	2.04
6809	STX3	-1.5	0.14	1.5
2054	STX2	-1.69	0.097	1.69
10814	CPLX2	-0.48	0.633	0.48
9066	SYT7	-1.7	0.095	1.7
8334	HIST1H2AC	-0.56	0.58	0.56
4832	NME3	-0.94	0.353	0.94
6813	STXBP2	-1.88	0.066	1.88
163732	CITED4	-1.96	0.055	1.96
7022	TFAP2C	-1.26	0.213	1.26
PLXNB1 (13 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
5364	PLXNB1	3.72	5e-04	3.72
5361	PLXNA1	2.05	0.046	2.05
10509	SEMA4B	0.8	0.428	0.8
64218	SEMA4A	2.61	0.012	2.61
27289	RND1	-0.64	0.524	0.64
22808	MRAS	2.03	0.048	2.03
23654	PLXNB2	2.79	0.007	2.79
26762	HAVCR1	1.8	0.079	1.8
80031	SEMA6D	-1.23	0.225	1.23
23129	PLXND1	-1.24	0.22	1.24
9723	SEMA3E	0.09	0.93	0.09
9771	RAPGEF5	-1.31	0.198	1.31
5912	RAP2B	-1.57	0.123	1.57
SERPINF2 (12 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
5345	SERPINF2	3.71	5e-04	3.71
2160	F11	2.82	0.007	2.82
5653	KLK6	1.83	0.073	1.83
1504	CTRB1	0.68	0.499	0.68
5644	PRSS1	1.63	0.109	1.63
26085	KLK13	-0.85	0.399	0.85
1670	DEFA5	1.47	0.147	1.47
7980	TFPI2	-1.41	0.165	1.41
27076	LYPD3	2.52	0.015	2.52
155465	AGR3	-0.95	0.346	0.95
11005	SPINK5	0.01	0.995	0.01
462	SERPINC1	1.04	0.305	1.04
TYROBP (14 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
7305	TYROBP	3.58	8e-04	3.58
22914	KLRK1	1.39	0.169	1.39
3824	KLRD1	-1.93	0.06	1.93
9436	NCR2	0.37	0.715	0.37
54210	TREM1	5.06	6e-06	5.06
54209	TREM2	3.8	4e-04	3.8
100049587	SIGLEC14	-2.84	0.007	2.84
342510	CD300E	-0.17	0.865	0.17
135250	RAET1E	3.05	0.004	3.05
80328	ULBP2	-1.61	0.114	1.61
79465	ULBP3	-1.48	0.146	1.48
4277	MICB	-1.34	0.186	1.34
353091	RAET1G	-1.05	0.3	1.05
3821	KLRC1	0.79	0.434	0.79
FGFR3 (36 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
2261	FGFR3	3.57	8e-04	3.57
2247	FGF2	2.3	0.026	2.3
2246	FGF1	-0.09	0.928	0.09
2249	FGF4	-2.04	0.047	2.04
25970	SH2B1	-2.32	0.024	2.32
2043	EPHA4	-1.7	0.095	1.7
1114	CHGB	-1.41	0.166	1.41
8074	FGF23	2.54	0.014	2.54
2250	FGF5	-1.92	0.061	1.92
8817	FGF18	-1.27	0.209	1.27
8822	FGF17	0.2	0.841	0.2
2254	FGF9	-1.14	0.258	1.14
2253	FGF8	-0.57	0.573	0.57
2251	FGF6	1.13	0.262	1.13
2248	FGF3	-0.03	0.973	0.03
1513	CTSK	1.01	0.317	1.01
4726	NDUFS6	-1.6	0.117	1.6
3050	HBZ	2.51	0.015	2.51
2263	FGFR2	-3.17	0.003	3.17
2264	FGFR4	-1.63	0.109	1.63
2260	FGFR1	0.41	0.681	0.41
9982	FGFBP1	1.68	0.1	1.68
2255	FGF10	-1.79	0.08	1.79
9365	KL	-1.07	0.289	1.07
53834	FGFRL1	-2.01	0.05	2.01
152831	KLB	-0.19	0.853	0.19
9965	FGF19	-1.96	0.056	1.96
3043	HBB	1.27	0.211	1.27
10313	RTN3	-1.18	0.244	1.18
54756	IL17RD	-1.51	0.138	1.51
5196	PF4	0.15	0.878	0.15
10563	CXCL13	-0.35	0.729	0.35
4684	NCAM1	-1.42	0.162	1.42
1463	NCAN	-1.26	0.212	1.26
22899	ARHGEF15	2.55	0.014	2.55
25791	NGEF	2.59	0.013	2.59
