	BumphunterDMR.seqnames	BumphunterDMR.start	BumphunterDMR.end	BumphunterDMR.width	BumphunterDMR.strand	BumphunterDMR.value	BumphunterDMR.area	BumphunterDMR.cluster	BumphunterDMR.indexStart	BumphunterDMR.indexEnd	BumphunterDMR.L	BumphunterDMR.clusterL	BumphunterDMR.p.value	BumphunterDMR.fwer	BumphunterDMR.p.valueArea	BumphunterDMR.fwerArea
DMR_33	chr6	33092006	33093109	1103	*	0.243021680356131	1.70115176249292	245312	387214	387220	7	21	0.0147800090383434	0.5	0.0318949234637713	0.896
DMR_34	chr3	190231663	190232089	426	*	-0.216272689469322	1.73018151575458	207776	331157	331164	8	17	0.0193976755234707	0.504	0.0303190071727366	0.896
DMR_35	chr22	39916166	39916550	384	*	-0.241374551007275	1.68962185705093	186683	304423	304429	7	14	0.0154173281266295	0.504	0.0323989849245067	0.9
DMR_36	chr19	19314292	19314454	162	*	-0.210090076512369	1.68072061209896	139495	233731	233738	8	14	0.0212748699289679	0.524	0.0329204278149225	0.9
DMR_37	chr22	41253041	41253267	226	*	-0.23952933357086	1.67670533499602	186942	304726	304732	7	13	0.0163037810403365	0.524	0.0331637678304499	0.904
DMR_38	chr12	103312609	103312810	201	*	0.972949677461023	1.94589935492205	70523	113298	113299	2	12	0.00119352483806301	0.532	0.0212980451685419	0.804
DMR_39	chr11	506159	506932	773	*	-0.202524823847315	1.62019859077852	44202	68480	68487	8	21	0.0224857761967114	0.532	0.0362982189828387	0.92
DMR_40	chr3	40498343	40498671	328	*	-0.237671101387902	1.66369770971531	193243	312884	312890	7	14	0.0172887287222332	0.548	0.0338532312077776	0.904
DMR_41	chr11	236565	236787	222	*	-0.236020215319995	1.65214150723996	44128	68097	68103	7	25	0.0180303363886024	0.556	0.0345542822048923	0.908
DMR_42	chr1	27560800	27560916	116	*	-0.235755336402495	1.65028735481746	5589	11927	11933	7	17	0.0182215321150882	0.556	0.0346296017335079	0.912
DMR_43	chr4	89377972	89378199	227	*	-0.235397376717007	1.64778163701905	216202	343593	343599	7	15	0.0184301092712546	0.56	0.0348207974599937	0.916
DMR_44	chr8	1501640	1503132	1492	*	0.23343467190251	1.63404270331757	274629	431298	431304	7	14	0.0194556136224058	0.576	0.035597167985724	0.92
DMR_45	chr12	120884387	120884702	315	*	-0.232875038631136	1.63012527041795	73236	117540	117546	7	19	0.0196989536379332	0.576	0.0357825699023164	0.92
DMR_46	chr14	55518132	55518214	82	*	-0.232086888636855	1.62460822045799	86424	138521	138527	7	11	0.020162458429414	0.584	0.0360664665870983	0.92
DMR_47	chr22	36080691	36082737	2046	*	0.230654153432028	1.6145790740242	185770	302721	302727	7	7	0.0209909732441859	0.596	0.0365821156676207	0.92
DMR_48	chr17	19247837	19248009	172	*	0.229540296352658	1.60678207446861	118193	195857	195863	7	10	0.0217441685303422	0.6	0.0371035585580366	0.92
DMR_49	chr10	70166164	70166973	809	*	-0.244504418150771	1.46702650890463	35222	54139	54144	6	14	0.0216862304314071	0.6	0.0466227882130732	0.96
DMR_50	chr19	19030094	19030391	297	*	-0.228553367068207	1.59987356947745	139411	233586	233592	7	14	0.0223409309493737	0.608	0.0374453933417537	0.92
DMR_51	chr17	7806389	7807121	732	*	0.243255743164046	1.45953445898427	116623	193312	193317	6	7	0.0224626009571374	0.608	0.0472774887310398	0.96
DMR_52	chr8	130695235	130696901	1666	*	0.225591469123079	1.57914028386155	286892	445811	445817	7	7	0.0238878781909408	0.616	0.0386562996094972	0.928
DMR_53	chr19	4791501	4791699	198	*	-0.225245999303853	1.57672199512697	136301	226604	226610	7	9	0.0240443110580656	0.62	0.0387605881875804	0.932
DMR_54	chr3	57541798	57542027	229	*	-0.224376636333958	1.57063645433771	195825	317920	317926	7	16	0.0245251972792269	0.624	0.0391661548801261	0.932
DMR_55	chr1	42921899	42922229	330	*	-0.222972850859082	1.56080995601357	8283	16555	16561	7	16	0.0253652997137858	0.636	0.0397802987288381	0.932
DMR_56	chr19	4457942	4458452	510	*	-0.238987095409715	1.43392257245829	136209	226357	226362	6	18	0.0253363306643182	0.64	0.0491720645662175	0.96
DMR_57	chr11	64937570	64937741	171	*	0.217962375681466	1.52573662977026	51304	83198	83204	7	11	0.0283722870485174	0.644	0.0423295750819824	0.94
DMR_58	chr16	88878414	88878495	81	*	-0.238010304883386	1.42806182930032	114541	186920	186925	6	16	0.0260547630911135	0.648	0.0496529507873788	0.964
DMR_59	chr19	4902576	4902899	323	*	0.237787094387717	1.4267225663263	136331	226659	226664	6	7	0.0262111959582382	0.648	0.0497514455555684	0.964
DMR_60	chr17	57287309	57287402	93	*	-0.213314383954208	1.49320068767946	123576	206380	206386	7	10	0.0309157695917682	0.66	0.0446586866591733	0.96
DMR_61	chr3	186914720	186915423	703	*	0.212719242384654	1.48903469669258	207263	330784	330790	7	10	0.0311649034171891	0.66	0.0448904390549137	0.96
DMR_62	chr8	125486696	125486985	289	*	-0.210672564832308	1.47470795382616	286000	445279	445285	7	15	0.0319992120418545	0.66	0.0460028505544676	0.96
DMR_63	chr2	179396688	179397513	825	*	0.209916494338233	1.46941546036763	163274	269736	269742	7	11	0.0323352530156781	0.66	0.0463852420074393	0.96
DMR_64	chr3	195808255	195808921	666	*	-0.207488028179276	1.45241619725493	208545	332200	332206	7	15	0.0332390873590656	0.664	0.0477989316214556	0.96
DMR_65	chr5	176433795	176434054	259	*	-0.205739580569347	1.44017706398543	239794	372396	372402	7	16	0.0337373550099074	0.664	0.0487491164439912	0.96
DMR_66	chr20	21372807	21372863	56	*	-0.763126935126184	1.52625387025237	172848	283138	283139	2	9	0.00190036964507121	0.716	0.0423006060325149	0.94
