!Series_title	"Genome-wide profiling of the functional DNA methylation landscape at base-pair resolution in human cancer types"
!Series_sample_id	"GSM1978266 GSM1978267 GSM1978268 GSM1978269 GSM1978270 GSM1978271 GSM1978272 GSM1978273 GSM1978274 GSM1978275 GSM1978276 GSM1978277 GSM1978278 GSM1978279 GSM1978280 GSM1978281 GSM1978282 GSM1978283 GSM1978284 GSM1978285 GSM1978286 GSM1978287 GSM1978288 GSM1978289 GSM1978290 GSM1978291 GSM1978292 GSM1978293 GSM1978294 GSM1978295 GSM1978296 GSM1978297 GSM1978298 GSM1978299 GSM1978300 GSM1978301 GSM1978302 GSM1978303 GSM1978304 GSM1978305 GSM1978306 GSM1978307 GSM1978308 GSM1978309 GSM1978310 GSM1978311 GSM1978312 GSM1978313 GSM1978314 GSM1978315 GSM1978316 GSM1978317 GSM1978318 GSM1978319 GSM1978320 GSM1978321 GSM1978322 GSM1978323 GSM1978324 GSM1978325 GSM1978326 GSM1978327 GSM1978328 GSM1978329 GSM1978330 GSM1978331 GSM1978332 GSM1978333 GSM1978334 GSM1978335 GSM1978336 GSM1978337 GSM1978338 GSM1978339 GSM1978340 GSM1978341 GSM1978342 GSM1978343 GSM1978344 GSM1978345 GSM1978346 GSM1978347 GSM1978348 GSM1978349 GSM1978350 GSM1978351 GSM1978352 GSM1978353 GSM1978354 GSM1978355 GSM1978356 GSM1978357 GSM1978358 GSM1978359 GSM1978360 GSM1978361 GSM1978362 GSM1978363 GSM1978364 GSM1978365 GSM1978366 GSM1978367 GSM1978368 GSM1978369 GSM1978370 GSM1978371 GSM1978372 GSM1978373 GSM1978374 GSM1978375 GSM1978376 GSM1978377 GSM1978378 GSM1978379 GSM1978380 GSM1978381 GSM1978382 GSM1978383 GSM1978384 GSM1978385 GSM1978386 GSM1978387 GSM1978388 GSM1978389 GSM1978390 GSM1978391 GSM1978392 GSM1978393 GSM1978394 GSM1978395 GSM1978396 GSM1978397 GSM1978398 GSM1978399 GSM1978400 GSM1978401 GSM1978402 GSM1978403 GSM1978404 GSM1978405 GSM1978406 GSM1978407 GSM1978408 GSM1978409 GSM1978410 GSM1978411 GSM1978412 GSM1978413 GSM1978414 GSM1978415 GSM1978416 GSM1978417 GSM1978418 GSM1978419 GSM1978420 GSM1978421 GSM1978422 GSM1978423 GSM1978424 GSM1978425 GSM1978426 GSM1978427 GSM1978428 GSM1978429 GSM1978430 GSM1978431 GSM1978432 GSM1978433 GSM1978434 GSM1978435 GSM1978436 GSM1978437 GSM1978438 GSM1978439 GSM1978440 GSM1978441 GSM1978442 GSM1978443 GSM1978444 GSM1978445 GSM1978446 GSM1978447 GSM1978448 GSM1978449 GSM1978450 GSM1978451 GSM1978452 GSM1978453 GSM1978454 GSM1978455 GSM1978456 GSM1978457 GSM1978458 GSM1978459 GSM1978460 GSM1978461 GSM1978462 GSM1978463 GSM1978464 GSM1978465 GSM1978466 GSM1978467 GSM1978468 GSM1978469 GSM1978470 GSM1978471 GSM1978472 GSM1978473 GSM1978474 GSM1978475 GSM1978476 GSM1978477 GSM1978478 GSM1978479 GSM1978480 GSM1978481 GSM1978482 GSM1978483 GSM1978484 GSM1978485 GSM1978486 GSM1978487 GSM1978488 GSM1978489 GSM1978490 GSM1978491 GSM1978492 GSM1978493 GSM1978494 GSM1978495 GSM1978496 GSM1978497 GSM1978498 GSM1978499 GSM1978500 GSM1978501 GSM1978502 GSM1978503 GSM1978504 GSM1978505 GSM1978506 GSM1978507 GSM1978508 GSM1978509 GSM1978510 GSM1978511 GSM1978512 GSM1978513 GSM1978514 GSM1978515 GSM1978516 GSM1978517 GSM1978518 GSM1978519 GSM1978520 GSM1978521 GSM1978522 GSM1978523 GSM1978524 GSM1978525 GSM1978526 GSM1978527 GSM1978528 GSM1978529 GSM1978530 GSM1978531 GSM1978532 GSM1978533 GSM1978534 GSM1978535 GSM1978536 GSM1978537 GSM1978538 GSM1978539 GSM1978540 GSM1978541 GSM1978542 GSM1978543 GSM1978544 GSM1978545 GSM1978546 GSM1978547 GSM1978548 GSM1978549 GSM1978550 GSM1978551 GSM1978552 GSM1978553 GSM1978554 GSM1978555 GSM1978556 GSM1978557 GSM1978558 GSM1978559 GSM1978560 GSM1978561 GSM1978562 GSM1978563 GSM1978564 GSM1978565 GSM1978566 GSM1978567 GSM1978568 GSM1978569 GSM1978570 GSM1978571 GSM1978572 GSM1978573 GSM1978574 GSM1978575 GSM1978576 GSM1978577 GSM1978578 GSM1978579 GSM1978580 GSM1978581 GSM1978582 GSM1978583 GSM1978584 GSM1978585 GSM1978586 GSM1978587 GSM1978588 GSM1978589 GSM1978590 GSM1978591 GSM1978592 GSM1978593 GSM1978594 GSM1978595 GSM1978596 GSM1978597 GSM1978598 GSM1978599 GSM1978600 GSM1978601 GSM1978602 GSM1978603 GSM1978604 GSM1978605 GSM1978606 GSM1978607 GSM1978608 GSM1978609 GSM1978610 GSM1978611 GSM1978612 GSM1978613 GSM1978614 GSM1978615 GSM1978616 GSM1978617 GSM1978618 GSM1978619 GSM1978620 GSM1978621 GSM1978622 GSM1978623 GSM1978624 GSM1978625 GSM1978626 GSM1978627 GSM1978628 GSM1978629 GSM1978630 GSM1978631 GSM1978632 GSM1978633 GSM1978634 GSM1978635 GSM1978636 GSM1978637 GSM1978638 GSM1978639 GSM1978640 GSM1978641 GSM1978642 GSM1978643 GSM1978644 GSM1978645 GSM1978646 GSM1978647 GSM1978648 GSM1978649 GSM1978650 GSM1978651 GSM1978652 GSM1978653 GSM1978654 GSM1978655 GSM1978656 GSM1978657 GSM1978658 GSM1978659 GSM1978660 GSM1978661 GSM1978662 GSM1978663 GSM1978664 GSM1978665 GSM1978666 GSM1978667 GSM1978668 GSM1978669 GSM1978670 GSM1978671 GSM1978672 GSM1978673 GSM1978674 GSM1978675 GSM1978676 GSM1978677 GSM1978678 GSM1978679 GSM1978680 GSM1978681 GSM1978682 GSM1978683 GSM1978684 GSM1978685 GSM1978686 GSM1978687 GSM1978688 GSM1978689 GSM1978690 GSM1978691 GSM1978692 GSM1978693 GSM1978694 GSM1978695 GSM1978696 GSM1978697 GSM1978698 GSM1978699 GSM1978700 GSM1978701 GSM1978702 GSM1978703 GSM1978704 GSM1978705 GSM1978706 GSM1978707 GSM1978708 GSM1978709 GSM1978710 GSM1978711 GSM1978712 GSM1978713 GSM1978714 GSM1978715 GSM1978716 GSM1978717 GSM1978718 GSM1978719 GSM1978720 GSM1978721 GSM1978722 GSM1978723 GSM1978724 GSM1978725 GSM1978726 GSM1978727 GSM1978728 GSM1978729 GSM1978730 GSM1978731 GSM1978732 GSM1978733 GSM1978734 GSM1978735 GSM1978736 GSM1978737 GSM1978738 GSM1978739 GSM1978740 GSM1978741 GSM1978742 GSM1978743 GSM1978744 GSM1978745 GSM1978746 GSM1978747 GSM1978748 GSM1978749 GSM1978750 GSM1978751 GSM1978752 GSM1978753 GSM1978754 GSM1978755 GSM1978756 GSM1978757 GSM1978758 "
!Series_contact_name	"Manel,,Esteller"
!Series_contact_laboratory	"Cancer Epigenetics"
!Series_contact_department	"PEBC"
!Series_contact_institute	"IDIBELL"
!Series_contact_address	"Hospital Duran i Reynals Av. Gran Via s/n km, 2.7"
!Series_contact_city	"L'Hospitalet de Llobregat"
!Series_contact_state	"Barcelona"
!Series_contact_zip/postal_code	"08908"
!Series_contact_country	"Spain"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76269/suppl/GSE76269_RAW.tar"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76269/suppl/GSE76269_betas.extra.epigenomics.tsv.gz"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76269/suppl/GSE76269_raw_data.extra.epigenomics.tsv.gz"
!Series_platform_id	"GPL13534"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA306756"

!Sample_title	"ALL_1"	"ALL_2"	"ALL_3"	"ALL_4"	"ALL_5"	"ALL_6"	"ALL_7"	"ALL_8"	"ALL_9"	"ALL_10"	"ALL_11"	"ALL_12"	"ALL_13"	"ALL_14"	"ALL_15"	"ALL_16"	"ALL_17"	"ALL_18"	"ALL_19"	"ALL_20"	"ALL_21"	"ALL_22"	"ALL_23"	"ALL_24"	"ALL_25"	"ALL_26"	"ALL_27"	"ALL_28"	"ALL_29"	"ALL_30"	"ALL_31"	"ALL_32"	"ALL_33"	"LYMPH_1"	"ALL_34"	"ALL_35"	"ALL_36"	"ALL_37"	"ALL_38"	"ALL_39"	"ALL_40"	"ALL_41"	"ALL_42"	"ALL_43"	"ALL_44"	"LYMPH_2"	"ALL_45"	"ALL_46"	"ALL_47"	"ALL_48"	"ALL_49"	"ALL_50"	"ALL_51"	"ALL_52"	"ALL_53"	"ALL_54"	"ALL_55"	"ALL_56"	"CLL_1"	"ALL_57"	"ALL_58"	"ALL_59"	"ALL_60"	"CLL_2"	"CLL_3"	"CLL_4"	"CLL_5"	"CLL_6"	"CLL_7"	"SCLC_1"	"CLL_8"	"CLL_9"	"CLL_10"	"CLL_11"	"CLL_12"	"CLL_13"	"CLL_14"	"CLL_15"	"CLL_16"	"CLL_17"	"CLL_18"	"SCLC_2"	"SCLC_3"	"SCLC_4"	"SCLC_5"	"SCLC_6"	"SCLC_7"	"SCLC_8"	"SCLC_9"	"SCLC_10"	"SCLC_11"	"SCLC_12"	"SCLC_13"	"SCLC_14"	"SCLC_15"	"SCLC_16"	"SCLC_17"	"Grey_matter_1"	"ALL_61"	"CLL_19"	"CLL_20"	"CLL_21"	"CLL_22"	"Grey_matter_2"	"Grey_matter_3"	"Grey_matter_4"	"LYMPH_3"	"LYMPH_4"	"LYMPH_5"	"LYMPH_6"	"LC_1"	"LC_2"	"LC_3"	"LC_4"	"LC_5"	"LC_6"	"LC_7"	"LC_8"	"LC_9"	"LC_10"	"LC_11"	"LC_12"	"LC_13"	"LC_14"	"LC_15"	"LC_16"	"LC_17"	"LC_18"	"LC_19"	"LC_20"	"LC_21"	"LC_22"	"LC_23"	"LC_24"	"LC_25"	"LC_26"	"Liver_1"	"Liver_2"	"Liver_3"	"Liver_4"	"LYMPH_7"	"LYMPH_8"	"LYMPH_9"	"LYMPH_10"	"LYMPH_11"	"Prostate_1"	"Prostate_2"	"Prostate_3"	"Prostate_4"	"Prostate_5"	"LYMPH_12"	"LYMPH_13"	"LYMPH_14"	"Grey_matter_5"	"SCLC_18"	"SCLC_19"	"SCLC_20"	"CLL_23"	"CLL_24"	"CLL_25"	"CLL_26"	"CLL_27"	"CLL_28"	"CLL_29"	"CLL_30"	"CLL_31"	"CLL_32"	"CLL_33"	"CLL_34"	"CLL_35"	"CLL_36"	"CLL_37"	"CLL_38"	"CLL_39"	"CLL_40"	"CLL_41"	"CLL_42"	"SCLC_21"	"LYMPH_15"	"LYMPH_16"	"LC_27"	"LC_28"	"LC_29"	"LC_30"	"LC_31"	"LC_32"	"LC_33"	"LC_34"	"LC_35"	"LC_36"	"LC_37"	"LC_38"	"LC_39"	"LC_40"	"LC_41"	"LC_42"	"LC_43"	"LC_44"	"LC_45"	"LC_46"	"LC_47"	"LC_48"	"LC_49"	"LC_50"	"LC_51"	"LC_52"	"LC_53"	"LC_54"	"LC_55"	"LC_56"	"LC_57"	"LC_58"	"LC_59"	"LC_60"	"LC_61"	"LC_62"	"LC_63"	"LC_64"	"LC_65"	"LC_66"	"LC_67"	"LC_68"	"LC_69"	"LC_70"	"LC_71"	"LC_72"	"LC_73"	"LC_74"	"LC_75"	"LC_76"	"LC_77"	"LC_78"	"LC_79"	"LC_80"	"LC_81"	"LC_82"	"LC_83"	"LC_84"	"LC_85"	"LC_86"	"LC_87"	"LC_88"	"LC_89"	"LC_90"	"LC_91"	"LC_92"	"LC_93"	"LC_94"	"LC_95"	"LC_96"	"LC_97"	"LC_98"	"LC_100"	"LC_101"	"LC_102"	"LC_103"	"LC_104"	"LC_105"	"LC_106"	"LC_107"	"LC_108"	"LC_109"	"LC_110"	"LC_111"	"LC_112"	"LC_113"	"LC_114"	"LC_115"	"LC_116"	"LC_117"	"LC_118"	"LC_119"	"LC_120"	"LC_121"	"LC_122"	"LC_123"	"LC_124"	"LC_125"	"LC_126"	"LC_127"	"LC_128"	"LC_129"	"LC_130"	"LC_131"	"LC_132"	"LC_133"	"LC_134"	"LC_135"	"LC_136"	"LC_137"	"LC_138"	"LC_139"	"LC_140"	"LC_141"	"LC_142"	"LC_143"	"LC_144"	"LC_145"	"LC_146"	"LC_147"	"LC_148"	"LC_149"	"LC_150"	"LC_151"	"LC_152"	"LC_153"	"LC_154"	"LC_155"	"LC_156"	"LC_157"	"LC_158"	"LC_159"	"LC_160"	"LC_161"	"LC_162"	"LC_163"	"LC_164"	"LC_165"	"LC_166"	"LC_167"	"LC_168"	"LC_169"	"LC_170"	"LC_171"	"LC_172"	"LC_173"	"LC_174"	"LC_175"	"LC_176"	"LC_177"	"LC_178"	"LC_179"	"LC_180"	"LC_181"	"LC_182"	"LC_183"	"LC_184"	"LC_185"	"LC_186"	"LC_187"	"LC_188"	"LC_189"	"LC_190"	"LC_191"	"LC_192"	"LC_193"	"LC_194"	"LC_195"	"LC_196"	"LC_197"	"LC_198"	"LC_199"	"LC_200"	"LC_201"	"LC_202"	"LC_203"	"LC_204"	"LC_205"	"LC_206"	"LC_207"	"LC_208"	"LC_209"	"LC_210"	"LC_211"	"LC_212"	"LC_213"	"LC_214"	"LC_215"	"LC_216"	"LC_217"	"LC_218"	"LC_219"	"LC_220"	"LC_221"	"LC_222"	"LC_223"	"LC_224"	"LC_225"	"LC_226"	"LC_227"	"LC_228"	"SCLC_22"	"LYMPH_17"	"LYMPH_18"	"LYMPH_19"	"LYMPH_20"	"LYMPH_21"	"LYMPH_22"	"LYMPH_23"	"SCLC_23"	"NB_1"	"NB_2"	"NB_3"	"NB_4"	"NB_5"	"NB_6"	"NB_7"	"NB_8"	"NB_9"	"NB_10"	"NB_11"	"NB_12"	"NB_13"	"NB_14"	"NB_15"	"NB_16"	"NB_17"	"NB_18"	"NB_19"	"Liver_5"	"Liver_6"	"Liver_7"	"Liver_8"	"Liver_9"	"Liver_10"	"PC_1"	"PC_2"	"PC_3"	"PC_4"	"PC_5"	"PC_6"	"PC_7"	"PC_8"	"PC_9"	"PC_10"	"PC_11"	"PC_12"	"PC_13"	"PC_14"	"PC_15"	"PC_16"	"PC_17"	"PC_18"	"PC_19"	"PC_20"	"PC_21"	"PC_22"	"PC_23"	"PC_24"	"PC_25"	"Blood_1"	"Blood_2"	"Blood_3"	"Blood_4"	"Blood_5"	"Blood_6"	"Blood_7"	"Blood_8"	"Blood_9"	"Blood_10"	"Blood_11"	"Blood_12"	"Blood_13"	"Blood_14"	"Blood_15"	"Blood_16"	"Blood_17"	"Blood_18"	"Blood_19"	"Blood_20"	"SCLC_24"	"SCLC_25"	"SCLC_26"	"SCLC_27"	"SCLC_28"	"SCLC_29"	"SCLC_30"	"SCLC_31"	"SCLC_32"	"SCLC_33"	"SCLC_34"	"SCLC_35"	"SCLC_36"	"SCLC_37"	"SCLC_38"	"SCLC_39"	"SCLC_40"	"SCLC_41"	"SCLC_42"	"SCLC_43"	"SCLC_44"	"SCLC_45"	"SCLC_46"	"SCLC_47"	"SCLC_48"	"SCLC_49"	"SCLC_50"	"SCLC_51"	"SCLC_52"	"SCLC_53"	"SCLC_54"	"SCLC_55"	"SCLC_56"
!Sample_geo_accession	"GSM1978266"	"GSM1978267"	"GSM1978268"	"GSM1978269"	"GSM1978270"	"GSM1978271"	"GSM1978272"	"GSM1978273"	"GSM1978274"	"GSM1978275"	"GSM1978276"	"GSM1978277"	"GSM1978278"	"GSM1978279"	"GSM1978280"	"GSM1978281"	"GSM1978282"	"GSM1978283"	"GSM1978284"	"GSM1978285"	"GSM1978286"	"GSM1978287"	"GSM1978288"	"GSM1978289"	"GSM1978290"	"GSM1978291"	"GSM1978292"	"GSM1978293"	"GSM1978294"	"GSM1978295"	"GSM1978296"	"GSM1978297"	"GSM1978298"	"GSM1978299"	"GSM1978300"	"GSM1978301"	"GSM1978302"	"GSM1978303"	"GSM1978304"	"GSM1978305"	"GSM1978306"	"GSM1978307"	"GSM1978308"	"GSM1978309"	"GSM1978310"	"GSM1978311"	"GSM1978312"	"GSM1978313"	"GSM1978314"	"GSM1978315"	"GSM1978316"	"GSM1978317"	"GSM1978318"	"GSM1978319"	"GSM1978320"	"GSM1978321"	"GSM1978322"	"GSM1978323"	"GSM1978324"	"GSM1978325"	"GSM1978326"	"GSM1978327"	"GSM1978328"	"GSM1978329"	"GSM1978330"	"GSM1978331"	"GSM1978332"	"GSM1978333"	"GSM1978334"	"GSM1978335"	"GSM1978336"	"GSM1978337"	"GSM1978338"	"GSM1978339"	"GSM1978340"	"GSM1978341"	"GSM1978342"	"GSM1978343"	"GSM1978344"	"GSM1978345"	"GSM1978346"	"GSM1978347"	"GSM1978348"	"GSM1978349"	"GSM1978350"	"GSM1978351"	"GSM1978352"	"GSM1978353"	"GSM1978354"	"GSM1978355"	"GSM1978356"	"GSM1978357"	"GSM1978358"	"GSM1978359"	"GSM1978360"	"GSM1978361"	"GSM1978362"	"GSM1978363"	"GSM1978364"	"GSM1978365"	"GSM1978366"	"GSM1978367"	"GSM1978368"	"GSM1978369"	"GSM1978370"	"GSM1978371"	"GSM1978372"	"GSM1978373"	"GSM1978374"	"GSM1978375"	"GSM1978376"	"GSM1978377"	"GSM1978378"	"GSM1978379"	"GSM1978380"	"GSM1978381"	"GSM1978382"	"GSM1978383"	"GSM1978384"	"GSM1978385"	"GSM1978386"	"GSM1978387"	"GSM1978388"	"GSM1978389"	"GSM1978390"	"GSM1978391"	"GSM1978392"	"GSM1978393"	"GSM1978394"	"GSM1978395"	"GSM1978396"	"GSM1978397"	"GSM1978398"	"GSM1978399"	"GSM1978400"	"GSM1978401"	"GSM1978402"	"GSM1978403"	"GSM1978404"	"GSM1978405"	"GSM1978406"	"GSM1978407"	"GSM1978408"	"GSM1978409"	"GSM1978410"	"GSM1978411"	"GSM1978412"	"GSM1978413"	"GSM1978414"	"GSM1978415"	"GSM1978416"	"GSM1978417"	"GSM1978418"	"GSM1978419"	"GSM1978420"	"GSM1978421"	"GSM1978422"	"GSM1978423"	"GSM1978424"	"GSM1978425"	"GSM1978426"	"GSM1978427"	"GSM1978428"	"GSM1978429"	"GSM1978430"	"GSM1978431"	"GSM1978432"	"GSM1978433"	"GSM1978434"	"GSM1978435"	"GSM1978436"	"GSM1978437"	"GSM1978438"	"GSM1978439"	"GSM1978440"	"GSM1978441"	"GSM1978442"	"GSM1978443"	"GSM1978444"	"GSM1978445"	"GSM1978446"	"GSM1978447"	"GSM1978448"	"GSM1978449"	"GSM1978450"	"GSM1978451"	"GSM1978452"	"GSM1978453"	"GSM1978454"	"GSM1978455"	"GSM1978456"	"GSM1978457"	"GSM1978458"	"GSM1978459"	"GSM1978460"	"GSM1978461"	"GSM1978462"	"GSM1978463"	"GSM1978464"	"GSM1978465"	"GSM1978466"	"GSM1978467"	"GSM1978468"	"GSM1978469"	"GSM1978470"	"GSM1978471"	"GSM1978472"	"GSM1978473"	"GSM1978474"	"GSM1978475"	"GSM1978476"	"GSM1978477"	"GSM1978478"	"GSM1978479"	"GSM1978480"	"GSM1978481"	"GSM1978482"	"GSM1978483"	"GSM1978484"	"GSM1978485"	"GSM1978486"	"GSM1978487"	"GSM1978488"	"GSM1978489"	"GSM1978490"	"GSM1978491"	"GSM1978492"	"GSM1978493"	"GSM1978494"	"GSM1978495"	"GSM1978496"	"GSM1978497"	"GSM1978498"	"GSM1978499"	"GSM1978500"	"GSM1978501"	"GSM1978502"	"GSM1978503"	"GSM1978504"	"GSM1978505"	"GSM1978506"	"GSM1978507"	"GSM1978508"	"GSM1978509"	"GSM1978510"	"GSM1978511"	"GSM1978512"	"GSM1978513"	"GSM1978514"	"GSM1978515"	"GSM1978516"	"GSM1978517"	"GSM1978518"	"GSM1978519"	"GSM1978520"	"GSM1978521"	"GSM1978522"	"GSM1978523"	"GSM1978524"	"GSM1978525"	"GSM1978526"	"GSM1978527"	"GSM1978528"	"GSM1978529"	"GSM1978530"	"GSM1978531"	"GSM1978532"	"GSM1978533"	"GSM1978534"	"GSM1978535"	"GSM1978536"	"GSM1978537"	"GSM1978538"	"GSM1978539"	"GSM1978540"	"GSM1978541"	"GSM1978542"	"GSM1978543"	"GSM1978544"	"GSM1978545"	"GSM1978546"	"GSM1978547"	"GSM1978548"	"GSM1978549"	"GSM1978550"	"GSM1978551"	"GSM1978552"	"GSM1978553"	"GSM1978554"	"GSM1978555"	"GSM1978556"	"GSM1978557"	"GSM1978558"	"GSM1978559"	"GSM1978560"	"GSM1978561"	"GSM1978562"	"GSM1978563"	"GSM1978564"	"GSM1978565"	"GSM1978566"	"GSM1978567"	"GSM1978568"	"GSM1978569"	"GSM1978570"	"GSM1978571"	"GSM1978572"	"GSM1978573"	"GSM1978574"	"GSM1978575"	"GSM1978576"	"GSM1978577"	"GSM1978578"	"GSM1978579"	"GSM1978580"	"GSM1978581"	"GSM1978582"	"GSM1978583"	"GSM1978584"	"GSM1978585"	"GSM1978586"	"GSM1978587"	"GSM1978588"	"GSM1978589"	"GSM1978590"	"GSM1978591"	"GSM1978592"	"GSM1978593"	"GSM1978594"	"GSM1978595"	"GSM1978596"	"GSM1978597"	"GSM1978598"	"GSM1978599"	"GSM1978600"	"GSM1978601"	"GSM1978602"	"GSM1978603"	"GSM1978604"	"GSM1978605"	"GSM1978606"	"GSM1978607"	"GSM1978608"	"GSM1978609"	"GSM1978610"	"GSM1978611"	"GSM1978612"	"GSM1978613"	"GSM1978614"	"GSM1978615"	"GSM1978616"	"GSM1978617"	"GSM1978618"	"GSM1978619"	"GSM1978620"	"GSM1978621"	"GSM1978622"	"GSM1978623"	"GSM1978624"	"GSM1978625"	"GSM1978626"	"GSM1978627"	"GSM1978628"	"GSM1978629"	"GSM1978630"	"GSM1978631"	"GSM1978632"	"GSM1978633"	"GSM1978634"	"GSM1978635"	"GSM1978636"	"GSM1978637"	"GSM1978638"	"GSM1978639"	"GSM1978640"	"GSM1978641"	"GSM1978642"	"GSM1978643"	"GSM1978644"	"GSM1978645"	"GSM1978646"	"GSM1978647"	"GSM1978648"	"GSM1978649"	"GSM1978650"	"GSM1978651"	"GSM1978652"	"GSM1978653"	"GSM1978654"	"GSM1978655"	"GSM1978656"	"GSM1978657"	"GSM1978658"	"GSM1978659"	"GSM1978660"	"GSM1978661"	"GSM1978662"	"GSM1978663"	"GSM1978664"	"GSM1978665"	"GSM1978666"	"GSM1978667"	"GSM1978668"	"GSM1978669"	"GSM1978670"	"GSM1978671"	"GSM1978672"	"GSM1978673"	"GSM1978674"	"GSM1978675"	"GSM1978676"	"GSM1978677"	"GSM1978678"	"GSM1978679"	"GSM1978680"	"GSM1978681"	"GSM1978682"	"GSM1978683"	"GSM1978684"	"GSM1978685"	"GSM1978686"	"GSM1978687"	"GSM1978688"	"GSM1978689"	"GSM1978690"	"GSM1978691"	"GSM1978692"	"GSM1978693"	"GSM1978694"	"GSM1978695"	"GSM1978696"	"GSM1978697"	"GSM1978698"	"GSM1978699"	"GSM1978700"	"GSM1978701"	"GSM1978702"	"GSM1978703"	"GSM1978704"	"GSM1978705"	"GSM1978706"	"GSM1978707"	"GSM1978708"	"GSM1978709"	"GSM1978710"	"GSM1978711"	"GSM1978712"	"GSM1978713"	"GSM1978714"	"GSM1978715"	"GSM1978716"	"GSM1978717"	"GSM1978718"	"GSM1978719"	"GSM1978720"	"GSM1978721"	"GSM1978722"	"GSM1978723"	"GSM1978724"	"GSM1978725"	"GSM1978726"	"GSM1978727"	"GSM1978728"	"GSM1978729"	"GSM1978730"	"GSM1978731"	"GSM1978732"	"GSM1978733"	"GSM1978734"	"GSM1978735"	"GSM1978736"	"GSM1978737"	"GSM1978738"	"GSM1978739"	"GSM1978740"	"GSM1978741"	"GSM1978742"	"GSM1978743"	"GSM1978744"	"GSM1978745"	"GSM1978746"	"GSM1978747"	"GSM1978748"	"GSM1978749"	"GSM1978750"	"GSM1978751"	"GSM1978752"	"GSM1978753"	"GSM1978754"	"GSM1978755"	"GSM1978756"	"GSM1978757"	"GSM1978758"
