chr	start	end	H1	H2	H3	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51
chr1	20000001	22000000	0.723996432	0.779349715	0.748871072	0.760583561	0.684212957	0.76490338	0.762620838	0.756392376	0.744155465	0.751228947	0.751541096	0.729812577	0.72796428	0.735543767	0.74	0.738226195	0.72142411	0.722129362	0.770469161	0.789238863	0.687512608	0.701167715	0.760099878	0.778098309	0.762965426	0.768786542	0.741460998	0.745515098	0.714959442	0.750693772	0.744911071	0.742155747	0.731998093	0.744444444	0.741708248	0.70509465	0.725926494	0.720201596	0.741422669	0.688317302	0.657047261	0.57911502	0.667487294	0.572803718	0.652684867	0.771900407	0.733104365	0.678063205	0.728776978	0.722360195	0.704135252	0.712230216	0.751127474	0.703337169
chr1	22000001	24000000	0.745367306	0.782409002	0.771172505	0.753155513	0.721249789	0.775497555	0.771437456	0.76815852	0.73060668	0.766853722	0.758015069	0.743843351	0.743302558	0.73055005	0.76402084	0.76615483	0.749596309	0.72102526	0.786301837	0.789382929	0.711521071	0.713450984	0.768053283	0.772772046	0.772628453	0.77905863	0.746301692	0.756286113	0.725075261	0.77021708	0.754273368	0.760820046	0.746831472	0.760895642	0.729092729	0.717151066	0.743131175	0.741979088	0.756110474	0.711297889	0.673690047	0.568524633	0.694838132	0.559240718	0.620793612	0.779460326	0.746582228	0.713704994	0.739836626	0.749063073	0.73161435	0.738663772	0.766561229	0.721679005
chr1	24000001	26000000	0.741042053	0.790047454	0.777278378	0.778709081	0.716967578	0.77861192	0.765344214	0.754465802	0.7378502	0.748766481	0.750529345	0.746426457	0.724471398	0.730816917	0.733506494	0.759152848	0.744434772	0.73876433	0.781672575	0.789752194	0.71977936	0.724970823	0.762569832	0.77451884	0.77385159	0.778606443	0.745468638	0.756925327	0.741812074	0.76489129	0.757518416	0.763802208	0.752305841	0.762456235	0.750201045	0.731096086	0.742925071	0.733586227	0.764314248	0.728369108	0.671578092	0.570464194	0.700566726	0.592766959	0.645659432	0.772919255	0.74148802	0.724672343	0.739793255	0.747201337	0.735734665	0.734713463	0.787600146	0.748178074
chr1	26000001	28000000	0.725398313	0.773189327	0.74720141	0.74701832	0.687227962	0.759771799	0.758611434	0.753677232	0.723157284	0.748234381	0.73852459	0.739272159	0.708682171	0.728729282	0.720359771	0.705891848	0.711082714	0.704867844	0.775290532	0.776431343	0.691561166	0.698850138	0.763281987	0.777234637	0.757146792	0.776542426	0.723704091	0.735612253	0.682999534	0.750985175	0.736558787	0.746978618	0.722753219	0.742351476	0.706856234	0.678805661	0.716730038	0.730591946	0.746354357	0.709487908	0.666025817	0.602342964	0.695077039	0.602299082	0.646091944	0.76074683	0.728164658	0.704384724	0.733306836	0.709708274	0.704851752	0.721118012	0.77538947	0.729061479
chr1	28000001	30000000	0.755558437	0.798264642	0.782863007	0.780740011	0.718411552	0.79543394	0.785671039	0.776627559	0.775035151	0.763410361	0.768785081	0.758017639	0.767684153	0.731647131	0.780608504	0.784513692	0.763900649	0.759356478	0.802340644	0.80424275	0.732810277	0.735222263	0.782312925	0.800654909	0.796628448	0.805344213	0.757679749	0.779919832	0.738426611	0.786740715	0.776193761	0.787416107	0.777468276	0.767505678	0.749094501	0.731867694	0.754536772	0.761771839	0.779669121	0.716756112	0.684966412	0.629795981	0.704451738	0.665057915	0.692520248	0.801475171	0.753654506	0.733240777	0.768081761	0.761078287	0.735526316	0.719919977	0.803209782	0.755870549
chr1	30000001	32000000	0.720110156	0.770449679	0.763712638	0.741060961	0.714189455	0.753286405	0.753626088	0.737187128	0.720309088	0.736812984	0.747575912	0.73034951	0.731334734	0.7300062	0.728932039	0.730691057	0.730459012	0.743962793	0.76392129	0.766171091	0.706641891	0.709891963	0.750980962	0.76083211	0.767283091	0.753901412	0.724790905	0.74030303	0.727681078	0.74520528	0.736060971	0.742451967	0.742561643	0.749948676	0.718291055	0.721218796	0.742443212	0.726101133	0.731626312	0.703204256	0.677821684	0.487974931	0.584829608	0.502152642	0.507822493	0.741577399	0.750835189	0.660924553	0.724150849	0.724908944	0.725132011	0.724424939	0.741441251	0.722676107
chr1	32000001	34000000	0.735891104	0.766499373	0.749394222	0.754700569	0.687722543	0.782139578	0.765776264	0.74454695	0.748930971	0.728870089	0.749242716	0.729357378	0.724160962	0.725457571	0.754280671	0.746856949	0.720015182	0.714285714	0.786943799	0.781722816	0.701939144	0.704050075	0.7667979	0.790310371	0.770461744	0.785176056	0.732000834	0.746505248	0.688709827	0.777252119	0.756064974	0.759003894	0.748260253	0.739137814	0.714271975	0.707155151	0.730847724	0.721394071	0.768171242	0.703948773	0.610328638	0.588983653	0.706091453	0.6015625	0.6630321	0.779966295	0.728070175	0.69139728	0.723771292	0.721213671	0.718005605	0.705814401	0.774840645	0.713021588
chr1	34000001	36000000	0.741214801	0.793855302	0.762371264	0.765684806	0.732448415	0.782913293	0.765412244	0.764535125	0.745814036	0.756535772	0.765201984	0.729442537	0.748188406	0.751724138	0.759579593	0.743246118	0.734179357	0.750815308	0.7764113	0.772695826	0.721889301	0.722604476	0.768503192	0.787201913	0.784234598	0.770995968	0.739828738	0.76108156	0.745482311	0.76346399	0.749470583	0.769117358	0.753943491	0.777087421	0.749709415	0.750827815	0.758061026	0.745563481	0.746926341	0.718961278	0.685866194	0.49686882	0.566069821	0.480174156	0.52913301	0.745059403	0.745410236	0.668814759	0.721086449	0.741643059	0.738742892	0.744338287	0.758550879	0.746639511
chr1	36000001	38000000	0.718603885	0.759786013	0.723912815	0.734322508	0.682576929	0.750680862	0.731306413	0.72836345	0.721397095	0.723557271	0.727817526	0.719131615	0.717297297	0.709114889	0.723622209	0.712842183	0.703086509	0.732736138	0.761461517	0.76119932	0.699542108	0.690271671	0.736740064	0.76019665	0.758267616	0.748024481	0.707741935	0.726710193	0.680603584	0.734996157	0.733503299	0.748645815	0.72709537	0.744382581	0.715022495	0.715435964	0.738591355	0.718765005	0.724250459	0.678238583	0.63121295	0.533725634	0.606418919	0.511438111	0.541439527	0.725748503	0.703393939	0.648099543	0.712157949	0.717924075	0.705111229	0.681531465	0.74929312	0.718571805
chr1	38000001	40000000	0.736067438	0.780238727	0.745363254	0.738731523	0.694997858	0.761012574	0.766090298	0.763933932	0.7296643	0.721595047	0.734765235	0.738096396	0.719148127	0.72345679	0.748820029	0.755465274	0.718700816	0.707075042	0.778995177	0.780710375	0.706495016	0.702725367	0.75685441	0.769005344	0.771662416	0.761094675	0.725094449	0.725090666	0.71186797	0.757746278	0.750336101	0.762781921	0.74357784	0.743501199	0.719699481	0.714205542	0.721211061	0.7195371	0.758640833	0.688024316	0.621088054	0.518632112	0.625474301	0.526248399	0.588625228	0.749355423	0.710013532	0.678211841	0.716332027	0.733577727	0.688736777	0.69832881	0.759140412	0.703967978
chr1	40000001	42000000	0.719312222	0.793979304	0.767812992	0.776397053	0.704358443	0.774620074	0.774952741	0.752180566	0.74156392	0.742876267	0.746463685	0.743139022	0.715551537	0.711383896	0.74945864	0.754453441	0.712252643	0.718678029	0.795305601	0.786592822	0.700681798	0.699893313	0.77080292	0.780888208	0.789580265	0.780881026	0.743949878	0.741053145	0.720963462	0.758010118	0.746507774	0.754559339	0.755258126	0.744512997	0.724661788	0.70697448	0.746664279	0.727238095	0.767120604	0.704531499	0.663241476	0.583320439	0.703549246	0.636864907	0.662439792	0.784674633	0.723401379	0.70065981	0.73935202	0.721957852	0.724384201	0.73803681	0.786137804	0.730099389
chr1	42000001	44000000	0.75900358	0.815193888	0.797795879	0.799333821	0.735215866	0.797960993	0.792154812	0.782414549	0.762526096	0.759023576	0.776232967	0.770734432	0.726549053	0.758656331	0.769627877	0.78774167	0.768445323	0.76242084	0.798227244	0.806554064	0.726954552	0.737615283	0.79412886	0.80902909	0.798888817	0.810080079	0.771699545	0.768581612	0.747435897	0.790766361	0.773771049	0.777788361	0.775769262	0.786284235	0.756921167	0.73899985	0.756170459	0.77270319	0.793495422	0.741435218	0.669399666	0.590090457	0.717335532	0.625193308	0.629812642	0.804367976	0.771645186	0.718123761	0.76609988	0.770409941	0.74804922	0.723784722	0.798704746	0.768069666
chr1	44000001	46000000	0.746684618	0.798500208	0.791010994	0.778360557	0.715291107	0.799438393	0.787238246	0.754073513	0.757721558	0.761292017	0.768106775	0.770220498	0.742840669	0.738187799	0.763273453	0.765581908	0.758863212	0.748472622	0.799897646	0.801697155	0.720764883	0.736690606	0.790357925	0.792377835	0.789346547	0.804321681	0.75226934	0.761727406	0.756928958	0.782627547	0.776978962	0.776173913	0.766308899	0.770057657	0.756272007	0.723105572	0.746604749	0.755933657	0.787326883	0.733724973	0.680631379	0.640257771	0.742063196	0.626174238	0.698622162	0.803206455	0.766225421	0.736793612	0.771963982	0.744987048	0.729445507	0.731482834	0.796536358	0.764591267
chr1	46000001	48000000	0.710314446	0.76579062	0.733175636	0.7588293	0.678959303	0.764882067	0.767724868	0.747920825	0.711870636	0.742131363	0.726498592	0.735525732	0.716526734	0.707279824	0.730708661	0.729824561	0.724210526	0.719875	0.783094414	0.787331334	0.691276187	0.686350307	0.75364834	0.77559208	0.773486499	0.772634132	0.718089272	0.722652233	0.686565461	0.754359662	0.729793312	0.745322452	0.734415697	0.741777018	0.70016831	0.676884838	0.735353342	0.715487943	0.747483494	0.683587839	0.645407827	0.617195496	0.711894273	0.634645669	0.677535085	0.773690281	0.714263897	0.674317689	0.752246647	0.708394544	0.689189189	0.709725686	0.764548907	0.727355439
chr1	48000001	50000000	0.758840461	0.798027757	0.760200669	0.767851492	0.722957261	0.77582846	0.761315229	0.758758548	0.757092614	0.768817964	0.779807692	0.747910864	0.767348114	0.758378623	0.775559589	0.745293168	0.753709199	0.761663286	0.784567198	0.789910714	0.734085122	0.72877438	0.773523422	0.785685597	0.781927507	0.773817274	0.75563222	0.761612426	0.7583152	0.776081693	0.75026643	0.758837295	0.753661643	0.772702407	0.747838118	0.754278862	0.758374519	0.757258065	0.744844688	0.709534368	0.703895566	0.478065354	0.656462585	0.557853778	0.529847674	0.781507002	0.74868261	0.67846101	0.742183004	0.727457415	0.74614923	0.746871311	0.770495951	0.749366413
chr1	50000001	52000000	0.749393449	0.792009401	0.756011936	0.768880897	0.701952136	0.770673682	0.782233435	0.763937935	0.736726634	0.75804807	0.756446214	0.731740991	0.727917282	0.731346786	0.753914328	0.731130877	0.711205929	0.748911347	0.778920966	0.765308673	0.701882845	0.715766555	0.768200584	0.779392241	0.778138704	0.777694236	0.749299865	0.747719273	0.729849831	0.779794313	0.752049424	0.756306698	0.750932631	0.76052211	0.752661896	0.737534189	0.755729381	0.742480643	0.751424325	0.698161065	0.625565146	0.587535473	0.677798528	0.615687086	0.617739942	0.75738969	0.758908573	0.710772619	0.741058122	0.7416848	0.707507622	0.697569757	0.777830581	0.726051925
chr1	52000001	54000000	0.789668402	0.829627715	0.823030303	0.812087015	0.755587519	0.818135114	0.802343904	0.806979362	0.794378937	0.78353076	0.793578269	0.782560372	0.778323263	0.773048531	0.794105854	0.792847632	0.768575624	0.796743339	0.829856162	0.823493976	0.754788201	0.757950366	0.801316619	0.823479006	0.824867014	0.82527809	0.786873627	0.797479615	0.766633998	0.8105967	0.799459932	0.809129715	0.802992706	0.785886436	0.789939821	0.755800207	0.774075094	0.799004575	0.79652224	0.749458392	0.702181314	0.64844537	0.721593516	0.647777168	0.732326699	0.821078701	0.773278274	0.758417784	0.788949726	0.789066529	0.781828301	0.756716639	0.817402408	0.787419815
chr1	54000001	56000000	0.769336654	0.822316889	0.793197852	0.787565142	0.731120201	0.798362573	0.784500859	0.785757302	0.757751004	0.789701759	0.771501926	0.775114155	0.773265651	0.790422985	0.771488033	0.762259929	0.753483835	0.761904762	0.795390138	0.806659582	0.742114687	0.740112994	0.788581874	0.799432356	0.7942957	0.797091019	0.768886224	0.770407179	0.761725293	0.790099423	0.769976871	0.783078545	0.788280901	0.784804016	0.782398897	0.74476791	0.761370829	0.762127355	0.781711491	0.729393468	0.71785005	0.55393586	0.723906963	0.628608247	0.693918047	0.800784656	0.78131524	0.718449489	0.759924386	0.761550509	0.75095057	0.74383464	0.793486894	0.756675567
chr1	56000001	58000000	0.757923555	0.799406425	0.786939571	0.791841492	0.740092922	0.78945506	0.796336796	0.770954729	0.758987701	0.785622179	0.786727689	0.764394489	0.759100326	0.763001662	0.782260754	0.784084084	0.768941295	0.786904762	0.795207579	0.808002148	0.746667712	0.743012055	0.790101496	0.788127413	0.799509762	0.793081046	0.772113696	0.773764558	0.756025148	0.788398084	0.771902337	0.777446919	0.780294577	0.777924478	0.77157262	0.762959077	0.777038751	0.779662379	0.770638728	0.745555022	0.71465721	0.466295665	0.724090909	0.64647655	0.621998562	0.793194531	0.778469751	0.714866864	0.780546624	0.757391721	0.756518082	0.748668527	0.777448454	0.767150396
chr1	58000001	60000000	0.76899696	0.798953258	0.785021732	0.786493563	0.736170213	0.782568807	0.779236277	0.761359991	0.770365169	0.768595041	0.789892887	0.767201913	0.743504699	0.746532759	0.768009409	0.749597424	0.749461594	0.77311751	0.795266924	0.801912689	0.722344645	0.741809364	0.782371924	0.797632861	0.782409639	0.792288952	0.766892794	0.76975764	0.749641663	0.79908953	0.764435614	0.775337423	0.779168975	0.774287223	0.774419011	0.739967407	0.758468336	0.761314036	0.763399021	0.767207866	0.699365751	0.487488829	0.723338662	0.629692471	0.604234759	0.792140257	0.7711322	0.706256273	0.763539563	0.746548167	0.742342715	0.758792776	0.789861406	0.750227657
chr1	60000001	62000000	0.785374554	0.810747271	0.793519939	0.792808789	0.750249117	0.804255806	0.792290946	0.789078647	0.75959261	0.78668587	0.781906597	0.772284544	0.748928353	0.780160226	0.77912701	0.769691781	0.800673052	0.781854329	0.810217415	0.811769616	0.745796092	0.754996909	0.796610169	0.811866015	0.807925408	0.805892637	0.780039856	0.781625183	0.760217162	0.799881117	0.78060241	0.795232063	0.787862038	0.779271636	0.77054429	0.754901961	0.777450568	0.779029532	0.78235568	0.766863614	0.710574294	0.594515442	0.746292677	0.645343137	0.675767918	0.787468309	0.781349749	0.722653363	0.756036314	0.776788658	0.78311292	0.765435356	0.785623188	0.758948238
chr1	62000001	64000000	0.785453956	0.813819308	0.805887141	0.796114775	0.751887234	0.808673708	0.802975604	0.797251728	0.772863009	0.784449045	0.793732705	0.781877729	0.775387694	0.766823161	0.784587996	0.792788783	0.76782416	0.769136558	0.813732812	0.819887296	0.749899153	0.760109183	0.799703631	0.808737083	0.810744177	0.807985191	0.780779782	0.796865725	0.77266243	0.809692467	0.776740071	0.794537056	0.783764809	0.788522727	0.767538565	0.759107035	0.771020273	0.770218151	0.780953374	0.756269323	0.71141046	0.561868784	0.747383444	0.636332299	0.693555656	0.800675275	0.785907371	0.729771858	0.765161879	0.761221486	0.758461047	0.790111199	0.805226131	0.77985973
chr1	64000001	66000000	0.765517241	0.809240622	0.788240843	0.789569903	0.739918748	0.797226159	0.792242104	0.785265299	0.746853147	0.762029976	0.778261942	0.770626866	0.750792812	0.771656768	0.760187225	0.786054678	0.767529215	0.753884208	0.80363134	0.805607623	0.731573803	0.734023383	0.794897046	0.799083949	0.792011515	0.797917998	0.766305819	0.768732175	0.750410734	0.795259614	0.77105563	0.795081075	0.780613736	0.772480795	0.760419836	0.742720635	0.751880583	0.759342594	0.76955369	0.707770601	0.672572644	0.598586017	0.731759448	0.626379901	0.703721841	0.800392714	0.76279509	0.732461356	0.765290389	0.768479184	0.773433218	0.752731092	0.793995277	0.752463901
chr1	66000001	68000000	0.775801518	0.803997779	0.785539216	0.795238095	0.738572113	0.789595517	0.789407666	0.77546825	0.75657733	0.775937228	0.78659612	0.768371457	0.77458289	0.775289992	0.799450549	0.783924205	0.765511684	0.774765281	0.79918538	0.807695806	0.734839955	0.754036657	0.791685193	0.799324169	0.793100561	0.79399073	0.777202966	0.776471529	0.763837638	0.7982466	0.776712144	0.78791037	0.789312257	0.769156159	0.771603718	0.756806859	0.782136391	0.779013781	0.766718694	0.747912317	0.713843774	0.506621497	0.72403345	0.665234002	0.636169238	0.797737557	0.768227347	0.734935164	0.792883587	0.760298974	0.754651666	0.776900027	0.790145766	0.757842996
chr1	68000001	70000000	0.757506565	0.792889391	0.763729246	0.780770199	0.736711868	0.777892429	0.773836549	0.75468712	0.762540153	0.771295014	0.767594108	0.740740741	0.772120787	0.758112899	0.784688995	0.758911212	0.75083426	0.769441188	0.787942259	0.780792504	0.740897904	0.733979789	0.783325592	0.791670036	0.792024014	0.778241498	0.754028182	0.772715439	0.746026139	0.770816538	0.769935713	0.759546209	0.760312424	0.772034658	0.759753185	0.749365252	0.773512476	0.76994943	0.760524948	0.746831956	0.731416731	0.537599497	0.709162368	0.563795853	0.530964002	0.774732199	0.770038412	0.687757909	0.748207507	0.756340226	0.735492892	0.747337593	0.773191924	0.75983405
chr1	70000001	72000000	0.763612736	0.818704181	0.778702163	0.777147488	0.747694978	0.778913823	0.793479956	0.774476879	0.773998903	0.76454644	0.759339236	0.755352961	0.790118243	0.778869048	0.771153846	0.76744186	0.746031746	0.775159915	0.795321637	0.805810398	0.74432193	0.743314501	0.781663166	0.800346649	0.802262837	0.78265896	0.749826092	0.786033619	0.744105141	0.792875505	0.761189678	0.772766821	0.760653126	0.772069349	0.779822768	0.760107095	0.762962963	0.769209735	0.768631524	0.733293733	0.728486647	0.472369162	0.691086202	0.524800456	0.466887417	0.745435701	0.783620926	0.658184171	0.759893822	0.76664041	0.772750253	0.750611247	0.771256584	0.762466755
chr1	72000001	74000000	0.781011887	0.79466255	0.78338183	0.784026997	0.73244382	0.784931078	0.78468263	0.768024133	0.759774789	0.758148793	0.785981308	0.755030181	0.798287854	0.768279374	0.800492611	0.752988048	0.739146707	0.783274441	0.771821221	0.807091281	0.756408769	0.759056513	0.78171395	0.797025535	0.800292612	0.756969034	0.752418403	0.788598575	0.768602753	0.777942046	0.758495366	0.759791123	0.774488531	0.769348953	0.775886129	0.757047668	0.765018043	0.763051279	0.740263676	0.695934959	0.766591252	0.364344103	0.728478964	0.452719971	0.323379323	0.69632729	0.762168142	0.622858748	0.737290626	0.773699498	0.75226978	0.744824841	0.759053954	0.779925187
chr1	74000001	76000000	0.700961538	0.740225891	0.711092003	0.731501994	0.672629258	0.72795389	0.740822947	0.707049087	0.716026242	0.706448087	0.710923355	0.684919887	0.695744681	0.721557909	0.713242009	0.714665653	0.696868009	0.735818476	0.728696779	0.746707504	0.685216834	0.684767929	0.714730993	0.742950588	0.743218249	0.718839695	0.698774081	0.713984116	0.688163265	0.738434875	0.697928199	0.712726138	0.714065348	0.708088489	0.717640779	0.703392517	0.717876533	0.715122148	0.687368863	0.65483871	0.653858894	0.434345939	0.651333138	0.45581691	0.435828427	0.681476588	0.679080311	0.566037736	0.679443423	0.715369172	0.698134224	0.689619014	0.726939683	0.705955777
chr1	76000001	78000000	0.76010603	0.793728476	0.769045005	0.781764196	0.744195277	0.798308878	0.790512114	0.769267707	0.77047933	0.766959163	0.77566315	0.753735387	0.775648253	0.777089783	0.786610879	0.771749298	0.77901524	0.765706052	0.79092152	0.805986696	0.742489634	0.740708529	0.778849506	0.79236786	0.795791115	0.773769423	0.764815353	0.774995698	0.764368845	0.788579355	0.75732788	0.777840034	0.781753351	0.777971014	0.77562976	0.767475906	0.768685567	0.765882856	0.767584881	0.699606815	0.702357564	0.469092015	0.655579535	0.470463576	0.460914011	0.73240706	0.771978022	0.611587607	0.711338058	0.777859915	0.748688712	0.754617414	0.778617157	0.767047117
chr1	78000001	80000000	0.757320159	0.802967693	0.778711485	0.777763627	0.728507239	0.787623066	0.775655601	0.776178481	0.770053476	0.775714816	0.76996293	0.760412597	0.752719362	0.759743727	0.772533712	0.756887052	0.768230639	0.786780384	0.780665951	0.798382749	0.738496072	0.733345145	0.777659574	0.790556708	0.782122905	0.781378046	0.753095884	0.768726592	0.755277158	0.789242714	0.779925353	0.762709517	0.767804154	0.765324519	0.761087866	0.743824451	0.792291951	0.776572855	0.762564555	0.736510338	0.740920097	0.542150039	0.74560419	0.595720721	0.598481327	0.749477924	0.772910508	0.665371809	0.729487179	0.756018342	0.742785731	0.740523969	0.777165258	0.767217406
