	MFO.0	MFC.1	SD0.0	SD1.1	logOR.ACSS3	Pval.ACSS3	CI_upper.ACSS3	CI_lower.ACSS3	Sen	Spec	AUC
PEX5L	0.0918700075441037	0.266169319805112	0.104635322106818	0.183293709006547	3.6231669277475	1.92966546958868e-08	5.00117393394121	2.45678508758159	0.670588235294118	0.86046511627907	0.803419972640219
RBMY1F	0.753680844071379	0.736841538299508	0.217293304650083	0.239952222892815	-0.141493752294737	0.629192100898727	0.433331754592944	-0.730662391650079	0.788235294117647	0.325581395348837	0.543980848153215
RUNDC3B	0.036450033463679	0.112092708501959	0.0273148442682724	0.161067426819519	5.0474228789718	0.00148650584405692	8.73443456520469	2.445918193494	0.411764705882353	0.848837209302326	0.609712722298222
RXFP3	0.0533924010130684	0.139460932838014	0.054198171157084	0.162406155857971	3.86755031215202	0.000230811877912226	6.21681216938178	2.05710097376067	0.458823529411765	0.895348837209302	0.659644322845417
RYR2	0.114626289115342	0.309566230265859	0.0998549296368263	0.191994722710225	3.7819566688242	3.81658139002679e-09	5.15565388388274	2.6226393767362	0.694117647058824	0.837209302325581	0.815731874145007
SHOX2	0.121843094014134	0.335531414569544	0.0992940415689496	0.211749576544765	3.78313312344461	1.99981308483124e-08	5.25631443780864	2.58935451478022	0.654761904761905	0.916666666666667	0.816326530612245
SLC6A2	0.0359987972979482	0.109605922535867	0.0320922729440785	0.0952058841375914	13.2441163320876	1.58965648429217e-07	18.6540939300277	8.73127693685518	0.823529411764706	0.767441860465116	0.841176470588235
SOX11	0.131789583276329	0.359627280389351	0.129093311901725	0.196697847683145	3.48623425906465	3.46565423195473e-10	4.66550732777544	2.47474545630734	0.8	0.813953488372093	0.848837209302326
SPAG6	0.14911809893044	0.383431396212256	0.118267408670778	0.214133161986501	3.45069413175245	1.07934960587036e-09	4.66089288097893	2.4285517763481	0.717647058823529	0.872093023255814	0.834610123119015
SRCIN1	0.0571188023268004	0.196513365895027	0.0655286743917425	0.174781096418556	5.60072737944772	2.18971630945448e-07	7.9200399691069	3.66851614512782	0.682352941176471	0.847058823529412	0.787820069204152
TLX1	0.0996058360082078	0.326042037166503	0.113629085800493	0.212346367197131	3.85816615673377	5.59476496040308e-09	5.27903472858823	2.67340874651938	0.773809523809524	0.813953488372093	0.850221483942414
TRH	0.152843742509736	0.379676912136172	0.134976178585239	0.200694971026679	3.26368378900571	6.96575480839275e-10	4.38466750256842	2.29891805550528	0.823529411764706	0.732558139534884	0.833652530779754
VSTM2A	0.143365727623052	0.3500241140267	0.135298130819359	0.185638804527922	3.32929298295987	1.17868809716879e-09	4.48569592347066	2.32768113647775	0.8	0.802325581395349	0.832010943912449
WNT7B	0.11926371786364	0.326663912354498	0.120284070738622	0.196680927403738	3.35424293698671	1.98351251031263e-09	4.54129503002662	2.33588855730438	0.69047619047619	0.86046511627907	0.814091915836102
ZNF273	0.197767791728066	0.428479786417574	0.164503081781074	0.230171155275473	2.32719811789687	2.79395113129839e-09	3.13924173836011	1.59784356099134	0.764705882352941	0.732558139534884	0.776333789329685
ZNF385D	0.111533416489995	0.154940273802651	0.0473844794769604	0.0956464021673415	3.48749491944368	0.00057595156274284	5.59154747582136	1.59684254240868	0.297619047619048	0.965116279069767	0.606866002214839
ZNF415	0.14207791222722	0.241806803308114	0.0571308533208991	0.112827195204757	6.15487708995356	6.12850081707678e-08	8.57835783851739	4.10358965941589	0.670588235294118	0.848837209302326	0.784678522571819
ZNF583	0.0464242403972764	0.181599971035201	0.0680245050212991	0.168847298730967	4.26106406443238	6.81717475916854e-07	6.14683507904714	2.748804781826	0.682352941176471	0.755813953488372	0.738714090287278
ZNF781	0.0870772646232818	0.347199659486802	0.12285645755716	0.236384921553402	3.30533590108371	1.87991674915899e-09	4.49538060006664	2.32151340896012	0.788235294117647	0.813953488372093	0.825991792065663
