	Pvalue	FDR	Delta	MG1	MG2
chr18:2536599-2536728	4.47236317714302e-05	0.047027727023062	0.555362207899409	0.70987710878115	0.15451490088174
chr19:16474065-16474202	2.50845024365967e-05	0.0335748316089591	0.335677044769238	0.77836101991317	0.442683975143932
chr19:16474241-16474270	1.48164709592093e-05	0.026850282574654	0.372360256142003	0.647541534139327	0.275181277997323
chr19:18156535-18156665	2.19265166997579e-05	0.0316553739981377	0.421613274715438	0.482001062872471	0.0603877881570333
chr19:30942170-30942179	1.44560345985678e-05	0.0267666051057352	0.369380704911124	0.690231019829177	0.320850314918054
chr19:511303-511315	5.11183797970721e-07	0.0044357425701751	0.666545757404813	0.680435828759429	0.0138900713546161
chr1:115053283-115053318	9.774661603619e-06	0.0213649622977085	0.007077773665197	0.00707893237249949	1.15870730248884e-06
chr1:209974624-209974732	2.38081164821264e-05	0.0327065920182605	0.399551952831294	0.58681436270461	0.187262409873317
chr1:224201669-224201684	3.47515032033036e-07	0.00369986222791872	-0.678969848187983	0.0635813509793001	0.742551199167283
chr1:229406177-229406250	2.19279239417435e-05	0.0316553739981377	0.390341883894218	0.797540764699156	0.407198880804938
chr1:46088591-46088608	3.3404674354369e-05	0.0412344395476039	0.406271257267721	0.596230806562848	0.189959549295127
chr1:47472219-47472309	2.35148633037633e-06	0.00801132580868571	0.590702522945731	0.905849138146664	0.315146615200933
chr1:56353664-56353923	1.46729537834135e-06	0.00576919521369862	0.593415380076087	0.900001161854259	0.306585781778173
chr1:61604773-61604805	3.29280548343437e-06	0.0100163614800198	0.538058694017909	0.867285059538273	0.329226365520364
chr1:724299-724309	1.6255247762094e-06	0.00601960094626449	-0.651299505090809	0.237590477807484	0.888889982898292
chr1:93042960-93043092	3.73658267192164e-05	0.0424341274554109	0.401443008383357	0.589563309792673	0.188120301409316
chr20:4419460-4419634	3.6123926459377e-05	0.0415781511935746	0.602980776537689	0.827381804679738	0.224401028142049
chr20:54434528-54434672	1.37336490651675e-06	0.00576919521369862	0.622102003398748	0.774510482555166	0.152408479156418
chr21:15436259-15436274	1.02317940617805e-07	0.00217868148906007	0.410315597512387	0.764312633457632	0.353997035945245
chr21:34032153-34032238	7.4728527913232e-07	0.00454632350568122	0.435442500068729	0.62131671311722	0.185874213048491
chr21:43468083-43468153	6.92505280732336e-07	0.00453713479044733	0.415448717174982	0.714724901835951	0.299276184660969
chr22:18339727-18339924	5.53769887539574e-06	0.0152149169778736	0.511291425165111	0.998413626776252	0.48712220161114
chr22:20088453-20088632	1.01772733710956e-05	0.0216707226209081	0.388632040008147	0.522655315711104	0.134023275702958
chr22:46475686-46475868	2.52285257414132e-05	0.0335748316089591	0.318539251899985	0.624665406766157	0.306126154866172
chr22:50242598-50242617	9.28295426606139e-06	0.0213649622977085	0.0182063156785571	0.0182072197533563	9.0407479922075e-07
chr2:174890706-174890742	1.10338387098548e-06	0.00494623760228667	0.3558274157496	0.85865941544269	0.50283199969309
chr2:218731149-218731365	2.86205008892432e-05	0.0363834913767092	0.454960828934611	0.694842504092024	0.239881675157412
chr2:240646189-240646202	4.28258666405518e-06	0.0125779570323301	0.380130936967872	0.72523966760926	0.345108730641388
chr2:30002964-30003103	6.24167200155746e-07	0.00453713479044733	0.647135934391189	0.980159272316554	0.333023337925365
chr2:90449738-90449746	3.00278911717889e-08	0.00214011801686763	0.206316632597277	0.206317796898265	1.16430098790281e-06
chr3:122401128-122401342	2.34267694864642e-05	0.0327065920182605	0.482729872981581	0.651516442262405	0.168786569280824
chr3:14674657-14674850	3.95655616933567e-05	0.0432040716167727	0.571110757804296	0.731482462214008	0.160371704409712
chr3:19189721-19189796	1.53452516531228e-05	0.0269558286821587	0.00349579042801554	0.00366352404697291	0.000167733618957367
chr4:186153270-186153470	1.85600961213208e-05	0.0298267748479482	0.493250512907591	0.927452516233364	0.434202003325774
chr5:127445159-127445257	2.1029887022003e-06	0.0074632440305211	0.496709004332946	0.654060408777284	0.157351404444338
chr5:173043254-173043282	6.48458595957474e-07	0.00453713479044733	-0.13731930294359	0.0595529855131321	0.196872288456722
chr5:99389763-99389805	4.0929051398482e-05	0.0441272163894039	0.436898995252724	0.518663405446593	0.081764410193869
chr6:133936354-133936574	9.7864081304235e-07	0.00490316317466212	0.594395218914821	0.796784334377002	0.202389115462181
chr6:138428379-138428469	2.11476247870052e-05	0.0316553739981377	-0.497155487966679	0.214361359486659	0.711516847453339
chr6:149816834-149816973	8.9635379667967e-06	0.0213649622977085	0.545558487735427	0.86695999022129	0.321401502485863
chr6:168611974-168612041	2.58496090533376e-05	0.0338721346446142	0.512698290682279	0.727514170941198	0.214815880258919
chr6:41029070-41029123	1.49017053175736e-06	0.00576919521369862	0.573320449584138	0.68377902523355	0.110458575649412
chr6:5674612-5674807	3.58147529837689e-05	0.0415781511935746	0.5659519670605	0.785926476874519	0.219974509814019
chr6:90188821-90188932	1.74377472568391e-05	0.0285620239828223	0.422482830254822	0.497805868929283	0.0753230386744612
chr7:27147634-27147661	9.57191135984225e-06	0.0213649622977085	0.478195811725243	0.639169235422905	0.160973423697662
chr7:37296777-37297008	1.39664332222009e-05	0.0264347337074337	0.558173282166629	0.73699372990961	0.17882044774298
chr8:133906082-133906102	1.09060641340412e-06	0.00494623760228667	-0.428889326474915	0.571112304293634	1.00000163076855
chr8:140969281-140969296	6.36321064249441e-06	0.0159404041192111	0.453132003475483	0.79146635147037	0.338334347994886
chr8:61777936-61778053	1.37094791655329e-05	0.0264347337074337	0.395047836074501	0.777765330734811	0.382717494660309
chr8:62674067-62674299	3.14005649520384e-06	0.00990548266170357	0.521340957330433	0.637135501074021	0.115794543743588
chr9:15432454-15432505	4.44663677727219e-05	0.047027727023062	0.316524565355299	0.492319663536585	0.175795098181286
chr9:34457259-34457300	9.78283645768765e-06	0.0213649622977085	0.382709852353466	0.728189591652595	0.345479739299129
chr9:73216108-73216131	2.82944964037991e-05	0.0363834913767092	0.548610871044144	0.841513162021281	0.292902290977137
