	value	Group
99	0	NP-Kun
100	0	NP-Kun
101	NA	NP-Kun
102	NA	NP-Kun
103	0	NP-Kun
104	0	NP-Kun
105	NA	NP-Kun
106	0	NP-Kun
107	0	NP-Kun
108	0	NP-Kun
109	NA	NP-Kun
110	0	NP-Kun
111	0.0119047619047619	NP-Kun
112	0	NP-Kun
113	NA	NP-Kun
114	0	NP-Kun
115	0	NP-Kun
116	0	NP-Kun
117	NA	NP-Kun
118	0	NP-Kun
119	NA	NP-Kun
120	0	NP-Kun
121	NA	NP-Kun
122	0	NP-Kun
123	NA	NP-Kun
124	0	NP-Kun
125	NA	NP-Kun
126	0	NP-Kun
127	0.0416666666666667	NP-Kun
128	0.0333333333333333	NP-Kun
129	NA	NP-Kun
130	NA	NP-Kun
131	0	NP-Kun
132	0	NP-Kun
133	NA	NP-Kun
134	0	NP-Kun
135	0	NP-Kun
136	0	NP-Kun
137	NA	NP-Kun
138	0	NP-Kun
139	0	NP-Kun
140	0	NP-Kun
141	NA	NP-Kun
142	0	NP-Kun
143	0.0119047619047619	NP-Kun
144	0	NP-Kun
145	NA	NP-Kun
146	NA	NP-Kun
147	0	NP-Kun
148	0	NP-Kun
149	NA	NP-Kun
150	0	NP-Kun
151	0	NP-Kun
152	0	NP-Kun
153	NA	NP-Kun
154	0	NP-Kun
155	0	NP-Kun
156	0	NP-Kun
157	NA	NP-Kun
158	0	NP-Kun
159	NA	NP-Kun
160	0	NP-Kun
161	NA	NP-Kun
162	0	NP-Kun
163	0	NP-Kun
164	0	NP-Kun
165	NA	NP-Kun
166	0	NP-Kun
167	0	NP-Kun
168	0	NP-Kun
169	NA	NP-Kun
170	0	NP-Kun
171	NA	NP-Kun
172	0	NP-Kun
173	NA	NP-Kun
174	NA	NP-Kun
175	0.0277777777777778	NP-Kun
176	0	NP-Kun
177	NA	NP-Kun
178	0	NP-Kun
179	0	NP-Kun
180	0	NP-Kun
181	NA	NP-Kun
182	NA	NP-Kun
183	0	NP-Kun
184	0	NP-Kun
185	NA	NP-Kun
186	NA	NP-Kun
187	0	NP-Kun
188	0	NP-Kun
189	NA	NP-Kun
190	NA	NP-Kun
191	0	NP-Kun
192	NA	NP-Kun
193	NA	NP-Kun
194	0	NP-Kun
195	0	NP-Kun
196	NA	NP-Kun
197	NA	NP-Kun
198	NA	NP-Kun
199	0.0277777777777778	NP-Kun
200	0	NP-Kun
201	NA	NP-Kun
202	NA	NP-Kun
203	NA	NP-Kun
204	0	NP-Kun
205	NA	NP-Kun
206	NA	NP-Kun
207	NA	NP-Kun
208	NA	NP-Kun
209	NA	NP-Kun
210	NA	NP-Kun
211	0	NP-Kun
212	NA	NP-Kun
213	NA	NP-Kun
214	NA	NP-Kun
215	0	NP-Kun
216	NA	NP-Kun
217	0.00096688421561518	NP-Kun
218	0.00330166549378372	NP-Kun
219	0.0371428571428571	NP-Kun
220	NA	NP-Kun
221	NA	NP-Kun
222	0.00427350427350427	NP-Kun
223	0.19349193691299	NP-Kun
224	0.398818987054281	NP-Kun
225	0	NP-Kun
226	0.012169552194032	NP-Kun
227	0	NP-Kun
228	NA	NP-Kun
229	0	NP-Kun
230	0	NP-Kun
231	0.298426870748299	NP-Kun
232	0.314732142857143	NP-Kun
233	1	PCT
234	NA	PCT
235	NA	PCT
236	1	PCT
237	NA	PCT
238	0.576388888888889	PCT
239	0.805756248859697	PCT
240	NA	PCT
241	NA	PCT
242	NA	PCT
243	NA	PCT
244	NA	PCT
245	NA	PCT
246	0.474089635854342	PCT
247	0.991228070175439	PCT
248	NA	PCT
249	0.00793650793650794	PCT
250	1	PCT
251	1	PCT
252	NA	PCT
253	NA	PCT
254	0.474906616017727	PCT
255	0.100470669132641	PCT
256	0.877777777777778	PCT
257	NA	PCT
258	NA	PCT
259	NA	PCT
260	NA	PCT
261	0.916666666666667	PCT
262	NA	PCT
263	NA	PCT
264	NA	PCT
265	NA	PCT
266	NA	PCT
267	NA	PCT
268	NA	PCT
269	NA	PCT
270	0.524803591470258	PCT
271	0.195054945054945	PCT
272	NA	PCT
273	0.000560224089635854	PCP
274	0.101763346869598	PCP
275	0.344444444444444	PCP
276	0	PCP
277	0	PCP
278	0	PCP
279	0.673850304285087	PCP
280	0.233333333333333	PCP
281	0	PCP
282	0	PCP
283	NA	PCP
284	NA	PCP
285	0	PCP
286	0	PCP
287	0.41031746031746	PCP
288	NA	PCP
289	0	PCP
290	0.018922511533349	PCP
291	0.5	PCP
292	0	PCP
293	0	PCP
294	0	PCP
295	0.797657952069717	PCP
296	NA	PCP
297	0	PCP
298	0.283515521150989	PCP
299	0.295634920634921	PCP
300	NA	PCP
301	0	PCP
302	0	PCP
303	0.732855211049937	PCP
304	0.307359307359307	PCP
305	0	PCP
306	0.000933706816059757	PCP
307	0	PCP
308	0	PCP
309	0	PCP
310	0	PCP
311	0.861363636363636	PCP
312	0.0625	PCP
313	NA	PCP
314	NA	PCP
315	NA	PCP
316	0	PCP
317	NA	PCP
318	0.654268044385626	PCP
319	0.32723644828733	PCP
320	NA	PCP
321	NA	PCP
322	0	PCP
323	NA	PCP
324	NA	PCP
325	NA	PCP
326	0.448529411764706	PCP
327	0.0208333333333333	PCP
328	NA	PCP
329	0	PCP
330	NA	PCP
331	1	PCP
332	NA	PCP
333	NA	PCP
334	0.416666666666667	PCP
335	0.242374727668845	PCP
336	NA	PCP
337	NA	PCP
338	NA	PCP
339	NA	PCP
340	NA	PCP
341	0	PCP
342	0.66893039049236	PCP
343	0.0904634581105169	PCP
344	1	PCP
345	NA	PCP
346	NA	PCP
347	NA	PCP
348	0	PCP
349	0	PCP
350	0.543114397657797	PCP
351	0.420996376811594	PCP
352	NA	PCP
