V1	V2	V3
154	ESPNP	0	
155	MFAP2	0	
156	PADI2	0	
157	PADI1	0	
158	ARHGEF10L	0	
159	ACTL8	0	
160	IGSF21	0	
161	PAX7	0	
162	IFFO2	0	
163	UBR4	0	
164	CAPZB	1	24852370
165	TMCO4	0	
166	LINC01141	0	
167	HP1BP3	0	
168	EIF4G3	0	
169	ECE1	0	
170	ALPL	0	
171	LDLRAD2	0	
172	HSPG2	0	
173	CDC42	1	31572525
174	ZBTB40	0	
175	LUZP1	0	
176	TCEA3	0	
177	E2F2	1	30627556
178	IFNLR1	0	
179	NIPAL3	0	
180	NCMAP	0	
181	RHCE	0	
182	TMEM57	0	
183	MAN1C1	0	
184	SH3BGRL3	0	
185	LIN28A	0	
186	RPS6KA1	0	
187	TMEM222	0	
188	WASF2	0	
189	AHDC1	0	
190	PHACTR4	0	
191	SNHG3	0	
192	RCC1	0	
193	TAF12	0	
194	SRSF4	0	
195	PTPRU	0	
196	MATN1	0	
197	MATN1-AS1	0	
198	PTP4A2	0	
199	KPNA6	0	
200	HDAC1	2	30321539;25449511
201	ZBTB8A	0	
202	SYNC	2	22203705;12446068
203	S100PBP	0	
204	RNF19B	0	
205	PHC2	0	
206	LOC101929464	0	
207	ZSCAN20	0	
208	CSMD2-AS1	0	
209	DLGAP3	0	
210	ZMYM4	0	
211	KIAA0319L	0	
212	TFAP2E	0	
213	AGO4	0	
214	AGO3	0	
215	COL8A2	0	
216	STK40	0	
217	GRIK3	0	
218	SNIP1	0	
219	YRDC	0	
220	INPP5B	0	
221	RRAGC	0	
222	BMP8A	0	
223	BMP8B	0	
224	RLF	0	
225	NFYC-AS1	0	
226	KCNQ4	0	
227	SCMH1	0	
228	HIVEP3	0	
229	FOXJ3	0	
230	RIMKLA	0	
231	TMEM269	0	
232	CFAP57	0	
233	TIE1	0	
234	SZT2	0	
235	KDM4A-AS1	0	
236	ST3GAL3	0	
237	IPO13	0	
238	ERI3	0	
239	ERI3-IT1	0	
240	KIF2C	0	
241	EIF2B3	0	
242	ZSWIM5	0	
243	TESK2	0	
244	MAST2	0	
245	PIK3R3	0	
246	POMGNT1	0	
247	MKNK1	0	
248	CYP4Z2P	0	
249	CYP4X1	0	
250	CYP4Z1	0	
251	CMPK1	0	
252	SKINT1L	0	
253	SPATA6	0	
254	ELAVL4	0	
255	TTC39A	0	
256	EPS15	0	
257	OSBPL9	0	
258	NRDC	0	
259	ZFYVE9	0	
260	CC2D1B	0	
261	ZCCHC11	0	
262	ZYG11B	0	
263	ZYG11A	0	
264	LRP8	0	
265	GLIS1	0	
266	NDC1	0	
267	HSPB11	0	
268	CYB5RL	0	
269	SSBP3	0	
270	ACOT11	0	
271	MROH7-TTC4	0	
272	PLPP3	0	
273	PRKAA2	0	
274	C1orf168	0	
275	C8B	0	
276	DAB1-AS1	0	
277	OMA1	0	
278	LINC01358	0	
279	HOOK1	0	
280	LOC101926964	0	
281	PATJ	0	
282	KANK4	0	
283	DOCK7	0	
284	ATG4C	0	
285	LINC00466	0	
286	PGM1	0	
287	ROR1	0	
288	RAVER2	0	
289	JAK1	0	
290	AK4	0	
291	DNAJC6	0	
292	PDE4B	0	
293	TCTEX1D1	0	
294	WDR78	0	
295	SLC35D1	0	
296	IL23R	0	
297	SERBP1	0	
298	GNG12	0	
299	GNG12-AS1	0	
300	WLS	0	
301	DEPDC1	0	
302	PIN1P1	0	
303	LRRC40	0	
304	ANKRD13C	0	
305	PTGER3	0	
306	ZRANB2-AS2	0	
307	LINC01360	0	
308	LRRIQ3	0	
309	FPGT-TNNI3K	0	
310	TNNI3K	3	29452776;24925317;23236294
311	ERICH3	0	
312	SLC44A5	0	
313	MSH4	0	
314	ST6GALNAC5	0	
315	AK5	0	
316	ZZZ3	0	
317	MIGA1	0	
318	NEXN	0	
319	GIPC2	0	
320	MGC27382	0	
321	ADGRL4	0	
322	LINC01781	0	
323	ADGRL2	0	
324	LINC01725	0	
325	LOC101927560	0	
326	TTLL7	0	
327	PRKACB	0	
328	SAMD13	0	
329	LINC01461	0	
330	LPAR3	0	
331	MCOLN2	1	28839241
332	WDR63	0	
333	C1orf52	0	
334	COL24A1	0	
335	CLCA2	0	
336	LOC105378828	0	
337	HS2ST1	0	
338	LOC101927844	0	
339	PKN2	1	23593175
340	GBP1	1	26077910
341	GBP4	0	
342	LRRC8B	0	
343	LRRC8D	0	
344	HFM1	0	
345	RPAP2	0	
346	EVI5	0	
347	MTF2	0	
348	CCDC18	0	
349	FNBP1L	0	
350	BCAR3	0	
351	ABCA4	0	
352	ABCD3	2	24029463;22303740
353	LINC01057	0	
354	SLC44A3	0	
355	TMEM56-RWDD3	0	
356	LOC101928118	0	
357	LINC01761	0	
358	LINC01787	0	
359	PTBP2	0	
360	DPYD	0	
361	DPYD-AS1	0	
362	LINC01776	0	
363	SNX7	0	
364	LOC100129620	0	
365	PLPPR4	0	
366	PALMD	0	
367	MFSD14A	0	
368	CDC14A	0	
369	VCAM1	1	24282904
370	OLFM3	0	
371	COL11A1	0	
372	RNPC3	0	
373	AMY1A	0	
374	VAV3	0	
375	VAV3-AS1	0	
376	STXBP3	0	
377	GPSM2	0	
378	WDR47	0	
379	KIAA1324	0	
380	MYBPHL	0	
381	GSTM1	0	
382	KCNC4	0	
383	RBM15	0	
384	DRAM2	0	
385	TMIGD3	0	
386	KCND3	6	30134221;29383177;28416822;26408535;24144883;23400760
387	CTTNBP2NL	0	
388	ST7L	0	
389	LINC01356	0	
390	LRIG2	0	
391	MAGI3	0	
392	AP4B1-AS1	0	
393	BCL2L15	0	
394	SYT6	0	
395	TRIM33	0	
396	DENND2C	0	
397	SYCP1	0	
398	TSPAN2	1	27796860
399	NGF	19	31503549;31475159;31101572;30246788;29717772;29425570;28554986;28392310;26446633;26277494;25224585;21889978;21441135;21318296;20138055;19187621;17923045;17765623;16922997
400	CASQ2	8	30450052;29178653;26243430;25384790;24493699;24216388;24120998;24048583
401	SLC22A15	0	
402	ATP1A1	1	26124749
403	IGSF3	0	
404	CD2	1	25269194
405	CD101	0	
406	LOC101929099	0	
407	VTCN1	0	
408	MAN1A2	0	
409	SPAG17	0	
410	WARS2	0	
411	LOC101929147	0	
412	HAO2	0	
413	FAM72B	0	
414	SRGAP2-AS1	0	
415	SRGAP2C	0	
416	PDE4DIP	0	
417	NOTCH2NL	0	
418	NBPF10	0	
419	LIX1L	0	
420	RNF115	0	
421	NBPF12	0	
422	FMO5	0	
423	LINC00624	0	
424	BCL9	0	
425	GPR89B	0	
426	NBPF11	0	
427	LOC101927468	0	
428	LOC388692	0	
429	PPIAL4C	0	
430	VPS45	0	
431	RPRD2	0	
432	TARS2	0	
433	ENSA	0	
434	CTSS	0	
435	ZNF687	0	
436	POGZ	0	
437	TUFT1	0	
438	SNX27	0	
439	RORC	0	
440	FLG-AS1	0	
441	CHTOP	0	
442	GATAD2B	0	
443	NUP210L	0	
444	IL6R	6	31552141;24940886;24239840;23593036;22690879;21846873
445	KCNN3	23	31169720;30110000;28381281;28239561;27451095;26370375;26272656;26243430;26073630;25953654;25684755;25391453;24978901;24910551;24296650;23499625;23428961;23376397;22726630;22019810
446	PBXIP1	0	
447	EFNA3	0	
448	ASH1L	0	
449	MSTO1	0	
450	SYT11	0	
451	LMNA	27	31476771;30871351;30518714;30488537;30191544;29947763;29791652;29250253;29237675;29095976;28790152;28123761;27884249;20301717;27373676;24990833;22413764;20092787;20041886;19672032
452	IQGAP3	0	
453	PRCC	0	
454	LRRC71	0	
455	FCRL4	0	
456	CD5L	0	
457	SPTA1	0	
458	IFI16	0	
459	FCRL6	0	
460	IGSF9	0	
461	KCNJ10	0	
462	CASQ1	0	
463	COPA	0	
464	CD244	0	
465	PFDN2	0	
466	ATF6	2	28399139;25523945
467	NOS1AP	1	23166209
468	DDR2	1	23593175
469	RGS5	0	
470	NUF2	0	
471	LMX1A	0	
472	RXRG	0	
473	LOC400794	0	
474	UCK2	0	
475	FAM78B	0	
476	FMO9P	0	
477	MAEL	0	
478	POU2F1	0	
479	RCSD1	0	
480	MPC2	0	
481	DCAF6	0	
482	TIPRL	0	
483	DPT	2	19009761;17982305
484	LINC00970	0	
485	ATP1B1	1	23166209
486	NME7	0	
487	BLZF1	0	
488	KIFAP3	0	
489	METTL11B	1	29050564
490	PRRX1	11	29545482;29355724;28974514;28460022;28129963;26243430;25953654;25713730;25391453;25196315;24239840
491	FMO2	0	
492	FMO4	0	
493	VAMP4	0	
494	LOC100506023	0	
495	LOC101928673	0	
496	SLC9C2	0	
497	DARS2	0	
498	RC3H1	0	
499	RABGAP1L	0	
500	CACYBP	0	
501	TNR	0	
502	PAPPA2	0	
503	ASTN1	0	
504	LOC730102	0	
505	RALGPS2	0	
506	FAM20B	0	
507	ABL2	0	
508	AXDND1	0	
509	TDRD5	0	
510	FAM163A	0	
511	TOR1AIP2	0	
512	CEP350	0	
513	LHX4	0	
514	XPR1	0	
515	MR1	5	29349803;9273201;8927547;8596748;3383412
516	CACNA1E	0	
517	LINC01344	0	
518	DHX9	0	
519	LAMC1	0	
520	NMNAT2	0	
521	RGL1	0	
522	TSEN15	0	
523	EDEM3	0	
524	FAM129A	0	
525	SWT1	0	
526	HMCN1	0	
527	C1orf27	0	
528	PLA2G4A	0	
529	LINC01036	0	
530	LINC01037	0	
531	BRINP3	0	
532	LINC01351	0	
533	LINC01720	0	
534	RGS18	0	
535	GLRX2	0	
536	CDC73	0	
537	LINC01031	0	
538	KCNT2	0	
539	CFHR4	0	
540	CRB1	0	
541	DENND1B	0	
542	PTPRC	0	
543	MIR181A1HG	0	
544	LINC01222	0	
545	NR5A2	0	
546	KIF14	0	
547	CAMSAP2	0	
548	CACNA1S	0	
549	IGFN1	0	
550	CSRP1	0	
551	NAV1	62	31622781;31195250;31077706;31021331;30499712;30488537;30400228;30385719;30356750;30016501;29871609;29798782;29780324;29752399;29714131;29378480;29358197;29339676;29269354;28965168
552	IPO9-AS1	0	
553	IPO9	0	
554	ELF3	0	
555	ARL8A	0	
556	LGR6	0	
557	SYT2	0	
558	KDM5B	0	
559	PPFIA4	2	28460022;28416822
560	ATP2B4	0	
561	ZC3H11A	0	
562	SOX13	0	
563	PLEKHA6	0	
564	LRRN2	0	
565	NFASC	0	
566	DSTYK	0	
567	LEMD1	0	
568	RASSF5	0	
569	FCMR	0	
570	YOD1	0	
571	CR1	1	665318
572	CR1L	0	
573	PLXNA2	0	
574	LOC101930114	0	
575	IRF6	0	
576	SYT14	0	
577	KCNH1	0	
578	LPGAT1	0	
579	INTS7	0	
580	PPP2R5A	0	
581	RPS6KC1	0	
582	PROX1-AS1	0	
583	PROX1	0	
584	PTPN14	0	
585	CENPF	0	
586	KCNK2	3	31616316;30134221;28526353
587	KCTD3	0	
588	GPATCH2	0	
589	SPATA17	0	
590	RRP15	0	
591	LYPLAL1-AS1	0	
592	LOC102723886	0	
593	RAB3GAP2	0	
594	MARK1	0	
595	MARC1	0	
596	DUSP10	0	
597	MIA3	0	
598	DISP1	0	
599	SUSD4	0	
600	CAPN8	0	
601	TP53BP2	0	
602	CNIH3	0	
603	ENAH	0	
604	SRP9	0	
605	ACBD3	0	
606	STUM	0	
607	ITPKB	0	
608	COQ8A	0	
609	CDC42BPA	0	
610	ZNF678	0	
611	SNAP47	0	
612	WNT3A	1	31178968
613	OBSCN	1	25173926
614	RHOU	1	31572525
615	URB2	0	
616	GALNT2	0	
617	PGBD5	0	
618	COG2	0	
619	TTC13	0	
620	TRIM67	0	
621	EXOC8	0	
622	DISC1	0	
623	PCNX2	0	
624	SLC35F3	0	
625	TOMM20	0	
626	ARID4B	0	
627	TBCE	0	
628	B3GALNT2	0	
629	GNG4	0	
630	NID1	0	
631	GPR137B	0	
632	EDARADD	0	
633	LGALS8	0	
634	HEATR1	0	
635	RYR2	79	31669150;31609246;31562981;31419440;31185731;31091723;31028179;30959203;30678657;30496756;30450052;30385719;30356673;30219899;30166973;29930145;29868113;29540372;29453615;29441747
636	CHRM3	0	
637	FMN2	0	
638	KMO	0	
639	WDR64	0	
640	PLD5	0	
641	CEP170	0	
642	SDCCAG8	0	
643	AKT3	0	
644	LOC339529	0	
645	ADSS	1	27577437
646	C1orf101	0	
647	DESI2	0	
648	EFCAB2	0	
649	CNST	0	
650	AHCTF1	0	
651	ZNF670-ZNF695	0	
652	ZNF670	0	
653	ZNF124	0	
654	NLRP3	8	31625260;31013135;30930414;30564139;30466624;30150941;29802206;26930272
655	GCSAML	0	
656	OR2L13	0	
657	DDX11L1	0	
658	WASH7P	0	
659	MIR6859-1	0	
660	MIR1302-2	0	
661	FAM138A	0	
662	OR4F5	0	
663	LOC729737	0	
664	LOC100132287	0	
665	OR4F29	0	
666	LOC101928626	0	
667	MIR6723	0	
668	OR4F16	0	
669	LOC100133331	0	
670	LOC100288069	0	
671	FAM87B	0	
672	LINC00115	0	
673	FAM41C	0	
674	LOC100130417	0	
675	SAMD11	0	
676	NOC2L	0	
677	KLHL17	0	
678	PLEKHN1	0	
679	PERM1	0	
680	HES4	0	
681	ISG15	0	
682	AGRN	0	
683	RNF223	0	
684	LINC01342	0	
685	MIR200B	0	
686	MIR200A	0	
687	MIR429	0	
688	TTLL10	0	
689	TNFRSF18	0	
690	TNFRSF4	0	
691	SDF4	0	
692	B3GALT6	0	
693	UBE2J2	0	
694	SCNN1D	0	
695	ACAP3	0	
696	MIR6726	0	
697	PUSL1	0	
698	INTS11	0	
699	MIR6727	0	
700	CPTP	0	
701	TAS1R3	0	
702	DVL1	0	
703	MIR6808	0	
704	MXRA8	0	
705	CCNL2	0	
706	LOC148413	0	
707	MRPL20	0	
708	ANKRD65	0	
709	TMEM88B	0	
710	LINC01770	0	
711	VWA1	0	
712	ATAD3C	0	
713	ATAD3B	0	
714	ATAD3A	0	
715	TMEM240	0	
716	SSU72	0	
717	FNDC10	0	
718	MIB2	0	
719	MMP23B	0	
720	SLC35E2B	0	
721	MMP23A	0	
722	CDK11A	0	
723	SLC35E2	0	
724	GNB1	1	30857284
725	CALML6	0	
726	TMEM52	0	
727	CFAP74	0	
728	GABRD	0	
729	LOC105378591	0	
730	FAAP20	0	
731	MORN1	0	
732	LOC100129534	0	
733	RER1	0	
734	PEX10	0	
735	PLCH2	0	
736	PANK4	0	
737	HES5	0	
738	LOC115110	0	
739	LOC100996583	0	
740	FAM213B	0	
741	MMEL1	0	
742	ACTRT2	0	
743	LINC00982	0	
744	MIR4251	0	
745	ARHGEF16	0	
746	MIR551A	0	
747	TPRG1L	0	
748	WRAP73	0	
749	TP73	0	
750	TP73-AS1	0	
751	SMIM1	0	
752	LRRC47	0	
753	CEP104	0	
754	C1orf174	0	
755	LINC01134	0	
756	LINC01346	0	
757	LINC01777	0	
758	MIR4417	0	
759	MIR4689	0	
760	CHD5	0	
761	RPL22	0	
762	LOC102724450	0	
763	RNF207	0	
764	LINC00337	0	
765	HES3	0	
766	GPR153	0	
767	HES2	0	
768	ESPN	0	
769	MIR4252	0	
770	TNFRSF25	0	
771	NOL9	0	
772	TAS1R1	0	
773	ZBTB48	0	
774	KLHL21	0	
775	PHF13	0	
776	THAP3	0	
777	DNAJC11	0	
778	LINC01672	0	
779	VAMP3	0	
780	UTS2	1	26811505
781	PARK7	0	
782	ERRFI1	0	
783	LINC01714	0	
784	LOC102724552	0	
785	SNORD128	0	
786	ENO1	0	
787	MIR6728	0	
788	ENO1-AS1	0	
789	CA6	0	
790	SLC2A7	0	
791	SLC2A5	0	
792	MIR34AHG	0	
793	MIR34A	1	29658562
794	LINC01759	0	
795	SPSB1	0	
796	LOC100506022	0	
797	SLC25A33	0	
798	TMEM201	0	
799	PIK3CD	0	
800	PIK3CD-AS1	0	
801	PIK3CD-AS2	0	
802	LZIC	0	
803	NMNAT1	0	
804	MIR5697	0	
805	RBP7	0	
806	MIR1273D	0	
807	PGD	0	
808	CENPS	0	
809	APITD1-CORT	0	
810	CORT	0	
811	DFFA	0	
812	TARDBP	0	
813	MASP2	0	
814	SRM	8	29731119;26370371;24363354;23711578;23373748;21095275;20601148;14966853
815	LOC105376736	0	
816	MTOR-AS1	0	
817	ANGPTL7	0	
818	UBIAD1	0	
819	DISP3	0	
820	LINC01647	0	
821	FBXO2	0	
822	FBXO44	0	
823	FBXO6	0	
824	MAD2L2	0	
825	DRAXIN	0	
826	C1orf167	0	
827	LOC102724659	0	
828	MTHFR	15	31586136;29891045;29767581;29685716;29235504;26772828;26217629;25452597;23548428;23518942;17551576;17146542;16015408;15748240;12774202
829	CLCN6	1	25452597
830	NPPA-AS1	1	31680326
831	NPPA	20	31680326;31077706;31034774;29206857;26966002;26267381;26200358;26048191;25463275;25452597;24758425;24648383;24144883;24021120;22818067;22083030;20543198;20064500;19646991;18451335
832	NPPB	2	29206857;25452597
833	RNU5E-1	0	
834	KIAA2013	0	
835	PLOD1	0	
836	MIIP	0	
837	MIR6729	0	
838	MIR7846	0	
839	TNFRSF1B	0	
840	MIR4632	0	
841	SNORA59A	0	
842	DHRS3	0	
843	MIR6730	0	
844	AADACL3	0	
845	C1orf158	0	
846	PRAMEF12	0	
847	PRAMEF1	0	
848	PRAMEF11	0	
849	HNRNPCL1	0	
850	PRAMEF2	0	
851	PRAMEF4	0	
852	PRAMEF10	0	
853	PRAMEF7	0	
854	PRAMEF6	0	
855	PRAMEF18	0	
856	PRAMEF34P	0	
857	HNRNPCL2	0	
858	PRAMEF36P	0	
859	PRAMEF25	0	
860	PRAMEF5	0	
861	PRAMEF33P	0	
862	PRAMEF13	0	
863	PRAMEF8	0	
864	PRAMEF15	0	
865	PRAMEF14	0	
866	PRAMEF19	0	
867	PRAMEF17	0	
868	PRAMEF20	0	
869	LRRC38	0	
870	PDPN	0	
871	PRDM2	0	
872	TMEM51	0	
873	C1orf195	0	
874	EFHD2	0	
875	CTRC	0	
876	CELA2A	0	
877	CELA2B	0	
878	CASP9	0	
879	AGMAT	0	
880	DDI2	0	
881	RSC1A1	0	
882	PLEKHM2	0	
883	SLC25A34	0	
884	TMEM82	0	
885	FBLIM1	0	
886	UQCRHL	0	
887	FLJ37453	0	
888	ZBTB17	1	30586722
889	C1orf64	0	
890	HSPB7	1	21731611
891	CLCNKA	1	30586722
892	CLCNKB	0	
893	FAM131C	0	
894	EPHA2	1	22845314
895	ARHGEF19	0	
896	RSG1	0	
897	SZRD1	0	
898	SPATA21	0	
899	CROCCP3	0	
900	RNU1-1	0	
901	LINC01783	0	
902	FAM231B	0	
903	CROCCP2	0	
904	MST1P2	0	
905	RNU1-3	0	
906	FAM231A	0	
907	RNU1-4	0	
908	MST1L	0	
909	LOC102724562	0	
910	MIR3675	0	
911	LOC105376805	0	
912	RNU1-2	0	
913	CROCC	0	
914	ATP13A2	0	
915	SDHB	0	
916	PADI3	0	
917	MIR3972	0	
918	PADI4	0	
919	PADI6	0	
920	RCC2	0	
921	LINC01654	0	
922	KLHDC7A	0	
923	TAS1R2	0	
924	ALDH4A1	0	
925	MIR4695	0	
926	MIR1290	0	
927	LOC101927895	0	
928	EMC1	0	
929	MRTO4	0	
930	AKR7L	0	
931	AKR7A3	0	
932	LOC100506730	0	
933	AKR7A2	0	
934	PQLC2	0	
935	MINOS1	0	
936	MINOS1-NBL1	0	
937	RPS14P3	0	
938	NBL1	0	
939	HTR6	0	
940	RNF186	0	
941	OTUD3	0	
942	PLA2G2E	0	
943	PLA2G2A	0	
944	PLA2G5	0	
945	PLA2G2D	0	
946	PLA2G2F	0	
947	PLA2G2C	0	
948	UBXN10-AS1	0	
949	UBXN10	0	
950	VWA5B1	0	
951	CAMK2N1	0	
952	MUL1	0	
953	FAM43B	0	
954	CDA	1	27812021
955	MIR6084	0	
956	DDOST	0	
957	KIF17	0	
958	SH2D5	0	
959	MIR1256	0	
960	LOC100506801	0	
961	NBPF3	0	
962	RAP1GAP	0	
963	CELA3B	0	
964	CELA3A	0	
965	LINC01635	0	
966	LINC00339	0	
967	WNT4	0	
968	MIR4418	0	
969	EPHA8	0	
970	MIR6127	0	
971	C1QA	0	
972	C1QC	0	
973	C1QB	0	
974	MIR4684	0	
975	MIR4253	0	
976	LACTBL1	0	
977	C1orf234	0	
978	KDM1A	0	
979	MIR3115	0	
980	MIR4419A	0	
981	HTR1D	0	
982	LINC01355	0	
983	HNRNPR	0	
984	ZNF436	0	
985	ZNF436-AS1	0	
986	ASAP3	0	
987	LOC101928163	0	
988	ID3	0	
989	MDS2	0	
990	RPL11	0	
991	ELOA	0	
992	ELOA-AS1	0	
993	PITHD1	0	
994	LYPLA2	0	
995	GALE	0	
996	HMGCL	0	
997	FUCA1	0	
998	CNR2	0	
999	MIR378F	0	
1000	PNRC2	0	
1001	SRSF10	0	
1002	MYOM3	0	
1003	IL22RA1	0	
1004	LOC284632	0	
1005	GRHL3	0	
1006	STPG1	0	
1007	RCAN3AS	0	
1008	RCAN3	0	
1009	LOC100506985	0	
1010	SRRM1	0	
1011	RUNX3	0	
1012	MIR6731	0	
1013	MIR4425	0	
1014	SYF2	0	
1015	RSRP1	0	
1016	RHD	93	31681670;31441531;31427189;31423369;31396145;31076822;31055689;30860718;30820393;30687227;30595324;30503242;30497406;30402860;30261069;30210952;30209123;30197242;30113487;30067272
1017	TMEM50A	0	
1018	LDLRAP1	0	
1019	SELENON	0	
1020	MTFR1L	0	
1021	LOC646471	0	
1022	AUNIP	0	
1023	PAQR7	0	
1024	MIR3917	0	
1025	PAFAH2	0	
1026	EXTL1	0	
1027	SLC30A2	0	
1028	TRIM63	0	
1029	PDIK1L	0	
1030	FAM110D	0	
1031	ZNF593	0	
1032	CNKSR1	0	
1033	CATSPER4	0	
1034	LOC101928303	0	
1035	CEP85	0	
1036	UBXN11	0	
1037	CD52	1	28029020
1038	AIM1L	0	
1039	ZNF683	0	
1040	DHDDS	0	
1041	LOC101928324	0	
1042	HMGN2	0	
1043	MIR1976	0	
1044	LOC101928728	0	
1045	ARID1A	0	
1046	PIGV	0	
1047	ZDHHC18	0	
1048	SFN	0	
1049	GPN2	0	
1050	GPATCH3	0	
1051	NR0B2	0	
1052	KDF1	0	
1053	TRNP1	0	
1054	FAM46B	0	
1055	SLC9A1	0	
1056	WDTC1	0	
1057	ACTG1P20	0	
1058	SYTL1	0	
1059	MAP3K6	0	
1060	FCN3	0	
1061	CD164L2	0	
1062	GPR3	0	
1063	FGR	3	30528147;23312927;17673043
1064	IFI6	0	
1065	FAM76A	0	
1066	STX12	0	
1067	PPP1R8	0	
1068	SCARNA1	0	
1069	THEMIS2	0	
1070	RPA2	0	
1071	SMPDL3B	0	
1072	XKR8	0	
1073	PTAFR	0	
1074	DNAJC8	0	
1075	ATPIF1	0	
1076	SESN2	1	28397812
1077	MED18	0	
1078	SNORA73A	0	
1079	SNORA73B	0	
1080	TRNAU1AP	0	
1081	SNHG12	0	
1082	SNORD99	0	
1083	SNORA61	0	
1084	SNORA44	0	
1085	SNORA16A	0	
1086	RAB42	0	
1087	RNU11	0	
1088	GMEB1	0	
1089	YTHDF2	0	
1090	OPRD1	0	
1091	TMEM200B	0	
1092	MECR	0	
1093	LINC01756	0	
1094	LINC01648	0	
1095	LAPTM5	0	
1096	MIR4420	0	
1097	SDC3	0	
1098	SNORD103A	0	
1099	SNORD103B	0	
1100	SNORD103C	0	
1101	NKAIN1	0	
1102	SNRNP40	0	
1103	ZCCHC17	0	
1104	FABP3	1	28807550
1105	SERINC2	0	
1106	LINC01225	0	
1107	LINC01226	0	
1108	TINAGL1	0	
1109	HCRTR1	0	
1110	PEF1	0	
1111	COL16A1	0	
1112	ADGRB2	0	
1113	MIR4254	0	
1114	SPOCD1	0	
1115	TMEM39B	0	
1116	MIR5585	0	
1117	TXLNA	0	
1118	CCDC28B	0	
1119	IQCC	0	
1120	DCDC2B	0	
1121	TMEM234	0	
1122	EIF3I	0	
1123	MTMR9LP	0	
1124	FAM167B	0	
1125	LCK	0	
1126	MARCKSL1	0	
1127	FAM229A	0	
1128	TSSK3	0	
1129	BSDC1	0	
1130	ZBTB8B	0	
1131	ZBTB8OS	0	
1132	RBBP4	0	
1133	KIAA1522	0	
1134	YARS	0	
1135	FNDC5	0	
1136	HPCA	0	
1137	TMEM54	0	
1138	AK2	1	7320553
1139	TRIM62	0	
1140	ZNF362	0	
