	2019032901_N	2019032901_T1	2019032901_T2	2019032901_T3	2019032903_N	2019032903_T1	2019032903_T2	2019032903_T3	2019032903_T4	2019040901_N	2019040901_T1	2019040901_T2	2019040901_T3	2019051703_N	2019051703_T1	2019051703_T2	2019051703_T3	2019051703_T4	2019052301_N	2019052301_T1	2019052301_T2	2019052301_T3	2019052301_T4	2019053101_N	2019053101_T1	2019053101_T2	2019053101_T3	2019053101_T4	2019053102_N	2019053102_T1	2019053102_T2	2019053102_T3	2019053102_T4
2019040901_T1	0.794326	0.798024	0.801327	0.799513	0.853051	0.843432	0.856591	0.874992	0.858271	0.882105	1	0.88818	0.88662	0.867858	0.866169	0.845436	0.866698	0.860655	0.816246	0.820228	0.831828	0.817217	0.831701	0.84768	0.868526	0.862239	0.868996	0.867815	0.796205	0.796291	0.797094	0.75711	0.785471
2019040901_T2	0.800247	0.81401	0.804122	0.813312	0.849138	0.858629	0.850734	0.877316	0.870144	0.880492	0.88818	1	0.890911	0.871128	0.87201	0.862909	0.876994	0.867424	0.832871	0.821068	0.841196	0.812031	0.836461	0.842218	0.873498	0.854946	0.87421	0.872422	0.803818	0.804052	0.806532	0.750999	0.791635
2019040901_T3	0.793941	0.811377	0.798918	0.809703	0.841817	0.855979	0.842731	0.869772	0.864608	0.87398	0.88662	0.890911	1	0.861192	0.865639	0.859308	0.869047	0.859954	0.82854	0.811542	0.836432	0.799992	0.829924	0.836516	0.865689	0.84599	0.867374	0.868679	0.801741	0.803374	0.804697	0.743652	0.78685
2019051703_N	0.813312	0.810843	0.808108	0.811196	0.860967	0.854074	0.860905	0.878207	0.869504	0.869964	0.867858	0.871128	0.861192	1	0.88359	0.866373	0.88757	0.881608	0.833803	0.835386	0.84284	0.840452	0.846385	0.85842	0.880514	0.8656	0.878277	0.871728	0.805156	0.804739	0.808674	0.774094	0.804668
2019051703_T1	0.798691	0.81622	0.796675	0.812231	0.843109	0.868475	0.848926	0.876609	0.878904	0.861466	0.866169	0.87201	0.865639	0.88359	1	0.884498	0.898748	0.893322	0.83328	0.830849	0.840436	0.81954	0.835083	0.839629	0.882399	0.857547	0.880273	0.871667	0.799367	0.811342	0.806612	0.757748	0.807908
2019051703_T2	0.801693	0.841933	0.78503	0.831473	0.819241	0.888182	0.816178	0.856411	0.885923	0.837448	0.845436	0.862909	0.859308	0.866373	0.884498	1	0.894624	0.881364	0.85729	0.806387	0.841087	0.785298	0.826748	0.807461	0.863462	0.806646	0.862974	0.85816	0.801364	0.807848	0.811231	0.722449	0.8022
2019051703_T3	0.80883	0.829491	0.803618	0.824364	0.84299	0.876502	0.847851	0.879352	0.886545	0.86214	0.866698	0.876994	0.869047	0.88757	0.898748	0.894624	1	0.89357	0.850306	0.831318	0.848915	0.81844	0.842246	0.837636	0.884477	0.850402	0.8825	0.874157	0.808744	0.815462	0.817429	0.757567	0.812144
2019051703_T4	0.806382	0.826914	0.803596	0.824442	0.839547	0.870993	0.845347	0.87247	0.876797	0.854746	0.860655	0.867424	0.859954	0.881608	0.893322	0.881364	0.89357	1	0.841194	0.837482	0.844748	0.822057	0.838196	0.835484	0.877227	0.849362	0.876028		0.807323	0.815935	0.812107	0.763348	0.814909
2019052301_N	0.874241	0.891336	0.866461	0.885336	0.789997	0.857342	0.79712	0.840422	0.858736	0.807369	0.816246	0.832871	0.82854	0.833803	0.83328	0.85729	0.850306	0.841194	1	0.871227	0.902152	0.836727	0.887887	0.791787	0.836914	0.786219	0.840562	0.833013	0.877265	0.881496	0.889394	0.81971	0.878082
2019052301_T1	0.870816	0.855939	0.880536	0.862357	0.804728	0.815686	0.821574	0.843256	0.829546	0.817017	0.820228	0.821068	0.811542	0.835386	0.830849	0.806387	0.831318	0.837482	0.871227	1	0.889792	0.8773	0.891197	0.818357	0.83767	0.830246	0.841855	0.831213	0.871555	0.87812	0.872811	0.867869	0.881568
2019052301_T2	0.880912	0.880123	0.885021	0.881054	0.807232	0.841524	0.814149	0.85179	0.851378	0.824484	0.831828	0.841196	0.836432	0.84284	0.840436	0.841087	0.848915	0.844748	0.902152	0.889792	1	0.864648	0.900668	0.819228	0.847127	0.821003	0.854361	0.848552	0.889817	0.890473	0.891575	0.853137	0.886327
2019052301_T3	0.856716	0.813668	0.858974	0.823437	0.828702	0.791178	0.835868	0.842645	0.813942	0.826847	0.817217	0.812031	0.799992	0.840452	0.81954	0.785298	0.81844	0.822057	0.836727	0.8773	0.864648	1	0.87935	0.842601	0.834602	0.843167	0.836563	0.828688	0.842331	0.840879	0.842601	0.860311	0.849413
2019052301_T4	0.887074	0.869601	0.884553	0.87451	0.820451	0.831675	0.824919	0.851047	0.843734	0.833088	0.831701	0.836461	0.829924	0.846385	0.835083	0.826748	0.842246	0.838196	0.887887	0.891197	0.900668	0.87935	1	0.833936	0.846631	0.830457	0.850573	0.845611	0.882015	0.884805	0.884388	0.862336	0.883203
2019053101_N	0.801482	0.771749	0.800788	0.779668	0.854505	0.805848	0.849395	0.854357	0.826206	0.853651	0.84768	0.842218	0.836516	0.85842	0.839629	0.807461	0.837636	0.835484	0.791787	0.818357	0.819228	0.842601	0.833936	1	0.862974	0.873011	0.862798	0.862997	0.794846	0.787555	0.791978	0.789744	0.787385
2019053101_T1	0.80706	0.811352	0.80713	0.809973	0.849348	0.857625	0.857918	0.88183	0.873355	0.864894	0.868526	0.873498	0.865689	0.880514	0.882399	0.863462	0.884477	0.877227	0.836914	0.83767	0.847127	0.834602	0.846631	0.862974	1	0.879593	0.897344	0.889646	0.807132	0.813205	0.818872	0.776898	0.814237
2019053101_T2	0.785349	0.7632	0.802966	0.771569	0.850409	0.802012	0.860176	0.869287	0.830477	0.861087	0.862239	0.854946	0.84599	0.8656	0.857547	0.806646	0.850402	0.849362	0.786219	0.830246	0.821003	0.843167	0.830457	0.873011	0.879593	1	0.879809	0.874651	0.791191	0.788515	0.787077	0.794966	0.787422
2019053101_T3	0.813077	0.818663	0.817212	0.819041	0.84703	0.854714	0.85082	0.879788	0.872193	0.863793	0.868996	0.87421	0.867374	0.878277	0.880273	0.862974	0.8825	0.876028	0.840562	0.841855	0.854361	0.836563	0.850573	0.862798	0.897344	0.879809	1	0.894477	0.82155	0.821778	0.821442	0.785666	0.81763
2019053101_T4	0.808275	0.81486	0.812099	0.816373	0.847077	0.851629	0.845759	0.873908	0.866213	0.861228	0.867815	0.872422	0.868679	0.871728	0.871667	0.85816	0.874157	0.867598	0.833013	0.831213	0.848552	0.828688	0.845611	0.862997	0.889646	0.874651	0.894477	1	0.818845	0.815344	0.81532	0.77828	0.808777
2019053102_N	0.881467	0.874066	0.890464	0.879721	0.772558	0.803864	0.778572	0.815575	0.81279	0.785801	0.796205	0.803818	0.801741	0.805156	0.799367	0.801364	0.808744	0.807323	0.877265	0.871555	0.889817	0.842331	0.882015	0.794846	0.807132	0.791191	0.82155	0.818845	1	0.903842	0.902074	0.876273	0.896417
2019053102_T1	0.882981	0.881068	0.886851	0.883143	0.768138	0.816199	0.781152	0.816882	0.820685	0.787904	0.796291	0.804052	0.803374	0.804739	0.811342	0.807848	0.815462	0.815935	0.881496	0.87812	0.890473	0.840879	0.884805	0.787555	0.813205	0.788515	0.821778	0.815344	0.903842	1	0.909574	0.873296	0.910724
2019053102_T2	0.884969	0.876628	0.888356	0.876186	0.772141	0.815998	0.789899	0.824825	0.82245	0.788083	0.797094	0.806532	0.804697	0.808674	0.806612	0.811231	0.817429	0.812107	0.889394	0.872811	0.891575	0.842601	0.884388	0.791978	0.818872	0.787077	0.821442	0.81532	0.902074	0.909574	1	0.875544	0.908525
2019053102_T3	0.862773	0.812923	0.883139	0.826052	0.754009	0.729243	0.774443	0.789236	0.753383	0.756104	0.75711	0.750999	0.743652	0.774094	0.757748	0.722449	0.757567	0.763348	0.81971	0.867869	0.853137	0.860311	0.862336	0.789744	0.776898	0.794966	0.785666	0.77828	0.876273	0.873296	0.875544	1	0.882836
2019053102_T4	0.885276	0.877294	0.885537	0.878713	0.766901	0.812681	0.783708	0.815784	0.816781	0.779789	0.785471	0.791635	0.78685	0.804668	0.807908	0.8022	0.812144	0.814909	0.878082	0.881568	0.886327	0.849413	0.883203	0.787385	0.814237	0.787422	0.81763	0.808777	0.896417	0.910724	0.908525	0.882836	1
