Var1	Freq
43	强的松;甲氨蝶呤;美洛昔康;	22
44	甲氨蝶呤;美洛昔康;艾拉莫德;	21
45	双氯芬酸钠;甲氨蝶呤;	20
46	强的松;	20
47	强的松;甲氨蝶呤;	20
48	来氟米特;洛索洛芬钠;甲氨蝶呤;	20
49	来氟米特片;正清风痛宁缓释片;甲氨蝶呤片;硫酸羟氯喹片;醋酸泼尼松片;	20
50	甲基泼尼松龙;甲氨蝶呤;美洛昔康;	20
51	羟基氯喹;	20
52	LEF;甲氨蝶呤;美洛昔康;	19
53	尼美舒利;来氟米特;	19
54	来氟米特;羟基氯喹;	19
55	乌梢祛风片;来氟米特;甲氨蝶呤;	18
56	青霉胺;	18
57	尼美舒利;来氟米特;甲基泼尼松龙;甲氨蝶呤;	17
58	甲氨蝶呤;雷公藤多甙片;	17
59	来氟米特片;正清风痛宁缓释片;甲氨蝶呤片;益肾蠲痹丸;硫酸羟氯喹片;醋酸泼尼松片;	16
60	尼美舒利;甲氨蝶呤;艾拉莫德;青霉胺;	15
61	尼美舒利;甲氨蝶呤;雷公藤多甙片;	15
62	甲氨蝶呤;雷公藤多甙;	15
63	来氟米特;甲基泼尼松龙;美洛昔康;	14
64	双氯芬酸钠;来氟米特;	13
65	来氟米特;甲氨蝶呤;羟基氯喹;	13
66	柳氮磺胺吡啶;甲氨蝶呤;美洛昔康;	13
67	甲基泼尼松龙;甲氨蝶呤;	13
68	甲氨蝶呤;祖师麻;	13
69	LEF;尼美舒利;甲氨蝶呤;	12
70	尼美舒利;来氟米特;甲基泼尼龙;甲氨蝶呤;	12
71	尼美舒利;甲氨蝶呤;羟基氯喹;	12
72	来氟米特片;正清风痛宁缓释片;甲氨蝶呤片;益肾蠲痹丸;醋酸泼尼松片;	12
73	乌梢祛风片;	11
74	塞来昔布;	11
75	塞来昔布;强的松;来氟米特;甲氨蝶呤;	11
76	塞来昔布;甲氨蝶呤;青霉胺;	11
77	尼美舒利;强的松;甲氨蝶呤;	11
78	强的松;甲氨蝶呤;羟基氯喹;	11
79	昆仙胶囊;甲氨蝶呤;美洛昔康;	11
80	来氟米特;甲氨蝶呤;美洛昔康;羟基氯喹;	11
81	来氟米特片;甲氨蝶呤片;	11
82	甲氨蝶呤;益赛普;	11
83	白芍总甙;美洛昔康;	11
84	乌梢祛风片;甲氨蝶呤;美洛昔康;	10
85	尼美舒利;正清风痛宁;	10
86	尼美舒利;甲氨蝶呤;白芍总甙;	10
87	尼美舒利;甲氨蝶呤;艾拉莫德;	10
88	来氟米特;美洛昔康;羟基氯喹;	10
89	柳氮磺胺吡啶;甲氨蝶呤;青霉胺;	10
90	正清风痛片;甲氨蝶呤;	10
91	甲氨蝶呤;美洛昔康;艾拉莫德;青霉胺;	10
92	甲氨蝶呤;美洛昔康;雷公藤多甙片;	10
93	甲氨蝶呤;萘丁美酮;	10
94	LEF;强的松;甲氨蝶呤;	9
95	乌梢祛风片;尼美舒利;来氟米特;甲氨蝶呤;	9
96	双氯芬酸钠;强的松;来氟米特;甲氨蝶呤;	9
97	尼美舒利;来氟米特;甲氨蝶呤;白芍总甙;	9
98	尼美舒利;正清风痛宁;甲氨喋呤;	9
99	强的松;甲氨蝶呤;美洛昔康;羟基氯喹;	9
100	强的松;甲氨蝶呤;青霉胺;	9
101	昆仙胶囊;甲基泼尼松龙;甲氨蝶呤;美洛昔康;	9
102	柳氮磺嘧啶;甲氨蝶呤;	9
103	柳氮磺嘧啶;甲氨蝶呤;美洛昔康;	9
104	甲基泼尼松龙;甲氨蝶呤;美洛昔康;青霉胺;	9
105	甲基泼尼龙;甲氨蝶呤;	9
106	白芍总甙;美洛昔康;羟基氯喹;	9
107	美卓乐;	9
108	美洛昔康;羟基氯喹;	9
109	艾拉莫德;	9
110	乌梢祛风片;甲氨蝶呤;	8
111	双氯芬酸钠;来氟米特;甲基泼尼松龙;甲氨蝶呤;	8
112	塞来昔布;来氟米特;	8
113	塞来昔布;甲基泼尼松龙;甲氨蝶呤;	8
114	塞来昔布;甲氨蝶呤;雷公藤多甙片;	8
115	尼美舒利;强的松;	8
116	尼美舒利;甲氨喋呤;	8
117	尼美舒利;甲氨蝶呤;雷公藤多甙;	8
118	强的松;来氟米特;	8
119	强的松;来氟米特;洛索洛芬钠;甲氨蝶呤;	8
120	来氟米特;柳氮磺胺吡啶;甲氨蝶呤;	8
121	来氟米特;正清风痛宁;	8
122	来氟米特;洛索洛芬钠;甲基泼尼松龙;甲氨蝶呤;	8
123	来氟米特;洛索洛芬钠片;甲基泼尼松龙;甲氨蝶呤;	8
124	来氟米特;甲基泼尼松龙;	8
125	来氟米特;甲基泼尼龙;甲氨蝶呤;	8
126	正清风痛宁;甲氨蝶呤;萘丁美酮;	8
127	洛索洛芬钠;	8
128	甲氨蝶呤;美卓乐;	8
129	益赛普;	8
130	硫酸羟氯喹;	8
131	美洛昔康;青霉胺;	8
132	LEF;洛索洛芬钠;甲氨蝶呤;	7
133	乌梢祛风片;尼美舒利;	7
134	乌梢祛风片;美洛昔康;	7
135	乐松;来氟米特;甲氨蝶呤;	7
136	塞来昔布;甲基泼尼松龙;	7
137	尼美舒利;强的松;来氟米特;	7
138	尼美舒利;强的松;来氟米特;甲氨蝶呤;青霉胺;	7
139	尼美舒利;昆仙胶囊;甲氨蝶呤;	7
140	尼美舒利;来氟米特;甲氨喋呤;	7
141	尼美舒利;甲氨蝶呤;祖师麻;	7
142	尼美舒利;甲氨蝶呤;雷公藤多甙;青霉胺;	7
143	尼美舒利;羟基氯喹;	7
144	帕夫林;甲氨蝶呤;	7
145	强的松;柳氮磺胺吡啶;甲氨蝶呤;	7
146	来氟米特;甲氨蝶呤;白芍总甙;美洛昔康;	7
147	来氟米特;甲氨蝶呤;美洛昔康;艾拉莫德;	7
148	来氟米特;甲氨蝶呤;莫比可;	7
149	来氟米特;甲氨蝶呤;雷公藤多甙片;	7
150	柳氮磺胺吡啶;甲氨蝶呤;	7
151	甲基泼尼龙;	7
152	甲氨喋呤;	7
153	甲氨喋呤;美洛昔康;	7
154	甲氨蝶呤;美洛昔康;雷公藤多甙;	7
155	HCQ;甲氨蝶呤;	6
156	HCQ;甲氨蝶呤;美洛昔康;	6
157	双氯芬酸钠;甲氨蝶呤;白芍总甙;	6
158	塞来昔布;来氟米特;甲基泼尼龙;甲氨蝶呤;	6
159	塞来昔布;甲氨蝶呤;羟基氯喹;	6
160	尼美舒利;昆仙胶囊;来氟米特;甲氨蝶呤;	6
161	尼美舒利;来氟米特;沙利度胺;甲氨蝶呤;	6
162	强的松;来氟米特;甲氨喋呤;美洛昔康;	6
163	昆仙胶囊;	6
164	昆仙胶囊;甲氨蝶呤;	6
165	昆仙胶囊;美洛昔康;	6
166	来氟米特;正清风痛宁;甲氨蝶呤;	6
167	来氟米特;甲氨蝶呤;甲泼尼龙;	6
168	来氟米特;甲氨蝶呤;美卓乐;美洛昔康;	6
169	来氟米特;甲氨蝶呤;美洛昔康;醋酸泼尼松;	6
170	来氟米特;甲氨蝶呤;艾拉莫德;	6
171	来氟米特;甲氨蝶呤;萘丁美酮;	6
172	来氟米特;甲氨蝶呤片;	6
173	来氟米特;硫酸羟氯喹;	6
174	来氟米特;雷公藤多甙片;	6
175	来氟米特;青霉胺;	6
176	柳氮磺胺吡啶;甲氨蝶呤;美洛昔康;羟基氯喹;	6
177	柳氮磺胺吡啶;甲氨蝶呤;羟基氯喹;	6
178	正清风痛宁;火把花根;甲氨蝶呤;甲泼尼龙;	6
179	洛索洛芬钠片;	6
180	甲基泼尼松龙;甲氨蝶呤;美洛昔康;羟基氯喹;	6
181	甲氨蝶呤;甲泼尼龙;美洛昔康;	6
182	甲氨蝶呤;雷公藤多甙片;青霉胺;	6
183	白芍总甙;羟基氯喹;	6
184	白芍总苷;	6
185	雷公藤多甙片;	6
186	HCQ;LEF;甲氨蝶呤;	5
187	M7X;尼美舒利;来氟米特;	5
188	乌梢祛风片;尼美舒利;甲氨蝶呤;	5
189	乌梢祛风片;尼美舒利;甲氨蝶呤;青霉胺;	5
190	乌梢祛风片;来氟米特;	5
191	双氯芬酸钠;强的松;	5
192	双氯芬酸钠;昆仙胶囊;青霉胺;	5
193	双氯芬酸钠;来氟米特;甲氨蝶呤;白芍总甙;	5
194	双氯芬酸钠;甲氨蝶呤;艾拉莫德;	5
195	双氯芬酸钠;白芍总甙;	5
196	塞来昔布;强的松;甲氨蝶呤;	5
197	塞来昔布;来氟米特;甲氨蝶呤;青霉胺;	5
198	塞来昔布;正清风痛宁;甲氨蝶呤;	5
199	尼美舒利;强的松;甲氨蝶呤;雷公藤多甙片;青霉胺;	5
200	尼美舒利;来氟米特;甲基泼尼松龙;甲氨蝶呤;羟基氯喹;	5
201	尼美舒利;来氟米特;甲氨蝶呤;美卓乐;青霉胺;	5
202	尼美舒利;来氟米特;甲氨蝶呤;艾拉莫德;	5
203	尼美舒利;来氟米特;甲氨蝶呤;雷公藤多甙片;	5
204	尼美舒利;正清风痛宁;甲氨蝶呤;雷公藤多甙片;	5
205	尼美舒利;沙利度胺;甲氨蝶呤;	5
206	尼美舒利;甲基泼尼松龙;甲氨蝶呤;青霉胺;	5
207	尼美舒利;甲基泼尼龙;甲氨蝶呤;	5
208	尼美舒利;白芍总甙;	5
209	尼美舒利;青霉胺;	5
210	帕夫林;强的松;甲氨蝶呤;	5
211	帕夫林;美卓乐;	5
212	强的松;昆仙胶囊;甲氨蝶呤;青霉胺;	5
213	强的松;来氟米特;洛索洛芬钠片;甲氨蝶呤;	5
214	强的松;来氟米特;美洛昔康;	5
215	强的松;来氟米特;雷公藤多甙片;	5
216	强的松;正清风痛宁;青霉胺;	5
217	强的松;甲氨蝶呤;美洛昔康;雷公藤多甙片;	5
218	强的松;甲氨蝶呤;艾拉莫德;青霉胺;	5
219	强的松;甲氨蝶呤;雷公藤;	5
220	强的松;美洛昔康;羟基氯喹;	5
221	昆仙胶囊;来氟米特;甲氨蝶呤;	5
222	昆仙胶囊;来氟米特;甲氨蝶呤;美洛昔康;	5
223	来氟米特;氨糖美辛;甲氨蝶呤;	5
224	来氟米特;氨糖美锌;甲氨蝶呤;	5
225	来氟米特;洛索洛芬钠;	5
226	来氟米特;甲基泼尼松;美洛昔康;	5
227	来氟米特;甲基泼尼松龙;羟基氯喹;	5
228	来氟米特;甲氨蝶呤;甲泼尼龙;美洛昔康;	5
229	来氟米特;甲氨蝶呤;痹祺胶囊;美洛昔康;	5
230	来氟米特;甲氨蝶呤;美卓乐;	5
231	来氟米特;甲氨蝶呤;美洛昔康;青霉胺;	5
232	来氟米特;甲氨蝶呤;舒筋合剂;	5
233	来氟米特;痹祺胶囊;	5
234	来氟米特片;正清风痛宁缓释片;洛索洛芬钠片;甲氨蝶呤片;益肾蠲痹丸;	5
235	来氟米特片;正清风痛宁缓释片;洛索洛芬钠片;甲氨蝶呤片;益肾蠲痹丸;硫酸羟氯喹片;	5
236	来氟米特片;正清风痛宁缓释片;甲氨蝶呤片;益肾蠲痹丸;	5
237	柳氮磺嘧啶;甲氨蝶呤;羟基氯喹;	5
238	正清风痛宁;洛索洛芬纳;甲氨蝶呤;	5
239	正清风痛宁;洛索洛芬钠片;甲氨蝶呤;	5
240	正清风痛宁;美洛昔康;	5
241	正清风痛宁;羟基氯喹;	5
242	正清风痛宁缓释片;甲氨蝶呤片;硫酸羟氯喹片;醋酸泼尼松片;	5
243	洛索洛芬钠片;白芍总甙;羟基氯喹;	5
244	甲基泼尼松;甲氨蝶呤;	5
245	甲基泼尼松龙;	5
246	甲基泼尼松龙;甲氨蝶呤;白芍总甙;羟基氯喹;	5
247	甲基泼尼松龙;甲氨蝶呤;美洛昔康;艾拉莫德;青霉胺;	5
248	甲基泼尼松龙;甲氨蝶呤;羟基氯喹;	5
249	甲基泼尼松龙;甲氨蝶呤;青霉胺;	5
250	甲基泼尼松龙;羟基氯喹;	5
251	甲基泼尼龙;甲氨蝶呤;美洛昔康;羟基氯喹;	5
252	甲基泼尼龙;甲氨蝶呤;羟基氯喹;	5
253	甲氨蝶呤;益赛普;羟氯喹;艾拉莫德;	5
254	甲氨蝶呤;美卓乐;美洛昔康;青霉胺;	5
255	甲氨蝶呤;美洛昔康;羟基氯喹;青霉胺;	5
256	甲氨蝶呤;羟氯喹;	5
257	甲氨蝶呤;金乌骨通胶囊;青霉胺;	5
258	白芍总甙;青霉胺;	5
259	白芍总甙胶囊;	5
260	HCQ;柳氮磺胺吡啶;甲氨蝶呤;西乐葆;	4
261	LEF;	4
262	LEF;柳氮磺胺吡啶;甲氨蝶呤;美洛昔康;	4
263	乌梢祛风口服液;尼美舒利;甲氨蝶呤;	4
264	乌梢祛风片;尼美舒利;来氟米特;	4
265	乌梢祛风片;来氟米特;甲氨喋呤;美洛昔康;	4
266	乌梢祛风片;来氟米特;甲氨蝶呤;美洛昔康;	4
267	乌梢祛风片;正清风痛宁;洛索洛芬钠片;甲氨蝶呤;	4
268	乌梢祛风片;甲氨蝶呤;美洛昔康;青霉胺;	4
269	乐松;甲氨蝶呤;美卓乐;	4
270	乐松;甲氨蝶呤;美卓乐;青霉胺;	4
271	双氯芬酸钠;	4
272	双氯芬酸钠;来氟米特;甲基泼尼松龙;甲氨喋呤;	4
273	双氯芬酸钠;来氟米特;甲基泼尼松龙;甲氨蝶呤;羟基氯喹;	4
274	双氯芬酸钠;来氟米特;甲基泼尼松龙;青霉胺;	4
275	双氯芬酸钠;甲氨蝶呤;甲泼尼龙片;	4
276	双氯芬酸钠;甲氨蝶呤;青霉胺;	4
277	双氯芬酸钠;羟基氯喹;	4
278	双氯芬酸钠双释放胶囊;来氟米特片;正清风痛宁缓释片;甲氨蝶呤片;	4
279	塞来昔布;强的松;甲氨蝶呤;羟基氯喹;	4
280	塞来昔布;昆仙胶囊;白芍总甙;	4
281	塞来昔布;来氟米特;甲基泼尼松龙;甲氨蝶呤;	4
282	塞来昔布;来氟米特;甲基泼尼龙;	4
283	塞来昔布;柳氮磺胺吡啶;甲氨蝶呤;青霉胺;	4
284	塞来昔布;甲基泼尼松龙;甲氨蝶呤;青霉胺;	4
285	塞来昔布;甲基泼尼龙;甲氨蝶呤;羟基氯喹;	4
286	塞来昔布;甲氨蝶呤;艾拉莫德;	4
287	塞来昔布;青霉胺;	4
288	复方环磷酰胺片;美洛昔康胶囊;雷公藤多甙片;	4
289	复方雷公藤逐痛颗粒;甲氨蝶呤;青霉胺;	4
290	尼美舒利;强的松;来氟米特;甲氨蝶呤;艾拉莫德;	4
291	尼美舒利;强的松;甲氨蝶呤;艾拉莫德;	4
292	尼美舒利;强的松;甲氨蝶呤;雷公藤多甙;	4
293	尼美舒利;强的松;羟基氯喹;	4
294	尼美舒利;来氟米特;甲基泼尼龙;甲氨蝶呤;青霉胺;	4
295	尼美舒利;来氟米特;甲氨蝶呤;美卓乐;	4
296	尼美舒利;羟基氯喹;青霉胺;	4
297	帕夫林;	4
298	强的松;来氟米特;甲氨喋呤;	4
299	强的松;柳氮磺嘧啶;羟基氯喹;	4
300	强的松;洛索洛芬钠;甲氨蝶呤;青霉胺;	4
301	强的松;洛索洛芬钠片;甲氨蝶呤;羟基氯喹;	4
302	强的松;甲氨蝶呤;白芍总甙;	4
303	强的松;甲氨蝶呤;白芍总甙;美洛昔康;	4
304	强的松;甲氨蝶呤;美洛昔康;雷公藤多甙;	4
305	强的松;甲氨蝶呤;雷公藤多甙;	4
306	强的松;美洛昔康;	4
307	强的松;羟基氯喹;	4
308	昆仙胶囊;甲氨蝶呤;甲泼尼龙;美洛昔康;	4
309	来氟米特;洛索洛芬钠片;甲氨蝶呤;痹祺胶囊;	4
310	来氟米特;洛索洛芬钠片;甲氨蝶呤;青霉胺;	4
311	来氟米特;洛索洛芬钠片;青霉胺;	4
312	来氟米特;甲基泼尼松;	4
313	来氟米特;甲基泼尼松;甲氨蝶呤;	4
314	来氟米特;甲基泼尼松龙;甲氨蝶呤;美洛昔康;羟基氯喹;	4
315	来氟米特;甲基泼尼松龙;白芍总甙;美洛昔康;	4
316	来氟米特;甲氨喋呤;美洛昔康;	4
317	来氟米特片;正清风痛宁缓释片;硫酸羟氯喹片;	4
318	来氟米特片;益肾蠲痹丸;醋酸泼尼松片;	4
319	柳氮磺胺吡啶;	4
320	正清风痛宁;洛索洛芬钠;甲氨蝶呤;	4
321	氨糖美辛;甲氨蝶呤;	4
322	洛索洛芬钠片;甲氨蝶呤;青霉胺;	4
323	洛芬待因缓释片;火把花根;甲氨蝶呤;	4
324	洛芬待因缓释片;甲氨蝶呤;	4
325	洛芬待因缓释片;甲氨蝶呤;痹祺胶囊;	4
326	甲基泼尼松龙;甲氨蝶呤;白芍总甙;	4
327	甲基泼尼松龙;白芍总甙;	4
328	甲基泼尼松龙;美洛昔康;	4
329	甲基泼尼松龙;羟基氯喹;艾拉莫德;	4
330	甲氨喋呤;白芍总甙;	4
331	甲氨蝶呤;痹祺胶囊;	4
332	甲氨蝶呤;白芍总甙;美洛昔康;青霉胺;	4
333	甲氨蝶呤;白芍总甙;青霉胺;	4
334	甲氨蝶呤;祖师麻;美洛昔康;	4
335	甲氨蝶呤;美卓乐;美洛昔康;	4
336	甲氨蝶呤;舒筋合剂;	4
337	甲氨蝶呤;雷公藤;	4
338	甲氨蝶呤;雷公藤多甙;青霉胺;	4
339	祖师麻;美洛昔康;	4
340	HCQ;柳氮磺胺吡啶;甲氨蝶呤;	3
341	HCQ;柳氮磺胺吡啶;甲氨蝶呤;美洛昔康;	3
342	LEF;塞来昔布;甲氨蝶呤;	3
343	LEF;强的松;	3
344	LEF;甲基泼尼龙;甲氨蝶呤;美洛昔康;	3
345	LEF;美洛昔康;	3
346	M7X;强的松;	3
347	T2;甲氨蝶呤;	3
348	乌梢祛风片;尼美舒利;甲氨蝶呤;羟基氯喹;	3
349	乌梢祛风片;来氟米特;氨糖美锌;甲氨蝶呤;青霉胺;	3
350	乌梢祛风片;来氟米特;洛索洛芬钠;甲氨蝶呤;	3
351	乌梢祛风片;来氟米特;美洛昔康;雷公藤多甙片;	3
352	乌梢祛风片;柳氮磺嘧啶;赛来西布;	3
353	乌梢祛风片;洛索洛芬钠片;甲氨蝶呤;	3
354	乌梢祛风片;甲氨蝶呤;祖师麻;	3
355	乌梢祛风片;甲氨蝶呤;美洛昔康;羟基氯喹;	3
356	乌梢祛风片;甲氨蝶呤;羟基氯喹;莫比可;	3
357	乌梢祛风片;甲氨蝶呤;青霉胺;	3
358	乌梢祛风片;美洛昔康;雷公藤多甙片;	3
359	乐松;甲氨蝶呤;羟基氯喹;	3
360	乐松片;来氟米特;	3
361	依托考昔;来氟米特;甲氨蝶呤;	3
362	依那西普;双氯芬酸;雷公藤多甙;	3
363	双氯芬酸钠;强的松;来氟米特;青霉胺;	3
364	双氯芬酸钠;强的松;甲氨蝶呤;	3
365	双氯芬酸钠;来氟米特;甲基泼尼松龙;甲氨蝶呤;祖师麻;	3
366	双氯芬酸钠;来氟米特;甲基泼尼龙;	3
367	双氯芬酸钠;来氟米特;甲氨喋呤;	3
368	双氯芬酸钠;来氟米特;甲氨喋呤;盘龙七片;	3
369	双氯芬酸钠;来氟米特;甲氨蝶呤;美卓乐;	3
370	双氯芬酸钠;来氟米特;甲氨蝶呤;羟基氯喹;	3
371	双氯芬酸钠;甲基泼尼松龙;白芍总甙;青霉胺;	3
372	双氯芬酸钠;甲氨蝶呤;羟基氯喹;	3
373	双氯芬酸钠;甲氨蝶呤片;	3
374	塞来昔布;昆仙胶囊;	3
375	塞来昔布;昆仙胶囊;甲基泼尼松龙;艾拉莫德;	3
376	塞来昔布;来氟米特;甲氨蝶呤;白芍总甙;	3
377	塞来昔布;来氟米特;羟基氯喹;	3
378	塞来昔布;柳氮磺胺吡啶;甲氨蝶呤;	3
379	塞来昔布;正清风痛宁;甲氨蝶呤;羟基氯喹;	3
380	塞来昔布;甲基泼尼松龙;甲氨蝶呤;白芍总甙;类克;	3
381	塞来昔布;甲氨喋呤;	3
382	塞来昔布;甲氨喋呤;羟基氯喹;	3
383	塞来昔布;甲氨蝶呤;白芍总甙;雷公藤多甙片;	3
384	塞来昔布;甲氨蝶呤;雷公藤;	3
385	塞来昔布;雷公藤多甙片;	3
386	塞来西布;甲基泼尼松龙;甲氨蝶呤;	3
387	复方雷公藤逐痛颗粒;	3
388	复方雷公藤颗粒;甲氨蝶呤;	3
389	大活络胶囊;正清风痛宁缓释片;白芍总苷胶囊;	3
390	尼美舒利;强的松;来氟米特;甲氨蝶呤;羟基氯喹;	3
391	尼美舒利;强的松;来氟米特;青霉胺;	3
392	尼美舒利;强的松;甲氨蝶呤;青霉胺;	3
393	尼美舒利;昆仙胶囊;	3
394	尼美舒利;昆仙胶囊;甲基泼尼龙;甲氨蝶呤;	3
395	尼美舒利;来氟米特;柳氮磺嘧啶;甲氨蝶呤;	3
396	尼美舒利;来氟米特;正清风痛宁;甲氨蝶呤;	3
397	尼美舒利;来氟米特;甲基泼尼松龙;	3
398	尼美舒利;来氟米特;甲氨蝶呤;羟基氯喹;	3
399	尼美舒利;来氟米特;甲氨蝶呤;雷公藤多甙;	3
400	尼美舒利;来氟米特;白芍总甙;	3
401	尼美舒利;来福米特;甲氨蝶呤;	3
402	尼美舒利;正清风痛宁;甲氨蝶呤;益赛普;	3
403	尼美舒利;甲基泼尼松;甲氨蝶呤;艾拉莫德;青霉胺;	3
404	尼美舒利;甲基泼尼松;甲氨蝶呤;青霉胺;	3
405	尼美舒利;甲基泼尼龙;甲氨蝶呤;羟基氯喹;	3
406	尼美舒利;甲氨蝶呤;美卓乐;	3
407	尼美舒利;甲氨蝶呤;羟基氯喹;青霉胺;	3
408	尼美舒利;甲氨蝶呤;艾拉莫德;醋酸泼尼松;雷公藤多甙;	3
409	尼美舒利;甲氨蝶呤;艾拉莫德;雷公藤多甙片;	3
410	尼美舒利;甲氨蝶呤;蛇片;	3
411	尼美舒利;甲氨蝶呤;金乌骨通胶囊;	3
412	尼美舒利;甲氨蝶呤;雷公藤多甙片;青霉胺;	3
413	尼美舒利;甲氨蝶呤;雷公藤总甙;	3
414	帕夫林;强的松;爱若华;纷乐;西乐葆;	3
415	帕夫林;强的松龙;	3
416	帕夫林;柳氮磺胺吡啶;甲氨蝶呤;美洛昔康;	3
417	帕夫林;洛索洛芬钠;羟氯喹;	3
418	帕夫林;美卓乐;美洛昔康;	3
419	帕夫林;雷公藤多甙;	3
420	强的松;来氟米特;正清风痛宁;甲氨蝶呤;	3
421	强的松;来氟米特;洛索洛芬钠;	3
422	强的松;来氟米特;洛索洛芬钠;羟基氯喹;	3
423	强的松;柳氮磺嘧啶;甲氨蝶呤;美洛昔康;	3
424	强的松;正清风痛宁;洛索洛芬钠;甲氨蝶呤;	3
425	强的松;氨糖美辛;甲氨蝶呤;雷公藤多甙片;	3
426	强的松;沙利度胺;甲氨蝶呤;美洛昔康;雷公藤多甙片;	3
427	强的松;洛索洛芬钠;甲氨蝶呤;艾拉莫德;青霉胺;	3
428	强的松;甲氨喋啶;雷公藤多疳;	3
429	强的松;甲氨蝶呤;艾拉莫德;	3
430	强的松;艾拉莫德;青霉胺;	3
431	强的松;雷公藤多苷;	3
432	强的松龙;来氟米特;甲氨蝶呤;	3
433	强骨胶囊;白芍总甙;	3
434	戴芬;来氟米特;甲氨蝶呤;	3
435	昆仙;甲基泼尼龙;甲氨蝶呤;美洛昔康;	3
436	昆仙胶囊;甲基泼尼龙;甲氨蝶呤;美洛昔康;	3
437	昆仙胶囊;甲氨蝶呤;甲泼尼龙;白芍总甙;美洛昔康;	3
438	来氟米特;柳氮磺嘧啶;洛索洛芬钠片;	3
439	来氟米特;沙利度胺;甲氨蝶呤;	3
440	来氟米特;洛索洛芬钠;甲氨蝶呤;白芍总甙;	3
441	来氟米特;洛索洛芬钠;羟基氯喹;	3
442	来氟米特;洛索洛芬钠片;甲基泼尼松龙;羟基氯喹;	3
443	来氟米特;洛索洛芬钠片;甲基泼尼龙;甲氨蝶呤;	3
444	来氟米特;洛索洛芬钠片;甲氨蝶呤;益赛普;	3
445	来氟米特;洛索洛芬钠片;甲氨蝶呤;羟基氯喹;	3
446	来氟米特;洛索洛芬钠片;雷公藤多甙;	3
447	来氟米特;火把花根片;硫酸羟氯喹;	3
448	来氟米特;甲基泼尼松龙;甲氨喋呤;美洛昔康;	3
449	来氟米特;甲基泼尼松龙;甲氨蝶呤;美洛昔康;雷公藤多甙片;	3
450	来氟米特;甲基泼尼松龙;甲氨蝶呤;美洛昔康;青霉胺;	3
451	来氟米特;甲基泼尼松龙;甲氨蝶呤;雷公藤多甙片;	3
452	来氟米特;甲基泼尼松龙;美洛昔康;羟基氯喹;	3
453	来氟米特;甲基泼尼龙;甲氨蝶呤;白芍总甙;	3
454	来氟米特;甲氨蝶呤;痹祺胶囊;	3
455	来氟米特;甲氨蝶呤;白芍总甙;	3
456	来氟米特;甲氨蝶呤;白芍总苷;美洛昔康;	3
457	来氟米特;甲氨蝶呤;艾瑞昔布;	3
458	来氟米特;甲氨蝶呤;醋氯芬酸;	3
459	来氟米特;甲氨蝶呤;金乌骨通胶囊;	3
460	来氟米特;白芍总甙;	3
461	来氟米特;白芍总甙;美洛昔康;雷公藤多甙片;	3
462	来氟米特;美卓乐;	3
463	来氟米特;美洛昔康;艾拉莫德;	3
464	来氟米特;艾拉莫德;	3
465	来氟米特片;柳氮磺砒啶肠溶片;甲氨蝶呤片;艾瑞昔布片;醋酸泼尼松片;	3
466	来氟米特片;正清风痛宁缓释片;洛索洛芬钠片;	3
