Lab.ID	Yield	MHL
118	UCSD.NC	50	0.0137163514077612
119	UCSD.NC	41.11111111	0.0101137163077745
120	UCSD.NC	8.2	0.00500431575061551
121	UCSD.NC	70.84615385	0.0110467548380832
122	UCSD.NC	25.77777778	0.0246814650147812
123	UCSD.NC	9.466666667	0.00990577671425685
124	UCSD.NC	8.111111111	0.0046305752030344
125	UCSD.NC	13.26666667	0.017784560791163
126	UCSD.NC	16	0.00760458368392684
127	UCSD.NC	17.825	0.0143473015821886
128	UCSD.NC	24.4137931	0.00589226331297495
129	UCSD.NC	24.72	0.00301640936701998
130	UCSD.NC	70.38461538	0.00936494888269178
131	UCSD.NC	17.44137931	0.0270565735059808
132	UCSD.NC	10.65	0.011752269927976
133	UCSD.NC	10.73076923	0.0159214189232843
134	UCSD.NC	11.28	0.0001269140365716
135	UCSD.NC	14.03571429	0.00470627590473571
