Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0010558~negative regulation of macromolecule biosynthetic process	14	9.090909090909092	8.138082838783992E-4	DNMT3A, PPARD, CBX3, VAX2, PAX2, TNFRSF4, PURB, HIC2, OVOL2, NKX6-2, TRPS1, INPP5D, APBB1, RASD1	117	547	13528	2.9592962390037347	0.6302316675847832	0.060286194563966	1.3105061209088165
GOTERM_BP_FAT	GO:0009891~positive regulation of biosynthetic process	16	10.38961038961039	8.643524367999591E-4	LMX1B, INS-IGF2, GDF6, NR4A1, IGF2, AFF1, ARID1B, PAX2, GATA2, OVOL2, TEAD4, GATA4, IRF4, ALX4, APBB1, ING1, UBA52	117	695	13528	2.6618459078890737	0.6523974057219337	0.06026612381990548	1.391365423376012
GOTERM_MF_FAT	GO:0003677~DNA binding	36	23.376623376623375	8.822202197424254E-4	IRX4, ZFAND6, PPARD, ONECUT3, PRRX1, MSX2P1, PAX2, FUBP1, HIC2, GATA2, ZFP36L2, DBX2, MCM7, ZNF512B, OVOL2, LYL1, NKX6-2, TEAD4, GATA4, LHX6, ZNF71, ALX4, ZNF267, NFATC1, DNMT3A, LMX1B, NR4A1, VAX2, ARID1B, AFF1, PURB, ZFP82, TRPS1, IRF4, BTBD11, UNCX	117	2331	12983	1.7137577137577138	0.22377197603282362	0.06136373511741644	1.1646279311410712
INTERPRO	IPR013088:Zinc finger, NHR/GATA-type	5	3.2467532467532463	9.267458156425199E-4	GATA2, PPARD, TRPS1, GATA4, NR4A1	143	51	16659	11.42122583299054	0.2697092218408945	0.09946912877202085	1.254126600345995
GOTERM_BP_FAT	GO:0001654~eye development	7	4.545454545454546	9.50886292570913E-4	PTPRM, LMX1B, BLOC1S3, NTRK2, VAX2, PAX2, BMPR1B	117	132	13528	6.131572131572132	0.6873077681051114	0.06254387795170069	1.529655878591385
INTERPRO	IPR012287:Homeodomain-related	9	5.844155844155844	0.0010019228728766181	IRX4, DBX2, LMX1B, ONECUT3, NKX6-2, PRRX1, VAX2, LHX6, ALX4	143	238	16659	4.405329964153494	0.28810305635957856	0.08144686847758498	1.3552188706500767
GOTERM_BP_FAT	GO:0031327~negative regulation of cellular biosynthetic process	14	9.090909090909092	0.0010259619786051792	DNMT3A, PPARD, INS-IGF2, CBX3, IGF2, VAX2, PAX2, TNFRSF4, PURB, HIC2, OVOL2, NKX6-2, TRPS1, INPP5D, RASD1	117	561	13528	2.885445708975121	0.7147442450832988	0.06388732186677226	1.6494874953412952
GOTERM_BP_FAT	GO:0000904~cell morphogenesis involved in differentiation	9	5.844155844155844	0.0011893500892948487	PTPRM, VAX2, PAX2, SPON2, BMPR1B, APBB1, UBA52, DVL1, NFATC1	117	244	13528	4.264817150063052	0.766424704059219	0.07013190791742396	1.9098057159132265
GOTERM_BP_FAT	GO:0003002~regionalization	8	5.194805194805195	0.0015284644318011523	LMX1B, OVOL2, NKX6-2, GATA4, CYP26B1, VAX2, BMPR1B, ALX4	117	197	13528	4.6953880862510315	0.845754904453716	0.08516367991922924	2.448037872183484
GOTERM_BP_FAT	GO:0009953~dorsal/ventral pattern formation	5	3.2467532467532463	0.0017291417327926198	LMX1B, OVOL2, NKX6-2, VAX2, BMPR1B	117	60	13528	9.635327635327636	0.879347426162666	0.09165325716822481	2.765240473215036
GOTERM_BP_FAT	GO:0016481~negative regulation of transcription	12	7.792207792207792	0.0019421911408755298	DNMT3A, HIC2, PPARD, OVOL2, TRPS1, NKX6-2, CBX3, VAX2, PAX2, RASD1, TNFRSF4, PURB	117	459	13528	3.022847885592984	0.9070473745810664	0.09813442188889199	3.100939914378109
GOTERM_BP_FAT	GO:0007389~pattern specification process	9	5.844155844155844	0.00209989136213775	LMX1B, OVOL2, NKX6-2, GATA4, CYP26B1, VAX2, BMPR1B, ALX4, UNCX	117	267	13528	3.897435897435898	0.9233698942069973	0.10150297654688845	3.3487255769304447
GOTERM_BP_FAT	GO:0048667~cell morphogenesis involved in neuron differentiation	8	5.194805194805195	0.00213950484467216	PTPRM, VAX2, PAX2, SPON2, BMPR1B, APBB1, UBA52, DVL1	117	209	13528	4.425796425796427	0.9269985340637616	0.09939726140994276	3.410874563706212
GOTERM_BP_FAT	GO:0048812~neuron projection morphogenesis	8	5.194805194805195	0.0023804120417251	PTPRM, VAX2, PAX2, SPON2, BMPR1B, APBB1, UBA52, DVL1	117	213	13528	4.342682877894146	0.945651114190442	0.10596713000325031	3.7880235098071924
GOTERM_BP_FAT	GO:0010604~positive regulation of macromolecule metabolic process	17	11.03896103896104	0.002607002031634373	LMX1B, INS-IGF2, GDF6, NR4A1, IGF2, AFF1, ARID1B, PAX2, GATA2, PSMD14, OVOL2, TEAD4, GATA4, IRF4, ALX4, APBB1, ING1, UBA52	117	857	13528	2.293590242248352	0.9588246849268514	0.11143284342895654	4.141496939559131
GOTERM_BP_FAT	GO:0045893~positive regulation of transcription, DNA-dependent	12	7.792207792207792	0.0026190752074767747	GATA2, LMX1B, OVOL2, TEAD4, GATA4, NR4A1, IRF4, AFF1, ARID1B, PAX2, ALX4, APBB1	117	477	13528	2.9087781540611726	0.9594292706370244	0.10814692338792875	4.160296489558113
GOTERM_BP_FAT	GO:0006350~transcription	31	20.12987012987013	0.0026934598801537954	PPARD, ONECUT3, CBX3, PAX2, FUBP1, HIC2, GATA2, MCM7, ZNF512B, OVOL2, LYL1, ACTR5, TEAD4, GATA4, LHX6, ZNF71, ALX4, ZNF267, NFATC1, LMX1B, NR4A1, VAX2, ZNF503, ARID1B, PURB, ZFP82, BRWD1, TRPS1, IRF4, APBB1, UNCX	117	2101	13528	1.7060170777448265	0.9629633970619463	0.10742965567830609	4.276047082521972
GOTERM_BP_FAT	GO:0051254~positive regulation of RNA metabolic process	12	7.792207792207792	0.0027928316130631232	GATA2, LMX1B, OVOL2, TEAD4, GATA4, NR4A1, IRF4, AFF1, ARID1B, PAX2, ALX4, APBB1	117	481	13528	2.884588730742577	0.9672094484344337	0.10767110283781545	4.430475587485116
GOTERM_BP_FAT	GO:0007423~sensory organ development	8	5.194805194805195	0.003559709731942494	PTPRM, LMX1B, BLOC1S3, NTRK2, PRRX1, VAX2, PAX2, BMPR1B	117	229	13528	4.039263986862241	0.9871925215158871	0.13113872777154156	5.6144026556583455
GOTERM_BP_FAT	GO:0048568~embryonic organ development	7	4.545454545454546	0.0036294560094035817	GATA2, OVOL2, GATA4, PRRX1, VAX2, PAX2, ALX4	117	172	13528	4.705625124229775	0.9882424941259199	0.12964315315463093	5.721393343619752
GOTERM_MF_FAT	GO:0016563~transcription activator activity	11	7.142857142857142	0.003672884632247155	PPARD, TEAD4, GATA4, PRRX1, NR4A1, ACTN2, IRF4, AFF1, ARID1B, ING1, NFATC1	117	410	12983	2.9771315405461745	0.6521759287055076	0.1903973391723245	4.766546814557982
GOTERM_BP_FAT	GO:0006357~regulation of transcription from RNA polymerase II promoter	15	9.740259740259742	0.0036991832105447166	DNMT3A, PPARD, LMX1B, ONECUT3, NR4A1, VAX2, PAX2, GATA2, BRWD1, NKX6-2, TEAD4, GATA4, IRF4, ALX4, APBB1	117	727	13528	2.3856382040701156	0.9892062007907627	0.1282354145484299	5.8282410129494195
GOTERM_BP_FAT	GO:0010629~negative regulation of gene expression	12	7.792207792207792	0.0039819234062560705	DNMT3A, HIC2, PPARD, OVOL2, TRPS1, NKX6-2, CBX3, VAX2, PAX2, RASD1, TNFRSF4, PURB	117	504	13528	2.7529507529507526	0.9923696688856473	0.13359317595722198	6.260339427769246
GOTERM_BP_FAT	GO:0030030~cell projection organization	10	6.493506493506493	0.004376504266522406	MTSS1, PTPRM, VAX2, ACTN2, PAX2, SPON2, BMPR1B, APBB1, UBA52, DVL1	117	368	13528	3.1419546636937943	0.9952982732164699	0.14198858005907278	6.860249790354233
GOTERM_BP_FAT	GO:0045934~negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	12	7.792207792207792	0.004479761558911145	DNMT3A, HIC2, PPARD, OVOL2, TRPS1, NKX6-2, CBX3, VAX2, PAX2, RASD1, TNFRSF4, PURB	117	512	13528	2.709935897435897	0.9958579609043979	0.141359230851689	7.016643713269566
GOTERM_BP_FAT	GO:0051172~negative regulation of nitrogen compound metabolic process	12	7.792207792207792	0.004955055404859082	DNMT3A, HIC2, PPARD, OVOL2, TRPS1, NKX6-2, CBX3, VAX2, PAX2, RASD1, TNFRSF4, PURB	117	519	13528	2.6733857022874363	0.9976891250693537	0.15130681535620571	7.733353629338923
GOTERM_BP_FAT	GO:0048858~cell projection morphogenesis	8	5.194805194805195	0.0051400850185300325	PTPRM, VAX2, PAX2, SPON2, BMPR1B, APBB1, UBA52, DVL1	117	245	13528	3.7754753183324614	0.998158882092956	0.15271705762999133	8.01096104339395
GOTERM_BP_FAT	GO:0048562~embryonic organ morphogenesis	6	3.896103896103896	0.005722735353142584	OVOL2, GATA4, PRRX1, VAX2, PAX2, ALX4	117	133	13528	5.216117216117216	0.9991001381792306	0.16458562433586688	8.880024130670405
GOTERM_BP_FAT	GO:0032583~regulation of gene-specific transcription	6	3.896103896103896	0.005904694908352506	GATA2, INS-IGF2, NKX6-2, GATA4, IGF2, IRF4, TNFRSF4	117	134	13528	5.177190968235744	0.9992804785225317	0.16550047454508532	9.149846810115193
GOTERM_BP_FAT	GO:0001501~skeletal system development	9	5.844155844155844	0.006152758396529916	COL9A2, INS-IGF2, TRPS1, TEAD4, PRRX1, IGF2, NPR3, BMPR1B, ALX4, UNCX	117	319	13528	3.262117193151676	0.9994696091442649	0.16802150986360576	9.516485620287252
UP_SEQ_FEATURE	compositionally biased region:Poly-Gln	6	3.896103896103896	0.006263416592619598	ZFP36L2, OBSCN, BRWD1, LMX1B, KCNN3, ALX4	148	151	19113	5.131465902989082	0.9738578458369358	0.838314644562149	8.822883771337953
GOTERM_BP_FAT	GO:0007409~axonogenesis	7	4.545454545454546	0.006332521461551491	PTPRM, VAX2, PAX2, SPON2, BMPR1B, APBB1, UBA52	117	193	13528	4.193614100349852	0.9995747982363508	0.16875613359669905	9.781308081367502
GOTERM_BP_FAT	GO:0032990~cell part morphogenesis	8	5.194805194805195	0.006499475308527091	PTPRM, VAX2, PAX2, SPON2, BMPR1B, APBB1, UBA52, DVL1	117	256	13528	3.6132478632478633	0.9996537265559835	0.1691523871156192	10.02660881382499
GOTERM_BP_FAT	GO:0031175~neuron projection development	8	5.194805194805195	0.006499475308527091	PTPRM, VAX2, PAX2, SPON2, BMPR1B, APBB1, UBA52, DVL1	117	256	13528	3.6132478632478633	0.9996537265559835	0.1691523871156192	10.02660881382499
SP_PIR_KEYWORDS	activator	11	7.142857142857142	0.0067160133841994585	GATA2, BRWD1, PPARD, LMX1B, ONECUT3, TEAD4, GATA4, IRF4, CPEB1, ALX4, NFATC1	148	520	19235	2.749285343035343	0.7905710652762645	0.2685117797302954	8.287540192447452
GOTERM_BP_FAT	GO:0045165~cell fate commitment	6	3.896103896103896	0.00687608458653357	GATA2, NKX6-2, TEAD4, CYP26B1, LHX6, PAX2	117	139	13528	4.990961077292012	0.999782126706587	0.17438540138307224	10.577654440064277
SP_PIR_KEYWORDS	nucleus	47	30.519480519480517	0.006964400488113121	IRX4, PPARD, DZIP1, ONECUT3, PRRX1, CBX3, PAX2, URGCP, FUBP1, DBX2, HIC2, GATA2, ZFP36L2, MCM7, ZNF512B, OVOL2, LYL1, NKX6-2, GATA4, TEAD4, U2AF1, LHX6, ZNF71, ALX4, CCNA1, ING1, ZNF267, NFATC1, DNMT3A, PHACTR3, TNIK, LMX1B, NR4A1, ZNF503, VAX2, ARID1B, AFF1, PURB, ZFP82, BRWD1, TRPS1, IRF4, EEFSEC, APBB1, RASD1, UBA52, UNCX	148	4283	19235	1.4261994308106845	0.802376881992928	0.23679778079693037	8.581537442726784
GOTERM_BP_FAT	GO:0043009~chordate embryonic development	9	5.844155844155844	0.007623999678161148	GATA2, LMX1B, OVOL2, TEAD4, GATA4, PRRX1, CAPN2, ALX4, DVL1	117	331	13528	3.143853125726238	0.999913227755895	0.1876525973770855	11.662610145044926
GOTERM_BP_FAT	GO:0006928~cell motion	11	7.142857142857142	0.007644619991895222	MTSS1, PPARD, PTPRM, LMX1B, OVOL2, LHX6, ITGA4, SPON2, BMPR1B, APBB1, UBA52	117	475	13528	2.6776068376068376	0.9999154033278673	0.1844244423794733	11.692347103347222
INTERPRO	IPR000679:Zinc finger, GATA-type	3	1.948051948051948	0.00800571910300809	GATA2, TRPS1, GATA4	143	16	16659	21.843094405594407	0.9344446609607945	0.4201420530222828	10.363821535611518
GOTERM_BP_FAT	GO:0009792~embryonic development ending in birth or egg hatching	9	5.844155844155844	0.00803014963500221	GATA2, LMX1B, OVOL2, TEAD4, GATA4, PRRX1, CAPN2, ALX4, DVL1	117	334	13528	3.115614923998158	0.9999473821084345	0.1891130969944157	12.24660047995747
SP_PIR_KEYWORDS	metal-binding	35	22.727272727272727	0.009061475936825266	ZFAND6, PPARD, AGFG2, DZIP1, AGMAT, ZFP36L2, GATA2, HIC2, ZNF512B, OVOL2, CYP26B1, GATA4, U2AF1, LHX6, ZNF71, SPON2, ING1, ZNF267, DNMT3A, OBSCN, LMX1B, LIMK1, NR4A1, ZNF503, MARK1, CACNA2D4, OGFOD2, ZFP82, PSMD14, TRPS1, ZFYVE28, BMPR1B, FAM159B, PMPCB, UBA52	148	2972	19235	1.5305577279837037	0.878985529613042	0.26043430547394164	11.029270808501334
GOTERM_CC_FAT	GO:0030426~growth cone	4	2.5974025974025974	0.009361091754349805	NTRK2, TMOD2, APBB1, DVL1	104	54	12782	9.103988603988604	0.8772193216989463	0.8772193216989463	11.306465745711513
GOTERM_CC_FAT	GO:0030427~site of polarized growth	4	2.5974025974025974	0.009844073109406335	NTRK2, TMOD2, APBB1, DVL1	104	55	12782	8.93846153846154	0.8898712050731021	0.6681434121086371	11.856533045316342
GOTERM_BP_FAT	GO:0051094~positive regulation of developmental process	8	5.194805194805195	0.010000351061263273	GATA2, PPARD, LIMK1, INS-IGF2, NKX6-2, GATA4, IGF2, INPP5D, BMPR1B	117	278	13528	3.327307384861342	0.999995365321585	0.22576034999251293	15.028445287354241
UP_SEQ_FEATURE	compositionally biased region:Gly-rich	7	4.545454545454546	0.010331606375911549	FUBP1, ONECUT3, VAX2, ZNF503, ARID1B, FIGNL2, PURB	148	238	19113	3.798290937996821	0.9975788236973634	0.8657207815444474	14.158875630944534
UP_SEQ_FEATURE	compositionally biased region:Poly-Ser	10	6.493506493506493	0.011314002746967533	KCTD8, OBSCN, BRWD1, GDF6, KCNN3, SYN2, NR4A1, AFF1, ARID1B, IFFO1	148	475	19113	2.7187766714082504	0.9986389868864973	0.807927328282967	15.403046197929871
SMART	SM00401:ZnF_GATA	3	1.948051948051948	0.011346288857292901	GATA2, TRPS1, GATA4	94	16	9079	18.10970744680851	0.669411692004749	0.4250319069763514	11.832297429634252
GOTERM_BP_FAT	GO:0000902~cell morphogenesis	9	5.844155844155844	0.011525492497524038	PTPRM, VAX2, PAX2, SPON2, BMPR1B, APBB1, UBA52, DVL1, NFATC1	117	356	13528	2.9230769230769234	0.9999992956174956	0.251063369144058	17.124833283325923
GOTERM_BP_FAT	GO:0007411~axon guidance	5	3.2467532467532463	0.01346767046100165	PTPRM, SPON2, BMPR1B, APBB1, UBA52	117	107	13528	5.402987459062225	0.9999999363152382	0.28207229931298927	19.724243984412205
GOTERM_BP_FAT	GO:0043010~camera-type eye development	5	3.2467532467532463	0.01346767046100165	PTPRM, LMX1B, VAX2, PAX2, BMPR1B	117	107	13528	5.402987459062225	0.9999999363152382	0.28207229931298927	19.724243984412205
GOTERM_BP_FAT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	9	5.844155844155844	0.014482889115368157	GATA2, LMX1B, TEAD4, GATA4, NR4A1, IRF4, PAX2, ALX4, APBB1	117	371	13528	2.8048932199875596	0.9999999819026669	0.29500096722667624	21.052372696347444
UP_SEQ_FEATURE	compositionally biased region:Poly-Pro	9	5.844155844155844	0.014695227909782012	ZFP36L2, GDF6, KCNN3, SYN2, NR4A1, AFF1, ARID1B, LRRC24, IFFO1	148	413	19113	2.8142300896538184	0.9998133878165284	0.8204489294556375	19.557964537835872
SP_PIR_KEYWORDS	zinc	27	17.532467532467532	0.0148197794445585	ZFAND6, PPARD, AGFG2, DZIP1, HIC2, GATA2, ZFP36L2, ZNF512B, OVOL2, GATA4, U2AF1, ZNF71, LHX6, ING1, ZNF267, DNMT3A, LMX1B, LIMK1, NR4A1, ZNF503, ZFP82, PSMD14, TRPS1, ZFYVE28, FAM159B, PMPCB, UBA52	148	2189	19235	1.6030552023014333	0.9686932004662002	0.35143301992507037	17.443084987342804
SP_PIR_KEYWORDS	developmental protein	13	8.441558441558442	0.01648235311247474	OBSCN, LMX1B, DZIP1, NKX6-2, NTRK2, PRRX1, VAX2, LHX6, EDIL3, PAX2, ALX4, DVL1, UNCX	148	779	19235	2.168884224404122	0.9788426945406972	0.34846156612768775	19.213957781094372
