Pvalue.pair	Statistic.pair	mean1.pair	mean2.pair	SD1.pair	SD2.pair	FDR.pair	Pvalue.single	Statistic.single	mean1.single	mean2.single	SD1.single	SD2.single	FDR.single	V1	V2	V3	V4	V5	V6	V7
1.561209e-05	0.165	0.205	0.04	0.244	0.021	6.583621e-05	1.045108e-29	0.15	0.189	0.04	0.23	0.021	5.523716e-29	chr5	2038899	2038900	cg00213479	cg00213479	Island	I
9.512971e-06	0.165	0.291	0.125	0.234	0.028	4.216504e-05	9.844306e-21	0.118	0.243	0.125	0.219	0.028	3.684301e-20	chr12	54428171	54428172	cg00218447	HOXC4	Island	II
3.902882e-06	0.174	0.205	0.031	0.239	0.011	1.892038e-05	2.882242e-25	0.12	0.15	0.031	0.206	0.011	1.285767e-24	chr3	184279621	184279622	cg00229368	EPHB3	Island	I
9.83297e-06	0.159	0.48	0.321	0.206	0.093	4.3429e-05	9.943282e-12	0.126	0.446	0.321	0.197	0.094	2.528904e-11	chr14	61788914	61788915	cg00244040	PRKCH	Island	II
9.031759e-16	0.384	0.699	0.314	0.23	0.106	1.486768e-13	1.158003e-37	0.361	0.676	0.314	0.218	0.106	8.363625e-37	chr11	627152	627153	cg00249511	SCT	Island	I
5.714159e-08	0.179	0.221	0.042	0.197	0.024	4.438736e-07	1.491321e-44	0.154	0.195	0.042	0.177	0.024	1.453217e-43	chr5	158527817	158527818	cg00251610	EBF1	Island	I
7.985033e-08	0.211	0.502	0.291	0.202	0.143	5.958498e-07	2.158153e-11	0.178	0.468	0.291	0.19	0.143	5.400393e-11	chr1	47489413	47489414	cg00255821	CYP4X1	Island	I
2.353756e-12	0.299	0.365	0.066	0.236	0.033	8.577057e-11	7.376481e-70	0.268	0.334	0.066	0.224	0.033	3.233251e-68	chr5	32713723	32713724	cg00266286	NPR3	Island	I
2.536548e-05	0.163	0.196	0.032	0.233	0.093	0.0001019523	1.705767e-13	0.14	0.173	0.032	0.21	0.093	4.706697e-13	chr17	46724138	46724139	cg00267596	cg00267596	Island	I
1.620007e-09	0.254	0.329	0.075	0.237	0.019	2.03588e-08	6.10437e-55	0.21	0.286	0.075	0.217	0.019	1.005417e-53	chr13	53420425	53420426	cg00287312	PCDH8	Island	II
9.43441e-09	0.25	0.272	0.022	0.255	0.007	9.233794e-08	4.867365e-65	0.25	0.272	0.022	0.232	0.007	1.499528e-63	chr1	224804226	224804227	cg00290506	CNIH3	Island	I
1.07242e-05	0.166	0.183	0.017	0.239	0.007	4.695476e-05	1.247842e-40	0.171	0.188	0.017	0.219	0.007	1.018373e-39	chr10	71078354	71078355	cg00292664	HK1	Island	I
1.431657e-05	0.165	0.199	0.034	0.239	0.021	6.089362e-05	3.300884e-21	0.103	0.137	0.034	0.192	0.021	1.259916e-20	chr1	118727904	118727905	cg00310968	SPAG17	Island	I
3.494378e-09	0.268	0.37	0.102	0.254	0.05	3.930369e-08	4.747953e-43	0.225	0.327	0.102	0.239	0.05	4.315444e-42	chr1	92495877	92495878	cg00314240	EPHX4	Island	II
2.221789e-07	0.225	0.289	0.064	0.268	0.023	1.468874e-06	9.910863e-39	0.186	0.251	0.064	0.242	0.023	7.476565e-38	chr16	23193673	23193674	cg00315391	SCNN1G	N_Shore	I
2.885158e-06	0.165	0.199	0.034	0.222	0.011	1.444384e-05	2.525725e-42	0.17	0.204	0.034	0.211	0.011	2.221324e-41	chr3	134369919	134369920	cg00329270	KY	Island	I
9.120229e-05	0.17	0.322	0.152	0.296	0.09	0.0003231905	2.229425e-08	0.108	0.26	0.152	0.259	0.09	4.777089e-08	chr6	106808703	106808704	cg00333154	cg00333154	Island	I
2.620787e-13	0.238	0.524	0.286	0.143	0.085	1.419587e-11	1.82219e-21	0.178	0.464	0.286	0.18	0.085	7.024994e-21	chr7	73508994	73508995	cg00334821	LIMK1	NA	II
2.532921e-06	0.231	0.263	0.032	0.306	0.01	1.284969e-05	1.890979e-41	0.219	0.251	0.032	0.277	0.01	1.598239e-40	chr5	16180048	16180049	cg00339556	cg00339556	Island	I
1.527187e-06	0.196	0.241	0.045	0.266	0.042	8.168337e-06	1.387929e-29	0.177	0.222	0.045	0.257	0.042	7.303177e-29	chr16	66638320	66638321	cg00355909	CMTM3	Island	I
6.599645e-11	0.304	0.37	0.067	0.267	0.06	1.363979e-09	8.94181e-48	0.271	0.337	0.067	0.256	0.06	1.012678e-46	chr7	751833	751834	cg00356183	PRKAR1B	Island	I
1.561813e-05	0.174	0.277	0.102	0.255	0.041	6.586098e-05	1.021694e-21	0.134	0.236	0.102	0.229	0.041	3.976819e-21	chr7	28995458	28995459	cg00361495	TRIL	Island	I
4.008065e-15	0.336	0.646	0.31	0.147	0.133	4.769995e-13	9.388678e-24	0.313	0.623	0.31	0.159	0.133	3.956469e-23	chr6	29521602	29521603	cg00370229	cg00370229	Island	I
1.673606e-05	0.156	0.18	0.024	0.235	0.022	7.009981e-05	2.003776e-26	0.136	0.16	0.024	0.223	0.022	9.336551e-26	chr12	133066056	133066057	cg00370303	FBRSL1	Island	I
3.627838e-05	0.224	0.345	0.121	0.325	0.113	0.0001407472	2.125039e-13	0.178	0.299	0.121	0.301	0.113	5.838653e-13	chr2	161263848	161263849	cg00371920	RBMS1	N_Shore	I
1.224939e-05	0.185	0.298	0.113	0.262	0.072	5.291027e-05	1.745855e-19	0.161	0.274	0.113	0.246	0.072	6.216764e-19	chr12	106979451	106979452	cg00379648	RFX4	Island	I
1.071196e-05	0.171	0.204	0.033	0.249	0.015	4.690635e-05	5.179185e-31	0.13	0.163	0.033	0.196	0.015	2.877636e-30	chr19	47742961	47742962	cg00381697	cg00381697	Island	I
2.622342e-09	0.282	0.48	0.198	0.262	0.078	3.075746e-08	2.75677e-35	0.254	0.452	0.198	0.249	0.078	1.807117e-34	chr8	70983567	70983568	cg00384539	PRDM14	Island	I
1.134546e-09	0.278	0.311	0.033	0.265	0.017	1.504869e-08	1.196179e-48	0.21	0.243	0.033	0.237	0.017	1.415998e-47	chr11	8615694	8615695	cg00393798	STK33	Island	I
4.381874e-10	0.268	0.328	0.06	0.239	0.019	6.718958e-09	8.618073e-58	0.232	0.292	0.06	0.232	0.019	1.677306e-56	chr7	96650323	96650324	cg00400832	DLX5	Island	I
6.656045e-10	0.185	0.262	0.077	0.17	0.021	9.564714e-09	6.115907e-47	0.14	0.217	0.077	0.156	0.021	6.654113e-46	chr10	22764922	22764923	cg00404838	cg00404838	Island	II
2.075144e-07	0.174	0.207	0.034	0.203	0.007	1.382679e-06	7.595611e-49	0.16	0.193	0.033	0.181	0.007	9.07717e-48	chr19	47746478	47746479	cg00408906	cg00408906	Island	II
7.578619e-07	0.222	0.273	0.052	0.28	0.029	4.370176e-06	1.939138e-43	0.225	0.276	0.052	0.269	0.029	1.794073e-42	chr8	97172961	97172962	cg00421139	GDF6	Island	I
2.316838e-06	0.234	0.312	0.078	0.311	0.061	1.185742e-05	3.801867e-36	0.251	0.329	0.078	0.304	0.061	2.580611e-35	chr19	49646246	49646247	cg00421363	PPFIA3	Island	I
3.51244e-10	0.272	0.358	0.087	0.245	0.052	5.569073e-09	3.487631e-59	0.295	0.381	0.087	0.256	0.052	7.380075e-58	chr6	26240505	26240506	cg00436476	HIST1H4F	N_Shore	I
6.811772e-09	0.215	0.614	0.399	0.195	0.097	6.968988e-08	9.212939e-24	0.22	0.619	0.399	0.195	0.097	3.883733e-23	chr15	96885119	96885120	cg00436496	cg00436496	S_Shore	I
4.881991e-06	0.187	0.374	0.187	0.23	0.082	2.313484e-05	1.771779e-15	0.147	0.333	0.186	0.239	0.082	5.342273e-15	chr6	34433789	34433790	cg00444847	PACSIN1	Island	II
7.823351e-07	0.187	0.419	0.232	0.239	0.066	4.495326e-06	4.144934e-18	0.146	0.378	0.232	0.247	0.066	1.395509e-17	chr8	29387350	29387351	cg00446414	cg00446414	NA	II
4.498496e-07	0.151	0.23	0.079	0.186	0.032	2.746142e-06	3.316806e-39	0.151	0.23	0.079	0.18	0.032	2.550223e-38	chr1	101775370	101775371	cg00448752	cg00448752	NA	I
1.705675e-13	0.361	0.453	0.092	0.251	0.047	9.996422e-12	7.440367e-60	0.291	0.383	0.092	0.261	0.047	1.642167e-58	chr11	8615685	8615686	cg00450824	STK33	Island	I
2.647865e-07	0.157	0.722	0.565	0.171	0.098	1.717366e-06	2.167147e-13	0.142	0.707	0.565	0.185	0.098	5.9522e-13	chr3	197283111	197283112	cg00456086	BDH1	Island	I
4.311332e-22	0.359	0.534	0.175	0.141	0.066	3.283784e-18	1.115994e-59	0.349	0.524	0.175	0.153	0.066	2.433687e-58	chr7	27260285	27260286	cg00458878	cg00458878	Island	I
2.356359e-05	0.192	0.218	0.026	0.293	0.009	9.53875e-05	1.517904e-29	0.157	0.183	0.026	0.247	0.009	7.974805e-29	chr2	176936581	176936582	cg00459623	cg00459623	Island	I
1.097308e-14	0.292	0.604	0.312	0.184	0.057	1.068073e-12	4.451375e-46	0.239	0.55	0.312	0.216	0.057	4.648738e-45	chr1	66998806	66998807	cg00460049	SGIP1	Island	II
8.155083e-06	0.193	0.415	0.222	0.261	0.108	3.672476e-05	1.015203e-10	0.142	0.363	0.222	0.261	0.108	2.457801e-10	chr6	74161911	74161912	cg00463577	C6orf150	Island	II
2.408417e-06	0.193	0.23	0.037	0.256	0.014	1.228084e-05	5.613557e-35	0.163	0.2	0.038	0.228	0.014	3.634917e-34	chr1	65731689	65731690	cg00466108	DNAJC6	Island	I
3.912698e-07	0.16	0.278	0.118	0.188	0.063	2.426574e-06	5.749952e-19	0.128	0.245	0.118	0.176	0.063	2.006374e-18	chr20	57465691	57465692	cg00466827	GNAS	Island	I
5.368642e-07	0.196	0.236	0.04	0.242	0.025	3.214846e-06	8.41192e-54	0.213	0.253	0.04	0.22	0.025	1.300891e-52	chr19	58521176	58521177	cg00505277	cg00505277	Island	I
1.771403e-06	0.198	0.259	0.061	0.26	0.027	9.328299e-06	4.198022e-49	0.228	0.289	0.061	0.252	0.027	5.08157e-48	chr6	105389599	105389600	cg00512171	cg00512171	S_Shore	II
2.635632e-11	0.336	0.47	0.135	0.279	0.085	6.358269e-10	4.446516e-38	0.297	0.432	0.135	0.289	0.085	3.264699e-37	chr2	242549864	242549865	cg00527440	THAP4	Island	II
6.563348e-08	0.193	0.575	0.382	0.193	0.116	5.013621e-07	4.484758e-12	0.155	0.537	0.382	0.209	0.116	1.159625e-11	chr6	34203564	34203565	cg00544436	HMGA1	Island	II
8.981255e-06	0.157	0.2	0.043	0.22	0.026	4.00491e-05	2.394033e-33	0.14	0.182	0.043	0.194	0.026	1.452479e-32	chr19	31841391	31841392	cg00545804	TSHZ3	Island	I
3.362576e-06	0.2	0.247	0.047	0.262	0.052	1.656342e-05	1.717005e-31	0.195	0.243	0.047	0.258	0.052	9.710498e-31	chr10	102419245	102419246	cg00557947	cg00557947	Island	I
2.291673e-13	0.393	0.437	0.044	0.278	0.035	1.277483e-11	1.675157e-68	0.319	0.363	0.044	0.276	0.035	6.631395e-67	chr4	330651	330652	cg00573330	ZNF141	Island	I
3.808515e-06	0.178	0.23	0.051	0.237	0.024	1.851026e-05	2.888269e-42	0.193	0.244	0.051	0.236	0.024	2.53191e-41	chr6	84562888	84562889	cg00575005	RIPPLY2	Island	I
2.241838e-12	0.356	0.54	0.184	0.257	0.105	8.236675e-11	1.099304e-35	0.333	0.517	0.184	0.28	0.105	7.326196e-35	chr5	112073348	112073349	cg00577935	APC	NA	II
1.863016e-07	0.156	0.181	0.025	0.185	0.015	1.25645e-06	2.923608e-35	0.15	0.174	0.025	0.208	0.015	1.914676e-34	chr19	37288705	37288706	cg00578154	cg00578154	Island	I
4.472181e-08	0.204	0.459	0.255	0.217	0.053	3.586519e-07	3.430308e-26	0.148	0.403	0.255	0.197	0.053	1.583959e-25	chr16	29624485	29624486	cg00588853	SLC7A5P1	Island	II
3.291497e-09	0.183	0.621	0.438	0.129	0.119	3.73249e-08	7.396045e-07	0.104	0.541	0.438	0.186	0.119	1.452399e-06	chr1	55008319	55008320	cg00590761	cg00590761	Island	II
6.517769e-06	0.154	0.26	0.106	0.207	0.03	3.000023e-05	1.525183e-23	0.104	0.21	0.106	0.17	0.03	6.375359e-23	chr10	3111452	3111453	cg00593048	PFKP	S_Shore	II
6.069816e-08	0.193	0.497	0.304	0.208	0.085	4.678944e-07	2.495363e-15	0.14	0.444	0.304	0.198	0.085	7.473616e-15	chr8	22457479	22457480	cg00599393	C8orf58	Island	II
2.515093e-14	0.208	0.709	0.501	0.125	0.09	2.08354e-12	2.780834e-19	0.171	0.672	0.501	0.152	0.09	9.824112e-19	chr16	73096966	73096967	cg00604454	cg00604454	Island	I
4.838828e-10	0.224	0.274	0.05	0.208	0.04	7.308348e-09	2.510466e-56	0.227	0.277	0.05	0.206	0.04	4.478057e-55	chr21	47717864	47717865	cg00612595	cg00612595	Island	I
3.802138e-06	0.168	0.293	0.126	0.238	0.052	1.848494e-05	6.48433e-17	0.121	0.247	0.126	0.224	0.052	2.076853e-16	chr3	129324699	129324700	cg00618865	PLXND1	Island	II
3.272856e-10	0.262	0.335	0.073	0.238	0.034	5.247181e-09	5.09423e-50	0.228	0.301	0.073	0.243	0.034	6.455848e-49	chr2	105459775	105459776	cg00619126	cg00619126	Island	I
3.330649e-11	0.276	0.316	0.04	0.229	0.007	7.702187e-10	1.55998e-69	0.253	0.293	0.04	0.224	0.007	6.670123e-68	chr10	134599836	134599837	cg00626110	NKX6-2	Island	I
1.230089e-09	0.173	0.432	0.259	0.163	0.069	1.611362e-08	1.14229e-22	0.155	0.414	0.259	0.182	0.069	4.6156e-22	chr19	14168215	14168216	cg00642306	PALM3	Island	I
4.893086e-05	0.164	0.179	0.015	0.26	0.025	0.0001842545	1.973053e-35	0.167	0.182	0.015	0.228	0.025	1.301301e-34	chr20	20349241	20349242	cg00648301	INSM1	Island	I
1.72439e-09	0.282	0.31	0.029	0.272	0.02	2.145817e-08	1.452804e-51	0.229	0.257	0.029	0.247	0.02	1.989368e-50	chr3	40428638	40428639	cg00656387	ENTPD3	N_Shore	I
4.058943e-05	0.195	0.25	0.056	0.305	0.049	0.0001557734	9.283257e-18	0.133	0.188	0.056	0.252	0.049	3.080019e-17	chr1	234350051	234350052	cg00662647	SLC35F3	Island	I
9.286304e-06	0.181	0.245	0.063	0.254	0.025	4.12621e-05	1.146827e-39	0.194	0.258	0.063	0.247	0.025	8.991034e-39	chr2	25391700	25391701	cg00674304	POMC	Island	I
4.146209e-05	0.152	0.208	0.056	0.235	0.07	0.0001587464	4.531652e-14	0.122	0.178	0.056	0.221	0.07	1.282689e-13	chr10	45914840	45914841	cg00675569	ALOX5	Island	I
1.171958e-10	0.244	0.305	0.061	0.208	0.03	2.20755e-09	1.160974e-49	0.202	0.263	0.061	0.216	0.03	1.443935e-48	chr1	186649354	186649355	cg00690431	PTGS2	Island	I
1.214444e-11	0.321	0.344	0.024	0.257	0.01	3.337144e-10	1.229226e-76	0.29	0.313	0.024	0.237	0.01	9.415072e-75	chr10	134600651	134600652	cg00699945	NKX6-2	Island	I
9.062602e-08	0.163	0.264	0.101	0.181	0.025	6.659331e-07	2.531362e-41	0.147	0.248	0.101	0.176	0.025	2.128131e-40	chr1	147775609	147775610	cg00721572	cg00721572	S_Shore	II
6.211122e-09	0.263	0.314	0.051	0.267	0.029	6.437621e-08	4.055256e-50	0.235	0.286	0.051	0.255	0.029	5.163291e-49	chr14	102247902	102247903	cg00723271	PPP2R5C	Island	II
1.185934e-05	0.191	0.553	0.362	0.245	0.116	5.138969e-05	1.38063e-16	0.198	0.56	0.362	0.238	0.116	4.362583e-16	chr12	115105290	115105291	cg00723994	cg00723994	Island	I
7.648618e-12	0.292	0.571	0.279	0.2	0.146	2.276509e-10	4.623071e-14	0.215	0.494	0.279	0.23	0.146	1.307986e-13	chr4	15704680	15704681	cg00731785	BST1	Island	I
1.223054e-05	0.166	0.214	0.048	0.24	0.013	5.283692e-05	8.143244e-43	0.177	0.225	0.048	0.218	0.013	7.323797e-42	chr19	52839924	52839925	cg00745399	ZNF610	Island	I
1.409545e-06	0.161	0.207	0.046	0.212	0.026	7.606914e-06	3.210034e-31	NA	NA	0.046	NA	0.026	1.796753e-30	chr16	89268847	89268848	cg00745606	cg00745606	Island	I
1.007215e-13	0.286	0.357	0.072	0.197	0.03	6.52315e-12	2.790171e-78	0.255	0.326	0.072	0.195	0.03	2.476113e-76	chr16	68676741	68676742	cg00748373	CDH3	Island	I
2.511201e-17	0.444	0.54	0.096	0.228	0.08	9.074807e-15	1.064918e-59	0.396	0.492	0.096	0.263	0.08	2.32512e-58	chr12	21810489	21810490	cg00753478	LDHB	Island	I
6.345167e-11	0.357	0.615	0.257	0.278	0.137	1.319558e-09	2.155387e-28	0.358	0.616	0.258	0.287	0.137	1.082916e-27	chr10	77168431	77168432	cg00773413	C10orf41	Island	I
8.364836e-09	0.295	0.383	0.088	0.293	0.06	8.329819e-08	3.941789e-37	0.236	0.324	0.088	0.272	0.06	2.786273e-36	chr1	7023495	7023496	cg00783553	CAMTA1	S_Shore	I
5.570245e-08	0.225	0.287	0.062	0.253	0.035	4.341078e-07	5.04045e-30	0.152	0.214	0.062	0.218	0.035	2.697655e-29	chr3	182897283	182897284	cg00794178	MCF2L2	Island	I
3.66208e-06	0.184	0.301	0.117	0.243	0.028	1.787797e-05	1.374771e-33	0.16	0.277	0.117	0.223	0.028	8.417956e-33	chr17	41984558	41984559	cg00794378	MPP2	Island	II
5.295925e-07	0.228	0.254	0.026	0.28	0.011	3.175142e-06	8.100073e-40	0.196	0.222	0.026	0.254	0.011	6.388712e-39	chr14	22004993	22004994	cg00800229	SALL2	NA	I
4.073632e-13	0.292	0.378	0.086	0.203	0.052	2.036122e-11	1.05922e-56	0.255	0.341	0.086	0.197	0.052	1.932737e-55	chr20	58514806	58514807	cg00800993	C20orf177	Island	I
4.74677e-11	0.272	0.342	0.07	0.232	0.059	1.035373e-09	3.64765e-34	0.211	0.281	0.07	0.248	0.059	2.287425e-33	chr10	43600706	43600707	cg00803088	RET	Island	I
1.196466e-06	0.233	0.451	0.218	0.278	0.077	6.566049e-06	3.682813e-18	0.165	0.383	0.218	0.268	0.077	1.242596e-17	chr17	72969066	72969067	cg00806198	C17orf28	Island	II
3.299301e-06	0.156	0.346	0.191	0.212	0.053	1.628191e-05	3.398642e-20	0.135	0.326	0.191	0.223	0.053	1.244955e-19	chr3	38080790	38080791	cg00807586	DLEC1	Island	II
2.832595e-10	0.273	0.417	0.144	0.247	0.035	4.644646e-09	1.632699e-48	0.199	0.343	0.144	0.209	0.035	1.919199e-47	chr22	19511707	19511708	cg00811132	CLDN5	Island	II
2.7219e-18	0.52	0.675	0.156	0.248	0.123	1.71936e-15	2.273067e-43	0.49	0.646	0.156	0.242	0.123	2.095775e-42	chr12	52401214	52401215	cg00817367	GRASP	Island	I
2.040612e-07	0.222	0.477	0.255	0.265	0.072	1.362214e-06	1.116552e-26	0.196	0.451	0.256	0.245	0.072	5.252541e-26	chr2	175201542	175201543	cg00827989	SP9	Island	II
1.457291e-06	0.187	0.233	0.045	0.244	0.028	7.835035e-06	3.49771e-28	0.13	0.175	0.045	0.198	0.028	1.742388e-27	chr10	99473557	99473558	cg00844376	MARVELD1	Island	I
8.840086e-06	0.155	0.189	0.035	0.22	0.017	3.948183e-05	2.145823e-27	0.106	0.141	0.035	0.171	0.017	1.037027e-26	chr12	2800919	2800920	cg00848945	CACNA1C	Island	I
1.170327e-09	0.331	0.375	0.044	0.307	0.023	1.544931e-08	1.805118e-50	0.249	0.293	0.044	0.273	0.023	2.33787e-49	chr19	20012036	20012037	cg00853480	ZNF93	Island	I
2.889552e-07	0.227	0.282	0.054	0.28	0.037	1.855525e-06	4.012794e-26	0.163	0.218	0.054	0.261	0.037	1.847926e-25	chr17	48045973	48045974	cg00864183	DLX4	Island	I
4.098628e-08	0.262	0.353	0.091	0.287	0.035	3.322297e-07	1.360096e-45	0.235	0.326	0.091	0.267	0.035	1.388367e-44	chr4	91048559	91048560	cg00865356	FAM190A	Island	I
1.368525e-09	0.156	0.552	0.396	0.168	0.092	1.764921e-08	4.219332e-14	0.136	0.532	0.396	0.141	0.092	1.195842e-13	chr19	17346507	17346508	cg00865724	NR2F6	Island	I
2.413799e-06	0.206	0.379	0.174	0.284	0.093	1.230615e-05	1.145673e-17	0.182	0.356	0.174	0.274	0.093	3.786295e-17	chr7	138666696	138666697	cg00871706	KIAA1549	Island	I
2.521131e-12	0.331	0.423	0.092	0.249	0.057	9.082515e-11	7.26926e-64	0.313	0.405	0.092	0.232	0.057	2.074279e-62	chr22	46932648	46932649	cg00884093	CELSR1	Island	I
