region	group	GSI
chr7:2681341-2681399	Thymus	0.815806651
chr22:50025972-50026050	Thymus	0.815353226
chr19:13319268-13319344	Liver	0.814904263
chr3:184209258-184209300	Thymus	0.812914801
chr18:3246638-3246684	Liver	0.812902689
chr9:116327889-116327934	Liver	0.812014122
chr2:45231584-45231781	Liver	0.811508006
chr7:2653954-2654011	Thymus	0.811491607
chr10:63842629-63842650	Pancreas	0.811256012
chr8:144300916-144300975	Thymus	0.811028694
chr3:40919540-40919589	Thymus	0.810594091
chr16:49654389-49654435	Thymus	0.810229504
chr16:88716721-88716874	Liver	0.810019451
chr19:2167395-2167484	Thymus	0.809874988
chr19:15567944-15568076	Thymus	0.809488386
chr12:106736863-106737056	Thymus	0.809313877
chr10:49674743-49674876	Thymus	0.80925438
chr1:48450007-48450061	Liver	0.808946526
chr3:9989252-9989277	Thymus	0.808477523
chr16:85254208-85254266	Thymus	0.808457384
chr10:7603536-7603612	Thymus	0.808175489
chr12:58120861-58121078	Thymus	0.807946878
chr19:1070771-1070834	Thymus	0.807906542
chr1:24345232-24345417	Thymus	0.806992701
chr15:100016797-100016852	Liver	0.806539198
chr17:46632040-46632084	Thymus	0.806053704
chr3:193884566-193884585	Thymus	0.805943779
chr10:101282028-101282143	Thymus	0.80562261
chr20:49262297-49262329	Liver	0.805406585
chr19:18162976-18162993	Thymus	0.805259567
chr17:81067406-81067473	Thymus	0.804927668
chr7:27148379-27148408	Thymus	0.804796332
chr20:50248152-50248216	Liver	0.804034644
chr16:77839457-77839503	Thymus	0.802698506
chr16:89461842-89461906	Thymus	0.80226018
chr17:78942680-78942723	Thymus	0.801379639
chr12:26676719-26676778	Liver	0.801239859
chr22:51158653-51158710	Liver	0.801017067
chr19:6476950-6477037	Liver	0.800965849
chr9:127060030-127060046	Thymus	0.800839196
chr3:195946169-195946233	Liver	0.800200241
chr19:802207-802228	Liver	0.799936461
chr1:32670785-32670821	Thymus	0.799695997
chr13:114894360-114894390	Liver	0.799675223
chr6:43138083-43138099	Liver	0.799563664
chr1:24195308-24195346	Liver	0.799403294
chr22:46472312-46472334	Liver	0.799400675
chr5:176964856-176964991	Thymus	0.799194455
chr5:66564412-66564446	Thymus	0.799115122
chr16:85230190-85230247	Thymus	0.798640189
chr13:114884869-114884899	Liver	0.798107312
chr7:1577190-1577260	Thymus	0.797484179
chr9:14203379-14203638	Thymus	0.797003395
chr19:49133366-49133435	Thymus	0.796708204
chr14:105399226-105399246	Thymus	0.796246933
chr3:184099424-184099527	Liver	0.796236474
chr12:58121135-58121156	Thymus	0.796080236
chr3:9989306-9989354	Thymus	0.796021295
chr12:113515467-113515501	Liver	0.795780006
chr22:51136249-51136369	Liver	0.79577883
chr3:194014712-194014721	Liver	0.795757063
chr19:45594352-45594437	Liver	0.795744367
chr17:59482523-59482546	Ovary	0.795521461
chr5:67730070-67730104	Liver	0.795490332
chr6:41604708-41604725	Thymus	0.795458673
chr8:37555862-37555903	Stomach	0.795361982
chr16:67682150-67682202	Thymus	0.795061375
chr5:99386904-99386957	Liver	0.795038991
chr4:38869929-38870026	Thymus	0.79483197
chr5:134262707-134262893	Thymus	0.794764558
chr7:27150352-27150372	Thymus	0.794553248
chr7:150778540-150778611	Thymus	0.79391331
chr1:8433676-8433789	Thymus	0.793496928
chr7:4832318-4832358	Liver	0.792977756
chr7:101579883-101579989	Thymus	0.792825869
chr9:130590630-130590761	Thymus	0.792818974
chr3:52351709-52351866	Liver	0.792121181
chr8:27183164-27183388	Liver	0.791860775
chr1:27676973-27677004	Thymus	0.791860182
chr11:58731311-58731346	Thymus	0.79151311
chr20:54934892-54934999	Thymus	0.791133049
chr14:95927553-95927689	Liver	0.791074212
chr7:2799782-2799847	Liver	0.790902057
chr19:6475840-6476023	Thymus	0.790745742
chr22:46481864-46481922	Liver	0.790684003
chr7:156400470-156400500	Bladder	0.790208133
chr11:65374818-65374865	Thymus	0.790139457
chr4:2808864-2808953	Thymus	0.789849143
chr2:45232105-45232241	Liver	0.789621131
chr17:76732735-76732773	Brain	0.789389136
chr1:234857755-234857930	Thymus	0.789221976
chr2:241931335-241931359	Liver	0.789059507
chr22:51159353-51159385	Thymus	0.789039574
chr12:113515399-113515458	Thymus	0.788803585
chr6:41528485-41528562	Liver	0.788701929
chr17:75315463-75315623	Brain	0.78761698
chr17:74494285-74494400	Thymus	0.787590442
chr7:27176159-27176324	Thymus	0.78743506
chr19:38741973-38742125	Thymus	0.786889094
chr16:67687484-67687553	Thymus	0.785738088
chr11:72532856-72532929	Thymus	0.785579713
chr5:177758822-177758895	Thymus	0.785520248
chr13:99630166-99630221	Thymus	0.78537913
chr19:21788160-21788195	Thymus	0.785290559
chr7:130606472-130606549	Thymus	0.78527448
chr19:17952319-17952369	Thymus	0.785268405
chr19:6236933-6236958	Thymus	0.784895561
chr1:92946665-92946767	Thymus	0.784580451
chr16:54972803-54972832	muscle	0.784316087
chr4:151504765-151504795	Thymus	0.783277641
chr11:73054006-73054065	Thymus	0.783040784
chr2:240196913-240197022	Liver	0.782952629
chr8:93074901-93074934	Thymus	0.782667749
chr18:77376899-77377025	Liver	0.782444318
chr5:158532459-158532500	Vessel	0.782166178
chr4:184798039-184798097	Liver	0.782137065
chr3:14493890-14493935	Thymus	0.781077568
chr22:46473635-46473677	Thymus	0.780752304
chr19:2588574-2588655	Thymus	0.78068871
chr11:44009310-44009372	Thymus	0.780376907
chr7:101580010-101580058	Thymus	0.780246158
chr11:58735999-58736025	Liver	0.780209956
chr17:16389937-16389982	Thymus	0.780145139
chr22:46786620-46786696	Thymus	0.780107577
chr19:44278476-44278576	Thymus	0.780021225
chr12:125001845-125001867	Thymus	0.780011656
chr19:41879979-41880057	Thymus	0.780002377
chr1:25258051-25258145	Thymus	0.779990172
chr8:11711608-11711750	Thymus	0.779763764
chr7:101580126-101580160	Liver	0.779652681
chr12:58130870-58130981	Thymus	0.779476969
chr7:50468069-50468129	Thymus	0.779164399
chr14:23623750-23623779	Thymus	0.778850482
chr9:130590776-130590838	Thymus	0.778741841
chr11:63687828-63687936	Thymus	0.778497531
chr1:221165737-221165784	Thymus	0.77747483
chr8:67454817-67454839	Thymus	0.77733583
chr16:1820427-1820475	Thymus	0.77701448
chr6:110721059-110721078	Brain	0.776976437
chr20:48671596-48671617	Thymus	0.776173338
chr22:29703527-29703542	Thymus	0.77604736
chr7:4832448-4832479	Liver	0.77597675
chr5:138730728-138730782	Thymus	0.775771053
chr7:155598358-155598673	Liver	0.775756864
chr14:69065777-69065840	Liver	0.775665966
chr16:67687284-67687439	Thymus	0.775332579
chr11:128321691-128321738	Thymus	0.774947776
chr10:14051644-14051693	Liver	0.774925544
chr7:47419767-47419847	Thymus	0.774894003
chr17:48546695-48546775	Liver	0.774337536
chr1:61800815-61800892	Thymus	0.774279981
chr11:128559946-128560002	Thymus	0.774025112
chr16:85640995-85641032	Liver	0.773570938
chr15:100386502-100386576	Brain	0.773459726
chr8:23193959-23194151	Thymus	0.773448949
chr1:41284246-41284298	Vessel	0.773444274
chr7:27161807-27162002	Thymus	0.773410555
chr17:74134449-74134490	Thymus	0.773368098
chr11:19701893-19702081	Liver	0.773330938
chr8:38585891-38585936	Pancreas	0.773292446
chr1:3164261-3164296	Pancreas	0.773182748
chr20:24675690-24675702	Thymus	0.77296045
chr17:77893045-77893072	Spleen	0.772957379
chr19:17952495-17952511	Thymus	0.772833893
chr15:63795306-63795531	Liver	0.772785294
chr9:140163788-140163884	Thymus	0.772770896
chr6:149803413-149803482	Brain	0.772673063
chr7:150822678-150822744	Liver	0.772655927
chr1:25257793-25257822	Thymus	0.772608385
chr15:91500673-91500697	Thymus	0.772417946
chr14:77492106-77492182	Thymus	0.772032688
chr6:33048642-33048705	Thymus	0.771847826
chr10:101282003-101282014	Thymus	0.771487803
chr8:142046260-142046306	Bladder	0.771372435
chr6:35463907-35464065	Thymus	0.771341938
chr17:1960067-1960101	Vessel	0.771270302
chr22:38148519-38148761	Spleen	0.771206651
chr6:30850295-30850337	Spleen	0.771074613
chr3:195531446-195531500	Vessel	0.77084513
chr4:77752207-77752319	Thymus	0.770781243
chr10:26855809-26855941	Thymus	0.770651606
chr19:1071232-1071353	Thymus	0.770623303
chr1:25258192-25258224	Spleen	0.770358529
chr12:58130322-58130496	Thymus	0.77004841
chr12:4252393-4252444	Brain	0.769841293
chr1:54739093-54739175	Thymus	0.769416889
chr15:96904744-96904778	Ovary	0.76900019
chr9:130861140-130861418	Thymus	0.768962097
chr7:116660212-116660308	Liver	0.768857957
chr2:25585643-25585674	Liver	0.768385854
chr9:137348011-137348103	Liver	0.76817318
chr7:155597674-155597783	Liver	0.767938701
chr16:23083411-23083452	Thymus	0.767456238
chr2:207115460-207115506	Liver	0.76742054
chr14:102302574-102302635	Thymus	0.767060443
chr1:16471782-16471948	Thymus	0.766662655
chr3:13060896-13060982	Liver	0.766531807
chr5:138730608-138730647	Liver	0.766444255
chr5:81692855-81692912	Thymus	0.766244971
chr2:11514542-11514561	Thymus	0.765318201
chr19:2546957-2546981	Thymus	0.765237406
chr2:230271956-230271989	Liver	0.765212241
chr9:124989828-124989857	Liver	0.765185213
chr7:155596862-155597070	Liver	0.765161632
chr16:84676745-84676867	Thymus	0.765006813
chr19:15567651-15567704	Thymus	0.764924651
chr11:128559177-128559213	Liver	0.764725473
chr1:234667496-234667524	Thymus	0.764461558
chr20:19956694-19956745	Liver	0.764447457
chr16:88454809-88454843	Brain	0.764437956
chr3:71478204-71478272	Stomach	0.764293839
chr17:75309367-75309433	Thymus	0.764202417
chr7:641336-641383	Liver	0.764190333
chr11:47611512-47611521	Thymus	0.764090785
chr20:19956171-19956276	Liver	0.76403027
chr10:30843021-30843064	Thymus	0.763832636
chr22:46484869-46484896	Thymus	0.763824225
chr22:46472560-46472607	Liver	0.763594296
chr17:55740467-55740620	Thymus	0.763419083
chr7:130679621-130679705	Thymus	0.763201184
chr9:109460279-109460412	Liver	0.763061297
chr6:151365981-151366105	Thymus	0.762833835
chr19:55831366-55831392	Thymus	0.762660046
chr19:56058872-56058883	Liver	0.762438897
chr19:1071445-1071517	Thymus	0.762307146
chr19:49842970-49843074	Thymus	0.761983923
chr15:96886617-96886656	Liver	0.761911527
chr1:68517332-68517395	Liver	0.761893026
chr17:79018673-79018697	Thymus	0.761591675
chr9:35036296-35036335	Pancreas	0.761254564
chr12:2273032-2273093	Thymus	0.761182484
chr15:70994631-70994681	Thymus	0.760934102
chr2:113190385-113190497	Ovary	0.760775601
chr11:123066909-123066941	Liver	0.76022219
chr8:142289861-142290157	Thymus	0.760168443
chr3:195619364-195619422	Stomach	0.759560356
chr7:45002526-45002634	Thymus	0.759551055
chr5:173317641-173317730	Thymus	0.75935509
chr6:30653721-30653735	Pancreas	0.759270026
chr17:16935484-16935633	Thymus	0.758960458
chr14:24785487-24785517	Thymus	0.758895427
chr11:112752457-112752495	Liver	0.758757916
chr7:27163819-27163843	Thymus	0.758681649
chr3:11641974-11642324	Liver	0.75844657
chr12:6456618-6456775	Liver	0.758391378
chr15:37388635-37388669	Stomach	0.757845952
chr7:27163920-27163993	Spleen	0.757821946
chr19:15563818-15563935	Thymus	0.757374351
chr1:23496274-23496303	Liver	0.757181095
chr8:117670615-117670744	Spleen	0.757079332
chr6:10720855-10720934	Brain	0.756987575
chr19:55593227-55593254	Stomach	0.756691449
chr8:1906458-1906505	Thymus	0.756589886
chr19:35485898-35486097	Thymus	0.756517507
chr22:46474729-46474790	Thymus	0.756447231
chr17:2075918-2076024	Thymus	0.756386906
chr6:13015097-13015144	Thymus	0.756295263
chr14:59682227-59682438	Thymus	0.756272269
chr22:51135216-51135295	Thymus	0.756236601
chr13:114631970-114632055	Thymus	0.755964452
chr15:93448464-93448515	Thymus	0.755908293
chr14:77492388-77492472	Thymus	0.75577892
chr3:32863283-32863366	Thymus	0.755756099
chr7:116660362-116660423	Liver	0.755293401
chr13:51103636-51103685	Thymus	0.754701572
chr8:134419394-134419566	Thymus	0.75465465
chr8:119086738-119086754	Liver	0.754613835
chr10:77158757-77158887	Liver	0.754613834
chr3:128215655-128215681	Spleen	0.754481896
chr8:145013248-145013299	Liver	0.754477042
chr2:240197130-240197169	Liver	0.754364841
chr22:51158990-51159182	Thymus	0.754280621
chr20:57429242-57429276	Liver	0.754155477
chr2:85483361-85483414	Thymus	0.753909694
chr9:35689738-35689762	Liver	0.753620911
chr9:112887564-112887655	Spleen	0.752902691
chr16:84560764-84560925	Thymus	0.752461498
chr8:130996080-130996122	Stomach	0.752448079
chr15:91500596-91500614	Thymus	0.752068432
chr16:67683438-67683459	Thymus	0.751843485
chr22:39919395-39919422	Thymus	0.751784987
chr11:3071193-3071303	Thymus	0.751760145
chr19:39798183-39798269	Thymus	0.75136824
chr7:27161734-27161779	Thymus	0.751140053
chr11:65246523-65246572	Spleen	0.750957015
chr11:65359990-65360020	Thymus	0.750927646
chr1:239376471-239376548	Thymus	0.750892922
chr16:85482325-85482347	Brain	0.750773314
chr19:13135807-13135847	Liver	0.750756403
chr17:43319178-43319217	Thymus	0.750405052
chr10:31446622-31446696	Thymus	0.750400381
chr12:124907924-124908065	Thymus	0.750178104
chr2:47074538-47074587	Thymus	0.750115169
chr1:109933423-109933429	Liver	0.74991966
chr8:1765610-1765630	Vessel	0.749234573
chr12:58129705-58129981	Thymus	0.749164628
chr12:124866341-124866664	Thymus	0.74908567
chr6:13014832-13015071	Thymus	0.749032538
chr21:44782455-44782492	Stomach	0.748809369
chr9:130516461-130516521	Thymus	0.748693817
chr2:3633301-3633477	Thymus	0.748560548
chr9:116226170-116226221	Thymus	0.748531116
chr8:22249966-22250056	Thymus	0.748157692
chr3:12482596-12482700	Thymus	0.747902826
chr17:77030276-77030299	Liver	0.747814849
chr22:46472450-46472512	Liver	0.747788982
chr12:107372161-107372249	Thymus	0.74776057
chr2:200468821-200468850	Thymus	0.747707707
chr16:66969541-66969572	Thymus	0.747647733
chr11:1507492-1507740	Liver	0.747627916
chr8:93528201-93528265	Liver	0.747537265
chr10:45915019-45915093	Pancreas	0.747450881
chr8:141219966-141220319	Liver	0.747276755
chr2:144474846-144474895	Thymus	0.746960412
chr1:116381811-116382095	Brain	0.746946929
chr7:27182263-27182351	Thymus	0.746902887
chr17:45786237-45786297	Thymus	0.746847048
chr1:151964885-151964904	Thymus	0.746749048
chr3:184209212-184209225	Thymus	0.746744995
chr19:17942109-17942145	Spleen	0.746715627
chr19:39204145-39204213	Thymus	0.746615153
chr4:1195837-1195892	Liver	0.746565522
chr17:8601976-8601988	Brain	0.746544432
chr3:128215990-128216069	Thymus	0.746533711
chr17:74494209-74494248	Thymus	0.746493446
chr6:3849970-3850001	Liver	0.746251834
chr2:45231292-45231352	Vessel	0.745937458
chr18:77376869-77376878	Liver	0.745856805
chr10:32201933-32201973	Liver	0.745790512
chr11:2828703-2828804	Thymus	0.745386585
chr6:4352298-4352401	Spleen	0.745273336
chr2:73496003-73496030	Thymus	0.745107475
chr17:75093070-75093140	Thymus	0.744808627
chr11:73053755-73053776	Thymus	0.744771072
chr2:233180361-233180526	Liver	0.744634879
chr17:43507012-43507098	Thymus	0.744472807
chr19:15376953-15377117	Thymus	0.744304058
chr15:99663811-99663841	Thymus	0.744296206
chr4:159969457-159969607	Thymus	0.744134389
chr11:2007685-2007697	Vessel	0.743803888
chr11:130608231-130608346	Thymus	0.743789456
chr3:14494665-14494733	Thymus	0.743604525
chr12:679797-679865	Thymus	0.743471209
chr12:27702830-27702867	Thymus	0.743447278
chr5:140893518-140893633	Thymus	0.743348224
chr15:96890577-96890732	Liver	0.743293886
chr18:74499713-74499725	Brain	0.743205236
chr8:142164139-142164179	Thymus	0.742911033
chr19:11086561-11086610	Liver	0.742899792
chr4:154409977-154410083	Liver	0.742787325
chr4:2814121-2814172	Vessel	0.742570739
chr5:149994824-149994880	Thymus	0.74251911
chr15:96886880-96886914	Liver	0.742504361
chr22:18051063-18051128	Thymus	0.742383162
chr2:220313417-220313438	Ovary	0.742319051
chr22:46477313-46477344	Liver	0.742288731
chr22:51159220-51159266	Thymus	0.742279439
chr20:23145043-23145099	Thymus	0.742245481
chr1:92946922-92946952	Spleen	0.742175991
chr7:36320659-36320694	Thymus	0.742017066
chr3:128215855-128215888	Spleen	0.741873083
chr6:109267264-109267358	Liver	0.741717121
chr12:6662367-6662418	Thymus	0.741519891
chr18:46473479-46473609	Thymus	0.741315323
chr19:10723405-10723462	Liver	0.741305436
chr7:156796837-156796926	Pancreas	0.741241446
chr19:3398657-3398676	Thymus	0.741209699
chr10:18629915-18629944	Liver	0.740867296
chr17:77997509-77997608	Thymus	0.740819002
chr10:34978191-34978210	Thymus	0.740580515
chr1:16275778-16275838	Thymus	0.739847596
chr4:187572959-187573032	Liver	0.739718782
chr22:34269298-34269320	Liver	0.739563348
chr4:3390758-3390794	Liver	0.739517696
chr19:15391922-15391958	Thymus	0.739459571
chr7:117448533-117448562	Thymus	0.739352688
chr10:3870823-3870840	Thymus	0.739350286
chr2:121672571-121672615	Thymus	0.739155488
chr11:65414931-65414952	Thymus	0.738855825
chr6:3849800-3849817	Brain	0.738789827
chr10:70359409-70359437	Liver	0.738527254
chr22:37942946-37942984	Thymus	0.738425745
chr14:95403135-95403149	Thymus	0.738304354
chr4:159091800-159091862	Liver	0.73824062
chr14:93154542-93154576	Spleen	0.738065911
chr9:137185650-137185719	Brain	0.738014626
chr19:17942212-17942255	Thymus	0.737987915
chr1:228346337-228346355	Thymus	0.737844699
chr10:71626579-71626666	Liver	0.737822468
chr6:43460098-43460326	Thymus	0.737808513
chr7:135493953-135494000	Liver	0.737667926
chr19:3404842-3405130	Thymus	0.737145937
chr19:58861924-58861946	Thymus	0.737106308
chr22:19868884-19868931	Liver	0.737092894
chr6:35286441-35286516	Thymus	0.736975087
chr1:16796812-16796874	Liver	0.736919155
chr11:76463879-76463994	Liver	0.736859961
chr17:79339004-79339051	Liver	0.73681362
chr17:7833117-7833153	Liver	0.736787124
chr1:95113861-95113943	Brain	0.736624145
chr19:7224503-7224547	Thymus	0.736611534
chr2:97204374-97204400	Liver	0.736580981
chr3:38500827-38500875	Thymus	0.73629725
chr3:14494578-14494599	Liver	0.736117642
chr3:72202229-72202380	Thymus	0.736024454
chr19:2525370-2525385	Thymus	0.735835495
chr19:57351206-57351385	Liver	0.735794316
chr5:138730867-138730903	Thymus	0.735790511
chr16:16244434-16244529	Thymus	0.735668966
chr22:31318255-31318275	Stomach	0.735661629
chr19:18979996-18980020	Kidney	0.735190857
chr17:17713493-17713524	Thymus	0.735183743
chr1:8950087-8950228	Thymus	0.734861914
chr10:101281646-101281667	Spleen	0.734835505
chr16:29796561-29796619	Liver	0.734728046
chr13:49066668-49066723	Liver	0.73421527
chr10:94455697-94455709	Thymus	0.734062123
chr19:3098271-3098313	Thymus	0.733733261
chr6:110651029-110651066	Thymus	0.7337037
chr3:105601574-105601648	Liver	0.733658096
chr10:111725251-111725313	Liver	0.733462251
chr3:122641209-122641233	Brain	0.733337757
chr19:10625359-10625393	Pancreas	0.733177991
chr11:123066872-123066885	Ovary	0.733172803
chr10:81967041-81967097	Thymus	0.732756623
chr20:30258564-30258668	Thymus	0.732639332
chr14:70038539-70038603	Brain	0.732344956
chr11:128646973-128647017	Thymus	0.731861161
chr3:126260939-126260962	Thymus	0.731653428
chr3:46909115-46909219	Thymus	0.731533686
chr10:26856407-26856466	Thymus	0.731413474
chr22:46481990-46482019	Thymus	0.731267264
chr10:80981116-80981175	Thymus	0.731199099
chr2:235883616-235883650	Liver	0.731024321
chr12:2045719-2045731	Thymus	0.730861014
chr12:4417055-4417092	Thymus	0.730739425
chr16:29818770-29818931	Liver	0.730574633
chr20:419380-419416	Liver	0.730490109
chr6:158185694-158185736	Liver	0.730422128
chr10:94455659-94455690	Thymus	0.730376302
chr2:8655762-8655787	Liver	0.730225244
chr8:141110676-141110832	Liver	0.730209504
chr11:128559774-128559914	Thymus	0.72980025
chr17:46641662-46641747	Thymus	0.729789041
chr8:103807496-103807555	Brain	0.729737183
chr1:221050180-221050272	Liver	0.729371013
chr2:241395271-241395330	Vessel	0.729165682
chr5:14441152-14441182	Liver	0.729100388
chr14:77492730-77492770	Thymus	0.729092197
chr12:10020960-10021035	Liver	0.728972512
chr6:149293728-149293766	Vessel	0.728857364
chr11:63342075-63342104	Brain	0.728742612
chr8:8458535-8458580	Thymus	0.728422838
chr1:226322869-226322885	Thymus	0.728405706
chr10:101281280-101281330	Thymus	0.728339688
chr3:126260889-126260929	Liver	0.728267118
chr17:30822536-30822582	Liver	0.727753613
chr1:12600495-12600547	Liver	0.727556719
chr19:3098557-3098672	Thymus	0.727444132
chr5:180045963-180045994	Stomach	0.727280293
chr15:101442697-101442717	Thymus	0.727121549
chr21:46777516-46777526	Liver	0.726897654
chr5:2643276-2643298	Liver	0.726661206
chr19:49842771-49842861	Thymus	0.726459013
chr21:40285159-40285183	Thymus	0.726334122
chr15:39719210-39719323	Ovary	0.726258064
chr20:61508422-61508438	Liver	0.725936285
chr7:75779778-75779807	Bladder	0.72586348
chr18:9417386-9417406	Thymus	0.725782171
chr17:79393449-79393571	Thymus	0.725739921
chr22:50585385-50585412	Thymus	0.725627573
chr1:12610103-12610140	Liver	0.725224412
chr22:32599436-32599448	Brain	0.725111574
chr7:130626548-130626600	Thymus	0.725040345
chr10:101281365-101281408	Thymus	0.724922894
chr4:186488711-186488798	Liver	0.724818667
chr16:85409879-85409911	Thymus	0.724690046
chr13:114524094-114524157	Liver	0.724203832
chr12:118627651-118627712	Liver	0.72409828
chr5:176793906-176794164	Thymus	0.723894121
chr14:32979089-32979135	Thymus	0.723785087
chr12:58120495-58120854	Thymus	0.723703441
chr3:140814044-140814127	Liver	0.723418759
chr12:120242122-120242155	Liver	0.723250785
chr9:134589527-134589693	Liver	0.723179369
chr22:37572816-37572915	Liver	0.723164519
chr16:3079620-3079732	Pancreas	0.723153543
chr15:63189256-63189513	Thymus	0.722958801
chr12:54764117-54764347	Thymus	0.722951835
chr10:105344548-105344558	Pancreas	0.722943272
chr7:30509868-30509916	Liver	0.722876512
chr9:134484302-134484441	Thymus	0.722849426
chr9:137221169-137221298	Thymus	0.722671938
chr16:8960346-8960476	Thymus	0.722668048
chr7:50467871-50468044	Thymus	0.722425146
chr3:32863225-32863274	Thymus	0.722406948
chr19:18571432-18571449	Liver	0.721925511
chr14:38091850-38091925	Stomach	0.721772491
chr17:66489605-66489668	Thymus	0.721584184
chr16:1047993-1048016	Vessel	0.721425306
chr17:78916402-78916525	Liver	0.721260233
chr19:7224683-7224712	Thymus	0.721137026
chr1:158968869-158968889	Thymus	0.720791652
chr5:176827160-176827205	Thymus	0.720634458
chr16:75279565-75279660	Thymus	0.720621558
chr16:73054410-73054458	Liver	0.720562208
chr1:198668725-198668764	Thymus	0.720498607
chr1:247611781-247611919	Thymus	0.720481582
chr8:119086606-119086678	Liver	0.720380774
chr4:24801824-24801847	Vessel	0.72028517
chr17:75319206-75319347	Liver	0.720227017
chr3:145969473-145969578	Thymus	0.720225153
chr17:2117745-2117770	Thymus	0.72017731
chr6:16337660-16337724	Thymus	0.720148156
chr7:644261-644331	Brain	0.720130679
chr16:4000512-4000664	Liver	0.720102531
chr6:7758932-7758968	Thymus	0.720029956
chr15:41794305-41794425	Liver	0.71999473
chr13:114524545-114524585	Thymus	0.719972451
chr6:3825970-3825985	Liver	0.719964742
chr3:105601366-105601455	Liver	0.719909978
chr22:28194137-28194214	Thymus	0.719901512
chr19:17941303-17941379	Thymus	0.719793864
chr19:18854100-18854125	Liver	0.71965562
chr7:27146074-27146125	Thymus	0.719623866
chr11:111608686-111608759	Thymus	0.719568037
chr4:154460014-154460116	Liver	0.719422387
chr12:94288490-94288577	Liver	0.719224976
chr16:85470361-85470415	Thymus	0.719216259
chr22:24503760-24503829	Thymus	0.71913443
chr19:49238627-49238718	Thymus	0.719108408
chr18:60905534-60905583	Spleen	0.719077145
chr16:16244543-16244596	Thymus	0.718972944
chr22:46477927-46477962	Liver	0.718959273
chr2:240613043-240613061	Thymus	0.718921965
chr2:149570094-149570132	Thymus	0.718812499
chr6:114147100-114147188	Liver	0.718783726
chr18:13236106-13236178	Thymus	0.718446962
chr16:31488890-31488911	Brain	0.718273913
chr16:49697884-49697917	Thymus	0.717992584
chr1:19110909-19110921	Liver	0.71795433
chr5:156990579-156990624	Thymus	0.717834853
chr14:102681468-102681585	Liver	0.717810803
chr17:76170614-76170822	Thymus	0.717794638
chr8:29971090-29971151	Liver	0.717656791
chr17:81147353-81147365	Brain	0.717540549
chr19:15360942-15360996	Liver	0.717502481
chr5:176827105-176827134	Thymus	0.717104305
chr5:115177686-115177719	Brain	0.71709686
chr20:49379655-49379697	Thymus	0.717055317
chr19:53088466-53088481	Thymus	0.717025664
chr8:48425155-48425392	Thymus	0.716727718
chr20:55973348-55973515	Vessel	0.716627007
chr6:3023477-3023675	Brain	0.716386482
chr1:48450067-48450092	Vessel	0.71628618
chr2:177012407-177012459	muscle	0.716136391
