	6-P-1	6-P-10	6-P-11	6-P-12	6-P-13	6-P-14	6-P-15	6-P-16	6-P-17	6-P-18	6-P-19	6-P-2	6-P-20	6-P-21	6-P-22	6-P-23	6-P-24	6-P-25	6-P-26	6-P-27	6-P-28	6-P-29	6-P-3	6-P-30	6-P-4	6-P-5	6-P-6	6-P-7	6-P-8	6-P-9	6-T-1	6-T-2	6-T-3	6-T-4	6-T-5	NC-P-1	NC-P-12	NC-P-13	NC-P-14	NC-P-15	NC-P-16	NC-P-17	NC-P-18	NC-P-19	NC-P-2	NC-P-20	NC-P-21	NC-P-22	NC-P-23	NC-P-24	NC-P-25	NC-P-26	NC-P-27	NC-P-29	NC-P-3	NC-P-30	NC-P-5	NC-P-6	NC-P-7	NC-P-8	NC-P-9	N37-Colon	STL001SG-01	STL003SG-01
chr6:157557271-157557283	0.0277777777777778	NA	0.5	0.5	0.5	NA	NA	0.5	1	NA	NA	NA	NA	0.333333333333333	0.0555555555555556	0.666666666666667	0.666666666666667	NA	NA	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.527777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr15:33602820-33602834	NA	NA	NA	NA	1	0.0111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00233918128654971	NA
chr14:70346177-70346222	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.593943833943834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00476190476190476	NA	NA	NA	NA	NA	0.00392156862745098	0.00385151686451856	NA
chr7:123672229-123672447	NA	NA	NA	0.121797810033104	NA	NA	NA	0.62279093455564	NA	NA	NA	NA	0.21	1	0.025	NA	NA	0.00952380952380952	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.656666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00317460317460317	NA	NA	NA	NA
chr1:6514669-6514741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0348484848484848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0314814814814815	0.00666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.148281821274685	NA
chr16:56659624-56659646	NA	NA	1	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.166666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00188679245283019	0.00217391304347826
chr15:83876544-83876593	NA	NA	NA	NA	NA	NA	1	0.692131333578702	0.992592592592593	NA	NA	NA	NA	NA	1	1	NA	1	NA	1	1	0.00740740740740741	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	0.802619047619048	NA	NA	NA	NA	NA	NA	NA	0.00416666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr7:20830775-20830781	NA	NA	NA	NA	0.333333333333333	NA	0.5	NA	NA	NA	1	NA	0.5	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0185185185185185	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0925925925925926	NA	NA	NA	NA	NA	0.037037037037037	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr7:19812642-19812678	NA	NA	NA	1	NA	NA	NA	0.811111111111111	1	NA	NA	NA	NA	0.5	NA	NA	0.333333333333333	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0208333333333333	1	NA	NA	NA	NA	NA	NA	NA	0.277777777777778	NA	NA	NA	NA	NA	NA	0.0138888888888889	NA	NA	NA	NA	NA	0.0555555555555556	0.0277777777777778	NA	NA	NA	NA	NA	0.0238095238095238	NA	NA
chr6:43612825-43612843	NA	NA	1	1	NA	NA	0.0555555555555556	0.822222222222222	NA	0.5	NA	NA	NA	NA	1	1	1	NA	1	NA	NA	NA	NA	NA	0.0151515151515152	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr14:50329146-50329273	NA	NA	NA	NA	0.888888888888889	NA	NA	0.888888888888889	NA	1	NA	NA	NA	1	0.888888888888889	0.158730158730159	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00347222222222222	NA
chr13:39261795-39261819	NA	NA	0.333333333333333	0.666666666666667	1	0.333333333333333	NA	0.337777777777778	1	1	NA	NA	NA	0.666666666666667	NA	0.5	0.666666666666667	NA	0.666666666666667	NA	NA	0.586666666666667	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0086682427107959	NA
chr19:53561640-53561648	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	0.0555555555555556	0.0555555555555556	0.0555555555555556	NA	NA	NA	1	NA	0.277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0416666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10:118899351-118899404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.822222222222222	1	0.916666666666667	0.111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.065	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0362179487179487	NA
chr7:24797336-24797439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.665829725829726	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0121212121212121	NA	NA	0.0021505376344086	NA	NA	0.02	NA	0.00289855072463768	NA	NA	NA	NA	NA	NA	NA	NA	0.0021505376344086	NA	NA
chr19:36912540-36912546	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.025	NA	NA	NA	0.116666666666667	NA	0.025	1	NA	0.3375	NA	NA	NA	NA	NA	NA	NA	NA	0.0583333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10:1462877-1462961	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0166666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0048780487804878	NA
chr4:155547984-155548008	NA	NA	0.554166666666667	0.537698412698413	NA	0.869047619047619	NA	0.822222222222222	1	NA	NA	0.0277777777777778	NA	0.822222222222222	NA	0.822222222222222	NA	NA	NA	0.822222222222222	0.822222222222222	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	0.000701754385964912	NA
chr18:22930298-22930324	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.822222222222222	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0208333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0333333333333333	NA	0.00317460317460317
chr11:88242239-88242254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.542592592592593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00476190476190476
chr11:88242350-88242356	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.5	1	NA	0.5	NA	NA	NA	NA	NA	NA	NA	0.0138888888888889	NA	NA	1	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00303030303030303	0.0040650406504065
chr13:108520110-108520118	NA	NA	0.5	0.5	0.5	NA	1	0.50625	NA	1	NA	NA	NA	0.862727272727273	0.5	0.666666666666667	1	1	1	NA	NA	0.5	NA	0.5	NA	NA	NA	NA	NA	NA	1	NA	0.119444444444444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05	NA	NA	NA	NA	NA	NA	0.00701754385964912	0.235873015873016
chr16:54317130-54317192	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0208333333333333	0.0185185185185185
chr11:8190589-8190604	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00238095238095238	0.016260162601626
chr6:1625110-1625383	NA	NA	0.00512820512820513	0.806905173586844	NA	1	NA	0.623677397870946	0.314556496135444	NA	1	NA	NA	0.632498286027698	0.00988095238095238	NA	NA	1	1	1	0.65806712955644	0.624078576970563	NA	NA	0.00289855072463768	NA	NA	NA	NA	NA	0.910739260739261	NA	0.401936515496887	NA	0.67989417989418	NA	NA	NA	0.00202020202020202	NA	NA	NA	0.00202020202020202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00476190476190476	NA	NA	NA	NA	NA	NA	NA	0.0607503607503607	NA	NA
chr2:5836279-5836355	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0496384913536076
chr20:55500736-55500746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.455555555555556	1	1	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.371153846153846	NA	NA	0.666666666666667	NA	NA	0.138888888888889	NA	NA	NA	0.0185185185185185	NA	0.0138888888888889	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	0.0833333333333333	NA	0.0222222222222222	NA	0.0138888888888889	NA	NA	NA	NA	0.00268817204301075	NA
chr10:105037238-105037273	NA	NA	NA	1	NA	NA	1	1	0.277777777777778	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.111111111111111	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00198412698412698	NA
chr5:115908720-115908813	NA	NA	0.886045327221798	1	NA	0.454817599554442	1	NA	0.5	0.640463458110517	1	NA	NA	1	NA	0.025	1	NA	NA	1	0.666666666666667	0.843333333333333	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.00333333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr5:111755289-111755304	NA	NA	NA	0.25	0.759259259259259	0.333333333333333	1	NA	0.5	0.5	0.666666666666667	NA	NA	1	1	NA	0.5	0.0555555555555556	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	0.666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	NA	NA	0.0277777777777778	NA	NA	NA
chr16:30773799-30773954	NA	NA	NA	NA	NA	NA	NA	NA	0.973063973063973	1	NA	NA	NA	NA	1	1	0.916666666666667	0.738095238095238	0.977622377622378	NA	1	0.738095238095238	0.00246913580246914	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.00277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00192307692307692	0.000843881856540084
chr8:57906867-57906981	NA	NA	0.129166666666667	NA	0.0888888888888889	NA	1	NA	1	NA	NA	NA	NA	1	0.64981684981685	0.591269841269841	NA	0.411111111111111	0.0666666666666667	NA	NA	0.111111111111111	NA	0.738095238095238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.0119047619047619	NA	NA	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0459770114942529	0.135802469135802
chr2:11887450-11887703	NA	NA	0.5	1	NA	0.365079365079365	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	0.5	NA	0.888888888888889	NA	0.5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0208333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.090378421900161
chr20:49134620-49134751	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.111111111111111	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0666666666666667	NA	0.888888888888889	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0248199588477366	NA
chr3:49966932-49966958	NA	NA	1	0.958333333333333	NA	NA	NA	1	1	1	0.0555555555555556	NA	1	NA	1	NA	1	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00234741784037559
chr11:133995078-133995088	NA	NA	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	0.5	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.277777777777778	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00416666666666667
chr5:77805753-77805796	0.00476190476190476	NA	0.00444444444444444	NA	0.464079624079624	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.656666666666667	NA	NA	0.00416666666666667	NA	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.282222222222222	NA	NA	NA	NA	NA	0.0774087430361998
chr3:38496980-38497347	NA	NA	0.597550873204231	0.692107892107892	0.0487301587301587	0.465174921696661	0.254862914862915	0.0973645961881256	0.104368539712044	0.68437828852049	0.723686335451041	NA	0.198424908424908	0.00444444444444444	0.54475281183008	0.0021505376344086	0.376230462519936	0.665197025197025	NA	0.721252204585538	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0840247252747253	1	NA	NA	NA	NA	NA	NA	NA	NA	0.00173160173160173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00272108843537415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00446837890085612
chr14:48143642-48143657	NA	NA	NA	0.819444444444444	NA	NA	0.666666666666667	NA	0.333333333333333	1	NA	NA	0.0277777777777778	NA	1	1	NA	1	NA	0.5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0208333333333333	NA	NA
chr22:22170971-22171155	NA	NA	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.041025641025641	0.00469483568075117
chr19:58095614-58095646	NA	NA	1	NA	1	NA	NA	NA	NA	0.358333333333333	NA	NA	NA	0.025	NA	NA	NA	1	NA	1	1	1	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr7:64342869-64342937	NA	NA	NA	NA	NA	1	0.0111111111111111	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.326196581196581	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00740740740740741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr6:112575091-112575261	0.00208333333333333	NA	NA	NA	0.666666666666667	NA	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.802619047619048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00606060606060606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr19:45655869-45655878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10:106400701-106400848	NA	NA	1	1	1	NA	1	NA	1	1	1	NA	NA	0.869047619047619	1	NA	1	1	0.133333333333333	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00595238095238095	NA
chr19:56879538-56879558	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.177615053477122	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr15:101548569-101548717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	NA	0.100431212711914	NA
