	Pvalue	Statistic	test	mean1	mean2	Symbol	NA
27333	cg01643090	6.66948168592225e-10	-10.276237617557	ttest	0.597116549936128	0.78764216101779	CAMTA1
27550	cg01658421	8.62673565460704e-09	8.99882795748908	ttest	0.432847972209948	0.246467754122135	EVX2
28474	cg01721454	3.80445128121159e-08	-8.36342797825038	ttest	0.867903534178864	0.896899720992613	RAB11FIP3
28675	cg01735384	6.86805847437453e-12	11.3574131191821	ttest	0.424958159191023	0.109940719487685	
29293	cg01774704	1.46555738370735e-10	12.3792131141556	ttest	0.39147214051545	0.199414768607295	
32682	cg01972418	1.06766238367205e-19	13.1503498128762	ttest	0.370492259098236	0.10577233543214	PAX9
33702	cg02036261	6.39858381492183e-16	12.9310941162473	ttest	0.393386334673359	0.127511002104762	OTX2
33726	cg02038492	6.68270379190215e-09	-10.2518670572584	ttest	0.573914896184021	0.815255795220679	CASKIN1
33925	cg02051771	1.12623456706517e-07	7.59988659001965	ttest	0.521301874382383	0.326641504936387	PCDHA7;PCDHA12;PCDHA6;PCDHA10;PCDHA4;PCDHA11;PCDHA8;PCDHA1;PCDHA2;PCDHA9;PCDHA5;PCDHA13;PCDHA3
34563	cg02086467	2.69444681858522e-08	9.9438285879164	ttest	0.350529188461434	0.153325612764306	OTX2
34955	cg02111032	1.4386033126392e-12	11.219004288298	ttest	0.408614968217839	0.151910925793527	
35078	cg02119348	4.42124746750169e-10	11.4570327685414	ttest	0.341663415669121	0.157894857268774	A2BP1
36227	cg02196805	6.91367900199014e-09	-10.666647542582	ttest	0.481371845440119	0.72813860935467	CSF2
38638	cg02347074	3.70086321539071e-08	9.63401338541457	ttest	0.414422088767813	0.157846654495492	PAX3
38959	cg02367696	6.74783152517456e-10	8.7000829608469	ttest	0.369938625911449	0.218950758526047	FLJ41350
39311	cg02388865	3.50820000276475e-12	12.4371782552973	ttest	0.380982300464041	0.119419674065685	LIN28
39906	cg02430935	1.65398388772035e-08	9.5178308369408	ttest	0.375113389598733	0.121300335675325	HMX2
39956	cg02434035	1.29733900276597e-10	9.86027949364983	ttest	0.423831674346534	0.205987280542968	UNCX
40120	cg02446647	5.43470995057049e-09	9.32477006197672	ttest	0.382638687083159	0.145195554993868	EYA4
40131	cg02447304	1.1851012098453e-08	10.0824570424467	ttest	0.460246159246425	0.221596439852742	
41006	cg02497758	7.74819449560885e-13	10.4355260233158	ttest	0.324566465049966	0.146636688781974	MAFB
41371	cg02520707	1.68026116174123e-09	-10.1742972726671	ttest	0.591033984452245	0.840407731262497	MIR135B
42158	cg02571816	1.89347017174838e-11	10.95389981458	ttest	0.402259207438299	0.122554729812487	PPP1R14A
42976	cg02620013	3.61737267111041e-08	8.51916121213827	ttest	0.382060189376479	0.234704191095534	MLNR
43426	cg02643667	2.67521204508018e-12	-11.1575173474139	ttest	0.624893328536434	0.847001984434022	TFF1
43522	cg02649597	5.95148714445678e-11	10.9327032274472	ttest	0.320309057193687	0.138439757136471	SIX3
43838	cg02671204	5.28217542587561e-08	-9.11505317130934	ttest	0.604395562722331	0.832499176471926	SLC38A8
43993	cg02681442	1.51038245869197e-12	11.4408459684818	ttest	0.452084750507459	0.193927046202753	FOXG1
44098	cg02690797	1.53523868615412e-09	-7.54007957192177	ttest	0.578431592683289	0.680288033000376	UNC13A
44151	cg02694427	1.25277415622249e-08	10.1609150368056	ttest	0.372720982097092	0.117088850106889	HOXD12
44945	cg02739346	1.354366084184e-11	11.8617561589283	ttest	0.388841274932653	0.156164258059058	EN1
45010	cg02743222	4.50301818484208e-22	15.498998783125	ttest	0.357325103236854	0.0886853131556867	TLX3
45473	cg02770983	7.61993554337449e-08	7.629909998024	ttest	0.51328578701485	0.330554245655054	PAX6
45656	cg02781618	4.36870682273146e-11	10.8545382758493	ttest	0.366622626996243	0.153134995919438	BEND4
45880	cg02798576	3.32963817829004e-15	13.8752945316058	ttest	0.446221310957138	0.142506183564444	
46214	cg02823803	4.10936773553958e-08	8.19568919386994	ttest	0.320381887500591	0.193716092770292	ZNF471
47224	cg02885007	6.34908486734843e-10	11.9297851461363	ttest	0.354271989615873	0.14060109787372	HOXD9
47508	cg02900766	1.18787424706881e-12	8.77289144831667	ttest	0.391295365451779	0.27746936037141	ALDH1A2
47810	cg02917889	7.63223250849416e-08	-8.70268244295323	ttest	0.506417524027029	0.660345423982776	ARHGEF4
47843	cg02919960	2.12245628660089e-08	9.3230465679911	ttest	0.358084183083764	0.208551837999263	
47952	cg02925601	7.03213593975673e-10	9.05356405039141	ttest	0.4044995075426	0.197628619037116	
49710	cg03031609	2.12567970381109e-09	9.75500644437422	ttest	0.253502745572447	0.0837628787550505	SFMBT2
49752	cg03033543	6.36784806038135e-08	-8.74306376301632	ttest	0.604678607909957	0.812150201017111	C20orf114
50032	cg03049445	3.10823475023934e-08	-9.38571977410497	ttest	0.602443435700322	0.811261515311796	
50705	cg03093838	9.45869544506507e-11	11.0333120224945	ttest	0.387941520346831	0.198732457268252	OLIG3
50960	cg03111498	1.21278615109344e-14	11.8035736201847	ttest	0.310791079910498	0.121880734204594	VSX1
51574	cg03149432	1.71516993494079e-10	11.3767834862487	ttest	0.359785027900412	0.169150937184514	GRIK3
51975	cg03175513	3.72868481815405e-08	-8.35786558238976	ttest	0.939564261022077	0.954224188926192	PSD3
52199	cg03190266	3.79855759895769e-12	10.6602181733108	ttest	0.361100159064249	0.156628099208217	FOXC2
52563	cg03215422	2.3501843119698e-11	11.6491765564777	ttest	0.47707697404241	0.251476547898593	FBXL21
53288	cg03262802	6.95995321624923e-08	-7.96109085117251	ttest	0.598666593107004	0.734517438244984	
53582	cg03284102	2.87846852811299e-09	-9.82599028158628	ttest	0.58808087448784	0.794085696383803	NDUFA4
53704	cg03292284	3.00863193634028e-12	-8.79652950932609	ttest	0.565094662142548	0.671635456766998	OPN3
54284	cg03326606	7.16288620127982e-08	-9.1175328840352	ttest	0.559744051628036	0.836318458614946	
54346	cg03329976	1.52791886058742e-23	13.9180561757798	ttest	0.413855480021322	0.176475289847109	SOX17
54427	cg03334213	4.12054355487187e-08	-8.10164002473976	ttest	0.499223040934166	0.684181762236483	C4orf26
54575	cg03343515	1.45140685715372e-08	-9.78507328897422	ttest	0.576330090551664	0.798907821390448	CYP2B7P1
56102	cg03440989	2.01351760439149e-08	-9.14800943489495	ttest	0.575369776929842	0.768952197009959	DNAJC7
56128	cg03442378	9.74818753708187e-12	11.3272642383123	ttest	0.337895502575507	0.110581366376263	ALX4
56390	cg03458316	2.45989637673112e-11	-11.0810400508342	ttest	0.577968348603563	0.831890720924596	
56781	cg03481488	2.81604346129827e-08	-10.2254366529165	ttest	0.604156679504775	0.826933432732369	
56897	cg03490331	8.96331863433221e-10	10.2550700659997	ttest	0.397766550104551	0.23578099581569	
57254	cg03514351	1.74431353914396e-08	9.3302937008769	ttest	0.392544169028838	0.212851418335372	LEPR
57275	cg03515663	5.70731686900688e-08	8.88843943074597	ttest	0.415380322417983	0.216414463753476	PTPRN2
57488	cg03527077	5.11319026274804e-08	-10.0766536706868	ttest	0.512098732958428	0.75421390734857	PTPRN2
58175	cg03565674	3.44701665665927e-08	-7.66572404418217	ttest	0.452788015584217	0.544972688722094	HCCA2
58512	cg03585912	6.39677428887355e-11	12.1178205569955	ttest	0.394907626260798	0.127927608246093	
58680	cg03596178	3.74137921098914e-08	-9.48652494790053	ttest	0.479725684639023	0.696412907463306	TMC8
59256	cg03631131	3.75147411560969e-08	9.57850879371002	ttest	0.331834939056843	0.14559153059135	ZIC4
59351	cg03638905	1.93335394308959e-09	10.8121903118323	ttest	0.383576276072435	0.158602981679657	
60019	cg03682719	2.18928368252248e-15	11.7593875491357	ttest	0.444140681649766	0.228564839248327	
60444	cg03711485	8.4445940551353e-08	9.66463030250338	ttest	0.555221810628876	0.254201189874613	NKX2-3
62137	cg03819243	7.00970064170375e-08	-7.4135070285228	ttest	0.613936802381511	0.76974802047175	PLCD1
62691	cg03858673	6.32027379554915e-10	11.0941252065396	ttest	0.460240052685747	0.242826590186197	
62903	cg03874199	3.15514389672129e-09	9.95389776309499	ttest	0.327396033876632	0.128498032849488	HOXD12
63317	cg03900072	1.65593025726756e-12	-9.27542412647048	ttest	0.535406050102718	0.657684158199486	DEFB124
64065	cg03951603	1.77443541735128e-08	9.36070574813853	ttest	0.460599553601196	0.202898677528269	
65241	cg04023483	1.96991743718125e-16	11.2993205082687	ttest	0.318208674120445	0.141701678654664	GRM7
65491	cg04043150	5.28213013420976e-12	11.4575617744331	ttest	0.450142247831319	0.309407538676829	
66449	cg04105250	2.86152417257616e-09	8.81915211113132	ttest	0.307299660864355	0.156376903442039	GAD1
67191	cg04148002	7.08981587911765e-18	12.4567979812449	ttest	0.352164526045048	0.198521499587252	
68982	cg04259971	1.80331043085783e-08	-8.62244620360643	ttest	0.649370848527777	0.762243105666892	CGB7
69926	cg04317962	1.25735585675085e-08	9.47288036156513	ttest	0.482236388634962	0.206032578378309	
71579	cg04423820	5.28756243501806e-09	-11.017289637184	ttest	0.541552981865472	0.803905713409549	
71615	cg04425920	3.71282687327999e-19	15.415957434125	ttest	0.449647263625492	0.111371456545939	
71810	cg04439218	4.48725837545731e-10	10.1808626165789	ttest	0.467790537377546	0.276805324038171	GDNF
72036	cg04455430	1.33951667779023e-11	12.1091316181803	ttest	0.369110016756287	0.206943791520595	DMRTA2
72477	cg04485799	1.36884361854457e-08	8.4709440527208	ttest	0.392795867255497	0.25150612101588	IL17REL
73990	cg04578903	4.63463299956434e-08	7.8006506939585	ttest	0.437794690240124	0.305105319243776	
75717	cg04698114	1.30035642459245e-08	9.65044120715619	ttest	0.425109836966738	0.148063710066349	SALL1
75816	cg04705318	1.5277722229118e-08	-8.60798113106732	ttest	0.628729516604958	0.808830051120434	HHIPL1
76280	cg04737124	7.77719478507795e-08	-7.78053613189405	ttest	0.597392318752703	0.799364820377494	VTI1A
76331	cg04739647	2.98955329890691e-16	13.8129649756097	ttest	0.32994964647529	0.088142342457251	HOXD9
76487	cg04748834	8.87693413410063e-09	9.08943001286256	ttest	0.312571808589224	0.110002922248836	CHL1
77657	cg04827692	1.83586867944746e-08	7.94115375889519	ttest	0.378302804212793	0.256714716641973	AVPR1A
77726	cg04832534	9.18025555410983e-08	-8.18961393828266	ttest	0.887070052464739	0.914223718351404	
78255	cg04862679	5.09884756272623e-08	-8.08853980658504	ttest	0.36055476901036	0.482227750412788	MRPL16
78781	cg04892766	4.71903859944144e-08	-8.49482079937818	ttest	0.446014321718909	0.626479857623438	
79437	cg04933530	5.06992635675301e-08	-7.76790433841815	ttest	0.593792306249839	0.748050520468242	
79941	cg04968426	9.08260125342691e-08	-9.17702738710076	ttest	0.637730901333781	0.828890478337346	PPP1R14D
81834	cg05093169	1.92243841750265e-13	12.6362320698458	ttest	0.373699983299581	0.143730775402864	PHOX2A
82050	cg05107500	1.7653306354215e-11	11.791627887514	ttest	0.317063966114617	0.114016386949456	A2BP1
82124	cg05114898	4.71916958926958e-11	-9.94958721912378	ttest	0.406887794481332	0.55105121248785	
84253	cg05250119	1.29438439862265e-09	8.5583814183393	ttest	0.441648149926787	0.311819964918814	
84269	cg05251593	1.22520322633207e-10	-9.30027492009963	ttest	0.515880739027915	0.606603877871029	MSI2
84341	cg05256179	1.91253449232519e-08	-11.0090018164097	ttest	0.527025752282964	0.795763473580082	BAT5
84942	cg05295023	1.26431035422105e-08	-10.7259721805367	ttest	0.569991692714696	0.78209629646415	SSH3
85039	cg05301124	2.06465715282216e-08	-10.2512857537225	ttest	0.64956493058894	0.858645441917326	
85724	cg05345286	6.00629928828208e-09	9.1226232559872	ttest	0.371157323065597	0.195753811993684	MDFI
85950	cg05357674	8.05425253189223e-08	8.56229285091325	ttest	0.0168912110408076	0.0133739441744374	
86156	cg05368724	1.67269500349867e-12	-11.7224624662795	ttest	0.578328868911249	0.771936975171266	FAM178B
86365	cg05380019	3.69654527964334e-08	9.26514142101506	ttest	0.447082227141291	0.224961389823528	
87191	cg05438320	5.98381538334736e-08	8.85430886433603	ttest	0.321527497207793	0.0940231656269999	FAM123A
87991	cg05496514	7.68654346502714e-20	12.8066651967318	ttest	0.421171770008572	0.255393145583721	
88269	cg05513806	3.5054996149736e-11	10.7320953999277	ttest	0.438253616924081	0.166910169816993	SOX2OT
88426	cg05523911	3.57549576776444e-10	11.095882873442	ttest	0.48512376484445	0.181370659742405	TCHH
90034	cg05639205	1.37351441810863e-09	11.4965000995151	ttest	0.404774159851423	0.185549727631115	SHH
90234	cg05652533	1.80323511762978e-11	10.5096145538982	ttest	0.352459745957763	0.16479018532099	DPYSL4
92170	cg05787556	7.06394882056696e-09	10.4653877624801	ttest	0.373719581688664	0.183317551506308	TLX3
92720	cg05827312	1.45593483059415e-09	10.364789547145	ttest	0.352619855467931	0.154288648932998	
93335	cg05871694	4.03746829363426e-08	7.18582045275413	ttest	0.310229238838702	0.18408388556397	HOXD1
94470	cg05941108	1.4399084114512e-33	17.8581950415613	ttest	0.34898403721923	0.0727291329548815	IRX4
95232	cg05986505	5.48394102722825e-09	7.16728984517984	ttest	0.535171221624991	0.412396580099351	OSR2
95318	cg05991454	2.14318649507592e-09	10.8116100219997	ttest	0.393839401564173	0.104914676626977	
95477	cg06001519	3.69464500552331e-08	8.88889347555571	ttest	0.448180889705875	0.209837804867474	
95884	cg06032349	6.34333655032426e-11	10.4251304510205	ttest	0.352325314481242	0.216353673296023	ERG
96827	cg06099014	7.28127783477753e-09	-10.4476132394717	ttest	0.54216375953255	0.78155060092789	TFF1
97160	cg06122871	1.96850170511428e-09	10.4219931532323	ttest	0.415624691478525	0.120001506939572	
97449	cg06144311	2.38633052601181e-09	-9.10438311020759	ttest	0.458531327222648	0.598450782647947	KIAA0415
97940	cg06179765	2.22551738371945e-17	12.9931448766247	ttest	0.237675686342925	0.0529568659328303	GPNMB
98182	cg06196689	2.02585912541986e-10	-8.91471139407197	ttest	0.567451784486003	0.761034508985327	MUC13
99108	cg06263495	3.68593993607454e-18	11.0478838298622	ttest	0.358775568339719	0.187378921982022	ASCL2
99281	cg06277657	4.22038225111963e-10	10.2369567054961	ttest	0.383553582359568	0.205099509265769	DGKI
99512	cg06295784	3.66691814166024e-08	-9.94070034657644	ttest	0.575397339954304	0.77641973210071	SLC22A3
99639	cg06306198	7.62902160036859e-08	8.49969042787773	ttest	0.39858525276321	0.241368978772111	ZIC1
101928	cg06469229	3.20951706620008e-08	7.78047962903825	ttest	0.297097122220501	0.156353054880135	PDE4D
102034	cg06476693	1.07026560034113e-10	-9.74793390426674	ttest	0.516381803624067	0.710009182427134	ADAMTS8
102724	cg06524377	2.67057714114525e-12	-9.80647882227138	ttest	0.589948176166705	0.717246834512459	
103446	cg06570224	6.76311140399109e-12	10.3200159206692	ttest	0.509510308246216	0.372164840693303	
104503	cg06639267	2.19286783623506e-09	-8.70711322406152	ttest	0.509082543895269	0.653294312606973	FBXL16
104504	cg06639320	3.98305668473935e-08	-8.42705875181174	ttest	0.304370537417501	0.412193712163726	FHL2
105470	cg06704093	6.61546796730025e-08	9.31001730852859	ttest	0.307248915582388	0.0967269786676431	
105891	cg06729723	3.85542026405108e-08	-10.2056426443809	ttest	0.507877831331122	0.693403554551023	SBF1
106485	cg06765217	4.29600034145203e-11	10.4691931838963	ttest	0.413751762231012	0.175485021852681	
106799	cg06784991	2.86042658290675e-11	11.7421832669508	ttest	0.419253944089513	0.219769521534926	ZYG11A
107367	cg06818582	2.67850314885033e-08	-9.06590939156309	ttest	0.556877668238778	0.726827515810964	
108472	cg06882420	2.81197549912167e-08	-8.19620793310042	ttest	0.620272642379689	0.762529718709207	
109842	cg06966811	2.78271991957219e-11	11.6328718519641	ttest	0.49299906179427	0.278600559171817	OTX2
110058	cg06980387	2.02151154241039e-09	9.7668909374524	ttest	0.305771508214427	0.145395200476262	LOC645323
110492	cg07010146	3.81876328282075e-08	-9.96129920099458	ttest	0.513208818009337	0.774486135269782	CALHM3
110537	cg07012178	3.86200618587284e-08	-9.64758851951906	ttest	0.549433886958145	0.773416667128299	PRKAG2
111987	cg07103493	3.46816456308553e-12	13.4878514415202	ttest	0.334480844753566	0.0892368134100179	SLC27A6
112810	cg07149609	1.6544803375591e-10	11.8396834072591	ttest	0.406372923763489	0.0853203184363655	
112869	cg07152216	8.63421695237152e-12	11.7711858717627	ttest	0.3985268165805	0.0966117390017668	
114328	cg07240873	7.70239414121496e-08	10.089760188475	ttest	0.374727828919074	0.227354362472331	PCDHA6;PCDHA2;PCDHA1;PCDHA10;PCDHA9;PCDHA7;PCDHA5;PCDHA3;PCDHA4;PCDHA8
114394	cg07244354	6.35081226758417e-08	9.70165026814928	ttest	0.315147461534493	0.129729284841345	EBF3
115193	cg07304536	1.07569691459673e-08	9.55342512813015	ttest	0.336896322106946	0.141891905521154	
115492	cg07323825	1.70243945227058e-08	8.26205677918197	ttest	0.359291009872473	0.187679700928171	
115565	cg07329360	3.26092626294514e-11	10.1828213668416	ttest	0.485307963648784	0.254371866403747	
115722	cg07341624	8.59320726872897e-11	10.7932314170122	ttest	0.458042725397822	0.243577293151438	TMC2
115784	cg07345515	9.27020425876597e-08	-7.5078650734948	ttest	0.40407480912039	0.514733413846845	TNXB
115993	cg07359183	6.31370583004881e-09	-9.86135387175285	ttest	0.597180416353887	0.846323206017497	PLXNA2
116861	cg07421969	3.7781982481626e-11	-12.6214892604004	ttest	0.490617782337493	0.71375224230779	TRIM15
116897	cg07424400	4.58448059153368e-09	-10.4968019947352	ttest	0.486474102659668	0.728109347283088	IL29
117024	cg07434271	1.22489560246713e-18	13.0209471413264	ttest	0.326947849911531	0.1089546328136	PAX6
117131	cg07441518	1.201664345794e-08	10.8465571946104	ttest	0.502881540674874	0.233989702379567	
117275	cg07452217	1.71782145807625e-10	8.97092823624397	ttest	0.442053516047841	0.267017289628896	IRX5
117628	cg07474083	4.63756436547007e-08	7.54714729022527	ttest	0.342730307204378	0.190786672370509	
118578	cg07536910	5.40763901561074e-10	11.6207239434969	ttest	0.416441627649802	0.0917211538532816	EVX2
119533	cg07595776	3.3884196036345e-11	11.6842386310008	ttest	0.387084074689571	0.136899534618584	
120765	cg07681938	6.00390585122796e-08	10.0949652674141	ttest	0.379692491646734	0.106671454427673	CDH8
120830	cg07687119	8.46758403267527e-08	8.83235906094911	ttest	0.375063949300617	0.164815070989249	HOXC4;HOXC6;HOXC5
121491	cg07730329	7.67444007757303e-08	8.80496622787135	ttest	0.538236510767415	0.301196776143558	PCDHGA4;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGB6;PCDHGA12;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGB2;PCDHGA7;PCDHGB5
121631	cg07740599	5.39601045309096e-09	-8.41675430583323	ttest	0.54130596909865	0.744806181879679	RAB11FIP3
122100	cg07777008	1.17981486042528e-08	9.47550364905793	ttest	0.36774186925489	0.135818246895502	FIBIN
122117	cg07777790	1.56206361169696e-09	10.3753701689518	ttest	0.371875309673474	0.134060381152039	ACTA1
122273	cg07788369	2.37811261025671e-09	11.1195011131865	ttest	0.424447914263833	0.126920701156027	DLX6AS
122351	cg07793807	8.05860161736942e-09	-9.22430637989328	ttest	0.576614281583397	0.735216885489081	ITPKB
125568	cg08012278	2.05204344712906e-12	11.1782395301905	ttest	0.343902671313584	0.148413017886578	
125990	cg08042273	7.0561810492356e-10	-9.63658485851657	ttest	0.579684848056503	0.747869339193804	BAI2
126091	cg08049853	4.06734295038377e-08	9.0027816151064	ttest	0.500139423752426	0.257297128614952	
126683	cg08091192	6.38925748139607e-09	9.93303618932777	ttest	0.355729544463351	0.119618355303861	ZIC4
126735	cg08094614	4.06014717806741e-08	-9.28475296934861	ttest	0.60980730658574	0.851738725131708	
127760	cg08158518	1.17179394437613e-07	-8.64078770230111	ttest	0.582946246194463	0.803862421975567	SPSB4
128633	cg08214995	1.19456611446381e-07	9.28609834143342	ttest	0.41775245273289	0.210117831215969	HS3ST2
128996	cg08239426	5.61950288254647e-08	-8.08403411267262	ttest	0.649935775656955	0.773688212935263	
129372	cg08263708	1.06129507383772e-09	10.257487771781	ttest	0.329455644216473	0.145944030544847	
130651	cg08346922	4.93934187306365e-09	9.56035669858272	ttest	0.439498414673998	0.247798375130163	TRIM72;PYDC1
130666	cg08348121	8.74890837256995e-09	-8.40514531049466	ttest	0.561817669407849	0.721562031044881	SKIL
130891	cg08363794	2.93640633817336e-08	9.78529021131331	ttest	0.428431012342089	0.216414769982315	HOXD9
130896	cg08364561	2.34523979140466e-12	13.4341071964332	ttest	0.538431279487328	0.163149472969722	
131214	cg08387551	3.215031864138e-11	-9.65167844023705	ttest	0.597464020126619	0.770389416444259	TMEM171
131980	cg08445802	4.83547844433315e-11	10.8809677256019	ttest	0.453698121917581	0.159819761777905	
132033	cg08448812	9.66946241855161e-12	12.7850712473064	ttest	0.449521557475273	0.184031117096921	PCDHA6;PCDHA2;PCDHA1;PCDHA5;PCDHA3;PCDHA4
133209	cg08526991	6.9892010591335e-08	10.1331500873318	ttest	0.524868874277118	0.21161355871679	SOX11
134011	cg08581953	1.48873553384219e-10	10.8217986459384	ttest	0.341798247344936	0.135091129122483	
134311	cg08605326	1.42008407210419e-08	9.57095702434239	ttest	0.390151714602357	0.109086378907563	CA10
134351	cg08608523	8.45518325306206e-08	-8.60780899120025	ttest	0.45274678231476	0.609936300018233	PVT1
135311	cg08675364	5.43279420949778e-08	-9.77081199565795	ttest	0.491973101236007	0.72547236383678	
135484	cg08687163	1.54313978954474e-09	-10.3852538221507	ttest	0.490761702841209	0.670598945260386	MST1R
135861	cg08711281	1.10255003365065e-07	-9.08332026218108	ttest	0.54258171207572	0.735784271056225	DPCR1
135962	cg08718490	8.14149088859133e-13	13.1534744140121	ttest	0.455326077856969	0.140503928177757	SPATA18
137210	cg08813062	1.09417473047419e-07	9.09463456987504	ttest	0.38543180246666	0.170835214389763	SP9
137339	cg08821747	4.25712259084162e-08	-8.56024513920017	ttest	0.559399789693646	0.7530610616066	C4orf34
140211	cg09016968	5.64630958208069e-10	8.72837565298138	ttest	0.397316923198638	0.223188955922961	
